modul,komoditas,varietas,no_sk,tahun,golongan,kode_http,url_tautan_putus
db-vardaf,Kacang Panjang,JS KCP 01,74/Kpts/PV.240/D/II/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-03/sk_074_kacang_panjang_js_kcp_01_pt_hibrida_jaya_unggul.pdf
db-vardaf,Tomat,TO 3127,75/Kpts/PV.240/D/II/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-03/sk_075_tomat_to_3127_pt_hibrida_jaya_unggul.pdf
db-vardaf,Bawang Putih,Berkah,76/Kpts/PV.240/D/II/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-03/sk_076_bawang_putih_berkah_cv_multi_global_agrindo.pdf
db-vardaf,Mentimun,Mini Owi A,77/Kpts/PV.240/D/II/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-03/sk_077_mentimun_mini_owi_a_pt_koreana_seed_indonesia.pdf
db-vardaf,Mentimun,Mini Owi B,78/Kpts/PV.240/D/II/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-03/sk_078_mentimun_mini_owi_b_pt_koreana_seed_indonesia.pdf
db-vardaf,Cabai Besar,Biocarning Agrihorti,79/Kpts/PV.240/D/II/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-03/sk_079_cabai_merah_besar_biocarning_agrihorti.pdf
db-vardaf,Terong,MR Hijau,95/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/95_sk_terong_mr_hijau.pdf
db-vardaf,Semangka,Melviano,96/Kpts/PV.240/ D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/96_sk_semangka_melviano.pdf
db-vardaf,Semangka,Muthia,97/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/97_sk_semangka_muthia.pdf
db-vardaf,Semangka,Rumpun,98/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/98_sk_cabai_besar_rumpun.pdf
db-vardaf,Semangka,Pujor,99 /Kpts/PV.240/0/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/99_sk_semangka_pujor.pdf
db-vardaf,Tomat,Elip,100/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/100_sk_tomat_elip.pdf
db-vardaf,Cabai Rawit,Fiera IPB,101/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/101_sk_cabai_rawit_fiera_ipb.pdf
db-vardaf,Slada,HLE 4702,103/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/103_sk_selada_hle_4702.pdf
db-vardaf,Kangkung,HKK 02,104/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/104_sk_kangkung_hkk_02.pdf
db-vardaf,Kubis,Kubisa,105/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/105_sk_kubis_kubisa.pdf
db-vardaf,Kubis,Kubida,106/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/106_sk_kubis_kubida.pdf
db-vardaf,Sawi Sendok/Pak Choi,PC HFQC003,107/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/107_sk_pak_choi_pc_hfqcoo3.pdf
db-vardaf,Tomat,TO 3918,108/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/108_sk_tomat_to_3918.pdf
db-vardaf,Kacang Koro,KRO 1,109/Kpts/PV.240/D/III/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-04/109_sk_kacang_koro_kro_1.pdf
db-vardaf,Cabai Rawit,Tiung Tanjung,140/Kpts/PV.240/D/IV/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk140_cabai_rawit_tiung_tanjung_bupati_tabalong.pdf
db-vardaf,Cabai Rawit,CRPT 20,142/Kpts/PV.240/D/IV/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk142_cabai_rawit_crpt_20_sumanah.pdf
db-vardaf,Paria,BGA ASA 034,143/Kpts/PV.240/D/IV/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk143_paria_bga_asa_034_pt_aditya_sentana_agro.pdf
db-vardaf,Blewah,BLW ASA 1468,144/Kpts/PV.240/D/IV/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk144_blewah_blw_asa_1468_pt_aditya_sentana_agro.pdf
db-vardaf,Semangka,SK 68,145/Kpts/PV.240/D/IV/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk145_semangka_sk_68_pt_wira_agro_nusantara_sejahtera.pdf
db-vardaf,Mentimun,Suri TSK01,146/Kpts/PV.240/D/IV/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk146_mentimun_suri_tsk01_cv_triasputra_agro_maju_sejahtera.pdf
db-vardaf,Bayam,BBW 24,156/Kpts/PV.240/D/V/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk156_bayam_bbw_24_pt_mahatani_pertiwi_sejahtera.pdf
db-vardaf,Bayam,BHW 175,157/Kpts/PV.240/D/V/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk157_bayam_bhw_175_pt_mahatani_pertiwi_sejahtera.pdf
db-vardaf,Bayam,BMW 79,158/Kpts/PV.240/D/V/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk158_bayam_bmw_79_pt_mahatani_pertiwi_sejahtera.pdf
db-vardaf,Kangkung,KKW 66,159/Kpts/PV.240/D/V/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk159_kangkung_kkw_66_pt_mahatani_pertiwi_sejahtera.pdf
db-vardaf,Sawi Sendok/Pak Choi,SSW 19,160/Kpts/PV.240/D/V/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk160_sawi_sendeok_ssw_19_pt_mahatani_pertiwi_sejahtera.pdf
db-vardaf,Terong,TRW 704,161/Kpts/PV.240/D/V/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk161_terong_trw_704_pt_mahatani_pertiwi_sejahtera.pdf
db-vardaf,Kubis Bunga,BK 395,162/Kpts/PV.240/D/V/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk162_kubis_bunga_bk_395_pt_agrosid_manunggal_sentosa.pdf
db-vardaf,SAWI,CB 255,164/Kpts/PV.240/D/V/2023,2023,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-07/sk164_sawi_cb_255_pt_agrosid_manunggal_sentosa.pdf
db-vardaf,Pepaya,CP 850,446/Kpts/PV.240/D/XII/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/sk_446_pepaya_cp_850_pt_bca.pdf
db-vardaf,Cabai Besar,Biocalya Agrihorti,448/Kpts/PV.240/D/XII/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/sk_448_cabai_merah_biocalya_bb_biogen.pdf
db-vardaf,Cabai Besar,Biocavita Agrihorti,449/Kpts/PV.240/D/XII/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/sk_449_cabai_merah_biocavita_bb_biogen.pdf
db-vardaf,Jagung Manis,JMRPA 01,04/Kpts/PV.240/D/I/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/jagung_manis_jmrpa_01_pt_raja_pilar_agrotama.pdf
db-vardaf,Tomat,TO 3122,05/Kpts/PV.240/D/I/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/tomat_to_3122_pt_hibrida_jaya_unggul.pdf
db-vardaf,Kemangi,YSKM007,07/Kpts/PV.240/D/I/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kemangi_yskm_pt_benih_unggu_sejati.pdf
db-vardaf,Melon,ML 329,10/Kpts/PV.240/D/I/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/melon_ml_329_supri_hertanto.pdf
db-vardaf,Kubis,Green Gem,13/Kpts/PV.240/D/I/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kubis_green_gem_pt_winon_internasional.pdf
db-vardaf,Bayam,SP 9,27/Kpts/PV.240/D/II/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/bayam_sp_9_pt_agrosid_manunggal_sentosa.pdf
db-vardaf,Kacang Panjang,ENNO 1464,28/Kpts/PV.240/D/II/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kacang_panjang_enno_1464_cv_enno_corporation.pdf
db-vardaf,Kacang Buncis,ENNO 1466,29/Kpts/PV.240/D/II/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/buncis_enno_1466_cv_enno_corporation.pdf
db-vardaf,Cabai Rawit,Sakagen 1,40/Kpts/PV.240/D/III/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_rawit_sakagen_1_cv_halbanero.pdf
db-vardaf,Cabai Rawit,Shypoon,41/Kpts/PV.240/D/III/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_rawit_shypoon_cv_halbanero.pdf
db-vardaf,Kubis Bunga,Pertiwi,42/Kpts/PV.240/D/III/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kubis_bunga_pertiwi_pt_agri_makmur_pertiwi.pdf
db-vardaf,Paria,PA 783,43/Kpts/PV.240/D/III/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/paria_pa_783_cv_nusa_heulang.pdf
db-vardaf,Paria,PA 795,44/Kpts/PV.240/D/III/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/paria_pa_793_cv_nusa_heulang.pdf
db-vardaf,Semangka,SJA 110,45/Kpts/PV.240/D/III/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/semangka_sja_110_pt_sampoerna_jaya_agro.pdf
db-vardaf,Terong,MD 2,46/Kpts/PV.240/D/III/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/terong_md_2_cv_agro_citra_mandiri.pdf
db-vardaf,Jagung Manis,ENNO 1401,73/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/jagung_manis_enno_1401_cv_enno_corporation.pdf
db-vardaf,Mentimun,ENNO 1439,74/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/mentimun_enno_1439_cv_enno_corporation.pdf
db-vardaf,Jagung Manis,JM 904,75/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/jagung_pulut_manis_jm_904_pt_benih_citra_asia.pdf
db-vardaf,Tomat,TH 091,76/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/tomat_th_091_pt_benih_citra_asia.pdf
db-vardaf,Sawi putih / Petsai,Summer Bell,77/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/sawi_putih_petsai_summer_bell_pt_winon_international.pdf
db-vardaf,Semangka,Semindo 25,78/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/semangka_semindo_25_pt_bisi_international.pdf
db-vardaf,Tomat,TO TBM 868,79/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/tomat_to_tbm_868_pt_tiara_buana_mandiri.pdf
db-vardaf,Kacang Buncis,HLB BCO 152,84/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/buncis_hlb_bco_152_cv_halbanero.pdf
db-vardaf,Cabai Keriting,CK 313,85/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_keriting_ck_313_cv_halbanero.pdf
db-vardaf,Labu,LA 256,86/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/labu_la_256_cv_nusa_heulang.pdf
db-vardaf,Kangkung,KD 99,87/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kangkung_kd_99_cv_saraswati.pdf
db-vardaf,Cabai Rawit,SJA 401,88/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_rawit_sja_401_pt_sampoerna_jaya_agro.pdf
db-vardaf,Cabai Rawit,SJA 402,89/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_rawit_sja_402_pt_sampoerna_jaya_agro.pdf
db-vardaf,Tomat,SJA 301,90/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/tomat_sja_301_pt_sampoerna_jaya_agro.pdf
db-vardaf,Kacang Panjang,RKB 18,91/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kacang_panjang_rkb_18_cv_tunas_java_mandiri.pdf
db-vardaf,Semangka,SK 41,93/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/semangka_sk_41_pt_wira_agro_nusantara_sejahtera.pdf
db-vardaf,Mentimun,CU ASA 117,94/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/mentimun_cu_asa_117_pt_aditya_sentana_agro.pdf
db-vardaf,Cabai Keriting,AKA,96/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_keriting_aka_pemkot_payakumbuh.pdf
db-vardaf,Kacang Panjang,KP 14269,97/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kacang_panjang_kp_14269_pt_east_west_seed_indonesia.pdf
db-vardaf,Cabai Keriting,CK 48783,98/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_keriting_ck_48783_pt_east_west_seed_indonesia.pdf
db-vardaf,Bayam,Nisa 017,70/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/bayam_nisa_017_cv_benih_sayur_mandiri.pdf
db-vardaf,Kangkung,Pedang 19,71/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kangkung_pedang_19_cv_benih_sayur_mandiri.pdf
db-vardaf,Kangkung,Tombak 17,72/Kpts/PV.240/D/IV/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kangkung_tombak_17_cv_benih_sayur_mandiri.pdf
db-vardaf,Kacang Panjang,RKP 15,158/Kpts/PV.240/D/V/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/kacang_panjang_rkp_15_cv_tunas_java_mandiri.pdf
db-vardaf,Melon,Melindo 17,159/Kpts/PV.240/D/V/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/melon_melindo_17_pt_bisi_international.pdf
db-vardaf,Cabai Rawit,BISI HP 41,160/Kpts/PV.240/D/V/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_rawit_bisi_hp_41_pt_bisi_international.pdf
db-vardaf,Melon,Gaiya,161/Kpts/PV.240/D/V/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/melon_gaiya_pt_tani_murni_indonesia.pdf
db-vardaf,Cabai Besar,CBW 135,162/Kpts/PV.240/D/V/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/cabai_besar_cbw_135_pt_mahatani_pertiwi_sejahtera.pdf
db-vardaf,Seledri,SLW 081,163/Kpts/PV.240/D/V/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/seledri_slw_081_pt_mahatani_pertiwi_sejahtera.pdf
db-vardaf,Tomat,TMW 019,164/Kpts/PV.240/D/V/2022,2022,sayuran/pangan semusim,404,https://perbenihanhorti.id/proseed/uploads/414/2023-01/tomat_tmw_019_pt_mahatani_pertiwi_sejahtera.pdf
