principal_kanonik,merek,merek_belum_dipanen,situs,status_situs,catatan
PT. KINGAGROOT BIOTECHNOLOGY INDONESIA,46,46,,belum-diperiksa,
PT. SANTANI AGRO PERKASA,46,46,,belum-diperiksa,
PT.MEROKE TETAP JAYA,46,45,meroketetapjaya.com,ada,SPA Inertia; data di atribut data-page
PT. DANKEN INDONESIA,45,45,,belum-diperiksa,
PT. YANNO AGRO SCIENCE INDONESIA,44,44,,belum-diperiksa,
PT. ALBAUGH AGRO INDONESIA,43,43,,belum-diperiksa,
PT. SAMUDRA UTAMA NARAPATI,41,41,,belum-diperiksa,
PT. ADIL MAKMUR FAJAR,41,41,,belum-diperiksa,
PT. TRIDA KIMIA SAKTI,40,39,tridakimiasakti.blogspot.com,ada,blog Blogger; 22 pos produk
PT. TANAMAN MAKMUR MANDIRI,40,40,,belum-diperiksa,
PT. AGRORISEN INDOMAKMUR CEMERLANG,40,40,,belum-diperiksa,
PT. Kristalindo Karunia Internasional,39,39,,belum-diperiksa,
PT. JAYA WARINDO ABADI,39,39,,belum-diperiksa,
PT. BERBAK AGRO SEJATI,38,38,,belum-diperiksa,
PT. FORAGRO MITRA SEJATI,38,38,,belum-diperiksa,
PT. PERSADA AGRO SUKSES,38,38,,belum-diperiksa,
PT. INDAGRO,38,38,,belum-diperiksa,
PT. MITRA KREASIDHARMA,38,38,,belum-diperiksa,
PT. Rolimex Kimia Nusamas,38,38,,belum-diperiksa,
PT. RAJA GROUP INDONESIA,38,38,,belum-diperiksa,
PT. PRIMA AGRO TECH,37,37,,belum-diperiksa,
PT. GLOBAL AGROTECH,37,37,,belum-diperiksa,
PT. AGRO SENTOSA RAYA,37,37,,belum-diperiksa,
CV. SARAREA PANEN RAYA,37,37,,belum-diperiksa,
PT. MASCO AGRI GENETICS,36,36,,belum-diperiksa,
PT. SINAMYANG INDONESIA,35,35,,belum-diperiksa,
PT. AGRO SEJAHTERA INDONESIA,34,34,,belum-diperiksa,
PT. ARTHA MAKMUR ABADI,34,34,,belum-diperiksa,
PT. EXCEL MEG INDO,33,33,,belum-diperiksa,
PT. JIRONA AGRITAMA,32,32,,belum-diperiksa,
PT. FUMAKILLA NOMOS,32,32,,belum-diperiksa,
PT. AGROTECH PESTICIDE INDUSTRY,31,31,,belum-diperiksa,
CV. KHARISMA AGRI WIJAYA,31,31,,belum-diperiksa,
PT. TRITUNGGAL ARTHAMAKMUR,30,30,,belum-diperiksa,
PT. AGROMANNA JAYA LESTARI,30,30,,belum-diperiksa,
PT. PILARQUIM AGROSCIENCE INDONESIA,30,30,,belum-diperiksa,
PT. SATYA AGRO INDONESIA,29,29,,belum-diperiksa,
CV. ARTHA BUANA MANDIRI,28,28,,belum-diperiksa,
CV. SURYA AGROKEMINDO PERKASA,28,28,,belum-diperiksa,
TUNASHARAPAN MURNI,27,27,,belum-diperiksa,
PT. SANTANI AGRO MANDIRI,27,27,,belum-diperiksa,
PT. ASIA GALA KIMIA,26,26,,belum-diperiksa,
PT. TIARA BUANA MANDIRI,26,26,,belum-diperiksa,
PT. MESTIKA NUSANTARA AGROKIMIA,26,26,,belum-diperiksa,
PT. Dharma Ayu Tani,26,26,,belum-diperiksa,
PT Petrokimia Gresik,26,24,,belum-diperiksa,
PT. ARXADA CHEMICALS INDONESIA,25,25,,belum-diperiksa,
PT. HERLINA INDAH,25,25,,belum-diperiksa,
PT. SARI KIMIA UNGGUL,25,25,,belum-diperiksa,
PT Exindo Raharja Pratama,24,24,,belum-diperiksa,
CV. GRAHA AGRO,24,24,,belum-diperiksa,
PT. EASTCHEM AGROSCIENCE INDONESIA,24,24,,belum-diperiksa,
PT. BAHTERA BONIAGA LESTARI,24,24,,belum-diperiksa,
CV. AGRO CHEMICA,24,24,,belum-diperiksa,
PT. SANTANI SEJAHTERA,24,24,,belum-diperiksa,
PT. HANEARL SCIENCE INDONESIA,23,23,,belum-diperiksa,
PT. TRIBINA TANIKARYA,23,23,,belum-diperiksa,
PT. QILU CROP SCIENCE,23,23,,belum-diperiksa,
PT. Agrofarm Nusa Raya,23,23,,belum-diperiksa,
PT. CROP CARE INDONESIA,22,22,,belum-diperiksa,
PT. SUMANS MANDIRI SEJAHTERA,22,22,,belum-diperiksa,
PT. TANI MAS SUBUR,22,22,,belum-diperiksa,
PT. AGRO GUNA MAKMUR,22,22,,belum-diperiksa,
PT. Agrotama Tunas Sarana,22,22,,belum-diperiksa,
PT. Cipta Makmur Pertiwi,22,22,,belum-diperiksa,
PT. Hextar Fertilizer Indonesia,22,21,dgwfertilizer.co.id,ada,alias server sama dengan DGW
PT. ZENITH CROPSCIENCES INDONESIA,21,21,,belum-diperiksa,
CV. UNI AGRO CHEMICA,21,21,,belum-diperiksa,
PT. AGRO TERRUM INDONESIA,21,21,,belum-diperiksa,
PT. AGROKIMINDO KURNIABUANA,21,21,,belum-diperiksa,
CV. GRAHA AGRITECH PRIMA,21,21,,belum-diperiksa,
PT. TANGGUH AGRO NUSA INDONESIA,21,21,,belum-diperiksa,
PT. MUTIARA AGRO SEJATI,21,21,,belum-diperiksa,
PT.TANINDO INTERTRACO,21,21,,belum-diperiksa,
PT. AGRO NATURAL TECHNOLOGY,20,20,,belum-diperiksa,
PT. SUNJOY AGRO INDONESIA,20,20,,belum-diperiksa,
PT. JAWA AGRINDO INTERNASIONAL,20,20,,belum-diperiksa,
CV. BOMA SAKTI TANI,19,19,,belum-diperiksa,
PT. ZHENGBANG CROP PROTECTION INDONESIA,19,19,,belum-diperiksa,
PT. TAPAL KOEDA INDONESIA,19,19,,belum-diperiksa,
CV. Raja Grafika,19,19,,belum-diperiksa,
PT. DOUTA UTAMAN INDONESIA,19,19,,belum-diperiksa,
PT. SATYA ALAM SEMESTA,19,19,,belum-diperiksa,
PT. RABANA AGRO RESOURCES,19,19,,belum-diperiksa,
UD Primagro,19,19,,belum-diperiksa,
YARA INDONESIA,19,19,,belum-diperiksa,
CV. DELTA CHEMICA,18,18,,belum-diperiksa,
PT. CHINA JIANGSU INTERNATIONAL INDONESIA,18,18,,belum-diperiksa,
PT. BIOTEK SARANATAMA,18,18,,belum-diperiksa,
PT. INDO HOECHST,18,18,,belum-diperiksa,
PT. Agritek Tani Indonesia,17,17,,belum-diperiksa,
PT. BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,17,17,,belum-diperiksa,
PT. MITRA INDOTANI ABADI,17,17,,belum-diperiksa,
PT. FOCUSINDO ASIA PACIFIC,17,17,,belum-diperiksa,
PT. AGX ASIA INDONESIA,17,17,,belum-diperiksa,
PRIMAGRO PRIMA INDONESIA,17,17,,belum-diperiksa,
DGW PUPUK INDONESIA,17,16,dgwfertilizer.co.id,ada,"2-3 tampilan per produk, banyak ukuran"
PT. JOHNSON HOME HYGIENE PRODUCTS,16,16,,belum-diperiksa,
PT. JIVA AGRICULTURE INDONESIA,16,16,,belum-diperiksa,
PT. AGRO DYNAMICS INDO,16,16,,belum-diperiksa,
PT. NATHANI CHEMICALS,16,16,,belum-diperiksa,
CV. INDO TANI UTAMA,16,16,,belum-diperiksa,
PT. MSR HIJAU LESTARI,16,16,,belum-diperiksa,
PT. DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,16,16,,belum-diperiksa,
PT. ARYSTA LIFESCIENCE TIRTA,16,16,,belum-diperiksa,
PT. SAFE CHEMICAL INDONESIA,15,15,,belum-diperiksa,
PT. FMC AGRICULTURAL MANUFACTURING,15,15,,belum-diperiksa,
PT. TRUSTCHEM AGRO INDONESIA,15,15,,belum-diperiksa,
PT. INTER AGRO INDONESIA,15,15,,belum-diperiksa,
PT. SAFEEKO BIO INDONESIA,15,15,,belum-diperiksa,
CV. Javamas Agrophos,15,15,,belum-diperiksa,
PT. WINHONOR CONSULTING INDONESIA,15,15,,belum-diperiksa,
PT. IMCD INDONESIA,15,15,,belum-diperiksa,
PT. MAKMUR JAYA AGRO,15,15,,belum-diperiksa,
CV. JATI EMAS UNGGUL,15,15,,belum-diperiksa,
PT. EUREEKAGREAT NUSANTARA,15,15,,belum-diperiksa,
CV. Nusa Nur Agro,15,15,,belum-diperiksa,
PT. DYRIZ INDONESIA,15,15,,belum-diperiksa,
PT. KEMINDO ARTHA JAYA,14,14,,belum-diperiksa,
PT. BIOTEK SARANA INDUSTRI,14,14,,belum-diperiksa,
PT. Nusa Mandiri Utama,14,14,,belum-diperiksa,
PT Kalatham,14,14,,belum-diperiksa,
PT. ANDAFA AGRO INDO,14,14,,belum-diperiksa,
PT. TRITAMA WIRAKARSA,14,14,,belum-diperiksa,
CV. AGRO MULIA,13,13,,belum-diperiksa,
PT. NUSANTARA AGRO SUKSES,13,13,,belum-diperiksa,
PT. CENTRA BIOTECH INDONESIA,13,13,,belum-diperiksa,
PT. Artha Prima Humatindo,13,13,,belum-diperiksa,
UD. Mitra Merdeka Tani,13,13,,belum-diperiksa,
PT. ENFARM CROP SCIENCE,12,12,,belum-diperiksa,
PT. GONGCHENG BIOTECH INDONESIA,12,12,,belum-diperiksa,
PT. DITYA CHEMINDO,12,12,,belum-diperiksa,
CV. CV. SAKASAKI INDONESIA,12,12,,belum-diperiksa,
PT. AGRO INSANI SEMESTA,12,12,,belum-diperiksa,
PT. AZELIS INDONESIA DISTRIBUSI,12,12,,belum-diperiksa,
PT. AGRO BERJAYA CITRA TANI,12,12,,belum-diperiksa,
PT. SANTANI AGRO LESTARI,12,12,,belum-diperiksa,
PT Pupuk Kujang,12,12,,belum-diperiksa,
PT Pupuk Kalimantan Timur,12,12,,belum-diperiksa,
PT. HANAMPI SEJAHTERA KAHURIPAN,12,12,,belum-diperiksa,
INDO ACIDATAMA,12,12,,belum-diperiksa,
PT. MITRA FINEX ANTARNUSA,12,12,,belum-diperiksa,
WINNER AGROCHEM INTERNUSA,11,11,,belum-diperiksa,
CV. GOLDEN FARM INDONESIA,11,11,,belum-diperiksa,
CV. KUNIMA JAYA SELARAS,11,11,,belum-diperiksa,
PT. FARMCO KIMIA,11,11,,belum-diperiksa,
CV PLANET AGRONUSA,11,11,,belum-diperiksa,
CV. TRUBUS PRIMA,11,11,,belum-diperiksa,
PT. ORCHID GLOBAL MAKMUR,11,11,,belum-diperiksa,
PT Bio Sarana Indonesia,11,11,,belum-diperiksa,
ARINDAMA NAWASENA AMERTA,11,11,,belum-diperiksa,
PT. BENIH BERKAH BERSERI,10,10,,belum-diperiksa,
PT. MENARA LAUT BERSATU,10,10,,belum-diperiksa,
PT. SARANA TANI INDONESIA MAKMUR,10,10,,belum-diperiksa,
PT. BYTER AGRICULTURE INDONESIA,10,10,,belum-diperiksa,
PT. ALFA BETA AGROCHEMICAL,10,10,,belum-diperiksa,
PT. JJM INDONESIA,10,10,,belum-diperiksa,
PT. Agspec Indonesia,10,10,,belum-diperiksa,
CV. ABADI JAYA,10,10,,belum-diperiksa,
PT. RECKITT BENCKISER INDONESIA,10,10,,belum-diperiksa,
YAN UTAMA CORPORATION,10,10,,belum-diperiksa,
TRIAGRO HIJRAH JAYA,10,10,,belum-diperiksa,
PT GREEN PLANET INDONESIA,10,10,,belum-diperiksa,
CV.Mitra Tani Abadi,10,10,,belum-diperiksa,
PT. WAHANA PUNDIKARSA ABADI,9,9,,belum-diperiksa,
PT. FORAGRO MAJU SEJAHTERA,9,9,,belum-diperiksa,
PT. NUGROHO PRATAMA CHEMICA ASIA,9,9,,belum-diperiksa,
PT. MIO LIFE SCIENCES INDONESIA,9,9,,belum-diperiksa,
PT. DWIAGRI MAKMUR INTERTRADE,9,9,,belum-diperiksa,
PT. ARENA HORMON INDONUSA,9,9,,belum-diperiksa,
PT. NOVINDO AGRITECH HUTAMA,9,9,,belum-diperiksa,
PT. ALISHAN NUSA INDAH,9,9,,belum-diperiksa,
PT. GLOBAL AGROTAMA INDONESIA,9,9,,belum-diperiksa,
PT. BENTZ JAZ INDONESIA,9,9,,belum-diperiksa,
CV. TANI MEDIA,9,9,,belum-diperiksa,
FERTILIZER INTI TECHNOLOGY,9,9,,belum-diperiksa,
CV.MITRA TANI ABADI JAYA,9,9,,belum-diperiksa,
PT AGRI HIKAY INDONESIA,9,9,,belum-diperiksa,
NATURAL NUSANTARA,9,9,,belum-diperiksa,
PT. ECO AGRO MANDIRI,9,9,,belum-diperiksa,
PT. SURYA CIPTA PERKASA YOGYAKARTA,9,9,,belum-diperiksa,
PT Bumi Indo Raharja,9,9,,belum-diperiksa,
PT. SOLUSI TANI INDONESIA,8,8,,belum-diperiksa,
PT. SINERGI CHEM INDONESIA,8,8,,belum-diperiksa,
PT. BERSAMA SATU TEGUH,8,8,,belum-diperiksa,
PT. HARINA CHEMICALS INDUSTRI,8,8,,belum-diperiksa,
PT. ANKEWA CHEMICAL INDONESIA,8,8,,belum-diperiksa,
PT. MONAGRO KIMIA,8,8,,belum-diperiksa,
PT. SUMBER AGRO PERKASA,8,8,,belum-diperiksa,
PT. BINGEI AGUNG,8,8,,belum-diperiksa,
CV. DUTA TANI,8,8,,belum-diperiksa,
PT. CROPLINK AGRIKULTUR TEKNOLOGI,8,8,,belum-diperiksa,
PT. CORTEVA AGRISCIENCE INDONESIA,8,8,,belum-diperiksa,
LABA INDOAGRO NUSANTARA,8,8,,belum-diperiksa,
PT. INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,8,8,,belum-diperiksa,
SERUNIANDAL CITRA MANDIRI,8,8,,belum-diperiksa,
SMARTSOFT DIGITAL TEKNOLOGI,8,8,,belum-diperiksa,
MANO AGRI NUSANTARA,8,8,,belum-diperiksa,
WELLS PRIMA GLOBAL,8,8,,belum-diperiksa,
PT Tunas Agro Persada,8,8,,belum-diperiksa,
MEGA PRIMATANI LESTARI,8,8,,belum-diperiksa,
PT. Biosindo Mitra Jaya,8,8,,belum-diperiksa,
MITRA TANI INDONESIA,8,8,,belum-diperiksa,
Alwi Konsultan - TEST,8,8,,belum-diperiksa,
PT. BELIRANG KALISARI,7,7,,belum-diperiksa,
PT.ASIANA CHEMICALINDO LESTARI,7,7,,belum-diperiksa,
PT. SANBRAND AGRO SEJAHTERA,7,7,,belum-diperiksa,
PT. FORTUNA MULIA SEJATI,7,7,,belum-diperiksa,
PT. MAHKOTA AGRO INDUSTRI,7,7,,belum-diperiksa,
PT. MARGA DWI KENCANA,7,7,,belum-diperiksa,
PT. VISION CROP PROTECTION,7,7,,belum-diperiksa,
PT. MC TRADING INDONESIA,7,7,,belum-diperiksa,
PT. AGROLAND INDO SYNERGY,7,7,,belum-diperiksa,
PT. PUSRI AGRO LESTARI,7,7,,belum-diperiksa,
PT. BESTANI AGRO SEJAHTERA,7,7,,belum-diperiksa,
CV. MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,7,7,,belum-diperiksa,
PT Greenlife Bioscience,7,7,,belum-diperiksa,
PT. BIO AGRITECH NUSANTARA,7,7,,belum-diperiksa,
PT POLARCHEM,7,7,,belum-diperiksa,
CV. JOYO MAKMUR SUKSES,7,7,,belum-diperiksa,
CV. SEMESTA AGRO MAKMUR,7,7,,belum-diperiksa,
CV. Cahaya Abadi,7,7,,belum-diperiksa,
CV. DANA INDO AGRI,7,7,,belum-diperiksa,
CV. Sumber Agung Jaya,7,7,,belum-diperiksa,
PT. Polowijo Gosari,7,7,,belum-diperiksa,
BULINDO AGRO TEKNOLOGI,7,7,,belum-diperiksa,
MEGA ORGANOFERTILISER,7,7,,belum-diperiksa,
SARASWANTI ANUGERAH MAKMUR,7,7,,belum-diperiksa,
SARI BUMI KEDU,7,7,,belum-diperiksa,
BIO INDUSTRI NUSANTARA,7,7,,belum-diperiksa,
PT. CEVE SINAR ARAS,7,7,,belum-diperiksa,
PANCAPUTRA AGRO NIAGA,7,7,,belum-diperiksa,
PT. KUSUMA DIPA NUGRAHA,7,7,,belum-diperiksa,
PT. Winon International,7,7,,belum-diperiksa,
PT. FADJARPURNAMA PRATAMA INTI,6,6,,belum-diperiksa,
PT. ANDALL HASA PRIMA,6,6,,belum-diperiksa,
PT. GELPI KURNIALESTARI,6,6,,belum-diperiksa,
PT. BUMI MAKMUR LESTARI UTAMA,6,6,,belum-diperiksa,
PT. TRI AGRO CHEMICALS,6,6,,belum-diperiksa,
PT. SUPRA TUSAMAN ABADI,6,6,,belum-diperiksa,
CV. PRIMA BERKAH NUSANTARA,6,6,,belum-diperiksa,
PT. MEKAR WARNA SARI,6,6,,belum-diperiksa,
PT. INDONESIA BENXING INDUSTRIAL,6,6,,belum-diperiksa,
PT. AMPUH PERKASA JAYA,6,6,,belum-diperiksa,
PT. SENTRAL TANI NUSANTARA,6,6,,belum-diperiksa,
PT. SEJUK ALAM LESTARI,6,6,,belum-diperiksa,
PT. Parama Agroindustri Danapati,6,6,,belum-diperiksa,
CV. BIMAGRO INDONESIA,6,6,,belum-diperiksa,
PT. Agrosid Manunggal Sentosa,6,6,,belum-diperiksa,
CV. BINANGUN AGRO LESTARI,6,6,,belum-diperiksa,
PT Nusamas Kimia Persada,6,6,,belum-diperiksa,
PT. BINTANG RAPESTRA ABADI,6,6,,belum-diperiksa,
PT. AGRINDO SANDARAN MAS,6,6,,belum-diperiksa,
PT Prosper Biotech Indonesia,6,6,,belum-diperiksa,
PT. MEST INDONESIY,6,5,mestindo.com,ada,"WordPress, render 1280x1811"
PT. Laku Agung Bahagia Indonesia,6,6,,belum-diperiksa,
PT. NUSA PALAPA GEMILANG,6,6,,belum-diperiksa,
FARMINDO ANN CHEMICAL,6,6,,belum-diperiksa,
CIPTA GUNA MUKTI,6,6,,belum-diperiksa,
BANGKIT TANI NUSANTARA,6,6,,belum-diperiksa,
CV. BUMI NUSANTARA,6,6,,belum-diperiksa,
Perusahaan Perseroan (Persero) PT. Pupuk Indonesia,6,6,,belum-diperiksa,
PT. Pemohon (DUMMY),6,6,,belum-diperiksa,
PT. PERMATA NEGERI INDONESIA,6,6,,belum-diperiksa,
ULTI GROW NUSANTARA,6,6,,belum-diperiksa,
PT. POMAL BEKA MANDIRI,6,6,,belum-diperiksa,
CV. Varia Chemika,6,6,,belum-diperiksa,
PT. ARENA AGRO UTAMA,5,5,,belum-diperiksa,
PT. PANEN AGRO PERKASA INDONESIA,5,5,,belum-diperiksa,
PT. FAJAR BUANA CHEMICAL,5,5,,belum-diperiksa,
PT. BERKAH SUMBER SUKSES,5,5,,belum-diperiksa,
PT. OSIMO INDONESIA,5,5,,belum-diperiksa,
CV. PRIMA AGRO PERKASA,5,5,,belum-diperiksa,
PT. PUTRA TIMUR AGRO NUSANTARA,5,5,,belum-diperiksa,
PT. MULTIKIMIA AGRO SEJAHTERA,5,5,,belum-diperiksa,
PT. LUMBUNG AGRO MAKMUR,5,5,,belum-diperiksa,
PT. ENSYSTEX INTERNATIONAL INDONESIA,5,5,,belum-diperiksa,
PT. PRIMA LESTARI AGROSCIENCES INDONESIA,5,5,,belum-diperiksa,
PT Indo Pest Biochem,5,5,,belum-diperiksa,
PT. SEGORO INTERNASIONAL,5,5,,belum-diperiksa,
CV. TUNAS SUBUR,5,5,,belum-diperiksa,
PT. INDO GLOBAL TRADE,5,5,,belum-diperiksa,
PT. TEXCHEM INDONESIA,5,5,,belum-diperiksa,
PT. KIMIKA USAHA PRIMA,5,5,,belum-diperiksa,
PT. SUMITOMO INDONESIA,5,5,,belum-diperiksa,
PT. TAKBIR SUKMA TRADA INDONESIA,5,5,,belum-diperiksa,
PT. INTER AGRO TECHNOLOGY INDONESIA,5,5,,belum-diperiksa,
PT. AGRI KEMIA NATURA,5,5,,belum-diperiksa,
PT. PERDANA AGRO MANDIRI,5,5,,belum-diperiksa,
PT.OAT MITOKU AGRIO,5,5,,belum-diperiksa,
PT. BRILLIANCE AGROSCIENCES INDONESIA,5,5,,belum-diperiksa,
PT. CATUR MANUNGGAL JAYA ABADI,5,5,,belum-diperiksa,
PT. ACE BIOCHEM INDONESIA,5,5,,belum-diperiksa,
PT. NUSANTARA SURYA BENIH,5,5,,belum-diperiksa,
PT. SURAT TANI,5,5,,belum-diperiksa,
PT. NATHANI INDONESIA,5,5,,belum-diperiksa,
CV. PRADIPTA PARAMITA,5,5,,belum-diperiksa,
PT. NIROGA SUMBER SEJAHTERA,5,5,,belum-diperiksa,
PT Belirang Perkasa Agro,5,5,,belum-diperiksa,
PT. UNITED ALACRITY INDONESIA,5,5,,belum-diperiksa,
PT. SENTANA ADIDAYA PRATAMA,5,5,,belum-diperiksa,
CV. Karya Tani Indonesia,5,5,,belum-diperiksa,
PT. PUPUT TANI MANDIRI,5,5,,belum-diperiksa,
GATEWAY INTERNUSA,5,5,,belum-diperiksa,
AGRITAMA TUMBUH PERKASA,5,5,,belum-diperiksa,
PT. MULTI NIAGA NUSANTARA INDONESIA,5,5,,belum-diperiksa,
AGRI TANIMAS SELARAS,5,5,,belum-diperiksa,
PT Carlindo Serasi Abadi,5,5,,belum-diperiksa,
PT.NOVACHEM ADAMANTINA,5,5,,belum-diperiksa,
MON LEON INDONESIA,5,5,,belum-diperiksa,
MULIA SUKSES BAHAGIA,5,5,,belum-diperiksa,
PT. Agro Berjaya Nusantara,5,5,,belum-diperiksa,
HAMAS PANDJI INDONESIA,5,5,,belum-diperiksa,
CV. PRIMA TANI MANDIRI,5,5,,belum-diperiksa,
CV. Bakti Alam Nusantara,5,5,,belum-diperiksa,
CV. Tiga Tunas Bangsa,5,5,,belum-diperiksa,
FORMULA TOP INDONESIA,5,5,,belum-diperiksa,
GREAT GIANT PINEAPPLE,5,5,,belum-diperiksa,
CV.BUNGA TANI,5,5,,belum-diperiksa,
SINKA SINYE AGROTAMA,5,5,,belum-diperiksa,
SURYA ARTHA SENTOSA,5,5,,belum-diperiksa,
SUMBER ALAM BAROKAH,5,5,,belum-diperiksa,
CV. Agro Nusa Indah,5,5,,belum-diperiksa,
PT.MITRA CIPTA AGRO,5,5,,belum-diperiksa,
CV. BUMIKITA MAKMUR,5,5,,belum-diperiksa,
DMG PHARMA LABORATORIES,5,5,,belum-diperiksa,
BERKAT MITRA MAKMUR,5,5,,belum-diperiksa,
AGROLAND MANDIRI UTAMA,5,5,,belum-diperiksa,
PT. INDO ACIDATAMA Tbk,5,5,,belum-diperiksa,
PT. SINAR  GENERAL INDUSTRIES,5,5,,belum-diperiksa,
PT. KATAYA ABADI,4,4,,belum-diperiksa,
PT. WIRAJAYA MITRA SUKSESTAMA,4,4,,belum-diperiksa,
PT. SOLUSI MAJU AGRO TANI,4,4,,belum-diperiksa,
PT. Ria Indo Agri,4,4,,belum-diperiksa,
PT. MULTI GLOBAL CENTRO,4,4,,belum-diperiksa,
PT. Spektra Global Intiagro,4,4,,belum-diperiksa,
CV. SUGI TEKNIK PANGAN,4,4,,belum-diperiksa,
PT. SINGA KIMIA INDONESIA,4,4,,belum-diperiksa,
PT. LANGGENG MUSTIKA CHEMINDO,4,4,,belum-diperiksa,
CV. SINAR AGRO KIMIA INDONESIA,4,4,,belum-diperiksa,
PT. EKA SALA ALFAINDO,4,4,,belum-diperiksa,
PT. TIENYEN INTERNATIONAL,4,4,,belum-diperiksa,
PT. RAWWA ROUNDTEC INDONESIA,4,4,,belum-diperiksa,
PT. TUNAS HARMONI ABADI,4,4,,belum-diperiksa,
PT. KUDA RAYA KARYANUSA,4,4,,belum-diperiksa,
PT. SEJAHTERA AGRONUSA LESTARI,4,4,,belum-diperiksa,
PT. MULTIGUNA GEMILANG,4,4,,belum-diperiksa,
PT. BRAVO DINAMIKA,4,4,,belum-diperiksa,
PT. SPEKTRUM GEO INAGRO,4,4,,belum-diperiksa,
PT. PT. Perusahaan Perdagangan Indonesia (Persero),4,4,,belum-diperiksa,
PT. AVEL PESTINDO,4,4,,belum-diperiksa,
CV. SUBUR TANI AGRO RAYA SEJAHTERA,4,4,,belum-diperiksa,
PT. PROPADU KONAIR TARAHUBUN,4,4,,belum-diperiksa,
PT. INDO ASIA TIRTA MANUNGGAL,4,4,,belum-diperiksa,
PT. SANJAYA SEJAHTERA LESTARI,4,4,,belum-diperiksa,
CV. AGRINDO PERSADATAMA,4,4,,belum-diperiksa,
PT. CAKRA AGRO INDONESIA,4,4,,belum-diperiksa,
PT. UTOMO UTOMO,4,4,,belum-diperiksa,
CV. BUMINDO ABADI MAKMUR,4,4,,belum-diperiksa,
