produk_situs,brand_key,nomor_tercetak,op_prd,status
CENTARIS 245 SL,centaris-245-sl-pt-centa-brasindo-abadi-chemical-industry,01030120124350,op:prd:00005786,dipanen
CENTAMINE 870 SL,centamine-870-sl-pt-centa-brasindo-abadi-chemical-industry,01030120113952,op:prd:00004428,dipanen
RUNSTAR 300 EC,runstar-300-ec-pt-centa-brasindo-abadi-chemical-industry,01030120175790,op:prd:00007567,dipanen
GOLMATOP 240 EC,golmatop-240-ec-pt-centa-brasindo-abadi-chemical-industry,01030120206627,op:prd:00007347,dipanen
GALATOP 620 SL,galatop-620-sl-pt-centa-brasindo-abadi-chemical-industry,01030120124225,op:prd:00005741,dipanen
PATANIQUAT 140 SL*,pataniquat-140-sl-pt-centa-brasindo-abadi-chemical-industry,01030120206851,op:prd:00008177,dipanen
CENTACIS 25 EC,centacis-25-ec-pt-centa-brasindo-abadi-chemical-industry,01010120206823,op:prd:00002743,dipanen
DIMETOP 525 SL,dimetop-525-sl-pt-centa-brasindo-abadi-chemical-industry,01010120175747,op:prd:00005867,dipanen
CENTADINE 450 SL,centadine-450-sl-pt-centa-brasindo-abadi-chemical-industry,01010120072726,op:prd:00004070,dipanen
BOSMEX 25 EC,bosmex-25-ec-pt-centa-brasindo-abadi-chemical-industry,01010120145045,op:prd:00008190,dipanen
MAXDINE 480 SL,maxdine-480-sl-pt-centa-brasindo-abadi-chemical-industry,01010120103854,op:prd:00004740,dipanen
ONGATAN 60 WP,ongatan-60-wp-pt-centa-brasindo-abadi-chemical-industry,01050120165606,op:prd:00003143,dipanen
BRASITOX 6 GR,brasitox-6-gr-pt-centa-brasindo-abadi-chemical-industry,01050120206907,op:prd:00007857,dipanen
KURATERBANG 3.3 GR,kuraterbang-3-3-gr-pt-centa-brasindo-abadi-chemical-industry,01010120124475,op:prd:00006270,"brosur ada, potongan terbaiknya bukan kemasan"
CENTATIN 200 EC,centatin-200-ec-pt-centa-brasindo-abadi-chemical-industry,01010120072727,op:prd:00001013,dipanen
PRIMATIN 50 EC,primatin-50-ec-pt-centa-brasindo-abadi-chemical-industry,01010120093478,op:prd:00001693,dipanen
BENATRIN 325 EC,benatrin-325-ec-pt-centa-brasindo-abadi-chemical-industry,01010120175734,op:prd:00006620,dipanen
GREAT 40 SP,great-40-sp-pt-centa-brasindo-abadi-chemical-industry,01010120155357,op:prd:00003792,dipanen
CENTAMEC 36 EC,centamec-36-ec-pt-centa-brasindo-abadi-chemical-industry,01010120134851,op:prd:00004931,dipanen
CENTAFAT 80 SP,centafat-80-sp-pt-centa-brasindo-abadi-chemical-industry,01010120196514,op:prd:00002676,dipanen
CENTADOR 10 WP,centador-10-wp-pt-centa-brasindo-abadi-chemical-industry,01010120083031,op:prd:00004279,dipanen
BETADOR 10 WP,betador-10-wp-pt-centa-brasindo-abadi-chemical-industry,01010120083018,op:prd:00003286,dipanen
LAMBADA 18 EC,lambada-18-ec-pt-centa-brasindo-abadi-chemical-industry,01010120175754,,nomor menunjuk HIPOMEC 63 WP milik PT. CENTA BRASINDO ABADI CHEMICAL INDUSTRY — perlu dilihat mata
CENTAMIL 25 WP,centamil-25-wp-pt-centa-brasindo-abadi-chemical-industry,01010120186079,,nomor menunjuk SANGKUR 50 EC milik PT. MAJU MAKMUR UTOMO — perlu dilihat mata
PROMIDA 55 WP,promida-55-wp-pt-centa-brasindo-abadi-chemical-industry,0101020175918,,nomor tidak ada di registri — OCR kemungkinan hilang satu digit
ACEDO 75 SP,acedo-75-sp-pt-centa-brasindo-abadi-chemical-industry,0101012015520,,nomor tidak ada di registri — OCR kemungkinan hilang satu digit
AGROTHANE 80 WP,primathane-80-wp-pt-agrotech-pesticide-industry,01020120113937,op:prd:00004359,"terpetakan lewat nomor — brosur siap, tinggal dipotong | NAMA SITUS BEDA dari registri (""PRIMATHANE 80 WP"")"
ALFAPON 100 PA,alfapon-100-pa-pt-agrotech-pesticide-industry,01040120072839,op:prd:00002373,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
ALPHADINE 6 GR,alphadine-6-gr-pt-agrotech-pesticide-industry,01010120072704,op:prd:00006355,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
"ALPHATECH 240/4,25 SL",alphatech-240-4-25-sl-pt-agrotech-pesticide-industry,01030120083169,op:prd:00004217,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
AMOFOS 200 SL,fastron-200-sl-pt-centa-brasindo-abadi-chemical-industry,01030120217063,op:prd:00003760,"sudah dipanen lewat nama lain | NAMA SITUS BEDA dari registri (""FASTRON 200 SL"")"
AMON 150 SL,amon-150-sl-pt-agrotech-pesticide-industry,01030120217016,op:prd:00004571,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
BUZZ UP 480 SL,buzz-up-480-sl-pt-agrotech-pesticide-industry,01030120155134,op:prd:00008523,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
CENTATOP 288 SL*,centatop-276-sl-pt-agrotech-pesticide-industry,01030120113967,op:prd:00001249,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
DUET 160 SL,duet-160-sl-cv-tani-abadi,01030120093535,op:prd:00001133,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
EXTRATIN 200 EC,extratin-200-ec-pt-agrotech-pesticide-industry,01010120072742,op:prd:00003407,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
GERXONE 288 SL*,gerxone-276-sl-pt-centa-brasindo-abadi-chemical-industry,01030120113990,op:prd:00002761,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
GOQUAT 140 SL*,goquat-140-sl-pt-agrotech-pesticide-industry,01030120186120,op:prd:00005755,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
INDODINE 485 SL,indodine-485-sl-pt-agrotech-pesticide-industry,01010120103750,op:prd:00007403,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
INDODOR 50 EC,indodor-50-ec-pt-agrotech-pesticide-industry,01010120093446,op:prd:00007753,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
KILL-UP 480/1 SL,kill-up-480-1-sl-pt-agrotech-pesticide-industry,01030120072767,op:prd:00001516,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
"MATENO UP 160/5,1 SL",mateno-up-160-5-1-sl-pt-agrotech-pesticide-industry,01030120093350,op:prd:00004136,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
MUPXONE 276 SL*,mupxone-276-sl-pt-agrotech-pesticide-industry,01030120072963,op:prd:00007713,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
NEW PRIMAXONE 75 SL,newprimaxone-75-sl-pt-centa-brasindo-abadi-chemical-industry,01030120145000,op:prd:00002851,"terpetakan lewat nomor — brosur siap, tinggal dipotong | NAMA SITUS BEDA dari registri (""NEWPRIMAXONE 75 SL"")"
ORYZOLE 250 EC,oryzole-250-ec-pt-agrotech-pesticide-industry,01020120072786,op:prd:00001775,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
PRIMADINE GOLD 10 GR,primadine-gold-10-gr-pt-agrotech-pesticide-industry,01010120134843,op:prd:00003797,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
PRIMAXONE PLUS 280 SL*,primaxone-plus-276-sl-pt-centa-brasindo-abadi-chemical-industry,01030120113991,op:prd:00007483,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
PURDAN PLUS 6 GR,purdan-plus-3-3-gr-pt-centa-brasindo-abadi-chemical-industry,01010120093242,op:prd:00008268,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
RILLY 20 WG,rilly-20-wg-pt-agrotech-pesticide-industry,01030120072779,op:prd:00001948,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
RONDAPGOLD 525 SL,ronda-gold-525-sl-pt-centa-brasindo-abadi-chemical-industry,01030120124437,op:prd:00006810,"terpetakan lewat nomor — brosur siap, tinggal dipotong | NAMA SITUS BEDA dari registri (""RONDA GOLD 525 SL"")"
SULVAN 5GR,sulvan-5-gr-pt-centa-brasindo-abadi-chemical-industry,01010120124392,op:prd:00008624,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
T-FORDI 865 SL,t-fordi-865-sl-pt-agrotech-pesticide-industry,01030120155268,op:prd:00007071,"terpetakan lewat nomor — brosur siap, tinggal dipotong"
CBA GROW,,01022018208,,nomor tidak terbaca/tidak ada — belum terpetakan
CBA STICK 100,,,,nomor tidak terbaca/tidak ada — belum terpetakan
PRIMADINE 450 SL,,,,nomor tidak terbaca/tidak ada — belum terpetakan
