tingkat,provinsi,kabupaten,dinas,bpp,penyuluh
"kabupaten","JAMBI","KOTA JAMBI","Dinas Pertanian dan Ketahanan Pangan Kota Jambi","7","75"
"kabupaten","JAMBI","KOTA SUNGAI PENUH","Dinas Tanaman Pangan, Hortikultura dan Perkebunan Kota Sungai Penuh","7","130"
"provinsi","SUMATERA SELATAN","","Dinas Pertanian Tanaman Pangan dan Hortikultura","196","48"
"kabupaten","SUMATERA SELATAN","OGAN KOMERING ULU","DINAS PERTANIAN KAB. OKU","7","208"
"kabupaten","SUMATERA SELATAN","OGAN KOMERING ILIR","Dinas Ketahanan Pangan, Tanaman Pangan, dan Hortikultura","18","322"
"kabupaten","SUMATERA SELATAN","MUARA ENIM","Dinas TPHP Kabupaten Muara Enim","13","311"
"kabupaten","SUMATERA SELATAN","LAHAT","Dinas Tanaman Pangan, Hortikultura dan Peternakan","14","310"
"kabupaten","SUMATERA SELATAN","MUSI RAWAS","DINAS PERTANIAN DAN PETERNAKAN","14","483"
"kabupaten","SUMATERA SELATAN","MUSI BANYUASIN","Dinas Tanaman Pangan Hortikultura dan Peternakan","15","380"
"kabupaten","SUMATERA SELATAN","BANYUASIN","Dinas Tanaman Pangan dan Hortikultura Kabupaten Banyuasin","21","545"
"kabupaten","SUMATERA SELATAN","OGAN KOMERING ULU SELATAN","Dinas Pertanian","19","263"
"kabupaten","SUMATERA SELATAN","OGAN KOMERING ULU TIMUR","DINAS PERTANIAN KABUPATEN OKU TIMUR","20","494"
"kabupaten","SUMATERA SELATAN","OGAN ILIR","Dinas Ketahanan Pangan dan Pertanian Kab. Ogan Ilir","16","360"
"kabupaten","SUMATERA SELATAN","EMPAT LAWANG","DINAS PERTANIAN","10","107"
"kabupaten","SUMATERA SELATAN","PENUKAL ABAB LEMATANG ILIR","DINAS PERTANIAN","3","97"
"kabupaten","SUMATERA SELATAN","KOTA PALEMBANG","Dinas Pertanian dan Ketahanan Pangan","4","86"
"kabupaten","SUMATERA SELATAN","KOTA PRABUMULIH","DINAS PERTANIAN","6","53"
"kabupaten","SUMATERA SELATAN","KOTA PAGAR ALAM","Dinas Pertanian Kota Pagar Alam","5","109"
"kabupaten","SUMATERA SELATAN","KOTA LUBUKLINGGAU","Dinas Pertanian","4","93"
"kabupaten","SUMATERA SELATAN","MUSI RAWAS UTARA","Dinas Pertanian dan Perikanan","7","96"
"provinsi","BENGKULU","","Dinas Tanaman Pangan Hortikultura dan Perkebunan Provinsi Bengkulu","108","33"
"kabupaten","BENGKULU","BENGKULU SELATAN","Dinas Pertanian","10","156"
"kabupaten","BENGKULU","REJANG LEBONG","DINAS PERTANIAN DAN PERIKANAN KABUPATEN REJANG LEBONG","10","115"
"kabupaten","BENGKULU","BENGKULU UTARA","Dinas Tanaman Pangan, Hortikultura dan Peternakan","19","159"
"kabupaten","BENGKULU","KAUR","Dinas Pertanian Kabupaten Kaur","9","107"
"kabupaten","BENGKULU","SELUMA","Dinas Pertanian","9","144"
"kabupaten","BENGKULU","MUKOMUKO","DINAS PERTANIAN","15","97"
"kabupaten","BENGKULU","LEBONG","DINAS PERTANIAN DAN PERIKANAN","11","112"
"kabupaten","BENGKULU","KEPAHIANG","Dinas Pertanian","8","162"
"kabupaten","BENGKULU","BENGKULU TENGAH","Dinas Pertanian","11","63"
"kabupaten","BENGKULU","KOTA BENGKULU","Dinas Ketahanan Pangan dan Pertanian Kota Bengkulu","6","55"
"provinsi","LAMPUNG","","Dinas Ketahanan Pangan, Tanaman Pangan dan Hortikultura","211","40"
"kabupaten","LAMPUNG","LAMPUNG BARAT","Dinas Tanaman Pangan dan Hortikultura","15","136"
"kabupaten","LAMPUNG","TANGGAMUS","Dinas Ketahanan Pangan Tanaman pangan dan Hortikultura","20","229"
"kabupaten","LAMPUNG","LAMPUNG SELATAN","Dinas Tanaman Pangan Hortikultura dan Perkebunan","17","157"
"kabupaten","LAMPUNG","LAMPUNG TIMUR","DINAS KETAHANAN PANGAN, TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","24","268"
"kabupaten","LAMPUNG","LAMPUNG TENGAH","Dinas Ketahanan Pangan, Tanaman Pangan dan Hortikultura","28","442"
"kabupaten","LAMPUNG","LAMPUNG UTARA","Dinas Tanaman Pangan dan Hortikultura","23","241"
"kabupaten","LAMPUNG","WAY KANAN","Dinas Tanaman Pangan Hortikultura dan Peternakan","14","166"
"kabupaten","LAMPUNG","TULANG BAWANG","DINAS PERTANIAN","15","99"
"kabupaten","LAMPUNG","PESAWARAN","Dinas Tanaman Pangan dan Hortikultura","11","144"
"kabupaten","LAMPUNG","PRINGSEWU","Dinas Pertanian","9","110"
"kabupaten","LAMPUNG","MESUJI","DINAS PERTANIAN KABUPATEN MESUJI","7","58"
"kabupaten","LAMPUNG","TULANG BAWANG BARAT","Dinas Tanaman Pangan Hortikultura dan Perkebunan","9","42"
"kabupaten","LAMPUNG","PESISIR BARAT","Dinas Ketahanan Pangan dan Pertanian","11","56"
"kabupaten","LAMPUNG","KOTA BANDAR LAMPUNG","DINAS PERTANIAN KOTA BANDAR LAMPUNG","3","36"
"kabupaten","LAMPUNG","KOTA METRO","Dinas Ketahanan Pangan, Pertanian dan Perikanan","5","54"
"provinsi","KEPULAUAN BANGKA BELITUNG","","Dinas Pertanian dan Ketahanan Pangan","37",""
"kabupaten","KEPULAUAN BANGKA BELITUNG","BANGKA","Dinas Pangan dan Pertanian Kab. Bangka","8","119"
"kabupaten","KEPULAUAN BANGKA BELITUNG","BELITUNG","Dinas Ketahanan Pangan dan Pertanian","4","46"
"kabupaten","KEPULAUAN BANGKA BELITUNG","BANGKA BARAT","Dinas Ketahanan Pangan dan Pertanian","6","83"
"kabupaten","KEPULAUAN BANGKA BELITUNG","BANGKA TENGAH","Dinas Pertanian dan Ketahanan Pangan","6","73"
"kabupaten","KEPULAUAN BANGKA BELITUNG","BANGKA SELATAN","Dinas Pertanian, Pangan, Perikanan","5","60"
"kabupaten","KEPULAUAN BANGKA BELITUNG","BELITUNG TIMUR","Dinas Pertanian dan Pangan","7","40"
"kabupaten","KEPULAUAN BANGKA BELITUNG","KOTA PANGKAL PINANG","Dinas Pertanian","1","12"
"provinsi","KEPULAUAN RIAU","","Dinas Ketahanan Pangan, Pertanian dan Kesehatan Hewan","21",""
"kabupaten","KEPULAUAN RIAU","KARIMUN","DINAS PANGAN DAN PERTANIAN KABUPATEN KARIMUN","6","38"
"kabupaten","KEPULAUAN RIAU","BINTAN","Dinas Ketahanan Pangan dan Pertanian","6","48"
"kabupaten","KEPULAUAN RIAU","NATUNA","DINAS KETAHANAN PANGAN DAN PERTANIAN","5","25"
"kabupaten","KEPULAUAN RIAU","LINGGA","Dinas Pertanian dan Ketahanan Pangan","0","11"
"kabupaten","KEPULAUAN RIAU","KEPULAUAN ANAMBAS","DINAS PERIKANAN PERTANIAN DAN PANGAN KABUPATEN KEPULAUAN ANAMBAS","3","15"
"kabupaten","KEPULAUAN RIAU","KOTA BATAM","DINAS KETAHANAN PANGAN DAN PERTANIAN KOTA BATAM","1","9"
"kabupaten","KEPULAUAN RIAU","KOTA TANJUNG PINANG","Dinas Pertanian Pangan dan Perikanan","0","8"
"provinsi","DKI JAKARTA","","Dinas Ketahanan Pangan, Kelautan dan Pertanian","6","2"
"kabupaten","DKI JAKARTA","KEPULAUAN SERIBU","Suku Dinas Ketahanan Pangan Kelautan dan Pertanian Kab Adm Kep Seribu","0","2"
"kabupaten","DKI JAKARTA","KOTA JAKARTA SELATAN","Suku Dinas Ketahanan Pangan Kelautan dan Pertanian","1","29"
"kabupaten","DKI JAKARTA","KOTA JAKARTA TIMUR","Suku Dinas Ketahanan Pangan Kelautan dan Pertanian Jakarta Timur","2","13"
"kabupaten","DKI JAKARTA","KOTA JAKARTA PUSAT","Suku Dinas Ketahanan Pangan Kelautan dan Pertanian Kota Administrasi Jakarta Pusat","1","18"
"kabupaten","DKI JAKARTA","KOTA JAKARTA BARAT","Suku Dinas Ketahanan Pangan, Kelautan dan Pertanian","1","15"
"kabupaten","DKI JAKARTA","KOTA JAKARTA UTARA","Suku Dinas Ketahanan Pangan Kelautan dan Pertanian Kota Administrasi Jakarta Utara","1","25"
"provinsi","JAWA BARAT","","Dinas Tanaman Pangan dan Hortikultura","518","111"
"kabupaten","JAWA BARAT","BOGOR","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","13","399"
"kabupaten","JAWA BARAT","SUKABUMI","Dinas Pertanian Kabupaten Sukabumi","47","424"
"kabupaten","JAWA BARAT","CIANJUR","DINAS TANAMAN PANGAN HORTIKULTURA PERKEBUNAN DAN KETAHANAN PANGAN","32","262"
"kabupaten","JAWA BARAT","BANDUNG","DINAS PERTANIAN KABUPATEN BANDUNG","31","325"
"kabupaten","JAWA BARAT","GARUT","Dinas Pertanian","42","569"
"kabupaten","JAWA BARAT","TASIKMALAYA","DINAS PERTANIAN, KETAHANAN PANGAN DAN PERIKANAN","39","436"
"kabupaten","JAWA BARAT","CIAMIS","DINAS PERTANIAN DAN KETAHANAN PANGAN","27","384"
"kabupaten","JAWA BARAT","KUNINGAN","Dinas Ketahanan Pangan dan Pertanian Kabupaten Kuningan","16","348"
"kabupaten","JAWA BARAT","CIREBON","Dinas Pertanian Kabupaten Cirebon","40","341"
"kabupaten","JAWA BARAT","MAJALENGKA","Dinas Ketahanan Pangan Pertanian dan Perikanan Kabupaten Majalengka","26","426"
"kabupaten","JAWA BARAT","SUMEDANG","Dinas Pertanian dan Ketahanan Pangan","26","229"
"kabupaten","JAWA BARAT","INDRAMAYU","Dinas Ketahanan Pangan dan Pertanian Kab Indramayu","31","308"
"kabupaten","JAWA BARAT","SUBANG","Dinas Pertanian","30","293"
"kabupaten","JAWA BARAT","PURWAKARTA","Dinas Pangan dan Pertanian","17","161"
"kabupaten","JAWA BARAT","KARAWANG","Dinas Pertanian dan Ketahanan Pangan","30","528"
"kabupaten","JAWA BARAT","BEKASI","Dinas Pertanian","23","135"
"kabupaten","JAWA BARAT","BANDUNG BARAT","Dinas Ketahanan Pangan dan Pertanian","17","197"
"kabupaten","JAWA BARAT","PANGANDARAN","Dinas Pertanian","10","145"
"kabupaten","JAWA BARAT","KOTA BOGOR","Dinas Ketahanan Pangan dan Pertanian","4","64"
"kabupaten","JAWA BARAT","KOTA SUKABUMI","Dinas Ketahanan Pangan, Pertanian,dan Perikanan","3","40"
"kabupaten","JAWA BARAT","KOTA BANDUNG","DinasKetahanan Pangan dan Pertanian","1","22"
"kabupaten","JAWA BARAT","KOTA CIREBON","Dinas Ketahanan Pangan, Pertanian dan Perikanan Kota Cirebon","1","7"
"kabupaten","JAWA BARAT","KOTA BEKASI","DINAS KETAHANAN PANGAN, PERTANIAN DAN PERIKANAN KOTA BEKASI.","1","9"
"kabupaten","JAWA BARAT","KOTA DEPOK","Dinas Ketahanan Pangan, Pertanian dan Perikanan","2","14"
"kabupaten","JAWA BARAT","KOTA CIMAHI","Dinas Pangan dan Pertanian Kota CImahi","1","8"
"kabupaten","JAWA BARAT","KOTA TASIKMALAYA","Dinas Ketahanan Pangan Pertanian Dan Perikanan","4","124"
"kabupaten","JAWA BARAT","KOTA BANJAR","Dinas Ketahanan Pangan, Pertanian Dan Perikanan Kota Banjar","4","32"
"provinsi","JAWA TENGAH","","Dinas Pertanian dan Perkebunan","551","19"
"kabupaten","JAWA TENGAH","CILACAP","Dinas Pertanian Kabupaten Cilacap","22","371"
"kabupaten","JAWA TENGAH","BANYUMAS","Dinas Pertanian dan Ketahanan Pangan","27","276"
"kabupaten","JAWA TENGAH","PURBALINGGA","Dinas Pertanian Kabupaten Purbalingga","18","426"
"kabupaten","JAWA TENGAH","BANJARNEGARA","Dinas Pertanian, Perikanan dan Ketahanan Pangan","20","245"
"kabupaten","JAWA TENGAH","KEBUMEN","DINAS PERTANIAN DAN PANGAN","26","421"
"kabupaten","JAWA TENGAH","PURWOREJO","Dinas Ketahanan Pangan dan Pertanian Kabupaten Purworejo","16","305"
"kabupaten","JAWA TENGAH","WONOSOBO","Dinas Pangan, Pertanian Dan Perikanan","15","240"
"kabupaten","JAWA TENGAH","MAGELANG","DINAS PERTANIAN DAN PANGAN KABUPATEN MAGELANG","21","742"
"kabupaten","JAWA TENGAH","BOYOLALI","DINAS PERTANIAN","22","344"
"kabupaten","JAWA TENGAH","KLATEN","Dinas Ketahanan Pangan dan Pertanian","26","271"
"kabupaten","JAWA TENGAH","SUKOHARJO","DINAS PERTANIAN DAN PERIKANAN","12","175"
"kabupaten","JAWA TENGAH","WONOGIRI","Dinas Pertanian dan Pangan","25","466"
"kabupaten","JAWA TENGAH","KARANGANYAR","DINAS PERTANIAN, PANGAN DAN PERIKANAN","17","266"
"kabupaten","JAWA TENGAH","SRAGEN","DINAS KETAHANAN PANGAN, PERTANIAN DAN PERIKANAN","20","343"
"kabupaten","JAWA TENGAH","GROBOGAN","Dinas Pertanian","19","296"
"kabupaten","JAWA TENGAH","BLORA","Dinas Pangan Pertanian Peternakan dan Perikanan","16","320"
"kabupaten","JAWA TENGAH","REMBANG","Dinas Pertanian dan Pangan","14","160"
"kabupaten","JAWA TENGAH","PATI","Dinas Pertanian Kabupaten Pati","21","388"
"kabupaten","JAWA TENGAH","KUDUS","Dinas Pertanian dan Pangan","9","150"
"kabupaten","JAWA TENGAH","JEPARA","DINAS KETAHANAN PANGAN DAN PERTANIAN","16","153"
"kabupaten","JAWA TENGAH","DEMAK","Dinas Pertanian dan Pangan.","14","322"
"kabupaten","JAWA TENGAH","SEMARANG","DINAS PERTANIAN PERIKANAN DAN PANGAN","19","217"
"kabupaten","JAWA TENGAH","TEMANGGUNG","DINAS KETAHANAN PANGAN PERTANIAN DAN PERIKANAN","20","419"
"kabupaten","JAWA TENGAH","KENDAL","Dinas Pertanian dan Pangan","20","338"
"kabupaten","JAWA TENGAH","BATANG","Dinas Pangan dan Pertanian kabupaten Batang","15","331"
"kabupaten","JAWA TENGAH","PEKALONGAN","Dinas Ketahanan Pangan dan Pertanian","19","418"
"kabupaten","JAWA TENGAH","PEMALANG","Dinas Pertanian","14","175"
"kabupaten","JAWA TENGAH","TEGAL","DINAS KETAHANAN PANGAN DAN PERTANIAN","18","240"
"kabupaten","JAWA TENGAH","BREBES","Dinas Pertanian dan Ketahanan Pangan Kabupaten Brebes","17","229"
"kabupaten","JAWA TENGAH","KOTA MAGELANG","Dinas Pertanian dan Pangan Kota Magelang","1","31"
"kabupaten","JAWA TENGAH","KOTA SURAKARTA","Dinas Ketahanan Pangan dan Pertanian","0","10"
"kabupaten","JAWA TENGAH","KOTA SALATIGA","Dinas Pangan dan Pertanian Kota Salatiga","2","39"
"kabupaten","JAWA TENGAH","KOTA SEMARANG","Dinas Pertanian","5","94"
"kabupaten","JAWA TENGAH","KOTA PEKALONGAN","Dinas Pertanian dan pangan","1","13"
"kabupaten","JAWA TENGAH","KOTA TEGAL","Kelautan dan Perikanan, Pertanian dan Pangan","4","25"
"provinsi","DI YOGYAKARTA","","Dinas Pertanian dan Ketahanan Pangan","56","9"
"kabupaten","DI YOGYAKARTA","KULON PROGO","Dinas Pertanian dan Pangan Kabupaten Kulon Progo","12","213"
"kabupaten","DI YOGYAKARTA","BANTUL","Dinas Katahanan Pangan dan Pertanian","17","207"
"kabupaten","DI YOGYAKARTA","GUNUNG KIDUL","Dinas Pertanian dan Pangan","18","250"
"kabupaten","DI YOGYAKARTA","SLEMAN","Dinas Pertanian, Pangan, dan Perikanan","8","258"
"kabupaten","DI YOGYAKARTA","KOTA YOGYAKARTA","Dinas Pertanian Dan Pangan Kota Yogyakarta","1","42"
"provinsi","JAWA TIMUR","","Dinas Pertanian dan Ketahanan Pangan","589","20"
"kabupaten","JAWA TIMUR","PACITAN","Dinas Ketahanan Pangan dan Pertanian","12","135"
"kabupaten","JAWA TIMUR","PONOROGO","Dinas Pertanian, Ketahanan Pangan Dan Perikanan Kabupaten Ponorogo","21","340"
"kabupaten","JAWA TIMUR","TRENGGALEK","Dinas Pertanian dan Pangan Kab. Trenggalek","14","193"
"kabupaten","JAWA TIMUR","TULUNGAGUNG","DINAS PERTANIAN","19","350"
"kabupaten","JAWA TIMUR","BLITAR","Dinas Pertanian Dan Pangan","22","411"
"kabupaten","JAWA TIMUR","KEDIRI","Dinas Pertanian dan Perkebunan Kabupaten Kediri","26","361"
"kabupaten","JAWA TIMUR","MALANG","DINAS TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","33","511"
"kabupaten","JAWA TIMUR","LUMAJANG","Dinas Ketahanan Pangan dan Pertanian","21","342"
"kabupaten","JAWA TIMUR","JEMBER","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","10","238"
"kabupaten","JAWA TIMUR","BANYUWANGI","Dinas Pertanian dan Pangan","20","179"
"kabupaten","JAWA TIMUR","BONDOWOSO","Dinas Pertanian","7","473"
"kabupaten","JAWA TIMUR","SITUBONDO","Dinas Tanaman Pangan, Hortikultura dan Perkebunan Kabupaten Situbondo","17","91"
"kabupaten","JAWA TIMUR","PROBOLINGGO","Dinas Pertanian","24","444"
"kabupaten","JAWA TIMUR","PASURUAN","Dinas Ketahanan Pangan dan Pertanian","24","173"
"kabupaten","JAWA TIMUR","SIDOARJO","Dinas Pangan Dan Pertanian Kabupaten Sidoarjo","18","143"
