provinsi,kabupaten,kecamatan,kode_kabupaten,bpp,bpp_kanonik,poktan,penyuluh_pns,penyuluh_p3k,penyuluh_thl,penyuluh_swadaya,penyuluh_swasta,penyuluh_total
"ACEH","ACEH SELATAN","KLUET SELATAN","1103","BPP Kluet Selatan","Kluet Selatan","131","10","5","3","1","0","19"
"ACEH","ACEH SELATAN","KLUET TENGAH","1103","BPP Kluet Tengah","Kluet Tengah","105","7","4","1","6","0","18"
"ACEH","ACEH SELATAN","KLUET TIMUR","1103","BPP Kluet Timur","Kluet Timur","142","3","7","0","13","0","23"
"ACEH","ACEH SELATAN","KLUET UTARA","1103","BPP Kluet Utara","Kluet Utara","183","13","7","2","1","0","23"
"ACEH","ACEH SELATAN","KOTA BAHAGIA","1103","BPP Kota Bahagia","Kota Bahagia","68","1","1","0","0","0","2"
"ACEH","ACEH SELATAN","LABUHAN HAJI","1103","BPP Labuhan Haji","Labuhan Haji","104","3","4","0","1","0","8"
"ACEH","ACEH SELATAN","LABUHAN HAJI BARAT","1103","BPP Labuhan Haji Barat","Labuhan Haji Barat","102","3","3","0","4","0","10"
"ACEH","ACEH SELATAN","LABUHAN HAJI TIMUR","1103","BPP LABUHAN HAJI TIMUR","Labuhan Haji Timur","66","2","5","0","1","0","8"
"ACEH","ACEH SELATAN","MEUKEK","1103","BPP Meukek","Meukek","117","6","1","1","8","0","16"
"ACEH","ACEH SELATAN","PASIE RAJA","1103","BPP Pasie Raja","Pasie Raja","155","11","11","0","4","0","26"
"ACEH","ACEH SELATAN","SAMA DUA","1103","BPP Samadua","Samadua","126","11","4","0","3","0","18"
"ACEH","ACEH SELATAN","SAWANG","1103","BPP Sawang","Sawang","85","6","2","0","0","0","8"
"ACEH","ACEH SELATAN","TAPAK TUAN","1103","BPP Tapaktuan","Tapaktuan","92","7","3","2","0","0","12"
"ACEH","ACEH SELATAN","TRUMON","1103","BPP Trumon","Trumon","100","1","2","0","0","0","3"
"ACEH","ACEH SELATAN","TRUMON TENGAH","1103","BPP Trumon Tengah","Trumon Tengah","75","4","1","0","0","0","5"
"ACEH","ACEH SELATAN","TRUMON TIMUR","1103","BPP Trumon Timur","Trumon Timur","100","2","2","0","6","0","10"
"ACEH","ACEH SINGKIL","DANAU PARIS","1102","UPTD BPP Danau Paris","Danau Paris","24","5","1","0","1","0","7"
"ACEH","ACEH SINGKIL","GUNUNG MERIAH","1102","UPTD BPP Gunung Meriah","Gunung Meriah","83","9","1","0","5","0","15"
"ACEH","ACEH SINGKIL","KOTA BAHARU","1102","UPTD BPP Kota Baharu","Kota Baharu","44","4","1","0","0","0","5"
"ACEH","ACEH SINGKIL","KUALA BARU","1102","UPTD BPP Kuala Baru","Kuala Baru","12","3","2","0","2","0","7"
"ACEH","ACEH SINGKIL","PULAU BANYAK","1102","UPTD BPP Pulau Banyak","Pulau Banyak","7","1","0","0","0","0","1"
"ACEH","ACEH SINGKIL","PULAU BANYAK BARAT","1102","UPTD BPP Pulau Banyak Barat","Pulau Banyak Barat","16","1","1","0","1","0","3"
"ACEH","ACEH SINGKIL","SIMPANG KANAN","1102","UPTD BPP Simpang Kanan","Simpang Kanan","51","6","3","0","1","0","10"
"ACEH","ACEH SINGKIL","SINGKIL","1102","UPTD BPP Singkil","Singkil","64","3","3","0","2","0","8"
"ACEH","ACEH SINGKIL","SINGKIL UTARA","1102","UPTD BPP Singkil Utara","Singkil Utara","67","9","0","0","3","0","12"
"ACEH","ACEH SINGKIL","SINGKOHOR","1102","UPTD BPP SINGKOHOR","Singkohor","47","6","0","0","2","0","8"
"ACEH","ACEH SINGKIL","SURO","1102","UPTD BPP Suro","Suro","19","7","2","0","3","0","12"
"ACEH","ACEH TAMIANG","BANDA MULIA","1114","BPP BANDA MULIA","Banda Mulia","57","3","3","0","2","0","8"
"ACEH","ACEH TAMIANG","BANDAR PUSAKA","1114","BPP BANDAR PUSAKA","Bandar Pusaka","78","2","5","0","2","0","9"
"ACEH","ACEH TAMIANG","BENDAHARA","1114","BPP BENDAHARA","Bendahara","115","6","3","0","3","0","12"
"ACEH","ACEH TAMIANG","KARANG BARU","1114","BPP KARANG BARU","Karang Baru","136","4","5","0","4","0","13"
"ACEH","ACEH TAMIANG","KEJURUAN MUDA","1114","BPP KEJURUAN MUDA","Kejuruan Muda","88","3","4","0","2","0","9"
"ACEH","ACEH TAMIANG","KOTA KUALA SIMPANG","1114","BPP RANTAU","Rantau","6","0","0","0","1","0","1"
"ACEH","ACEH TAMIANG","MANYAK PAYED","1114","BPP MANYAK PAYED","Manyak Payed","225","7","6","0","3","0","16"
"ACEH","ACEH TAMIANG","RANTAU","1114","BPP RANTAU","Rantau","89","6","5","0","0","0","11"
"ACEH","ACEH TAMIANG","SEKERAK","1114","BPP SEKERAK","Sekerak","46","3","4","0","2","0","9"
"ACEH","ACEH TAMIANG","SERUWAY","1114","BPP SERUWAY","Seruway","113","6","0","0","4","0","10"
"ACEH","ACEH TAMIANG","TAMIANG HULU","1114","BPP TAMIANG HULU","Tamiang Hulu","87","1","3","0","1","0","5"
"ACEH","ACEH TAMIANG","TENGGULUN","1114","BPP TENGGULUN","Tenggulun","73","1","4","0","2","0","7"
"ACEH","ACEH TENGAH","ATU LINTANG","1106","BPP Atu Lintang","Atu Lintang","93","3","5","4","2","0","14"
"ACEH","ACEH TENGAH","BEBESEN","1106","BPP Bebesen","Bebesen","117","4","4","4","0","0","12"
"ACEH","ACEH TENGAH","BIES","1106","BPP Bies","Bies","79","5","4","5","0","0","14"
"ACEH","ACEH TENGAH","BINTANG","1106","BPP Bintang","Bintang","168","2","6","11","0","0","19"
"ACEH","ACEH TENGAH","CELALA","1106","BPP Celala","Celala","101","2","7","5","0","0","14"
"ACEH","ACEH TENGAH","JAGONG JEGET","1106","BPP Jagong Jeget","Jagong Jeget","121","1","2","5","1","0","9"
"ACEH","ACEH TENGAH","KEBAYAKAN","1106","BPP Kebayakan","Kebayakan","94","3","4","5","0","0","12"
"ACEH","ACEH TENGAH","KETOL","1106","BPP Ketol","Ketol","169","3","1","11","0","0","15"
"ACEH","ACEH TENGAH","KUTE PANANG","1106","BPP Kute Panang","Kute Panang","95","3","6","7","1","0","17"
"ACEH","ACEH TENGAH","LINGE","1106","BPP KETAPANG","Ketapang","117","2","7","12","1","0","22"
"ACEH","ACEH TENGAH","LUT TAWAR","1106","BPP Lut Tawar","Lut Tawar","90","7","3","5","0","0","15"
"ACEH","ACEH TENGAH","PEGASING","1106","BPP Pegasing","Pegasing","169","3","6","10","1","0","20"
"ACEH","ACEH TENGAH","RUSIP ANTARA","1106","BPP Rusip Antara","Rusip Antara","94","4","3","4","0","0","11"
"ACEH","ACEH TENGAH","SILIH NARA","1106","BPP Silih Nara","Silih Nara","231","2","7","13","0","0","22"
"ACEH","ACEH TENGGARA","BABUL MAKMUR","1104","BPP Babul Makmur","Babul Makmur","113","7","3","1","21","0","32"
"ACEH","ACEH TENGGARA","BABUL RAHMAD","1104","BPP Babul Rahmah","Babul Rahmah","97","7","3","0","21","0","31"
"ACEH","ACEH TENGGARA","BABUSSALAM","1104","BPP Babussalam","Babussalam","102","8","8","1","10","0","27"
"ACEH","ACEH TENGGARA","BADAR","1104","BPP Badar","Badar","92","9","3","1","9","0","22"
"ACEH","ACEH TENGGARA","BAMBEL","1104","BPP Bambel","Bambel","139","7","4","1","36","0","48"
"ACEH","ACEH TENGGARA","BUKIT TUSAM","1104","BPP Bukit Tusam","Bukit Tusam","110","10","1","1","8","0","20"
"ACEH","ACEH TENGGARA","DARUL HASANAH","1104","BPP Darul Hasanah","Darul Hasanah","146","7","6","1","21","0","35"
"ACEH","ACEH TENGGARA","DELENG POKHKISEN","1104","BPP Deleng Pokhkisen","Deleng Pokhkisen","90","8","5","0","13","0","26"
"ACEH","ACEH TENGGARA","KETAMBE","1104","BPP KETAMBE","Ketambe","117","6","8","1","14","0","29"
"ACEH","ACEH TENGGARA","LAUSER","1104","BPP Leuser","Leuser","76","1","4","0","6","0","11"
"ACEH","ACEH TENGGARA","LAWE ALAS","1104","BPP LAWE ALAS","Lawe Alas","151","6","7","0","23","0","36"
"ACEH","ACEH TENGGARA","LAWE BULAN","1104","BPP Lawe Bulan","Lawe Bulan","133","10","4","1","18","0","33"
"ACEH","ACEH TENGGARA","LAWE SIGALA-GALA","1104","BPP lawe sigala-gala","lawe sigala-gala","155","8","4","0","14","0","26"
"ACEH","ACEH TENGGARA","LAWE SUMUR","1104","BPP Lawe Sumur","Lawe Sumur","100","12","1","1","20","0","34"
"ACEH","ACEH TENGGARA","SEMADAM","1104","BPP Semadam","Semadam","99","7","2","1","8","0","18"
"ACEH","ACEH TENGGARA","TANOH ALAS","1104","BPP Tanoh Alas","Tanoh Alas","49","9","0","2","9","0","20"
"ACEH","ACEH TIMUR","BANDA ALAM","1105","BPP Banda Alam","Banda Alam","49","3","1","1","7","0","12"
"ACEH","ACEH TIMUR","BIREM BAYEUN","1105","BPP Birem Bayeun","Birem Bayeun","124","7","3","0","10","0","20"
"ACEH","ACEH TIMUR","DARUL AMAN","1105","BPP Darul Aman","Darul Aman","124","6","3","0","11","0","20"
"ACEH","ACEH TIMUR","DARUL FALAH","1105","BPP Darul Falah","Darul Falah","35","4","1","0","5","0","10"
"ACEH","ACEH TIMUR","DARUL IHSAN","1105","BPP Darul Ihsan","Darul Ihsan","57","4","3","1","4","0","12"
"ACEH","ACEH TIMUR","IDI RAYEUK","1105","BPP Idi Rayeuk","Idi Rayeuk","76","9","1","0","10","0","20"
"ACEH","ACEH TIMUR","IDI TIMUR","1105","BPP Idi Timur","Idi Timur","43","6","2","0","10","0","18"
"ACEH","ACEH TIMUR","IDI TUNONG","1105","BPP Idi Tunong","Idi Tunong","76","5","4","0","5","0","14"
"ACEH","ACEH TIMUR","INDRA MAKMUR","1105","BPP Indra Makmu","Indra Makmu","79","2","3","0","2","0","7"
"ACEH","ACEH TIMUR","JULOK","1105","BPP Julok","Julok","106","4","5","0","5","0","14"
"ACEH","ACEH TIMUR","MADAT","1105","BPP Madat","Madat","123","3","1","0","10","0","14"
"ACEH","ACEH TIMUR","NURUSSALAM","1105","BPP Nurussalam","Nurussalam","128","4","2","0","11","0","17"
"ACEH","ACEH TIMUR","PANTE BIDARI","1105","BPP Pante Bidari","Pante Bidari","111","5","2","0","4","0","11"
"ACEH","ACEH TIMUR","PEUDAWA","1105","BPP Peudawa","Peudawa","65","3","5","0","20","0","28"
"ACEH","ACEH TIMUR","PEUNARON","1105","BPP Peunaron","Peunaron","110","3","4","0","3","0","10"
"ACEH","ACEH TIMUR","PEUREULAK","1105","BPP Peureulak","Peureulak","196","11","4","0","8","0","23"
"ACEH","ACEH TIMUR","PEUREULAK BARAT","1105","BPP Peureulak Barat","Peureulak Barat","103","8","2","0","15","0","25"
"ACEH","ACEH TIMUR","PEUREULAK TIMUR","1105","BPP Peureulak Timur","Peureulak Timur","93","7","7","0","16","0","30"
"ACEH","ACEH TIMUR","RANTAU SELAMAT","1105","BPP Rantau Selamat","Rantau Selamat","72","11","3","0","16","0","30"
"ACEH","ACEH TIMUR","RANTO PEUREULAK","1105","BPP Rantau Peureulak","Rantau Peureulak","174","5","2","0","9","0","16"
"ACEH","ACEH TIMUR","SERBA JADI","1105","BPP Serbajadi","Serbajadi","58","3","1","0","4","0","8"
"ACEH","ACEH TIMUR","SIMPANG JERNIH","1105","BPP Simpang Jernih","Simpang Jernih","33","3","1","0","3","0","7"
"ACEH","ACEH TIMUR","SIMPANG ULIM","1105","BPP Simpang Ulim","Simpang Ulim","89","2","1","0","6","0","9"
"ACEH","ACEH TIMUR","SUNGAI RAYA","1105","BPP SUNGAI RAYA","Sungai Raya","81","6","1","0","15","0","22"
"ACEH","ACEH UTARA","BAKTIYA","1111","BPP BAKTIYA","Baktiya","541","6","4","0","7","0","17"
"ACEH","ACEH UTARA","BAKTIYA BARAT","1111","BPP BAKTIYA BARAT","Baktiya Barat","215","2","4","0","3","0","9"
"ACEH","ACEH UTARA","BANDA BARO","1111","BPP BANDA BARO","Banda Baro","79","2","1","0","1","0","4"
"ACEH","ACEH UTARA","COT GIREK","1111","BPP COT GIREK","COT Girek","113","2","2","0","2","0","6"
"ACEH","ACEH UTARA","DEWANTARA","1111","BPP DEWANTARA","Dewantara","135","3","2","0","3","0","8"
"ACEH","ACEH UTARA","GEUREUDONG PASE","1111","BPP GEUREUDONG PASE","Geureudong Pase","62","1","2","0","3","0","6"
"ACEH","ACEH UTARA","KUTA MAKMUR","1111","BPP BULOH BLANG ARA","Buloh Blang ARA","334","5","4","0","6","0","15"
"ACEH","ACEH UTARA","LANGKAHAN","1111","BPP LANGKAHAN","Langkahan","197","3","2","0","4","0","9"
"ACEH","ACEH UTARA","LAPANG","1111","BPP LAPANG","Lapang","83","2","2","0","4","0","8"
"ACEH","ACEH UTARA","LHOKSUKON","1111","BPP LHOKSUKON","Lhoksukon","398","5","6","1","5","0","17"
"ACEH","ACEH UTARA","MATANGKULI","1111","BPP MATANGKULI","Matangkuli","245","3","3","0","7","0","13"
"ACEH","ACEH UTARA","MEURAH MULIA","1111","BPP MEURAH MULIA","Meurah Mulia","266","4","4","0","6","0","14"
"ACEH","ACEH UTARA","MUARA BATU","1111","BPP MUARA BATU","Muara Batu","135","4","2","0","4","0","10"
"ACEH","ACEH UTARA","NIBONG","1111","BPP NIBONG","Nibong","108","3","2","0","5","0","10"
"ACEH","ACEH UTARA","NISAM","1111","BPP NISAM","Nisam","278","6","1","0","10","0","17"
"ACEH","ACEH UTARA","NISAM ANTARA","1111","BPP Nisam Antara","Nisam Antara","119","1","1","0","0","0","2"
"ACEH","ACEH UTARA","PAYA BAKONG","1111","BPP PAYA BAKONG","Paya Bakong","203","2","5","0","5","0","12"
"ACEH","ACEH UTARA","PIRAK TIMU","1111","BPP PIRAK TIMU","Pirak Timu","128","1","4","0","3","0","8"
"ACEH","ACEH UTARA","SAMUDERA","1111","BPP SAMUDERA","Samudera","187","6","1","0","4","0","11"
"ACEH","ACEH UTARA","SAWANG","1111","BPP SAWANG","Sawang","448","3","4","0","8","0","15"
"ACEH","ACEH UTARA","SEUNUDON","1111","BPP SEUNUDON","Seunudon","192","2","2","1","4","0","9"
"ACEH","ACEH UTARA","SIMPANG KERAMAT","1111","BPP SIMPANG KERAMAT","Simpang Keramat","143","3","1","0","2","0","6"
"ACEH","ACEH UTARA","SYAMTALIRA ARON","1111","BPP ARON","Aron","255","4","2","0","9","0","15"
"ACEH","ACEH UTARA","SYAMTALIRA BAYU","1111","BPP SYAMTALIRA BAYU","Syamtalira Bayu","199","6","2","0","3","0","11"
"ACEH","ACEH UTARA","TANAH JAMBO AYE","1111","BPP TANAH JAMBO AYE","Tanah Jambo AYE","424","3","3","0","2","0","8"
"ACEH","ACEH UTARA","TANAH LUAS","1111","BPP TANAH LUAS","Tanah Luas","372","3","4","1","5","0","13"
"ACEH","ACEH UTARA","TANAH PASIR","1111","BPP Tanah Pasir","Tanah Pasir","100","1","2","0","2","0","5"
"ACEH","BENER MERIAH","BANDAR","1117","BPP Janarata","Janarata","288","10","3","5","3","0","21"
"ACEH","BENER MERIAH","BENER KELIPAH","1117","BPP Bener Selan","Bener Selan","82","2","4","1","12","0","19"
"ACEH","BENER MERIAH","BUKIT","1117","BPP Redelong","Redelong","357","5","9","10","6","0","30"
"ACEH","BENER MERIAH","GAJAH PUTIH","1117","BPP Tenge Besi","Tenge Besi","110","3","1","1","5","0","10"
"ACEH","BENER MERIAH","MESIDAH","1117","BPP Uwer Tingkem","Uwer Tingkem","89","2","5","1","2","0","10"
"ACEH","BENER MERIAH","PERMATA","1117","BPP Buntul Kemumu","Buntul Kemumu","274","3","4","4","4","0","15"
"ACEH","BENER MERIAH","PINTU RIME GAYO","1117","BPP Alur Gading","Alur Gading","216","3","4","4","3","0","14"
"ACEH","BENER MERIAH","SYIAH UTAMA","1117","BPP Samar Kilang","Samar Kilang","44","3","2","1","0","0","6"
"ACEH","BENER MERIAH","TIMANG GAJAH","1117","BPP Datu Beru","Datu Beru","240","1","6","8","4","0","19"
"ACEH","BENER MERIAH","WIH PESAM","1117","BPP Burni Telong","Burni Telong","224","8","4","4","6","0","22"
"ACEH","BIREUEN","GANDA PURA","1110","BPP Gandapura","Gandapura","134","5","4","0","22","0","31"
"ACEH","BIREUEN","JANGKA","1110","BPP Jangka","Jangka","161","8","3","0","5","0","16"
"ACEH","BIREUEN","JEUMPA","1110","BPP Jeumpa","Jeumpa","162","11","3","0","12","0","26"
"ACEH","BIREUEN","JEUNIEB","1110","BPP Jeunieb","Jeunieb","164","8","1","0","1","0","10"
"ACEH","BIREUEN","JULI","1110","BPP Juli","Juli","176","9","3","0","15","0","27"
"ACEH","BIREUEN","KOTA JUANG","1110","BPP Kota Juang","Kota Juang","85","7","4","0","7","0","18"
"ACEH","BIREUEN","KUALA","1110","BPP Kuala","Kuala","83","4","1","0","11","0","16"
"ACEH","BIREUEN","KUTA BLANG","1110","BPP Kuta Blang","Kuta Blang","196","9","3","0","5","0","17"
"ACEH","BIREUEN","MAKMUR","1110","BPP Makmur","Makmur","113","7","2","0","3","0","12"
"ACEH","BIREUEN","PANDRAH","1110","BPP Pandrah","Pandrah","80","5","0","1","2","0","8"
"ACEH","BIREUEN","PEUDADA","1110","BPP Peudada","Peudada","164","11","4","0","4","0","19"
"ACEH","BIREUEN","PEULIMBANG","1110","BPP Peulimbang","Peulimbang","81","5","3","0","3","0","11"
"ACEH","BIREUEN","PEUSANGAN","1110","BPP Peusangan","Peusangan","207","17","7","0","13","0","37"
"ACEH","BIREUEN","PEUSANGAN SELATAN","1110","BPP Peusangan Selatan","Peusangan Selatan","103","5","2","0","14","0","21"
"ACEH","BIREUEN","PEUSANGAN SIBLAH KRUENG","1110","BPP Peusangan Siblah Krueng","Peusangan Siblah Krueng","86","7","2","0","3","0","12"
"ACEH","BIREUEN","SAMALANGA","1110","BPP Samalanga","Samalanga","147","11","1","0","6","0","18"
"ACEH","BIREUEN","SIMPANG MAMPLAM","1110","BPP Simpang Mamplam","Simpang Mamplam","231","11","2","0","7","0","20"
"ACEH","GAYO LUES","BLANG JERANGO","1113","BPP BLANG JERANGO","Blang Jerango","77","5","2","1","2","0","10"
"ACEH","GAYO LUES","BLANG PEGAYON","1113","BPP BLANG PEGAYON","Blang Pegayon","61","4","3","2","2","0","11"
"ACEH","GAYO LUES","BLANGKEJEREN","1113","BPP BLANGKEJEREN","Blangkejeren","176","10","4","1","3","0","18"
"ACEH","GAYO LUES","DABUN GELANG","1113","BPP DABUN GELANG","Dabun Gelang","92","8","0","0","6","0","14"
"ACEH","GAYO LUES","KUTA PANJANG","1113","BPP KUTA PANJANG","Kuta Panjang","112","8","0","0","3","0","11"
"ACEH","GAYO LUES","PANTAN CUACA","1113","BPP Pantan Cuaca","Pantan Cuaca","71","4","1","0","1","0","6"
"ACEH","GAYO LUES","PINING","1113","BPP Pining","Pining","54","3","1","0","1","0","5"
"ACEH","GAYO LUES","PUTRI BETUNG","1113","BPP PUTRI BETUNG","Putri Betung","100","6","4","2","1","0","13"
"ACEH","GAYO LUES","RIKIT GAIB","1113","BPP Rikit Gaib","Rikit Gaib","51","6","2","1","2","0","11"
"ACEH","GAYO LUES","TERANGUN","1113","BPP TERANGUN","Terangun","110","7","2","0","2","0","11"
"ACEH","GAYO LUES","TRIPE JAYA","1113","BPP TRIPE JAYA","Tripe Jaya","77","1","3","0","1","0","5"
"ACEH","KOTA BANDA ACEH","BAITURRAHMAN","1171","BPP Lueng Bata","Lueng Bata","26","0","0","0","0","0","0"
"ACEH","KOTA BANDA ACEH","BANDA RAYA","1171","BPP Lueng Bata","Lueng Bata","30","0","0","0","0","0","0"
"ACEH","KOTA BANDA ACEH","JAYA BARU","1171","BPP Meuraxa","Meuraxa","14","0","0","0","0","0","0"
"ACEH","KOTA BANDA ACEH","KUTA ALAM","1171","BPP Ulee Kareng","Ulee Kareng","24","0","0","0","0","0","0"
"ACEH","KOTA BANDA ACEH","KUTA RAJA","1171","BPP Meuraxa","Meuraxa","14","1","0","0","0","0","1"
"ACEH","KOTA BANDA ACEH","LUENG BATA","1171","BPP Lueng Bata","Lueng Bata","32","4","10","1","0","0","15"
"ACEH","KOTA BANDA ACEH","MEURAXA","1171","BPP Meuraxa","Meuraxa","29","8","4","0","0","0","12"
"ACEH","KOTA BANDA ACEH","SYIAH KUALA","1171","BPP Ulee Kareng","Ulee Kareng","29","0","1","0","0","0","1"
"ACEH","KOTA BANDA ACEH","ULEE KARENG","1171","BPP Ulee Kareng","Ulee Kareng","36","5","8","0","0","0","13"
"ACEH","KOTA LANGSA","LANGSA BARAT","1173","BPP Langsa Barat","Langsa Barat","81","7","3","0","1","0","11"
