nomor_pendaftaran,produk_id,nama_produk,jenis_pestisida,urutan,nama_bahan,kadar_bahan,satuan_bahan
01020120237823,op:prd:00001027,TRIBINZO 25/50 WG,Fungisida,1,Tebukonazol,50,%
01020120237823,op:prd:00001027,TRIBINZO 25/50 WG,Fungisida,2,Trifloksistrobin,25,%
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,1,parakuat diklorida,135,g/l
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,2,parakuat diklorida,135,g/l
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,3,parakuat diklorida,135,g/l
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,4,parakuat diklorida,135,g/l
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,1,Beauveria bassiana,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,2,Verticillium lecanii,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,3,Beauveria bassiana,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,4,Beauveria bassiana,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,5,Verticillium lecanii,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,6,Verticillium lecanii,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,7,Verticillium lecanii,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,8,Verticillium lecanii,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,9,Beauveria bassiana,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,10,Verticillium lecanii,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,11,Beauveria bassiana,1 x 10^6,cfu/g
01010120237834,op:prd:00001029,VERTIPLUS WP,Insektisida,12,Beauveria bassiana,1 x 10^6,cfu/g
01040120258983,op:prd:00001030,PRIMA-BUAH 250 SC,Zat Pengatur Tumbuh Tanaman,1,Paklobutrazol,250,g/l
01030120248604,op:prd:00001031,DRUMMER 85 WG,Herbisida,1,piroksasulfon,85,%
01050120124512,op:prd:00001032,RAJA KEONG MAS 9 GR,Moluskisida,1,Saponin,9,%
01050120124512,op:prd:00001032,RAJA KEONG MAS 9 GR,Moluskisida,2,Saponin,9,%
01050120124512,op:prd:00001032,RAJA KEONG MAS 9 GR,Moluskisida,3,Saponin,9,%
042017456,op:prd:00001033,BIOBAN™ 586 Antimicrobial,Bakterisida,1,bronopol,7 - 8,%
0420231138,op:prd:00001034,NIKOSULFURON 95 TC,Herbisida,1,nikosulfuron,95,%
01010120124333,op:prd:00001035,AGROFOS 480 EC,Insektisida,1,klorpirifos,480,g/l
01030120217226,op:prd:00001036,VUANK 120 EW,Herbisida,1,fenoksaprop-p-etil,120,ml/l
01030120073050,op:prd:00001037,JOTOS 490 EC,Herbisida,1,Triklopir,490,g/l
01030120073050,op:prd:00001037,JOTOS 490 EC,Herbisida,2,Triklopir,490,g/l
01030120073050,op:prd:00001037,JOTOS 490 EC,Herbisida,3,Triklopir,490,g/l
01030120073050,op:prd:00001037,JOTOS 490 EC,Herbisida,4,Triklopir,490,g/l
01020120206820,op:prd:00001038,CALIWA 75 WG,Fungisida,1,Mankozeb,75,%
01010120083166,op:prd:00001039,ALAMO 350 SC,Insektisida,1,Imidakloprid,350,g/l
01010120083166,op:prd:00001039,ALAMO 350 SC,Insektisida,2,Imidakloprid,350,g/l
01010120083166,op:prd:00001039,ALAMO 350 SC,Insektisida,3,Imidakloprid,350,g/l
01010120083166,op:prd:00001039,ALAMO 350 SC,Insektisida,4,Imidakloprid,350,g/l
01010120083166,op:prd:00001039,ALAMO 350 SC,Insektisida,5,Imidakloprid,350,g/l
01010120083166,op:prd:00001039,ALAMO 350 SC,Insektisida,6,Imidakloprid,350,g/l
01010120124476,op:prd:00001040,LARBAN 500/50 EC,Insektisida,1,Klorpirifos,500,g/l
01010120124476,op:prd:00001040,LARBAN 500/50 EC,Insektisida,2,Sipermetrin,50,g/l
01010120124476,op:prd:00001040,LARBAN 500/50 EC,Insektisida,3,Sipermetrin,50,g/l
01010120124476,op:prd:00001040,LARBAN 500/50 EC,Insektisida,4,Klorpirifos,500,g/l
01010120124476,op:prd:00001040,LARBAN 500/50 EC,Insektisida,5,Sipermetrin,50,g/l
01010120124476,op:prd:00001040,LARBAN 500/50 EC,Insektisida,6,Klorpirifos,500,g/l
01030120269672,op:prd:00001041,TENURA 120/80 OD,Herbisida,1,metil bensulfuron,80,g/l
01030120269672,op:prd:00001041,TENURA 120/80 OD,Herbisida,2,cinflubrolin,120,g/l
01030120093426,op:prd:00001042,DIVATRIN 500 SC,Herbisida,1,ametrin,500,g/l
01030120093426,op:prd:00001042,DIVATRIN 500 SC,Herbisida,2,ametrin,500,g/l
01030120093426,op:prd:00001042,DIVATRIN 500 SC,Herbisida,3,ametrin,500,g/l
01030120093426,op:prd:00001042,DIVATRIN 500 SC,Herbisida,4,ametrin,500,g/l
01040120206882,op:prd:00001043,WINDA 250 SC,Zat Pengatur Tumbuh Tanaman,1,Paklobutrazol,250,g/l
01010120083219,op:prd:00001044,ARJUNA 200 EC,Insektisida,1,klorfenapir,200,g/l
01010120155384,op:prd:00001045,NUPRID 600 FS,Insektisida,1,imidakloprid,600,g/l
01010120114004,op:prd:00001046,TERMIBAN 405 EC,Insektisida,1,klorpirifos,405,g/l
01070119941169,op:prd:00001047,PETROGENOL 800 L,Atraktan / Feromon,1,metil eugenol,800,g/l
032025584,op:prd:00001048,CARBOFURAN 3 GR,Insektisida,1,Carbofuran,3,%
01020120186095,op:prd:00001049,ZETRO 75 WG,Fungisida,1,Mankozeb,70,%
01020120186095,op:prd:00001049,ZETRO 75 WG,Fungisida,2,Azoksistrobin,5,%
01030119981435,op:prd:00001050,GROAMIN 865 SL,Herbisida,1,"2,4-D dimetil amina (2,4-D dimethylammonium) setara dengan 2,4-D (2,4-D active equivalent : 720 g/l)",865,g/l
06080120227481,op:prd:00001051,"WHIMAS 0,05 RB",Pestisida Rumah Tangga,1,fipronil,0.05,%
0420231196,op:prd:00001052,PARAQUAT DICHLORIDE 42 TC,Herbisida,1,paraquat dichloride,42,%
01020120227364,op:prd:00001053,Tinker 200/200 SC,Fungisida,1,fluazinam,200,g/l
01020120227364,op:prd:00001053,Tinker 200/200 SC,Fungisida,2,fluazinam,200,g/l
01020120227364,op:prd:00001053,Tinker 200/200 SC,Fungisida,3,dimetomorf,200,g/l
01020120227364,op:prd:00001053,Tinker 200/200 SC,Fungisida,4,fluazinam,200,g/l
01020120227364,op:prd:00001053,Tinker 200/200 SC,Fungisida,5,dimetomorf,200,g/l
01020120227364,op:prd:00001053,Tinker 200/200 SC,Fungisida,6,dimetomorf,200,g/l
01020120175890,op:prd:00001054,BLUEZEB 80 WP,Fungisida,1,mankozeb,80,%
01030120259217,op:prd:00001055,HOKUTO 250 SC,Herbisida,1,Ipfenkarbazon,250,g/l
01030120237930,op:prd:00001056,SALVATORE PLUS 12/18 WP,Herbisida,1,Natrium bispiribak,18,%
01030120237930,op:prd:00001056,SALVATORE PLUS 12/18 WP,Herbisida,2,Metil bensulfuron,12,%
01040120217020,op:prd:00001057,ATMAGA 20 SL,Zat Pengatur Tumbuh Tanaman,1,Asam Giberelat,20,g/l
01020120145025,op:prd:00001058,TEBUCOZ 430 SC,Fungisida,1,Tebukonazol,430,g/l
01030120227441,op:prd:00001059,OMNI-TRON 150 SL,Herbisida,1,Parakuat Diklorida 150 g/l (Setara ion Parakuat 109 g/l),150,g/l
01030120227441,op:prd:00001059,OMNI-TRON 150 SL,Herbisida,2,Parakuat Diklorida 150 g/l (Setara ion Parakuat 109 g/l),150,g/l
01030120227441,op:prd:00001059,OMNI-TRON 150 SL,Herbisida,3,Parakuat Diklorida 150 g/l (Setara ion Parakuat 109 g/l),150,g/l
01020120238049,op:prd:00001060,PROTROBIN 300/100 EW,Fungisida,1,Piraklostrobin,100,g/l
01020120238049,op:prd:00001060,PROTROBIN 300/100 EW,Fungisida,2,Prokloraz,300,g/l
01030120001514,op:prd:00001061,TAMARIS 240 SL,Herbisida,1,Isopropil Amina Glifosat (glyphosate-isopropylammonium): 240 g/l setara dengan glifosat (glyphosate active equivalent: 178 g/l),240,g/l
01030120196265,op:prd:00001062,GHOXONE 138 SL,Herbisida,1,Parakuat diklorida,138,g/l
01020120021869,op:prd:00001063,KANMULUS 80 WG,Fungisida,1,Belerang,80,%
042021978,op:prd:00001064,CHLOROTHALONIL 98 TC,Fungisida,1,klorotalonil,98,%
01020120237846,op:prd:00001065,AVIZOL 60 EC,Fungisida,1,heksakonazol,60,g/l
01010120227718,op:prd:00001066,TYSON 30 WG,Insektisida,1,Indosakarb,30,%
0420221118,op:prd:00001067,Innosei ® PHMB,Bakterisida,1,Polyhexamethylene biguanide,20,%
0420221118,op:prd:00001067,Innosei ® PHMB,Bakterisida,2,Water,80,%
01050120124532,op:prd:00001068,TUNTAS KEONG 15 WP,Moluskisida,1,Saponin,15,%
0420231211,op:prd:00001069,PREVENTOL WB PLUS-L,Fungisida,1,chlorocresol,>= 25 -< 30,%
0420231211,op:prd:00001069,PREVENTOL WB PLUS-L,Fungisida,2,"pyridine-2-thiol 1-oxide, sodium salt",>= 1 -< 2.5,%
0420231211,op:prd:00001069,PREVENTOL WB PLUS-L,Fungisida,3,2-phenylphenol,>= 10 -< 20,%
01020120175898,op:prd:00001070,FURIZEB 80 WP,Fungisida,1,MANCOZEB,80,%
01020120175898,op:prd:00001070,FURIZEB 80 WP,Fungisida,2,MANCOZEB,80,%
01020120175898,op:prd:00001070,FURIZEB 80 WP,Fungisida,3,MANCOZEB,80,%
01020120175898,op:prd:00001070,FURIZEB 80 WP,Fungisida,4,MANCOZEB,80,%
01020120175898,op:prd:00001070,FURIZEB 80 WP,Fungisida,5,MANCOZEB,80,%
01020120175898,op:prd:00001070,FURIZEB 80 WP,Fungisida,6,MANCOZEB,80,%
01040120237939,op:prd:00001071,Supergib 50 SL,Zat Pengatur Tumbuh Tanaman,1,asam giberelat,50,g/l
01010120165429,op:prd:00001072,DKLUFEM 50 WG,Insektisida,1,emamektin benzoat,10,%
01010120165429,op:prd:00001072,DKLUFEM 50 WG,Insektisida,2,lufenuron,40,%
01010120165429,op:prd:00001072,DKLUFEM 50 WG,Insektisida,3,lufenuron,40,%
01010120165429,op:prd:00001072,DKLUFEM 50 WG,Insektisida,4,emamektin benzoat,10,%
01010120165429,op:prd:00001072,DKLUFEM 50 WG,Insektisida,5,emamektin benzoat,10,%
01010120165429,op:prd:00001072,DKLUFEM 50 WG,Insektisida,6,lufenuron,40,%
032024568,op:prd:00001073,"2,4-D 98 TC",Herbisida,1,"2,4-D",98,%
01010120113940,op:prd:00001074,ALANDA 50 EC,Insektisida,1,Lamda sihalotrin,50,g/l
01020120258877,op:prd:00001075,SMATZEB 80 WP,Fungisida,1,Mancozeb,80,%
01010120248350,op:prd:00001076,AJI-BAN 40/120 SC,Insektisida,1,Emamektin benzoat,40,g/l
01010120248350,op:prd:00001076,AJI-BAN 40/120 SC,Insektisida,2,Indoksakarb,120,g/l
01030120227413,op:prd:00001077,HALORICE PLUS 60/25 EC,Herbisida,1,Piribenzoksim,25,g/l
01030120227413,op:prd:00001077,HALORICE PLUS 60/25 EC,Herbisida,2,Butil sihalofop,60,g/l
01030120227413,op:prd:00001077,HALORICE PLUS 60/25 EC,Herbisida,3,Piribenzoksim,25,g/l
01030120227413,op:prd:00001077,HALORICE PLUS 60/25 EC,Herbisida,4,Butil sihalofop,60,g/l
01010120227647,op:prd:00001078,FREECOR 50 SC,Insektisida,1,Klorantraniliprol,50,g/l
0420231158,op:prd:00001079,INNOMAN ® BT 20,Bakterisida,1,"1,2-benzisothiasol-3(2H) -one",20,%
01030120185980,op:prd:00001080,RIDATOP 288 SL,Herbisida,1,Parakuat diklorida,288,g/l
01010120103643,op:prd:00001081,NEOFRON 60 SC,Insektisida,1,Fipronil,60,g/l
01010120103643,op:prd:00001081,NEOFRON 60 SC,Insektisida,2,Fipronil,60,g/l
01010120103643,op:prd:00001081,NEOFRON 60 SC,Insektisida,3,Fipronil,60,g/l
01010120103643,op:prd:00001081,NEOFRON 60 SC,Insektisida,4,Fipronil,60,g/l
01010120103643,op:prd:00001081,NEOFRON 60 SC,Insektisida,5,Fipronil,60,g/l
01010120103643,op:prd:00001081,NEOFRON 60 SC,Insektisida,6,Fipronil,60,g/l
01010120103643,op:prd:00001081,NEOFRON 60 SC,Insektisida,7,Fipronil,60,g/l
01010120103643,op:prd:00001081,NEOFRON 60 SC,Insektisida,8,Fipronil,60,g/l
0420231247,op:prd:00001082,CARBOSULFAN 90 TC,Insektisida,1,Karbosulfan,90,%
01010120186078,op:prd:00001083,JAYACIDE 400 EC,Insektisida,1,metidation,400,g/l
01010120134773,op:prd:00001084,FILLADO 440 EC,Insektisida,1,Profenofos,400,g/l
01010120134773,op:prd:00001084,FILLADO 440 EC,Insektisida,2,Sipermetrin,40,g/l
0420251465,op:prd:00001085,S-METOLAKLOR 98 TC,Herbisida,1,s-metolaklor,98,%
01030120248364,op:prd:00001086,BONIZA 100/80/40 OD,Herbisida,1,Mesotrion,100,g/l
01030120248364,op:prd:00001086,BONIZA 100/80/40 OD,Herbisida,2,Nikosulfuron,40,g/l
01030120248364,op:prd:00001086,BONIZA 100/80/40 OD,Herbisida,3,Fluroksipir meptil,80,g/l
01010120186052,op:prd:00001087,LOSMINE 50 EC,Insektisida,1,lufenuron,50,g/l
01010120186052,op:prd:00001087,LOSMINE 50 EC,Insektisida,2,Lufenuron,50,g/l
06080120217137,op:prd:00001088,HIT 0.05 MC,Pestisida Rumah Tangga,1,Meperfluthrin,0.05,%
01030120217169,op:prd:00001089,RHOPY 25/75 OD,Herbisida,1,FENOKSAPROP-P-ETIL,75,g/l
01030120217169,op:prd:00001089,RHOPY 25/75 OD,Herbisida,2,ETOKSISULFURON,25,g/l
01020120155329,op:prd:00001090,AMAZOL 300 EC,Fungisida,1,Propiconazole,300,g/l
01030120093468,op:prd:00001091,MARTYL 480 SL,Herbisida,1,Isopropil Amina Glifosat,480,g/l
01030120259292,op:prd:00001092,SINHIT 200 SL,Herbisida,1,amonium glufosinat,200,g/l
01010120072901,op:prd:00001093,KARROLIE 100 EC,Insektisida,1,Klorpirifos,100,g/l
01010120175768,op:prd:00001094,EXTRACEL 50 EC,Insektisida,1,Emamektin benzoat,50,g/l
01020120259008,op:prd:00001095,TOPSANIL 50 WP,Fungisida,1,Simoksanil,50,%
01010120248414,op:prd:00001096,PASTION 500 EC,Insektisida,1,etion,500,g/l
0102011977264,op:prd:00001097,TIEZENE 80 WP,Fungisida,1,zineb,80,%
0102011977264,op:prd:00001097,TIEZENE 80 WP,Fungisida,2,zineb,80,%
0102011977264,op:prd:00001097,TIEZENE 80 WP,Fungisida,3,zineb,80,%
0102011977264,op:prd:00001097,TIEZENE 80 WP,Fungisida,4,zineb,80,%
0420251470,op:prd:00001098,Innosei ® QAC,Bakterisida,1,"Quaternary Ammonium Compounds, benzyl (C 12- C16) alkyl dimetyhl, chlorides",50,%
01030120269486,op:prd:00001099,TIBROX 100/100 ME,Herbisida,1,p-glufosinat,100,g/l
01030120269486,op:prd:00001099,TIBROX 100/100 ME,Herbisida,2,fluchloraminopyr-tefuryl,100,g/l
042012289,op:prd:00001100,IPA GLYPHOSATE 62 TC,Herbisida,1,IPA Glifosat,62,%
01010120001525,op:prd:00001101,ARFO 30 EC,Insektisida,1,Sipermetrin,30,g/l
01070120134593,op:prd:00001102,KOPTAN,Atraktan / Feromon,1,etanol,500,g/l
01010120206940,op:prd:00001103,LUMETIN 36/100 EC,Insektisida,1,Lufenuron,100,g/l
01010120206940,op:prd:00001103,LUMETIN 36/100 EC,Insektisida,2,Abamektin,36,g/l
01030120237738,op:prd:00001104,CARRICK 63/5 WP,Herbisida,1,Kuinklorak,63,%
01030120237738,op:prd:00001104,CARRICK 63/5 WP,Herbisida,2,Etil pirazosulfuron,5,%
01030120134735,op:prd:00001105,WINFOS 525 SL,Herbisida,1,Isopropil amina glifosat,525,g/l
0420241320,op:prd:00001106,NITENPIRAM 95 TC,Insektisida,1,nitenpiram,95,%
01030120227586,op:prd:00001107,SODAP 480 SL,Herbisida,1,IPA Glifosat,480,g/l
032024550,op:prd:00001108,AMFAST 200 SL,Herbisida,1,ammonium glufosinate,200,g/l
0420231189,op:prd:00001109,"KUMATETRALIL 0,75 TP",Rodentisida,1,Kumatetralil,0.75,%
01010120103843,op:prd:00001110,IMIDAPLUS 25 WP,Insektisida,1,imidakloprid,25,%
01030120134727,op:prd:00001111,TOLERAN 75 WG,Herbisida,1,Isoksaflutol,75,%
01010120248709,op:prd:00001112,SUTORO 30 EC,Insektisida,1,Emamektin Benzoat,30,g/l
01010120145085,op:prd:00001113,METACHLOR 550/100 EC,Insektisida,1,Klorpirifos,550,g/l
01010120145085,op:prd:00001113,METACHLOR 550/100 EC,Insektisida,2,Sipermetrin,100,g/l
01020120206968,op:prd:00001114,PROVO 70/6 WP,Fungisida,1,Propineb,70,%
01020120206968,op:prd:00001114,PROVO 70/6 WP,Fungisida,2,Simoksanil,6,%
01010120217072,op:prd:00001115,ORLANDO 50 SP,Insektisida,1,Metomil,50,%
0103011988837,op:prd:00001116,ALLY 20 WG,Herbisida,1,Metil Metsulfuron,20,%
01030120248234,op:prd:00001117,ATURO 276 SL,Herbisida,1,Parakuat diklorida,276 (setara dengan ion parakuat: 200 g/l),g/l
01010120042093,op:prd:00001118,KLOPINDO 10 WP,Insektisida,1,imidakloprid,10,%
01030119981442,op:prd:00001119,CADRE 240 SL,Herbisida,1,Imazapik,240,g/l
01030119981442,op:prd:00001119,CADRE 240 SL,Herbisida,2,Imazapik,240,g/l
01030119981442,op:prd:00001119,CADRE 240 SL,Herbisida,3,Imazapik,240,g/l
01030119981442,op:prd:00001119,CADRE 240 SL,Herbisida,4,Imazapik,240,g/l
01030119981442,op:prd:00001119,CADRE 240 SL,Herbisida,5,imazapik,240,g/l
01030120021683,op:prd:00001120,CRASH 480 SL,Herbisida,1,Isopropil amina glifosat,480,g/l
01020120124282,op:prd:00001121,BESCONIL 80 WP,Fungisida,1,Klorotalonil,80,%
01020120124282,op:prd:00001121,BESCONIL 80 WP,Fungisida,2,Klorotalonil,80,%
01020120124282,op:prd:00001121,BESCONIL 80 WP,Fungisida,3,Klorotalonil,80,%
01010119961264,op:prd:00001122,COBRA 15 EC,Insektisida,1,alfametrin,15,g/l
042015332,op:prd:00001123,DIMETHOMORPH 98 TC,Fungisida,1,Dimethomorph,98,%
06080120196349,op:prd:00001124,HIT 70.59 MV,Pestisida Rumah Tangga,1,Dimefluthrin,70.59,%
01010120269481,op:prd:00001125,SX-Pearl 93/281 SC,Insektisida,1,klorantraniliprol,93,g/l
01010120269481,op:prd:00001125,SX-Pearl 93/281 SC,Insektisida,2,klorfenapir,281,g/l
01010120196515,op:prd:00001126,CLOSTAR 600 SC,Insektisida,1,klotianidin,600,g/l
01050120196287,op:prd:00001127,NARATAN 65 WP,Moluskisida,1,Fentin asetat,65,%
01030120072907,op:prd:00001128,ZERAM 250 EC,Herbisida,1,Oksifluorfen,250,g/l
01030120072907,op:prd:00001128,ZERAM 250 EC,Herbisida,2,Oksifluorfen,250,g/l
01030120072907,op:prd:00001128,ZERAM 250 EC,Herbisida,3,Oksifluorfen,250,g/l
01030120072907,op:prd:00001128,ZERAM 250 EC,Herbisida,4,Oksifluorfen,250,g/l
01030120072907,op:prd:00001128,ZERAM 250 EC,Herbisida,5,Oksifluorfen,250,g/l
01010120186150,op:prd:00001129,SAGRI-M7 100/150 EC,Insektisida,1,asefat,150,g/l
01010120186150,op:prd:00001129,SAGRI-M7 100/150 EC,Insektisida,2,klorfenapir,100,g/l
01010120062367,op:prd:00001130,SANDIMAS 400 SL,Insektisida,1,Dimehipo,400,g/l
01010120165427,op:prd:00001131,DETOP 400 SL,Insektisida,1,Dimehipo,400,g/l
01010120165427,op:prd:00001131,DETOP 400 SL,Insektisida,2,Dimehipo,400,g/l
01010120165427,op:prd:00001131,DETOP 400 SL,Insektisida,3,Dimehipo,400,g/l
01010120165427,op:prd:00001131,DETOP 400 SL,Insektisida,4,Dimehipo,400,g/l
01020120155387,op:prd:00001132,RICESHIELD 75 WP,Fungisida,1,Tricyclazole,75,%
01030120093535,op:prd:00001133,DUET 160 SL,Herbisida,1,isopropil amina glifosat (setara dengan glifosat 118 g/l),160,g/l
01020120155324,op:prd:00001134,PROSPERO 80 WP,Fungisida,1,Klorotalonil,80,%
01020120093349,op:prd:00001135,LOGIC 70 WP,Fungisida,1,Propineb,70,%
01020120093349,op:prd:00001135,LOGIC 70 WP,Fungisida,2,Propineb,70,%
01020120093349,op:prd:00001135,LOGIC 70 WP,Fungisida,3,Propineb,70,%
01020120093349,op:prd:00001135,LOGIC 70 WP,Fungisida,4,Propineb,70,%
01010120227557,op:prd:00001136,METROZINE 50 WG,Insektisida,1,pimetrozin,50,%
01010120227557,op:prd:00001136,METROZINE 50 WG,Insektisida,2,pimetrozin,50,%
01010120227557,op:prd:00001136,METROZINE 50 WG,Insektisida,3,pimetrozin,50,%
01030120124447,op:prd:00001137,DELTAXONE 280 SL*,Herbisida,1,Parakuat diklorida (setara dengan ion parakuat : 203 g/l),280,g/l
01010120001510,op:prd:00001138,PROCLAIM 5 SG,Insektisida,1,Emamectin Benzoate,5,%
01010120001510,op:prd:00001138,PROCLAIM 5 SG,Insektisida,2,Emamectin Benzoate,5,%
01010120001510,op:prd:00001138,PROCLAIM 5 SG,Insektisida,3,Emamectin Benzoate,5,%
01010120001510,op:prd:00001138,PROCLAIM 5 SG,Insektisida,4,Emamectin Benzoate,5,%
01010120001510,op:prd:00001138,PROCLAIM 5 SG,Insektisida,5,Emamectin Benzoate,5,%
01020120206909,op:prd:00001139,CHECKPOINT 75 WP,Fungisida,1,Klorotalonil,75,%
05100120175801,op:prd:00001140,SULFO-GAS 99.8 LG*,Fumigan,1,Sulfuril fluorida,99.8,%
01020119991472,op:prd:00001141,NEMISPOR 80 WP,Fungisida,1,mankozeb,80,%
06080120269382,op:prd:00001142,Goodknight 20.01 LT,Repelen,1,DEET,20.01,%
01030120175892,op:prd:00001143,BM TRICALON 480 EC,Herbisida,1,triklopir butoksi etil ester,480,g/l
01030120175892,op:prd:00001143,BM TRICALON 480 EC,Herbisida,2,triklopir butoksi etil ester,480,g/l
01030120175892,op:prd:00001143,BM TRICALON 480 EC,Herbisida,3,triklopir butoksi etil ester,480,g/l
01030120175892,op:prd:00001143,BM TRICALON 480 EC,Herbisida,4,triklopir butoksi etil ester,480,g/l
01010120134681,op:prd:00001144,GAYA 550 EC,Insektisida,1,Klorpirifos,500,g/l
01010120134681,op:prd:00001144,GAYA 550 EC,Insektisida,2,Sipermetrin,50,g/l
