parameter_kunci,jml_varian,varian,jml_baris,jml_produk,jml_satuan,satuan_terbanyak
silikat (sio2),1,Silikat (SiO2) (313),313,313,2,% (312) | %) (1)
cao,2,CaO (291) | Cao (1),292,292,3,% (290) | . % (1) | 5 (1)
azotobacter sp,1,Azotobacter sp (274),274,274,4,CFU/ml (171) | CFU/g (78) | cfu/ml (21) | cfu/g (4)
zn-total,3,Zn-total (262) | Zn-Total (1) | zn-total (1),264,264,2,ppm (260) | % (3)
mn,1,Mn (261),261,261,2,% (180) | ppm (79)
pseudomonas sp,1,Pseudomonas sp (261),261,261,7,CFU/ml (165) | CFU/g (69) | cfu/ml (16) | cfu/g (8) | cfu/gram (1)
azospirillum sp,1,Azospirillum sp (240),240,240,8,CFU/ml (150) | CFU/g (65) | cfu/ml (15) | cfu/g (6) | CFU / ml (1)
b-total,1,B-total (236),236,236,2,ppm (235) | % (1)
trichoderma sp,1,Trichoderma sp (230),230,230,8,CFU/ml (111) | CFU/g (94) | cfu/ml (12) | cfu/g (7) | cfu/gram (3)
rhizobium sp,1,Rhizobium sp (216),216,215,8,CFU/ml (135) | CFU/g (60) | cfu/ml (13) | cfu/g (4) | CFU/gram (1)
mn-total,1,Mn-total (215),215,215,2,ppm (212) | % (3)
mo-total,1,Mo-total (203),203,203,1,ppm (203)
netralisasi (setara caco3),4,Netralisasi (setara CaCO3) (162) | Netralisasi (Setara CaCO3) (17) | Netralisasi (Setara CaCo3) (7) | Netralisasi (setara CaCo3) (1),187,187,2,% (186) | %) (1)
p2o5 total,2,P2O5 Total (95) | P2O5 total (89),184,184,1,% (184)
cu-total,1,Cu-total (168),168,168,2,ppm (167) | % (1)
p2o5 larut dalam asam sitrat 2%,5,P2O5 larut dalam asam sitrat 2% (93) | P2O5 Larut dalam asam sitrat 2% (54) | P2O5 larut dalam Asam Sitrat 2% (5) | P2O5 Larut dalam Asam Sitrat 2% (2) | P2O5 Larut Dalam Asam Sitrat 2% (1),155,155,2,% (154) | i % (1)
fe,1,Fe (149),149,149,2,% (132) | ppm (17)
b2o3,1,B2O3 (145),145,145,3,% (143) | %% (1) | ppm (1)
lactobacillus sp,1,Lactobacillus sp (130),130,130,4,CFU/ml (94) | CFU/g (22) | cfu/ml (13) | cfu/g (1)
streptomyces sp,1,Streptomyces sp (129),129,129,5,CFU/ml (72) | CFU/g (39) | cfu/ml (13) | cfu/g (4) | CFU/gram (1)
senyawa humat,1,Senyawa Humat (120),120,120,1,% (120)
natrium (na),1,Natrium (Na) (119),119,119,1,% (119)
netralisasi (setara dengan caco3),1,Netralisasi (setara dengan CaCO3) (114),114,114,1,% (114)
mo,1,Mo (109),109,109,2,ppm (65) | % (44)
sio2,1,SiO2 (108),108,108,1,% (108)
saccharomyces sp,1,Saccharomyces sp (105),105,105,3,CFU/ml (79) | CFU/g (16) | cfu/ml (10)
asam bebas sebagai h2so4,3,Asam bebas sebagai H2SO4 (88) | Asam Bebas Sebagai H2SO4 (3) | Asam Bebas sebagai H2SO4 (3),94,94,1,% (93)
cl,1,Cl (86),86,86,2,% (65) | ppm (20)
kehalusan lolos 80 mesh tyler,7,Kehalusan lolos 80 mesh Tyler (57) | Kehalusan lolos 80 Mesh Tyler (8) | Kehalusan lolos 80 mesh tyler (7) | Kehalusan Lolos 80 mesh Tyler (3) | kehalusan lolos 80 mesh tyler (2) | Kehalusan Lolos 80 Mesh Tyler (1) | Kehalusan lolos 80 Mesh tyler (1),79,78,1,% (79)
kehalusan lolos 25 mesh tyler,6,Kehalusan lolos 25 mesh Tyler (56) | Kehalusan lolos 25 Mesh Tyler (8) | Kehalusan lolos 25 mesh tyler (7) | Kehalusan Lolos 25 mesh Tyler (3) | kehalusan lolos 25 mesh tyler (2) | Kehalusan Lolos 25 Mesh Tyler (1),77,76,1,% (77)
kehalusan 60 mesh,2,Kehalusan 60 Mesh (72) | Kehalusan 60 mesh (2),74,74,1,% (74)
kelarutan dalam air,2,Kelarutan dalam air (69) | Kelarutan Dalam Air (1),70,70,1,% (70)
kalsium karbonat (caco3),2,Kalsium Karbonat (CaCO3) (60) | Kalsium karbonat (CaCO3) (8),68,68,1,% (68)
n-total,2,N-total (48) | N-Total (18),66,66,1,% (65)
kalsium oksida (cao),2,Kalsium Oksida (CaO) (61) | Kalsium oksida (CaO) (4),65,65,1,% (65)
kehalusan 8 mesh,2,Kehalusan 8 Mesh (62) | Kehalusan 8 mesh (3),65,65,1,% (65)
p2o5 larut dalam air,3,P2O5 larut dalam air (45) | P2O5 Larut dalam air (17) | P2O5 larut dalam Air (1),63,62,1,% (63)
kehalusan lolos 80 mesh,4,Kehalusan lolos 80 Mesh (37) | Kehalusan lolos 80 mesh (18) | Kehalusan Lolos 80 Mesh (5) | Kehalusan Lolos 80 mesh (1),61,61,1,% (61)
kehalusan lolos 25 mesh,5,Kehalusan lolos 25 Mesh (39) | Kehalusan lolos 25 mesh (14) | Kehalusan Lolos 25 Mesh (4) | Kehalusan Lolos 25 mesh (2) | kehalusan lolos 25 mesh (1),60,60,1,% (60)
asam bebas sebagai h3po4,2,Asam bebas sebagai H3PO4 (55) | asam bebas sebagai H3PO4 (2),57,57,1,% (57)
aspergillus sp,1,Aspergillus sp (54),54,54,4,CFU/g (28) | CFU/ml (20) | cfu/ml (4) | cfu/g (2)
p2o5-total,2,P2O5-total (42) | P2O5-Total (7),49,49,2,% (48) | % % (1)
k2o-total,2,K2O-total (42) | K2O-Total (6),48,48,1,% (48)
p2o5total,2,P2O5total (22) | P2O5Total (19),41,41,1,% (41)
perombak bahan organik,2,Perombak bahan organik (32) | Perombak Bahan Organik (4),36,36,2,CFU/ml (12) | CFU/g (6)
kehalusan 100 mesh,2,Kehalusan 100 Mesh (32) | Kehalusan 100 mesh (2),34,34,1,% (34)
n + p2o5+ k2o,1,N + P2O5+ K2O (33),33,33,1,% (33)
pseudomonas fluorescens,1,Pseudomonas fluorescens (33),33,33,4,CFU/ml (18) | CFU/g (12) | cfu/ml (2) | CFU. /ml (1)
na2o,1,Na2O (31),31,31,1,% (31)
so4,1,SO4 (31),31,31,2,% (30) | ppm (1)
trichoderma harzianum,2,Trichoderma harzianum (28) | Trichoderma Harzianum (3),31,31,4,CFU/ml (15) | CFU/g (14) | cfu/g (1) | cfu/ml (1)
penambat n,1,Penambat N (29),29,29,2,CFU/ml (15) | CFU/g (6)
k,1,K (28),28,28,1,% (28)
p2o5 larut asam sitrat 2%,4,P2O5 larut asam sitrat 2% (18) | P2O5 Larut asam sitrat 2% (7) | P2O5 Larut Asam Sitrat 2% (2) | P2O5 Larut Asam sitrat 2% (1),28,28,1,% (28)
asam bebas sebagai hcl,1,Asam bebas sebagai HCl (27),27,27,1,% (27)
pelarut p,1,Pelarut P (27),27,27,2,CFU/ml (15) | CFU/g (6)
kadar al2o3 + fe2o3,1,Kadar Al2O3 + Fe2O3 (26),26,26,1,% (26)
na,1,Na (24),24,24,2,ppm (20) | % (4)
nitrogen,1,Nitrogen (24),24,24,1,% (24)
p,1,P (23),23,23,1,% (23)
k₂o,1,K₂O (22),22,22,1,% (22)
al2o3+ fe2o3,2,Al2O3+ Fe2O3 (19) | AL2O3+ Fe2O3 (2),21,21,1,% (21)
aspergillus niger,2,Aspergillus niger (19) | Aspergillus Niger (2),21,21,3,CFU/ml (11) | CFU/g (9) | cfu/ml (1)
cd,1,Cd (20),20,20,3,ppm (15) | % (4) | %ppm (1)
kapasitas tukar kation (ktk),3,Kapasitas Tukar Kation (KTK) (17) | Kapasitas tukar kation (KTK) (2) | kapasitas Tukar Kation (KTK) (1),20,20,6,cmol.kg^-1 (15) | Cmol(+)/Kg (1) | cmol (+)/kg (1) | cmol (+)kg^-1 (1) | cmol(+)Kg^-1 (1)
mg,1,Mg (20),20,20,1,% (20)
asam bebas (sebagai hcl),2,Asam bebas (sebagai HCl) (16) | Asam Bebas (sebagai HCl) (3),19,19,1,% (19)
kadar zeolit,2,Kadar Zeolit (16) | Kadar zeolit (3),19,19,1,% (19)
p2o5larut dalam asam sitrat 2%,2,P2O5larut dalam asam sitrat 2% (11) | P2O5Larut dalam asam sitrat 2% (8),19,19,1,% (19)
penicillium sp,1,Penicillium sp (19),19,19,3,CFU/g (11) | CFU/ml (6) | cfu/g (2)
p₂o₅,1,P₂O₅ (19),19,19,1,% (19)
actinomycetes sp,1,Actinomycetes sp (18),18,18,4,CFU/ml (12) | CFU/g (3) | cfu/ml (2) | cfu/g (1)
bacillus subtilis,1,Bacillus subtilis (17),17,17,3,CFU/g (9) | CFU/ml (7) | x 107 CFU/g (1)
cuo,1,CuO (16),16,16,1,% (16)
daya netralisasi (dihitung setara caco3),2,Daya netralisasi (dihitung setara CaCO3) (15) | Daya Netralisasi (dihitung setara CaCO3) (1),16,16,1,% (16)
gliocladium sp,1,Gliocladium sp (16),16,16,3,CFU/g (11) | CFU/ml (4) | cfu/g (1)
jumlah propagul hidup,2,Jumlah propagul hidup (15) | Jumlah Propagul Hidup (1),16,16,6,CFU/g (8) | MPN/g (3) | propagul/g (2) | CFU/g^ (1) | CFU/gram (1)
kadar biuret,2,Kadar Biuret (8) | Kadar biuret (8),16,16,1,% (16)
pseudomonas flourescens,1,Pseudomonas flourescens (16),16,16,2,CFU/ml (9) | CFU/g (7)
zno,1,ZnO (16),16,16,1,% (16)
bahan yang tidak larut dalam air,3,Bahan yang tidak larut dalam air (12) | Bahan Yang Tidak Larut Dalam Air (1) | Bahan yang Tidak larut dalam air (1),14,14,1,% (14)
biuret,1,Biuret (14),14,14,1,% (14)
caco3,1,CaCO3 (14),14,14,1,% (14)
co,1,Co (14),14,14,1,% (14)
kadar silikat sebagai sio2,2,Kadar silikat sebagai SiO2 (11) | Kadar Silikat sebagai SiO2 (3),14,14,1,% (14)
alkali dan alkali tanah,3,Alkali dan alkali tanah (6) | Alkali dan Alkali Tanah (5) | Alkali dan Alkali tanah (1),12,12,1,% (12)
aspergilus niger,2,Aspergilus niger (11) | Aspergilus Niger (1),12,12,3,CFU/ml (7) | CFU/g (4) | cfu/g (1)
kadar belerang,2,Kadar Belerang (8) | Kadar belerang (4),12,12,1,% (12)
bacillus subtillis,2,Bacillus subtillis (10) | Bacillus Subtillis (1),11,11,4,CFU/g (7) | CFU/ml (2) | Cfu/g (1) | cfu/ml (1)
cytophaga sp,1,Cytophaga sp (11),11,11,3,CFU/ml (6) | CFU/g (3) | cfu/ml (2)
daya netralisasi (caco3),3,Daya Netralisasi (CaCO3) (8) | Daya netralisasi (CaCO3) (2) | Daya Netralisasi (CaCo3) (1),11,11,1,% (11)
n + p2o5 +k2o,1,N + P2O5 +K2O (11),11,11,1,% (11)
n+p2o5+k2o,1,N+P2O5+K2O (11),11,11,1,% (11)
fe total,2,Fe Total (5) | Fe total (5),10,10,1,ppm (10)
kadar air bebas,3,Kadar air bebas (5) | Kadar Air Bebas (4) | Kadar Air bebas (1),10,10,1,% (9)
kadar kalsium sebagai cao,1,Kadar kalsium sebagai CaO (10),10,10,1,% (10)
kadar magnesium sebagai mgo,1,Kadar magnesium sebagai MgO (10),10,10,1,% (10)
lactobacillus plantarum,1,Lactobacillus plantarum (10),10,10,2,CFU/ml (9) | CFU/g (1)
metarhizium sp,1,Metarhizium sp (10),10,10,3,CFU/g (7) | cfu/g (2) | CFU/ml (1)
p2o5 larut air,2,P2O5 larut air (8) | P2O5 Larut air (2),10,10,1,% (10)
actinomyces sp,1,Actinomyces sp (9),9,9,2,CFU/ml (7) | CFU/g (2)
beauveria bassiana,2,Beauveria bassiana (8) | Beauveria Bassiana (1),9,9,3,CFU/g (6) | cfu/g (2) | CFU/ml (1)
"butiran lolos ayakan 5 us mesh, tidak lolos ayakan 10 us mesh",2,"Butiran lolos ayakan 5 US Mesh, tidak lolos ayakan 10 US Mesh (8) | butiran lolos ayakan 5 US Mesh, tidak lolos ayakan 10 US Mesh (1)",9,9,1,% (9)
k2o - total,2,K2O - Total (5) | K2O - total (4),9,9,1,% (9)
kadar asam bebas sebagai h3po4,2,Kadar asam bebas sebagai H3PO4 (7) | Kadar Asam bebas sebagai H3PO4 (2),9,9,1,% (9)
nitrobacter sp,1,Nitrobacter sp (9),9,9,1,CFU/ml (9)
p2o5 larut dalam asam sitrat,3,P2O5 Larut dalam asam sitrat (5) | P2O5 larut dalam asam sitrat (3) | P2O5 Larut dalam Asam Sitrat (1),9,9,1,% (9)
trichoderma viridae,2,Trichoderma viridae (8) | Trichoderma Viridae (1),9,9,2,CFU/g (8) | cfu/g (1)
bacillus megaterium,2,Bacillus megaterium (7) | Bacillus Megaterium (1),8,8,2,CFU/g (6) | CFU/ml (2)
belerang,1,Belerang (8),8,8,1,% (8)
kadar silikat (sio2),2,Kadar Silikat (SiO2) (7) | Kadar silikat (SiO2) (1),8,8,1,% (8)
kehalusan (-10 + 48 mesh),1,Kehalusan (-10 + 48 Mesh) (8),8,8,1,% (8)
"butiran lolos ayakan us mesh 5, tidak lolos ayakan us mesh 10",2,"Butiran lolos ayakan US Mesh 5, tidak lolos ayakan US Mesh 10 (6) | Butiran lolos ayakan US mesh 5, tidak lolos ayakan US mesh 10 (1)",7,7,1,% (7)
c/n ratio,2,C/N ratio (4) | C/N Ratio (3),7,7,1,% (1)
daya netralisasi (setara caco3),3,Daya Netralisasi (setara CaCO3) (4) | Daya netralisasi (setara CaCO3) (2) | Daya netralisasi (Setara CaCo3) (1),7,7,1,% (7)
k20,1,K20 (7),7,7,1,% (7)
kadar nitrogen,2,Kadar Nitrogen (6) | Kadar nitrogen (1),7,7,1,% (7)
n - total,2,N - Total (4) | N - total (3),7,7,1,% (7)
na2zn edta,1,Na2Zn EDTA (7),7,7,1,% (7)
pantoea sp,1,Pantoea sp (7),7,7,1,CFU/g (7)
znso4,1,ZnSO4 (7),7,7,1,% (7)
as,1,As (6),6,6,2,ppm (5) | % (1)
aspergilus sp,1,Aspergilus sp (6),6,6,4,CFU/g (3) | CFU/ml (1) | cfu/g (1) | cfu/ml (1)
bradyrhizobium sp,1,Bradyrhizobium sp (6),6,6,4,CFU/g (3) | CFU/ml (1) | cfu/g (1) | x 106 CFU/g (1)
kehalusan -10 + 48 mesh,1,Kehalusan -10 + 48 Mesh (6),6,6,1,% (6)
n total,2,N Total (5) | N total (1),6,6,1,% (6)
na2cu edta,1,Na2Cu EDTA (6),6,6,1,% (6)
p2o5 - total,2,P2O5 - Total (5) | P2O5 - total (1),6,6,1,% (6)
paenibacillus polymyxa,1,Paenibacillus polymyxa (6),6,6,2,CFU/g (4) | CFU/ml (2)
te,1,TE (6),6,6,1,% (3)
total karbon grade a,1,Total karbon grade A (6),6,6,1,% (6)
acetobacter sp,1,Acetobacter sp (5),5,5,2,CFU/ml (4) | CFU/g (1)
bacillus pumilus,1,Bacillus pumilus (5),5,5,3,CFU/g (3) | CFU/ml (1) | cfu/ml (1)
bacillus thuringiensis,1,Bacillus thuringiensis (5),5,5,2,CFU/ml (4) | CFU/l (1)
boron,1,Boron (5),5,5,1,% (5)
ca,1,Ca (5),5,5,1,% (5)
kadar asam bebas (sebagai h3po4),1,Kadar asam bebas (sebagai H3PO4) (5),5,5,1,% (5)
kadar kalsium (cao),2,Kadar Kalsium (CaO) (4) | Kadar kalsium (CaO) (1),5,5,1,% (5)
"lolos ayakan 5 mesh, tidak lolos ayakan 10 mesh",4,"Lolos ayakan 5 Mesh, tidak lolos ayakan 10 Mesh (2) | Lolos Ayakan 5 Mesh, Tidak Lolos Ayakan 10 Mesh (1) | Lolos ayakan 5 mesh, tidak lolos ayakan 10 Mesh (1) | Lolos ayakan 5 mesh, tidak lolos ayakan 10 mesh (1)",5,5,1,% (5)
netralisasi (caco3),1,Netralisasi (CaCO3) (5),5,5,1,% (5)
nitrosomonas sp,1,Nitrosomonas sp (5),5,5,2,CFU/ml (4) | CFU/g (1)
p2o5 larut asam sitrat,3,P2O5 Larut asam sitrat (3) | P2O5 Larut Asam Sitrat (1) | P2O5 larut asam sitrat (1),5,5,1,% (5)
p2o5 larut dalam asam sitrat 2 %,2,P2O5 larut dalam asam sitrat 2 % (3) | P2O5 Larut dalam asam sitrat 2 % (2),5,5,1,% (5)
p2o5 larut dalam larutan asam sitrat 2%,2,P2O5 larut dalam larutan asam sitrat 2% (3) | P2O5 Larut dalam larutan asam sitrat 2% (2),5,5,1,% (5)
rhodopseudomonas sp,1,Rhodopseudomonas sp (5),5,5,3,CFU/ml (3) | CFU/g (1) | cfu/ml (1)
rhodovulum sp,1,Rhodovulum sp (5),5,5,3,CFU/ml (3) | CFU/g (1) | cfu/ml (1)
aeromonas punctata,1,Aeromonas punctata (4),4,4,2,CFU/g (2) | cfu/g (2)
asam humat,2,Asam Humat (2) | Asam humat (2),4,4,1,% (4)
h2so4,1,H2SO4 (4),4,4,1,% (4)
hg,1,Hg (4),4,4,2,ppm (3) | % (1)
kadar belerang (sebagai s),2,Kadar belerang (sebagai S) (3) | Kadar Belerang (sebagai S) (1),4,4,1,% (4)
kadar magnesium (mgo),2,Kadar Magnesium (MgO) (3) | Kadar magnesium (MgO) (1),4,4,1,% (4)
kalium,1,Kalium (4),4,4,1,% (4)
kelahusan 25 mesh,1,Kelahusan 25 Mesh (4),4,4,1,% (4)
kelahusan 60 mesh,1,Kelahusan 60 Mesh (4),4,4,1,% (4)
kelahusan 8 mesh,1,Kelahusan 8 Mesh (4),4,4,1,% (4)
kelahusan 80 mesh,1,Kelahusan 80 Mesh (4),4,4,1,% (4)
mn total,2,Mn total (3) | Mn Total (1),4,4,1,ppm (4)
p2o5larut asam sitrat 2%,1,P2O5larut asam sitrat 2% (4),4,4,1,% (4)
p2o5larut dalam air,2,P2O5larut dalam air (3) | P2O5Larut dalam air (1),4,4,1,% (4)
pembentuk bintil akar,1,Pembentuk bintil akar (4),4,4,0,
rhizobium,1,Rhizobium (4),4,4,2,CFU/ml (3) | cfu/ml (1)
rhizobium leguminosarum,1,Rhizobium leguminosarum (4),4,4,2,CFU/ml (3) | CFU/g (1)
so3,1,SO3 (4),4,4,1,% (4)
"ukuran 1,00 mm - 3,35 mm",1,"Ukuran 1,00 mm - 3,35 mm (4)",4,4,1,% (4)
acinetobacter sp,1,Acinetobacter sp (3),3,3,2,CFU/g (2) | cfu/ml (1)
actinomycetes,1,Actinomycetes (3),3,3,2,CFU/ml (2) | cfu/ml (1)
bacillus amyloliquefaciens,1,Bacillus amyloliquefaciens (3),3,3,1,CFU/g (3)
bacillus paralicheniformis,1,Bacillus paralicheniformis (3),3,3,1,CFU/ml (3)
bacillus velezensis,1,Bacillus velezensis (3),3,3,1,CFU/g (3)
bakteri penghasil eksopolisakarida,1,Bakteri penghasil Eksopolisakarida (3),3,3,1,CFU/g (3)
beauvaria bassiana,1,Beauvaria bassiana (3),3,3,1,CFU/g (3)
c/n rasio,2,C/N Rasio (2) | C/N rasio (1),3,3,1,% (1)
corynebacterium sp,1,Corynebacterium sp (3),3,3,2,CFU/ml (2) | cfu/ml (1)
cu total,2,Cu total (2) | Cu Total (1),3,3,1,ppm (3)
geobacillus thermocatenulatus,1,Geobacillus thermocatenulatus (3),3,3,3,CFU/g (1) | cfu/g (1) | x x10^7 CFU/g (1)
jumlah propagul hidup (endomikoriza arbuskular),1,Jumlah propagul hidup (Endomikoriza Arbuskular) (3),3,3,2,CFU/g (2) | propagul/g (1)
kada air,1,Kada air (3),3,3,1,% (3)
kadar asam bebas sebagai h2so4,2,Kadar Asam bebas sebagai H2SO4 (2) | Kadar asam bebas sebagai H2SO4 (1),3,3,1,% (2)
kehalusan 80 mesh tyler,2,Kehalusan 80 mesh Tyler (2) | Kehalusan 80 mesh tyler (1),3,3,1,% (3)
kehalusan mesh 25,2,Kehalusan mesh 25 (2) | Kehalusan Mesh 25 (1),3,3,1,% (3)
kehalusan mesh 80,2,Kehalusan mesh 80 (2) | Kehalusan Mesh 80 (1),3,3,1,% (3)
kemampuan menyerap air,1,Kemampuan Menyerap Air (3),3,3,1,kali berat kering (3)
"logam berat (dihitung sebagai pb), ppm",1,"Logam berat (dihitung sebagai Pb), ppm (3)",3,3,2,ppm (2) | % (1)
lolos 25 mesh,2,Lolos 25 Mesh (2) | lolos 25 mesh (1),3,3,1,% (3)
lolos 80 mesh,2,Lolos 80 Mesh (2) | lolos 80 mesh (1),3,3,1,% (3)
na2cu-edta,1,Na2Cu-EDTA (3),3,3,1,% (3)
p205,1,P205 (3),3,3,1,% (3)
p2o5 larut as sitrat 2%,2,P2O5 larut As Sitrat 2% (2) | P2O5 larut As sitrat 2% (1),3,3,1,% (3)
p2o5- total,1,P2O5- total (3),3,3,1,% (3)
pb,1,Pb (3),3,3,2,ppm (2) | % (1)
pseudomonas alcaligenes,1,Pseudomonas alcaligenes (3),3,3,3,CFU/g (1) | CFU/ml (1) | cfu/ml (1)
saccharomyces cerevisiae,1,Saccharomyces cerevisiae (3),3,3,2,CFU/ml (2) | CFU/g (1)
seng sulfat (znso4),1,Seng sulfat (ZnSO4) (3),3,3,1,% (3)
setara caco3,1,Setara CaCO3 (3),3,3,1,% (3)
stenotrophomonas sp,1,Stenotrophomonas sp (3),3,3,2,CFU/g (2) | CFU/ml (1)
streptomyces pseudogriseolus,1,Streptomyces pseudogriseolus (3),3,3,1,CFU/g (3)
total nitrogen,1,Total Nitrogen (3),3,3,1,% (3)
ukuran butir,2,Ukuran butir (2) | Ukuran Butir (1),3,3,1,% (3)
zn total,1,Zn total (3),3,3,1,ppm (3)
123,1,123 (2),2,2,0,
al2o3 +fe2o3,1,Al2O3 +Fe2O3 (2),2,2,1,% (2)
arsen (as),1,Arsen (As) (2),2,2,1,ppm (2)
"arsen, ppm",1,"Arsen, ppm (2)",2,2,1,ppm (2)
asam bebas (sebagai h2so4),2,Asam Bebas (sebagai H2SO4) (1) | Asam bebas (sebagai H2SO4) (1),2,2,1,% (2)
asam bebas h2so4,1,Asam bebas H2SO4 (2),2,2,1,% (2)
asam bebas sebagi h3po4,1,Asam bebas sebagi H3PO4 (2),2,2,1,% (2)
azospirillum lipoferum,1,Azospirillum lipoferum (2),2,2,1,CFU/g (2)
azospirilum sp,1,Azospirilum sp (2),2,2,1,CFU/ml (2)
b total,2,B Total (1) | B total (1),2,2,1,ppm (2)
bacillus brevis,1,Bacillus brevis (2),2,2,2,CFU/ml (1) | cfu/ml (1)
bacillus cereus,1,Bacillus cereus (2),2,2,1,CFU/g (2)
bacillus licheniformis,1,Bacillus licheniformis (2),2,2,1,CFU/g (2)
bacillus mycoides,1,Bacillus mycoides (2),2,2,2,CFU/ml (1) | cfu/ml (1)
belerang (sebagai s),1,Belerang (sebagai S) (2),2,2,1,% (2)
brodyrhizobium sp,1,Brodyrhizobium sp (2),2,2,1,CFU/ml (2)
"butir lolos ayakan us mesh 5, tidak lolos ayakan us mesh 10",1,"Butir lolos ayakan US Mesh 5, tidak lolos ayakan US Mesh 10 (2)",2,2,1,% (2)
"butiran lolos ayakan 5 mesh, tidak lolos ayakan 10 mesh",2,"Butiran lolos ayakan 5 Mesh, tidak lolos ayakan 10 Mesh (1) | Butiran lolos ayakan 5 mesh, tidak lolos ayakan 10 mesh (1)",2,2,1,% (2)
cu edta,1,Cu EDTA (2),2,2,1,% (2)
cuso4,1,CuSO4 (2),2,2,1,% (2)
daya net (setara caco3),1,Daya Net (setara CaCO3) (2),2,2,1,% (2)
fe edta,1,Fe EDTA (2),2,2,1,% (2)
fe tersedia,1,Fe Tersedia (2),2,2,1,ppm (2)
fe-edta,1,Fe-EDTA (2),2,2,1,% (2)
k2o5,1,K2O5 (2),2,2,1,% (2)
kadar asam bebas (hcl),2,Kadar Asam bebas (HCl) (1) | Kadar asam bebas (HCl) (1),2,2,1,% (2)
kadar belerang sebagai s,2,Kadar Belerang sebagai S (1) | Kadar belerang sebagai S (1),2,2,1,% (2)
kadar cao,1,Kadar CaO (2),2,2,1,% (2)
kadar fe2o3 dan al2o3,1,Kadar Fe2O3 dan Al2O3 (2),2,2,1,% (2)
kadar mgo,1,Kadar MgO (2),2,2,1,% (2)
kadar p larut asam sitrat 2% sebagai p2o5,1,Kadar P larut asam sitrat 2% sebagai P2O5 (2),2,2,1,% (2)
kadar p larut dalam asam sitrat 2% sebagai p2o5,1,Kadar P larut dalam asam sitrat 2% sebagai P2O5 (2),2,2,1,% (2)
kadar p2o5 total,2,Kadar P2O5 Total (1) | Kadar P2O5 total (1),2,2,1,% (2)
kadar silikat (sbg sio2),1,Kadar Silikat (sbg SiO2) (2),2,2,1,% (2)
kadarair,2,KadarAir (1) | Kadarair (1),2,2,1,% (2)
kalium (k2o),1,Kalium (K2O) (2),2,2,1,% (2)
karbon c-organik,1,Karbon C-organik (2),2,2,1,% (2)
kasium (cao),1,Kasium (CaO) (2),2,2,1,% (2)
kehalusan 200 mesh,1,Kehalusan 200 Mesh (2),2,2,1,% (2)
kehalusan 40 mesh,1,Kehalusan 40 Mesh (2),2,2,1,% (2)
kehalusan 50 mesh,1,Kehalusan 50 Mesh (2),2,2,1,% (2)
kehalusan lolos 20 mesh tyler,2,Kehalusan lolos 20 Mesh tyler (1) | Kehalusan lolos 20 mesh Tyler (1),2,2,1,% (2)
kehalusan lolos 80 meh tyler,1,Kehalusan Lolos 80 Meh Tyler (2),2,1,1,% (2)
kehalusan lolos mesh 25% tyler,1,Kehalusan lolos mesh 25% Tyler (2),2,2,1,% (2)
kehalusan lolos mesh 80% tyler,1,Kehalusan lolos mesh 80% Tyler (2),2,2,1,% (2)
