principal,total_pupuk,Hara Majemuk,Organik & Humat,Hayati,Hara Tunggal/An-organik,Pembenah Tanah/Amelioran,Makro-Mikro Campuran,Tidak Tercantum
PUPUT TANI MANDIRI,27,14,3,1,3,1,0,5
ABADI AGROSINDO PERSADA,27,19,0,0,3,0,0,5
DUPAN ANUGERAH LESTARI,26,26,0,0,0,0,0,0
NUSA PALAPA GEMILANG,26,24,0,0,1,0,0,1
PETROSIDA GRESIK,25,7,3,6,2,0,0,7
PUPUK KUJANG,25,19,2,2,2,0,0,0
PRIMA AGRO TECH,25,0,8,11,1,0,0,5
DYRIZ INDONESIA,25,12,0,0,0,0,0,13
DITYA CHEMINDO,25,11,1,0,0,0,0,13
AGRO TRADISI,24,0,0,0,18,0,0,6
JAVAMAS AGROPHOS,24,7,2,0,3,4,0,8
GREENLIFE BIOSCIENCE,23,1,9,13,0,0,0,0
AGRI TANIMAS SELARAS,23,10,0,0,10,0,0,3
HANAMPI SEJAHTERA KAHURIPAN,22,12,0,0,7,0,0,3
INDO ACIDATAMA,22,0,10,11,0,0,0,1
ANUGERAH PUPUK MAKMUR,20,20,0,0,0,0,0,0
TRUBUS PRIMA,20,5,10,1,1,1,0,2
KALATHAM,20,16,0,0,0,0,0,4
Perusahaan Perseroan (Persero) PT. Pupuk Indonesia,20,13,1,0,6,0,0,0
AGRO JAYA INDONESIA,20,2,11,0,3,2,0,2
YARA INDONESIA,20,10,2,0,2,0,0,6
SARI KRESNA KIMIA,19,15,1,1,1,0,0,1
KRISTALINDO KARUNIA INTERNASIONAL,19,1,12,2,0,0,0,4
MAXXI AGRI INDONESIA,19,10,2,0,4,0,0,3
PRIMAGRO PRIMA INDONESIA,18,9,0,0,0,3,0,6
ARTHA PRIMA HUMATINDO,18,0,18,0,0,0,0,0
ANUGERAH PUPUK LESTARI,18,18,0,0,0,0,0,0
AGRO BERJAYA NUSANTARA,18,15,0,0,0,0,0,3
LAKU AGUNG BAHAGIA INDONESIA,17,0,0,3,1,0,0,13
GOAUTAMA SINARBATUAH,17,5,0,0,10,2,0,0
AGINDA RIAU ABADI,17,13,0,0,0,0,0,4
MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,17,0,4,12,0,0,0,1
NUSA NUR AGRO,16,6,0,2,1,2,0,5
ECO AGRO MANDIRI,16,0,9,6,0,0,0,1
TAZAR GUNA MANDIRI,16,9,0,0,6,0,0,1
MESTIKA KARUNIA UTAMA,16,14,0,0,0,0,0,2
PETROKIMIA KAYAKU,16,5,2,9,0,0,0,0
CARLINDO SERASI ABADI,15,6,0,0,6,0,0,3
PT. Gemilang Eka Dharma,15,0,1,0,11,1,0,2
CV. Raja Grafika,15,4,3,0,0,4,0,4
ROLIMEX KIMIA NUSAMAS,15,0,0,0,13,0,0,2
ADIDAYA NIRBATAS,14,7,1,0,3,0,0,3
SINAR SURYA,14,0,6,4,0,1,0,3
SARAREA PANEN RAYA,14,4,1,0,1,0,1,7
AGRO NUSANTARA INDONESIA,14,4,2,0,4,3,0,1
CIPTO LANGGENG JOYO,13,7,2,0,1,2,0,1
SAFA AGROTEK INDONESIA,13,2,0,1,2,0,0,8
POLOWIJO GOSARI,13,6,2,0,0,3,0,2
SANTANI AGRO LESTARI,13,3,0,0,8,0,1,1
PT AGRI HIKAY INDONESIA,13,9,0,0,2,0,0,2
BUMI SUBUR SENTOSA,13,1,4,2,4,1,0,1
AGRI MANDIRI SEJAHTERA,13,0,2,0,9,0,0,2
AGRO NUSA INDAH,13,0,7,0,0,6,0,0
PT. AGRO AFIAT NUSANTARA,12,8,0,0,2,2,0,0
MULYO TANI MAKMUR,12,4,2,1,2,0,1,2
SABANG MAKMUR SENTOSA,12,7,0,0,5,0,0,0
PRIMA KARYA BERJAYA,12,6,0,0,6,0,0,0
HAMAS PANDJI INDONESIA,12,0,3,2,0,6,0,1
ASIA KIMINDO PRIMA,12,0,0,0,10,0,0,2
CENTRA BIOTECH INDONESIA,12,0,3,8,0,1,0,0
ANJARI ATHA TANAYA,12,8,2,2,0,0,0,0
MITRA MERDEKA TANI,12,0,3,1,0,1,1,6
MAKMUR JAYA ABADI,12,6,3,1,1,1,0,0
PROSPER BIOTECH INDONESIA,11,0,2,9,0,0,0,0
MITRA TANI ABADI JAYA,11,2,1,0,0,0,0,8
ARINDAMA NAWASENA AMERTA,11,2,4,0,0,0,1,4
CHEIL JEDANG INDONESIA,11,6,5,0,0,0,0,0
PT. HANAMPI SEJAHTERA KAHURIPAN,11,9,0,0,2,0,0,0
WAHANA PUNDIKARSA ABADI,11,3,5,1,1,0,1,0
SINAR GENERAL INDUSTRIES,11,7,0,0,3,0,0,1
MULTIDAYA PUTRA SEJAHTERA,11,5,3,2,1,0,0,0
PT. SOJITZ INDONESIA,11,11,0,0,0,0,0,0
AGRIVERE TRANSFORMA INTERNASIONAL,10,5,1,0,2,0,0,2
LABA INDOAGRO NUSANTARA,10,3,1,0,1,0,0,5
YAN UTAMA CORPORATION,10,6,0,0,3,1,0,0
GALATTA LESTARINDO,10,0,0,0,0,10,0,0
INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,10,0,1,8,0,0,0,1
TRIAGRO HIJRAH JAYA,10,2,3,1,0,0,0,4
SUMBER AGUNG JAYA,10,3,1,0,0,5,0,1
UTOMO UTOMO,10,0,2,7,0,0,0,1
ANUGERAH MUSTIKA OSTINDO,10,6,3,1,0,0,0,0
AGRO MULYA LESTARI,10,2,2,3,1,1,0,1
GREEN PLANET INDONESIA,10,0,9,1,0,0,0,0
BUMI INDO RAHARJA,10,0,1,0,4,5,0,0
LOTUS AGROKIMIA INDONESIA,10,10,0,0,0,0,0,0
TANAMAN MAKMUR MANDIRI,10,0,1,8,0,0,0,1
MITRA TANI ABADI,10,4,2,0,0,0,0,4
PUPUK SRIWIDJAJA PALEMBANG,10,6,0,1,1,0,0,2
DRAGON DISTRIBUSI INDONESIA,10,3,0,0,6,0,0,1
SCORLETS,10,5,3,1,0,0,0,1
KAYUAN INFARM INDONESIA,10,1,5,1,0,1,0,2
JATI EMAS UNGGUL,9,6,2,0,0,1,0,0
NATURAL NUSANTARA,9,0,8,1,0,0,0,0
BINA GUNA KIMIA,9,3,1,3,2,0,0,0
SMARTSOFT DIGITAL TEKNOLOGI,9,1,2,4,2,0,0,0
WELLS PRIMA GLOBAL,9,6,0,0,0,0,0,3
ECA TANI BAROKAH,9,6,1,0,0,0,0,2
EVERCHEM RESOURCES INDONESIA,9,4,0,0,0,0,1,4
AGRO PASTI INDONESIA,9,4,0,0,4,1,0,0
WASTEK AGRO INDONESIA,9,9,0,0,0,0,0,0
GEMAH RIPAH LOH JINAWI INDUSTRI,9,4,0,1,1,2,0,1
BINA AGROSIWI MANDIRI,9,2,4,3,0,0,0,0
FORMULA TOP INDONESIA,9,0,4,5,0,0,0,0
BIOSINDO MITRA JAYA,9,0,1,8,0,0,0,0
CV PLANET AGRONUSA,9,0,0,2,0,0,1,6
ADVANSIA INDOTANI,9,2,1,0,1,0,1,4
Agro Bumi Timur,8,5,1,0,0,0,2,0
AGRI HIKAY INDONESIA,8,3,0,0,2,0,0,3
BIO ENERGI RIMBA,8,0,4,2,0,1,0,1
SERUNIANDAL CITRA MANDIRI,8,0,4,4,0,0,0,0
PT. KARISMA INDOAGRO UNIVERSAL,8,3,1,2,1,0,0,1
PT. Sido Muncul Pupuk Nusantara,8,0,7,1,0,0,0,0
CIPTA GUNA MUKTI,8,1,0,0,0,2,0,5
SURYA CIPTA PERKASA YOGYAKARTA,8,1,0,0,0,2,0,5
ANDAFA AGRO INDO,8,2,2,0,0,0,1,3
MEGA ORGANOFERTILISER,8,0,4,4,0,0,0,0
MULIA SUKSES BAHAGIA,8,4,3,1,0,0,0,0
MITRA FINEX ANTARNUSA,8,1,5,0,1,0,0,1
BIO INDUSTRI NUSANTARA,8,0,1,6,0,0,0,1
SARASWANTI ANUGERAH INDONESIA,8,8,0,0,0,0,0,0
TUNAS AGRO PERSADA,8,0,6,2,0,0,0,0
MEGA PRIMATANI LESTARI,8,0,4,4,0,0,0,0
IMEXINDO NUSANTARA,8,7,0,0,0,0,0,1
MULTI HARA AGRO,8,3,0,0,3,0,1,1
SAFEEKO BIO INDONESIA,8,1,2,2,0,0,0,3
MITRA TANI INDONESIA,8,4,2,0,0,0,0,2
PERMATA NEGERI INDONESIA,8,1,2,0,0,5,0,0
PT. DAMAI AGRO MANUNGGAL,8,3,3,0,1,1,0,0
ULTI GROW NUSANTARA,8,8,0,0,0,0,0,0
POMAL BEKA MANDIRI,8,0,2,5,0,0,0,1
AGRO GUNA MAKMUR,8,6,1,0,0,0,0,1
AGRINDO PERSADATAMA,8,3,0,0,0,1,0,4
FERTA INDONESIA PERSADA,8,5,0,0,1,0,0,2
CAHAYA ABADI,7,5,0,0,1,1,0,0
TANIKAYA MULTI AGRO,7,4,1,1,0,1,0,0
DANA INDO AGRI,7,2,1,2,0,0,1,1
RUINS SARANA TANI,7,0,0,0,2,0,0,5
AGRICULTURE CONSTRUCTION,7,4,1,1,0,0,0,1
GRAHA SIRTU,7,0,3,3,0,0,0,1
TAPAL KOEDA INDONESIA,7,0,1,2,2,0,0,2
INDOIN BUSINESS GROUP,7,2,2,0,2,0,0,1
SAYAP EMAS CITRA PERSADA,7,4,1,0,2,0,0,0
MANO AGRI NUSANTARA,7,2,0,0,0,0,0,5
AZZA MULIA RAHMAN,7,3,1,0,2,1,0,0
BULINDO AGRO TEKNOLOGI,7,1,0,0,1,0,0,5
AGRO TANI MARISI,7,0,4,0,1,0,0,2
WEHA AGRO SEJAHTERA,7,5,1,0,1,0,0,0
SARI BUMI KEDU,7,1,2,0,0,0,1,3
EXINDO RAHARJA PRATAMA,7,0,6,0,0,0,0,1
PT Alam Makmur Anuri,7,1,2,3,0,1,0,0
FORMITRA MULTI PRAKARSA,7,5,0,0,1,1,0,0
ENPEKA AGROKIMIA,7,7,0,0,0,0,0,0
PT. Pemohon (DUMMY),7,0,0,2,1,3,0,1
PANCAPUTRA AGRO NIAGA,7,1,3,0,0,0,2,1
MULYO TANI MAKMUR,7,3,2,0,0,0,0,2
SURYA ARTHA SENTOSA,7,3,0,0,1,3,0,0
POLARCHEM,7,5,0,0,1,0,0,1
SARASWANTI AGRO MAKMUR,7,5,0,0,2,0,0,0
MESTIKA NUSANTARA AGROKIMIA,7,5,0,0,0,1,0,1
BROMO INDAH LESTARI,6,2,3,0,0,0,0,1
SINERGI INTI PANEN,6,1,0,0,5,0,0,0
KARYA TANI INDONESIA,6,1,2,0,2,1,0,0
NOUSINDO NUSANTARA AGRI,6,4,0,1,0,0,0,1
LAUTAN LUAS,6,0,1,0,3,0,0,2
FARMINDO ANN CHEMICAL,6,2,1,0,2,0,0,1
BANDUNG INOVASI ORGANIK,6,0,4,2,0,0,0,0
AGROTECH PESTICIDE INDUSTRY,6,6,0,0,0,0,0,0
BANGKIT TANI NUSANTARA,6,0,3,0,0,0,0,3
CEMPAKA BUMI NUSANTARA,6,0,2,3,0,0,0,1
MANUNGGAL AGRO TANI,6,4,1,0,1,0,0,0
STANLEY AGRO NUSANTARA,6,6,0,0,0,0,0,0
ADITYA TANI PERKASA,6,6,0,0,0,0,0,0
SUMBER SUBUR SEJATI,6,6,0,0,0,0,0,0
PT. ECO AGRO MANDIRI,6,0,4,2,0,0,0,0
BESTANI AGRO SEJAHTERA,6,1,0,0,0,0,2,3
ARSISTHA KIMIA CITRA LESTARI,6,6,0,0,0,0,0,0
PT. WILMAR CHEMICAL INDONESIA,6,1,0,0,3,0,0,2
TOYA INDO MANUNGGAL,6,0,0,0,4,0,0,2
REDSTONE INDONESIA MAKMUR,6,0,0,0,5,0,0,1
RAJAWALI BUANA KREASI,6,3,0,0,3,0,0,0
CENTRA AGRO PRATAMA,6,1,0,0,0,5,0,0
NOVIE AGRO INDUSTRI,6,0,1,1,1,2,0,1
BUMI TANI SUBUR,6,0,0,0,5,0,0,1
MULTIFARM INTI SEJAHTERA,6,2,2,0,1,1,0,0
PT. CIPTA AGRIFARMERINDO,6,0,3,1,1,1,0,0
INDUSTRI KEBUN NUSANTARA,6,3,1,0,1,1,0,0
SENTRA TANI SEJAHTERA,6,0,2,0,0,1,1,2
GREAT GIANT PINEAPPLE,6,0,1,5,0,0,0,0
SUMBER MURNI GRUP,6,2,0,0,1,2,0,1
ALIF RAYA,6,6,0,0,0,0,0,0
SINKA SINYE AGROTAMA,6,1,5,0,0,0,0,0
SUMBER ALAM BAROKAH,6,0,1,5,0,0,0,0
AJINOMOTO INDONESIA,6,3,3,0,0,0,0,0
EUREEKAGREAT NUSANTARA,6,0,0,1,0,0,0,5
WINNERS AVENUE SURABAYA,6,6,0,0,0,0,0,0
BOMA SAKTI TANI,6,5,0,1,0,0,0,0
PT. SHADANI INSAN MULIA ABADI,6,1,2,0,1,0,0,2
MZ MEDICAL,6,5,0,0,0,1,0,0
STEFES INDONESIA,6,1,1,0,0,0,0,4
PT. Agritek Tani Indonesia,6,0,5,1,0,0,0,0
ALL COSMOS INDONESIA,6,3,2,0,0,0,0,1
AGSPEC INDONESIA,5,0,3,0,0,0,0,2
GATEWAY INTERNUSA,5,0,3,2,0,0,0,0
GREEN AGRI INDONESIA,5,0,4,1,0,0,0,0
AGRO INSANI SEMESTA,5,0,0,1,0,0,0,4
AGRITAMA TUMBUH PERKASA,5,0,1,1,0,0,0,3
RAJA ARTHA AGRO,5,2,2,0,0,1,0,0
CV. Sumber Buana Perkasa,5,0,2,3,0,0,0,0
MON LEON INDONESIA,5,0,2,1,0,0,0,2
AGRO MAKMUR MANDIRI,5,0,2,0,0,1,0,2
DHARMA GUNA WIBAWA,5,3,2,0,0,0,0,0
PUPUK SWADAYA PURIMAS,5,5,0,0,0,0,0,0
PRADIPTA PARAMITA,5,0,3,2,0,0,0,0
BINTANG TIMUR PASIFIK,5,0,0,0,2,3,0,0
PT. Agro Indah Permata,5,1,3,0,0,1,0,0
ALL COSMOS BIOTEK,5,5,0,0,0,0,0,0
ATS INTI SAMPOERNA,5,5,0,0,0,0,0,0
ELIT SOLUSI NIAGA,5,3,0,0,0,0,0,2
MITRA AGUNG SAWITA SEJATI,5,1,3,1,0,0,0,0
PT. IRQ MAKMUR JAYA,5,1,0,0,0,4,0,0
BUMI NUSANTARA,5,2,0,0,1,2,0,0
AGRO NUSANTARA INTERNASIONAL,5,1,0,0,2,0,0,2
PT. Andalan Chemist Indonesia,5,2,0,0,3,0,0,0
BAKTI ALAM NUSANTARA,5,0,1,3,0,0,0,1
CV. Tiga Tunas Bangsa,5,1,0,0,0,0,0,4
PT.Antariksa Nusantara Indonesia Group,5,2,1,0,1,1,0,0
PUPUK ISKANDAR MUDA,5,3,0,0,2,0,0,0
DWIAGRI MAKMUR INTERTRADE,5,1,1,0,0,0,0,3
PT. Bumi Subur Sentosa,5,0,1,0,3,1,0,0
MOLINDO RAYA INDUSTRIAL,5,2,3,0,0,0,0,0
RABANA AGRO RESOURCES,5,0,0,0,0,0,0,5
PT.GEMILANG ANDALAN PRATAMA,5,0,0,0,4,0,0,1
PROPADU KONAIR TARAHUBUN,5,1,1,2,0,0,0,1
PT. Sumber Agrindo Sejahtera,5,2,0,0,1,0,0,2
MILLENIS MITRA INDONESIA,5,1,0,0,4,0,0,0
PT. KUSUMA DIPA NUGRAHA,5,4,0,0,1,0,0,0
PUTERA RAYA ABADI,5,2,2,1,0,0,0,0
BINTANG ASRI ARTHAULI,5,2,1,2,0,0,0,0
DWI JAYA EKAPRIMA,5,2,0,0,1,2,0,0
UD. Makmur Jaya,5,0,0,0,0,4,0,1
BUMIKITA MAKMUR,5,1,2,0,0,0,1,1
DMG PHARMA LABORATORIES,5,1,1,0,0,0,0,3
WIKA JAYA MANDIRI,5,4,0,0,0,1,0,0
FEMU ENVIRO RISORINDO,5,0,3,1,0,1,0,0
GRESIK CIPTA SEJAHTERA,5,0,3,0,2,0,0,0
BERKAT MITRA MAKMUR,5,0,3,0,1,0,0,1
PT. Triasindo Subur Prima,5,0,0,2,0,1,0,2
AGROLAND MANDIRI UTAMA,5,1,1,0,0,0,0,3
MANO AGRI NUSANTARA,5,1,1,0,1,0,1,1
SINAR EMPAT PILAR UTAMA,4,0,0,0,0,3,0,1
LINTANG MAS AGRO,4,1,0,0,0,0,0,3
GEMA TANI ETAM,4,0,3,1,0,0,0,0
SEA SIX ENERGY INDONESIA,4,0,0,0,0,0,0,4
CV. Bima Agung Sejahtera,4,0,3,1,0,0,0,0
DELTA GIRI WACANA,4,1,1,0,1,0,0,1
NUSA TANI,4,4,0,0,0,0,0,0
RISET PERKEBUNAN NUSANTARA,4,2,1,1,0,0,0,0
SEMESTA AGRO MAKMUR,4,2,1,0,0,0,0,1
CV. Sumber Agung Jaya,4,1,0,0,0,3,0,0
NICO MANDIRI SEJAHTERA,4,2,0,0,0,2,0,0
TUNAS HARMONI ABADI,4,0,3,1,0,0,0,0
UNITED ALACRITY INDONESIA,4,0,2,2,0,0,0,0
PT. Super Tani Indonesia,4,2,2,0,0,0,0,0
GLOBAL MANTEP LESTARI,4,0,1,2,0,0,1,0
TANINDO TETAP JAYA,4,2,0,0,2,0,0,0
ZENITH CROPSCIENCES INDONESIA,4,0,0,0,0,0,0,4
SEJUK ALAM LESTARI,4,2,1,1,0,0,0,0
KERTO KENCANA ABADI,4,3,0,0,1,0,0,0
MISSION TANI,4,0,4,0,0,0,0,0
PT INDMIRA,4,0,4,0,0,0,0,0
MANDIRI DUASATU,4,0,3,1,0,0,0,0
SAKURA FISHERIES,4,2,2,0,0,0,0,0
ESTU SEBA AGRINUSA,4,0,1,0,0,0,0,3
CEVE SINAR ARAS,4,0,1,2,0,1,0,0
ALAM HIJAU,4,1,1,0,0,2,0,0
OAT MITOKU AGRIO,4,2,0,0,0,0,0,2
REZEKI BERSAMA INDONESIA,4,1,0,0,2,0,1,0
HABDHI NEGORO MANDIRI,4,0,4,0,0,0,0,0
SOBAT TANI,4,0,0,0,1,0,0,3
PT.CENTRAL ALAM RESOURCES LESTARI,4,0,1,2,0,0,0,1
AGRO NATURAL TECHNOLOGY,4,0,2,2,0,0,0,0
SINAR MAS MALAKA,4,2,0,0,1,1,0,0
UPL INDONESIA,4,0,0,1,0,0,0,3
TUNAS FOREST GEMILANG,4,0,0,0,0,4,0,0
POSPORINDO NUSANTARA,4,2,0,0,1,0,0,1
DUTA LIMAS,4,0,2,0,0,2,0,0
ALAM SEMESTA INDONESIA,4,0,0,0,0,0,0,4
JAYA TANI,4,1,0,0,1,2,0,0
PRIMA AGRO NETWORK,4,1,0,0,0,0,0,3
PUTRA HAKA PERKASA,4,2,0,0,0,2,0,0
ANDI JAYA INDUSTRI,4,2,0,0,1,1,0,0
AGRO UNGGUL JAYAMAKMUR,4,3,0,0,0,0,0,1
CV MAKMUR ABADI,4,1,0,0,0,0,0,3
SARIMAKMUR SULTAN NUSANTARA,4,0,3,1,0,0,0,0
MANUNGGAL MERDEKA MAKMUR,4,0,2,1,0,0,0,1
BHADRA CEMERLANG,4,3,0,1,0,0,0,0
PT. DELAPAN ENAM BERLIAN,4,0,2,1,0,1,0,0
AGRO ZYM JAYA,4,3,0,0,1,0,0,0
MANDIRI PALMERA AGRINDO,4,1,2,1,0,0,0,0
PT. CEVE SINAR ARAS,4,0,1,3,0,0,0,0
CV. INTI TANI MAKMUR,4,1,0,0,0,2,0,1
SUBUR PERKASA NUSANTARA,4,2,0,0,1,0,1,0
CV. Cahaya Agro Persada,4,2,0,0,0,0,0,2
CV. TUMBUH BERKEMBANG SEJAHTERA,4,0,4,0,0,0,0,0
DELIMA MANDALA SURYA,4,1,0,2,0,0,0,1
KARUNIA NIAGA SEJAHTERA,4,0,2,2,0,0,0,0
KERINA MARGA PLANTATION,4,0,1,2,0,0,0,1
NITIS PUSAKA KUSUMA,4,0,0,0,0,4,0,0
BISATANI SUKSES UTAMA,4,0,2,1,0,0,0,1
PT TRI TUNGGAL ABADI MULIA,4,1,0,0,3,0,0,0
CV. KUJANG MAS AGRO KENCANA,4,1,0,1,0,0,0,2
NIVIDIA PRATAMA KHATULISTIWA,4,3,0,0,0,1,0,0
ALFA BETA AGROCHEMICAL,4,0,3,0,1,0,0,0
TIMURAYA TUNGGAL,4,0,0,0,3,0,0,1
AGRO INDAH PERMATA 21,4,0,1,3,0,0,0,0
BUMI GEMILANG ARTHA,4,3,0,0,1,0,0,0
PUPUK LAPAN HARSA,3,3,0,0,0,0,0,0
DUA POHON BESAR,3,2,0,0,0,0,1,0
HYDRO FARM INDONESIA,3,0,1,1,0,0,0,1
PUPUK PARIT KITANG,3,3,0,0,0,0,0,0
PT. SOLUSI LINGKUNGAN INDUSTRI NUSANTARA,3,0,2,1,0,0,0,0
CV. Karya Tani Indonesia,3,1,0,0,2,0,0,0
AGROMAX MAKMUR SEKAWAN,3,0,0,0,3,0,0,0
CATUR AGRODAYA MANDIRI,3,0,0,0,0,0,0,3
PT Agrimas Utama Indonesia,3,1,0,0,1,1,0,0
ANKEWA CHEMICAL INDONESIA,3,2,0,1,0,0,0,0
NOVACHEM ADAMANTINA,3,0,0,0,2,0,0,1
INDOFAST AGRO NUSANTARA,3,0,3,0,0,0,0,0
NUGEN CROP INDONESIA,3,2,0,0,0,1,0,0
PT. PERINTIS NIAGA INDONESIA,3,0,0,0,3,0,0,0
RUCI TANI JAYA ABADI,3,2,0,0,1,0,0,0
FERTILINDO AGROLESTARI,3,1,2,0,0,0,0,0
SUBUR MAKMUR SEJAHTERA,3,0,1,0,2,0,0,0
ANARD BUMI SENTOSA,3,0,2,1,0,0,0,0
JASA TAMBANG ACEH,3,0,1,0,0,0,0,2
PT RENER INTI INTERNASIONAL,3,0,3,0,0,0,0,0
GUNUNG BERKAT SEJAHTERA,3,0,0,0,0,3,0,0
CV. Makmur Sembada,3,0,3,0,0,0,0,0
SURYA MENTARI SAKTINDO,3,0,0,0,0,3,0,0
ANGPUTRA GLOBAL ORGANIK,3,0,3,0,0,0,0,0
INDO BAY BIO,3,0,0,3,0,0,0,0
PT. SERA AGRO NUTRINDO,3,0,1,1,0,0,0,1
REKATANI INDONESIA,3,0,1,2,0,0,0,0
BUMI IMPERIUM INDONESIA,3,0,0,0,3,0,0,0
PRIMA TANI MANDIRI,3,1,0,0,1,1,0,0
SARANA GLOBAL PHOSPHORINDO,3,1,0,0,0,2,0,0
KURNIA MAS,3,1,0,0,0,2,0,0
NATHANI INDONESIA,3,0,1,0,0,0,0,2
AGRI PRIME INTERNATIONAL,3,3,0,0,0,0,0,0
BUMI REKAYASA PERSADA,3,3,0,0,0,0,0,0
MAGNESIUM GOSARI INTERNASIONAL,3,0,0,0,1,2,0,0
HIKMAH TANI,3,3,0,0,0,0,0,0
JENAWI SUBURINDO REJEKI,3,2,1,0,0,0,0,0
RAJAWALI CITRA ALAM,3,3,0,0,0,0,0,0
CV.TABITA JAYA,3,1,0,0,0,0,0,2
CHEMSTAR AGRO INDONESIA,3,0,2,1,0,0,0,0
SULTAN ISKANDAR MUDA,3,2,0,0,1,0,0,0
RUHISA PERSADA,3,3,0,0,0,0,0,0
TIGA UNGGUL SEJAHTERA,3,1,1,0,0,1,0,0
INDO ACIDATAMA,3,0,1,2,0,0,0,0
LAMPOKO TERNAK INDONESIA,3,0,3,0,0,0,0,0
NEO SINAR MEDAN,3,0,0,0,1,1,0,1
NEO CROP SOLUTIONS,3,0,0,0,0,0,0,3
DELTA CHEMICA,3,1,0,0,0,0,0,2
KAKIMAS PRIMA PERKASA,3,0,0,0,1,2,0,0
WONDERINDO PHARMATAMA,3,0,0,0,0,0,0,3
MULTI ALAM RAYA SEJAHTERAA,3,2,0,0,1,0,0,0
MITRA AGRO SENTOSA,3,1,2,0,0,0,0,0
AGRIBISNIS TECHNOLOGY INDONESIA,3,0,2,0,0,1,0,0
PT. NUSANTARA AGRO TAMA,3,0,0,0,2,0,0,1
SELARAS ALAM SEJAHTERA,3,0,3,0,0,0,0,0
BAROKAH PRIMA TANI,3,2,0,0,1,0,0,0
SUMBER ALAM UNGGUL,3,0,2,1,0,0,0,0
CV AGRO PERSADA,3,0,0,3,0,0,0,0
BUNGA TANI,3,0,0,0,0,0,0,3
BUMI PERSADA SIDAYU,3,2,0,0,0,1,0,0
ASIA MIKRO PUPUK,3,0,0,0,2,0,0,1
KUSUMA DIPA NUGRAHA,3,1,0,0,2,0,0,0
SUTERA AGRINDO UTAMA,3,0,1,0,1,1,0,0
CV Arisna Jaya,3,0,0,0,1,0,0,2
PT. JASINDO KREASI MANDIRI,3,0,1,2,0,0,0,0
SANG HYANG SERI,3,0,2,0,1,0,0,0
SARI BUMI SIDAYU,3,0,0,0,0,3,0,0
ARICTON EXIM INDONESIA,3,0,0,0,1,2,0,0
WIRAPUTRA AGRO MANDIRI,3,1,1,0,0,0,0,1
ARTHA MAKMUR ABADI,3,1,0,1,1,0,0,0
AGRITAMA PRIMA MANDIRI,3,0,0,0,0,0,0,3
BINGEI AGUNG,3,1,0,0,1,0,0,1
PRIMA BERKAH NUSANTARA,3,1,0,1,0,0,0,1
ARENA HORMON INDONUSA,3,1,1,1,0,0,0,0
INTI MIKRO INDONESIA,3,0,0,0,2,0,0,1
BASISCROP INDONESIA,3,0,2,1,0,0,0,0
REJEKI INDAH MANDIRI,3,0,3,0,0,0,0,0
TANGGUH AGRO NUSA INDONESIA,3,1,1,0,0,0,0,1
PT.MITRA CIPTA AGRO,3,0,0,0,2,0,0,1
KENSO INDONESIA,3,0,2,0,0,0,0,1
PINAGO UTAMA,3,0,3,0,0,0,0,0
NUSANTARA GREEN LAND,3,1,1,0,1,0,0,0
AGRO RAYA TIMUR GROUP,3,2,0,0,0,1,0,0
