nomor_pendaftaran,produk_id,merk_dagang,pemegang_pendaftaran,jenis_pupuk,bentuk_formula,urutan,parameter,parameter_kunci,nilai_teks,jenis_nilai,kualifier,nilai_min,nilai_maks,pengali,satuan,catatan
02.02.2025.15,op:prd:00010008,MAHITAMIRA,MAHITALA MIRA INDONESIA,Pupuk Organik,Cair (Liquid),4,pH,ph,"4,9",numerik,,4.9,4.9,,,
02.02.2025.15,op:prd:00010008,MAHITAMIRA,MAHITALA MIRA INDONESIA,Pupuk Organik,Cair (Liquid),5,Fe-total,fe-total,"142,97 ppm",numerik,,142.97,142.97,,ppm,
02.02.2025.15,op:prd:00010008,MAHITAMIRA,MAHITALA MIRA INDONESIA,Pupuk Organik,Cair (Liquid),6,B-total,b-total,"41,77 ppm",numerik,,41.77,41.77,,ppm,
02.02.2025.15,op:prd:00010008,MAHITAMIRA,MAHITALA MIRA INDONESIA,Pupuk Organik,Cair (Liquid),7,Mo-total,mo-total,"9,07 ppm",numerik,,9.07,9.07,,ppm,
01.01.2021.536,op:prd:00010009,PUPINDO,DUPAN ANUGERAH LESTARI,Pupuk Hara Makro Majemuk,Butiran (Granular),1,N,n,16%,numerik,,16,16,,%,
01.01.2021.536,op:prd:00010009,PUPINDO,DUPAN ANUGERAH LESTARI,Pupuk Hara Makro Majemuk,Butiran (Granular),2,P2O5,p2o5,16%,numerik,,16,16,,%,
01.01.2021.536,op:prd:00010009,PUPINDO,DUPAN ANUGERAH LESTARI,Pupuk Hara Makro Majemuk,Butiran (Granular),3,K2O,k2o,16%,numerik,,16,16,,%,
01.01.2021.536,op:prd:00010009,PUPINDO,DUPAN ANUGERAH LESTARI,Pupuk Hara Makro Majemuk,Butiran (Granular),4,Kadar air,kadar air,"0,99%",numerik,,0.99,0.99,,%,
01.01.2025.677,op:prd:00010010,BILLIZER,BROMO INDAH LESTARI,,Butiran (Granular),1,P2O5total,p2o5total,20%,numerik,,20,20,,%,
01.01.2025.677,op:prd:00010010,BILLIZER,BROMO INDAH LESTARI,,Butiran (Granular),2,P2O5larut dalam asam sitrat 2%,p2o5larut dalam asam sitrat 2%,"11,53%",numerik,,11.53,11.53,,%,
01.01.2025.677,op:prd:00010010,BILLIZER,BROMO INDAH LESTARI,,Butiran (Granular),3,B,b,457 ppm,numerik,,457,457,,ppm,
01.01.2025.677,op:prd:00010010,BILLIZER,BROMO INDAH LESTARI,,Butiran (Granular),4,Kadar air,kadar air,"2,95%",numerik,,2.95,2.95,,%,
01.05.2025.909,op:prd:00010011,SAMA-COR,SAMAWA AGRO PERSADA,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",Prill,1,N,n,"17,26%",numerik,,17.26,17.26,,%,
01.05.2025.909,op:prd:00010011,SAMA-COR,SAMAWA AGRO PERSADA,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",Prill,2,P2O5,p2o5,"14,39%",numerik,,14.39,14.39,,%,
01.05.2025.909,op:prd:00010011,SAMA-COR,SAMAWA AGRO PERSADA,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",Prill,3,CaO,cao,"22,78%",numerik,,22.78,22.78,,%,
01.05.2025.909,op:prd:00010011,SAMA-COR,SAMAWA AGRO PERSADA,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",Prill,4,MgO,mgo,"24,69%",numerik,,24.69,24.69,,%,
01.05.2025.909,op:prd:00010011,SAMA-COR,SAMAWA AGRO PERSADA,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",Prill,5,Kadar Biuret,kadar biuret,"1,47%",numerik,,1.47,1.47,,%,
01.05.2025.909,op:prd:00010011,SAMA-COR,SAMAWA AGRO PERSADA,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",Prill,6,Kadar P larut asam sitrat 2% sebagai P2O5,kadar p larut asam sitrat 2% sebagai p2o5,"14,17%",numerik,,14.17,14.17,,%,
01.05.2025.909,op:prd:00010011,SAMA-COR,SAMAWA AGRO PERSADA,"Pupuk Campuran (Hara Makro, Hara Mikro dan Hara benefisial)",Prill,7,Kadar air,kadar air,"0,33%",numerik,,0.33,0.33,,%,
01.03.2025.874,op:prd:00010012,LIBREL,BASF DISTRIBUTION INDONESIA,Pupuk Hara Mikro Tunggal,Tepung (Powder),1,Na2Zn EDTA,na2zn edta,"13,71%",numerik,,13.71,13.71,,%,
01.03.2025.874,op:prd:00010012,LIBREL,BASF DISTRIBUTION INDONESIA,Pupuk Hara Mikro Tunggal,Tepung (Powder),2,Kadar air,kadar air,"1,98%",numerik,,1.98,1.98,,%,
01.03.2025.847,op:prd:00010013,LOONGZOU,SASCO INDONESIA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),1,P2O5 Total,p2o5 total,28%,numerik,,28,28,,%,
01.03.2025.847,op:prd:00010013,LOONGZOU,SASCO INDONESIA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),2,P2O5 Larut dalam asam sitrat 2%,p2o5 larut dalam asam sitrat 2%,19%,numerik,,19,19,,%,
01.03.2025.847,op:prd:00010013,LOONGZOU,SASCO INDONESIA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),3,Kehaluasan lolos 80 mesh Tyler,kehaluasan lolos 80 mesh tyler,51%,numerik,,51,51,,%,
01.03.2025.847,op:prd:00010013,LOONGZOU,SASCO INDONESIA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),4,Kehaluasan lolos 25 mesh Tyler,kehaluasan lolos 25 mesh tyler,87%,numerik,,87,87,,%,
01.03.2025.847,op:prd:00010013,LOONGZOU,SASCO INDONESIA,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),5,Kadar air,kadar air,"4,83%",numerik,,4.83,4.83,,%,
01.01.2026.550,op:prd:00010014,PELANGI,PUPUK KALIMANTAN TIMUR,Pupuk Hara Makro Majemuk,Butiran (Granular),1,N,n,13%,numerik,,13,13,,%,
01.01.2026.550,op:prd:00010014,PELANGI,PUPUK KALIMANTAN TIMUR,Pupuk Hara Makro Majemuk,Butiran (Granular),2,P2O5,p2o5,6%,numerik,,6,6,,%,
01.01.2026.550,op:prd:00010014,PELANGI,PUPUK KALIMANTAN TIMUR,Pupuk Hara Makro Majemuk,Butiran (Granular),3,K2O,k2o,27%,numerik,,27,27,,%,
01.01.2026.550,op:prd:00010014,PELANGI,PUPUK KALIMANTAN TIMUR,Pupuk Hara Makro Majemuk,Butiran (Granular),4,Kadar air,kadar air,"1,59%",numerik,,1.59,1.59,,%,
01.02.2024.566,op:prd:00010015,VITAGRO,FERTILIZER INTI TECHNOLOGY,,Cair (Liquid),1,N,n,11%,numerik,,11,11,,%,
01.02.2024.566,op:prd:00010015,VITAGRO,FERTILIZER INTI TECHNOLOGY,,Cair (Liquid),2,P2O5,p2o5,8%,numerik,,8,8,,%,
01.02.2024.566,op:prd:00010015,VITAGRO,FERTILIZER INTI TECHNOLOGY,,Cair (Liquid),3,K2O,k2o,6%,numerik,,6,6,,%,
01.02.2024.566,op:prd:00010015,VITAGRO,FERTILIZER INTI TECHNOLOGY,,Cair (Liquid),4,Fe,fe,1%,numerik,,1,1,,%,
01.02.2024.566,op:prd:00010015,VITAGRO,FERTILIZER INTI TECHNOLOGY,,Cair (Liquid),5,Cu,cu,"0,3%",numerik,,0.3,0.3,,%,
02.02.2025.475,op:prd:00010016,PROCROP,STELLAR AGRI INDONESIA,Pupuk Organik,Cair (Liquid),1,C-organik,c-organik,23.96 %,numerik,,23.96,23.96,,%,
02.02.2025.475,op:prd:00010016,PROCROP,STELLAR AGRI INDONESIA,Pupuk Organik,Cair (Liquid),2,N + P2O5+ K2O,n + p2o5+ k2o,"4,61 %",numerik,,4.61,4.61,,%,
02.02.2025.475,op:prd:00010016,PROCROP,STELLAR AGRI INDONESIA,Pupuk Organik,Cair (Liquid),3,N-organik,n-organik,"1,39 %",numerik,,1.39,1.39,,%,
02.02.2025.475,op:prd:00010016,PROCROP,STELLAR AGRI INDONESIA,Pupuk Organik,Cair (Liquid),4,pH,ph,"4,4",numerik,,4.4,4.4,,,
02.02.2025.475,op:prd:00010016,PROCROP,STELLAR AGRI INDONESIA,Pupuk Organik,Cair (Liquid),5,Fe-Total,fe-total,"150,21 ppm",numerik,,150.21,150.21,,ppm,
02.02.2025.475,op:prd:00010016,PROCROP,STELLAR AGRI INDONESIA,Pupuk Organik,Cair (Liquid),6,Zn,zn,"233,64 ppm",numerik,,233.64,233.64,,ppm,
02.02.2025.475,op:prd:00010016,PROCROP,STELLAR AGRI INDONESIA,Pupuk Organik,Cair (Liquid),7,B,b,"125,65 ppm",numerik,,125.65,125.65,,ppm,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),1,C-organik,c-organik,"24,53 %",numerik,,24.53,24.53,,%,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),2,C/N,c/n,"16,46",numerik,,16.46,16.46,,,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),3,N,n,"1,49 %",numerik,,1.49,1.49,,%,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),4,P2O5,p2o5,"4,25 %",numerik,,4.25,4.25,,%,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),5,K2O,k2o,"2,06 %",numerik,,2.06,2.06,,%,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),6,Kadar Air,kadar air,"10,93 %",numerik,,10.93,10.93,,%,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),7,pH,ph,"7,87",numerik,,7.87,7.87,,,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),8,Fe-total,fe-total,7200 ppm,numerik,,7200,7200,,ppm,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),9,Fe-tersedia,fe-tersedia,"4,44 ppm",numerik,,4.44,4.44,,ppm,
02.01.2023.1132,op:prd:00010017,Tunas Makmur Organik,MANIS SPORTIF,Pupuk Organik,Butiran (Granular),10,Zn,zn,167 ppm,numerik,,167,167,,ppm,
01.03.2022.1764,op:prd:00010018,BULIR,KURNIA AGRO,Pupuk Hara Makro Majemuk,Tepung (Powder),1,N,n,6%,numerik,,6,6,,%,
01.03.2022.1764,op:prd:00010018,BULIR,KURNIA AGRO,Pupuk Hara Makro Majemuk,Tepung (Powder),2,P2O5,p2o5,30%,numerik,,30,30,,%,
01.03.2022.1764,op:prd:00010018,BULIR,KURNIA AGRO,Pupuk Hara Makro Majemuk,Tepung (Powder),3,K2O,k2o,30%,numerik,,30,30,,%,
01.03.2022.1764,op:prd:00010018,BULIR,KURNIA AGRO,Pupuk Hara Makro Majemuk,Tepung (Powder),4,Kadar air,kadar air,"0,85%",numerik,,0.85,0.85,,%,
04.01.2023.542,op:prd:00010019,SAWONGGALING,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),1,Magnesium (MgO),magnesium (mgo),18 %,numerik,,18,18,,%,
04.01.2023.542,op:prd:00010019,SAWONGGALING,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),2,Kalsium (CaO),kalsium (cao),"32,14 %",numerik,,32.14,32.14,,%,
04.01.2023.542,op:prd:00010019,SAWONGGALING,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),3,Al2O3 + Fe2O3,al2o3 + fe2o3,"1,16 %",numerik,,1.16,1.16,,%,
04.01.2023.542,op:prd:00010019,SAWONGGALING,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),4,Silikat (SiO2),silikat (sio2),"0,00 %",numerik,,0,0,,%,
04.01.2023.542,op:prd:00010019,SAWONGGALING,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),5,Kadar Air,kadar air,"0,15 %",numerik,,0.15,0.15,,%,
04.01.2023.542,op:prd:00010019,SAWONGGALING,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),6,Netralisasi (setara CaCO3),netralisasi (setara caco3),"107,27 %",numerik,,107.27,107.27,,%,
04.01.2023.542,op:prd:00010019,SAWONGGALING,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),7,Kehalusan 25 Mesh,kehalusan 25 mesh,100 %,numerik,,100,100,,%,
04.01.2023.542,op:prd:00010019,SAWONGGALING,SAWONGGALING NUSANTARA,Dolomit,Butiran (Granular),8,Kehalusan 80 Mesh,kehalusan 80 mesh,95 %,numerik,,95,95,,%,
01.01.2022.544,op:prd:00010020,Mahkota Fertilizer,SENTANA ADIDAYA PRATAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),1,N,n,13%,numerik,,13,13,,%,
01.01.2022.544,op:prd:00010020,Mahkota Fertilizer,SENTANA ADIDAYA PRATAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),2,P2O5,p2o5,6%,numerik,,6,6,,%,
01.01.2022.544,op:prd:00010020,Mahkota Fertilizer,SENTANA ADIDAYA PRATAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),3,K2O,k2o,27%,numerik,,27,27,,%,
01.01.2022.544,op:prd:00010020,Mahkota Fertilizer,SENTANA ADIDAYA PRATAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),4,MgO,mgo,4%,numerik,,4,4,,%,
01.01.2022.544,op:prd:00010020,Mahkota Fertilizer,SENTANA ADIDAYA PRATAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),5,B,b,"0,65%",numerik,,0.65,0.65,,%,
01.01.2022.544,op:prd:00010020,Mahkota Fertilizer,SENTANA ADIDAYA PRATAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),6,Kadar air,kadar air,"1,88%",numerik,,1.88,1.88,,%,
01.02.2024.1279,op:prd:00010021,BOONTONIK,NUSA NUR AGRO,,Cair (Liquid),1,N,n,10%,numerik,,10,10,,%,
01.02.2024.1279,op:prd:00010021,BOONTONIK,NUSA NUR AGRO,,Cair (Liquid),2,P2O5,p2o5,6%,numerik,,6,6,,%,
01.02.2024.1279,op:prd:00010021,BOONTONIK,NUSA NUR AGRO,,Cair (Liquid),3,K2O,k2o,2%,numerik,,2,2,,%,
04.01.2022.410,op:prd:00010022,SUPER RHOSKA,CV. SURYA PETANI,Dolomit,Butiran (Granular),1,Magnesium (MgO),magnesium (mgo),18 %,numerik,,18,18,,%,
04.01.2022.410,op:prd:00010022,SUPER RHOSKA,CV. SURYA PETANI,Dolomit,Butiran (Granular),2,Kalsium (CaO),kalsium (cao),"30,98 %",numerik,,30.98,30.98,,%,
04.01.2022.410,op:prd:00010022,SUPER RHOSKA,CV. SURYA PETANI,Dolomit,Butiran (Granular),3,Al2O3 + Fe2O3,al2o3 + fe2o3,"0,38 %",numerik,,0.38,0.38,,%,
04.01.2022.410,op:prd:00010022,SUPER RHOSKA,CV. SURYA PETANI,Dolomit,Butiran (Granular),4,Silikat (SiO2),silikat (sio2),"0,06 %",numerik,,0.06,0.06,,%,
04.01.2022.410,op:prd:00010022,SUPER RHOSKA,CV. SURYA PETANI,Dolomit,Butiran (Granular),5,Kadar Air,kadar air,"1,51 %",numerik,,1.51,1.51,,%,
04.01.2022.410,op:prd:00010022,SUPER RHOSKA,CV. SURYA PETANI,Dolomit,Butiran (Granular),6,Netralisasi (setara CaCO3),netralisasi (setara caco3),"104,95 %",numerik,,104.95,104.95,,%,
04.01.2022.410,op:prd:00010022,SUPER RHOSKA,CV. SURYA PETANI,Dolomit,Butiran (Granular),7,Kehalusan 25 Mesh,kehalusan 25 mesh,100 %,numerik,,100,100,,%,
04.01.2022.410,op:prd:00010022,SUPER RHOSKA,CV. SURYA PETANI,Dolomit,Butiran (Granular),8,Kehalusan 80 Mesh,kehalusan 80 mesh,53 %,numerik,,53,53,,%,
01.01.2025.78,op:prd:00010023,SUMAJA,SINERGI INTI PANEN,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},Butiran (Granular),1,P2O5 Total,p2o5 total,"46,39%",numerik,,46.39,46.39,,%,
01.01.2025.78,op:prd:00010023,SUMAJA,SINERGI INTI PANEN,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},Butiran (Granular),2,P2O5 larut dalam larutan asam sitrat 2%,p2o5 larut dalam larutan asam sitrat 2%,"40,33%",numerik,,40.33,40.33,,%,
01.01.2025.78,op:prd:00010023,SUMAJA,SINERGI INTI PANEN,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},Butiran (Granular),3,P2O5 Larut dalam air,p2o5 larut dalam air,"38,47%",numerik,,38.47,38.47,,%,
01.01.2025.78,op:prd:00010023,SUMAJA,SINERGI INTI PANEN,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},Butiran (Granular),4,Asam bebas sebagai H3PO4,asam bebas sebagai h3po4,"1,72%",numerik,,1.72,1.72,,%,
01.01.2025.78,op:prd:00010023,SUMAJA,SINERGI INTI PANEN,Pupuk Triple Super Fosfat (TSP) {3Ca(H2PO4)2},Butiran (Granular),5,Kadar air,kadar air,"3,92%",numerik,,3.92,3.92,,%,
01.01.2026.522,op:prd:00010024,Agroblen,AGROTAMA TUNAS SARANA,Pupuk Hara Makro Majemuk,Butiran (Granular),1,N,n,17%,numerik,,17,17,,%,
01.01.2026.522,op:prd:00010024,Agroblen,AGROTAMA TUNAS SARANA,Pupuk Hara Makro Majemuk,Butiran (Granular),2,P2O5,p2o5,8%,numerik,,8,8,,%,
01.01.2026.522,op:prd:00010024,Agroblen,AGROTAMA TUNAS SARANA,Pupuk Hara Makro Majemuk,Butiran (Granular),3,K2O,k2o,9%,numerik,,9,9,,%,
01.01.2026.522,op:prd:00010024,Agroblen,AGROTAMA TUNAS SARANA,Pupuk Hara Makro Majemuk,Butiran (Granular),4,Kadar air,kadar air,"1,76%",numerik,,1.76,1.76,,%,
01.01.2023.777,op:prd:00010025,AGRIVERE,AGRIVERE TRANSFORMA INTERNASIONAL,Pupuk Hara Mikro Tunggal,Butiran (Granular),1,Besi (Fe),besi (fe),15 %,numerik,,15,15,,%,
01.01.2023.777,op:prd:00010025,AGRIVERE,AGRIVERE TRANSFORMA INTERNASIONAL,Pupuk Hara Mikro Tunggal,Butiran (Granular),2,Kadar Air,kadar air,"1,58 %",numerik,,1.58,1.58,,%,
