sektor,entitas,merk_dagang,jenis,detail_bentuk_atau_bahan_aktif,no_pendaftaran,tgl_terbit,tgl_berakhir,status
Pupuk-Legacy,CV. SAPROTAN UTAMA,PN PAK TANI,Potassium Nitrat,Prill,01.05.2020.121,2020,2025,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,Kalium Sulfat (ZK),Tepung,01.03.2020.152,2020,2025,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,Amonium Sulfat (ZA) (SNI) ,Butiran,01.01.2017.104,2020,2025,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,HOLLAND PAK TANI,NPK Padat (SNI),Butiran,01.01.2015.169,2020,2025,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,MAGNESIUM SULFATE PAK TANI,Kiserit,Tepung,01.03.2020.112,2020,2025,Kedaluwarsa
Pupuk-Legacy,CV. SAPROTAN UTAMA,PAK TANI,NPK Padat (SNI),Butiran,01.01.2020.153,2020,2025,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,MKP PAK TANI,(tdk tercantum),Bentuk Lainnya,01.08.2021.526,2021-02-04,2026-02-04,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,PHOSGRO,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),01.01.2021.601,2021-03-17,2026-03-17,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2021.750,2021-06-16,2026-06-16,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,PHOSGRO,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),01.01.2021.768,2021-07-07,2026-07-07,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2021.810,2021-07-28,2026-07-28,Kedaluwarsa
Pupuk-SIMPEL,SAPROTAN UTAMA,PN PAK TANI,(tdk tercantum),Bentuk Lainnya,01.08.2021.850,2021-09-03,2026-09-03,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2021.856,2021-09-03,2026-09-03,≤12 bln
Pestisida,CV. SAPROTAN UTAMA,KOZIMA 50 SC,Insektisida,,01010120217147,2021-10-12,2026-10-12,≤12 bln
Pestisida,CV. SAPROTAN UTAMA,PENTACUR 722 SL,Fungisida,,01020120021700,2021-10-12,2026-10-12,≤12 bln
Pestisida,CV. SAPROTAN UTAMA,KATROL 10 PA,Zat Pengatur Tumbuh Tanaman,,01040120072766,2021-11-18,2026-11-18,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2021.974,2021-12-17,2026-12-17,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2021.991,2021-12-17,2026-12-17,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2022.512,2022-01-06,2027-01-06,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),01.01.2022.514,2022-01-09,2027-01-09,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2022.513,2022-01-09,2027-01-09,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PHOSGRO,(tdk tercantum),Butiran (Granular),01.01.2022.547,2022-01-31,2027-01-31,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTIPHOS,(tdk tercantum),Butiran (Granular),01.01.2022.551,2022-01-31,2027-01-31,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,ZNURECOTE,(tdk tercantum),Prill,01.05.2022.574,2022-02-15,2027-02-15,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2022.1044,2022-04-06,2027-04-06,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,TARSSUS,(tdk tercantum),Cair (Liquid),01.02.2022.789,2022-04-13,2027-04-13,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2022.1055,2022-04-26,2027-04-26,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTIKALI,(tdk tercantum),Prill,01.05.2022.991,2022-04-28,2027-04-28,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,NEO KRISTALON,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2022.1042,2022-05-18,2027-05-18,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2022.1048,2022-05-20,2027-05-20,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,KS PAK TANI,Pupuk Kalsium Nitrat {CaNO3)2.2H2O},Butiran (Granular),01.01.2022.1050,2022-05-20,2027-05-20,≤12 bln
Pestisida,CV. SAPROTAN UTAMA,MARXONE 300 SL,Herbisida,,01030120072774,2022-06-27,2027-06-27,≤12 bln
Pestisida,CV. SAPROTAN UTAMA,PARAQUAT 42 TC,Herbisida,,0420221028,2022-06-27,2027-06-27,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2022.1118,2022-08-15,2027-08-15,≤12 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2022.1160,2022-08-19,2027-08-19,≤12 bln
Pestisida,CV. SAPROTAN UTAMA,STARMEK 18 EC,Insektisida,,01010120031935,2022-10-04,2027-10-04,≤24 bln
Pestisida,CV. SAPROTAN UTAMA,PENTACRON 500 EC,Insektisida,,01010120031914,2022-10-04,2027-10-04,≤24 bln
Pestisida,CV. SAPROTAN UTAMA,STARMEK 18 EC,Insektisida,,01010120031935,2022-10-04,2027-10-04,≤24 bln
Pestisida,CV. SAPROTAN UTAMA,AGROKOL 70 WP,Fungisida,,01020120031732,2022-10-04,2027-10-04,≤24 bln
Pestisida,CV. SAPROTAN UTAMA,MANTEB 80 WP,Fungisida,,01020120031899,2022-10-04,2027-10-04,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,ZSP-36,Zeolit,Butiran (Granular),04.01.2022.1088,2022-10-14,2027-10-14,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,NEO VITABORON,Pupuk Hara Mikro Tunggal,Tepung (Powder),01.03.2023.554,2023-01-13,2028-01-13,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Dolomit,Tepung (Powder),04.03.2018.058,2023-01-16,2028-01-16,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2023.676,2023-02-02,2028-02-02,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2023.691,2023-02-08,2028-02-08,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),,2023-02-08,2028-02-08,≤24 bln
Pestisida,CV. SAPROTAN UTAMA,HASTA-88 150 SL,Herbisida,,01030120083122,2023-02-08,2028-02-08,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Kalium Klorida (KCl),Bentuk Lainnya,01.08.2023.747,2023-02-26,2028-02-26,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,VITALONGAN PLUS,(tdk tercantum),Bentuk Lainnya,01.08.2023.1282,2023-03-31,2028-03-31,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,Ultrasoline,(tdk tercantum),Bentuk Lainnya,01.08.2023.1025,2023-04-10,2028-04-10,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Kalium Klorida (KCl),Tepung (Powder),01.03.2023.1403,2023-05-31,2028-05-31,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2023.1473,2023-06-23,2028-06-23,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2023.1477,2023-06-26,2028-06-26,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),01.03.2023.1464,2023-07-03,2028-07-03,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2023.1511,2023-07-10,2028-07-10,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,NEO-KRISTALON PAK TANI,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2023.1602,2023-08-14,2028-08-14,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,NEO-KRISTALON PAK TANI,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2023.1591,2023-08-14,2028-08-14,≤24 bln
Pupuk-SIMPEL,SAPROTAN UTAMA,MAGNIT PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2023.1602,2023-08-14,2028-08-14,≤24 bln
Pestisida,CV. SAPROTAN UTAMA,TODAN 50/10 OD,Herbisida,,01030120237946,2023-08-28,2028-08-28,Aktif
Pestisida,CV. SAPROTAN UTAMA,BURON 80 WP,Herbisida,,01030120093415,2023-08-28,2028-08-28,Aktif
Pestisida,CV. SAPROTAN UTAMA,JORDAN 5 GR,Insektisida,,01010120093453,2023-08-28,2028-08-28,Aktif
Pestisida,CV. SAPROTAN UTAMA,PATRA 27 WP,Fungisida,,01020120237918,2023-08-28,2028-08-28,Aktif
Pestisida,CV. SAPROTAN UTAMA,ARCODION 200 EC,Insektisida,,01010120093403,2023-08-28,2028-08-28,Aktif
Pestisida,CV. SAPROTAN UTAMA,MESTILA 25 WP,Herbisida,,01030120093550,2023-08-28,2028-08-28,Aktif
Pestisida,CV. SAPROTAN UTAMA,KUDANIL 75 WP,Fungisida,,01020120093462,2023-08-28,2028-08-28,Aktif
Pestisida,CV. SAPROTAN UTAMA,JON-UP 480 SL,Herbisida,,01030120093452,2023-08-28,2028-08-28,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,KS PAK TANI,(tdk tercantum),Butiran (Granular),01.01.2023.2202,2023-09-27,2028-09-27,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,KONTAG,(tdk tercantum),Cair (Liquid),01.02.2023.2280,2023-10-26,2028-10-26,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,INDOFERTIL,(tdk tercantum),Cair (Liquid),01.02.2023.2281,2023-11-02,2028-11-02,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,SOLVINAABC,(tdk tercantum),Tepung (Powder),01.03.2023.2357,2023-11-08,2028-11-08,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.56,2023-12-22,2028-12-22,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,NEO-KRISTALON PAK TANI,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2024.47,2023-12-22,2028-12-22,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.95,2024-01-04,2029-01-04,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,VITA-LONGAN,(tdk tercantum),Cair (Liquid),01.02.2024.129,2024-01-10,2029-01-10,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PN PAK TANI,(tdk tercantum),Prill,01.05.2024.130,2024-01-15,2029-01-15,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,TANIGROW,(tdk tercantum),Cair (Liquid),01.02.2024.81,2024-01-19,2029-01-19,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.256,2024-02-15,2029-02-15,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,BASAL,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.266,2024-02-19,2029-02-19,Aktif
Pestisida,CV. SAPROTAN UTAMA,SUTRAZIN 500/60 SC,Herbisida,,01030120186225,2024-03-04,2029-03-04,Aktif
Pestisida,CV. SAPROTAN UTAMA,FURROZ 40/20 WG,Insektisida,,01030120238000,2024-03-04,2029-03-04,Aktif
Pestisida,CV. SAPROTAN UTAMA,ULTRON 25/18 WP,Herbisida,,01030120196399,2024-03-05,2029-03-05,Aktif
Pestisida,CV. SAPROTAN UTAMA,TORAM 25 SP,Insektisida,,01010120196312,2024-03-05,2029-03-05,Aktif
Pestisida,CV. SAPROTAN UTAMA,TORBINOL 300/180 SC,Fungisida,,01020120196313,2024-03-05,2029-03-05,Aktif
Pestisida,CV. SAPROTAN UTAMA,ETEPON 70 TC,Zat Pengatur Tumbuh Tanaman,,042018596,2024-03-05,2029-03-05,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,VIRGINIA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.331,2024-03-15,2029-03-15,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,BASAL,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.342,2024-04-01,2029-04-01,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.435,2024-04-03,2029-04-03,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.421,2024-04-05,2029-04-05,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.518,2024-04-22,2029-04-22,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,SAPRODAP PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.620,2024-06-11,2029-06-11,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PAK TANI,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),01.01.2024.669,2024-06-14,2029-06-14,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PAK TANI,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),01.03.2024.668,2024-06-14,2029-06-14,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.838,2024-07-03,2029-07-03,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.947,2024-07-05,2029-07-05,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.913,2024-07-17,2029-07-17,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.833,2024-07-22,2029-07-22,Aktif
Pestisida,CV. SAPROTAN UTAMA,DEBESTTAN 60 WP,Moluskisida,,03050120042067,2024-08-09,2029-08-09,Aktif
Pestisida,CV. SAPROTAN UTAMA,DEBESTTAN PLUS 60 WP,Moluskisida,,01050120145051,2024-08-09,2029-08-09,Aktif
Pestisida,CV. SAPROTAN UTAMA,KEMPO 400 SL,Insektisida,,01010120042092,2024-08-09,2029-08-09,Aktif
Pestisida,CV. SAPROTAN UTAMA,PRIME PLUS 25 EC,Zat Pengatur Tumbuh Tanaman,,01040120041996,2024-08-09,2029-08-09,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,MAGNUM,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2024.1114,2024-08-29,2029-08-29,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,MAGNESIUM SULFATE PAK TANI,(tdk tercantum),Bentuk Lainnya,01.08.2024.1078,2024-09-02,2029-09-02,Aktif
Pestisida,CV. SAPROTAN UTAMA,CHLORPYRIFOS 97 TC,Insektisida,,042018644,2024-09-19,2029-09-19,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,PAK TANI,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,01.08.2024.1144,2024-10-07,2029-10-07,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,KS PLUS PAK TANI,(tdk tercantum),Butiran (Granular),01.01.2024.1191,2024-10-29,2029-10-29,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,FERTILA,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2024.1263,2024-11-11,2029-11-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,RG 50 SC,Insektisida,,01010120248542,2024-11-18,2029-11-18,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,AVIMAX 20/100 EC,Insektisida,,01010120196502,2024-11-18,2029-11-18,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,HOLLAND PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2025.41,2024-12-20,2029-12-20,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTIBIO,Pupuk Organik,Butiran (Granular),02.01.2025.33,2024-12-24,2029-12-24,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PAK TANI,(tdk tercantum),Tepung (Powder),01.03.2025.36,2025-01-03,2030-01-03,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,MAGNESIUM SULFATE PAK TANI,(tdk tercantum),Tepung (Powder),01.03.2025.35,2025-01-07,2030-01-07,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PN PAK TANI,(tdk tercantum),Prill,01.05.2025.83,2025-01-10,2030-01-10,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,NEO KRISTALON,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2025.211,2025-02-12,2030-02-12,Aktif
Pestisida,CV. SAPROTAN UTAMA,POSTON 250 SC,Zat Pengatur Tumbuh Tanaman,,01040120155381,2025-02-17,2030-02-17,Aktif
