nama_asli,nama_kanonik,pendaftaran,sumber
PT. PETROKIMIA KAYAKU,PT Petrokimia Kayaku,80,pestisida
PT. UPL INDONESIA,PT. UPL INDONESIA,78,pestisida
PT. Multi Mas Chemindo,PT. Multi Mas Chemindo,77,pupuk+pupuk-legacy
PT.MEROKE TETAP JAYA,PT.MEROKE TETAP JAYA,77,pupuk-legacy
PT. MAXXI AGRI INDONESIA,PT. MAXXI AGRI INDONESIA,74,pestisida
PT. KENSO INDONESIA,PT. KENSO INDONESIA,71,pestisida
PT. REJEKI INDO AGROTEC,PT. REJEKI INDO AGROTEC,70,pestisida
PT. INDO-SINO AGROCHEMICAL,PT. INDO-SINO AGROCHEMICAL,70,pestisida
PETROKIMIA GRESIK,PT Petrokimia Gresik,70,pupuk
CV. AGRO JAYA INDONESIA,CV. AGRO JAYA INDONESIA,69,pestisida
PT. CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,PT. CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,66,pestisida
SAPROTAN UTAMA,CV. SAPROTAN UTAMA,66,pupuk
PT. BIOTIS AGRINDO,PT. BIOTIS AGRINDO,65,pestisida
PT. INDOIN BUSINESS GROUP,PT. INDOIN BUSINESS GROUP,65,pestisida
PT. Agro Bumi Timur,PT. Agro Bumi Timur,64,pestisida
PT. DHARMA GUNA WIBAWA,PT. DHARMA GUNA WIBAWA,64,pestisida
PT. SANLEX MALINDO,PT. SANLEX MALINDO,64,pupuk+pupuk-legacy
MEROKE TETAP JAYA,PT.MEROKE TETAP JAYA,64,pupuk
PT. BLUE CUBE INDONESIA,PT. BLUE CUBE INDONESIA,63,pestisida
PT. BAYER INDONESIA,PT. Bayer Indonesia,63,pestisida
PT. BINA GUNA KIMIA,PT. BINA GUNA KIMIA,63,pestisida
PT. MAJU MAKMUR UTOMO,PT. Maju Makmur Utomo,58,pestisida
MULTI NIAGA NUSANTARA INDONESIA,PT. MULTI NIAGA NUSANTARA INDONESIA,57,pupuk
PT. AGRICULTURE CONSTRUCTION,PT. AGRICULTURE CONSTRUCTION,56,pestisida
PT. ETONG CHEMICAL INDONESIA,PT. ETONG CHEMICAL INDONESIA,56,pestisida
PT. CATUR AGRODAYA MANDIRI,PT. CATUR AGRODAYA MANDIRI,54,pestisida+pupuk-legacy
PERMATA AGRO PERSADA,PT. Permata Agro Persada,53,pupuk
MAJU MAKMUR UTOMO,PT. Maju Makmur Utomo,52,pupuk
PT. ROYAL AGRO INDONESIA,PT. ROYAL AGRO INDONESIA,51,pestisida
PT. DA MING INDONESIA,PT. DA MING INDONESIA,51,pestisida
PT. BEHN MEYER AGRICARE,PT. BEHN MEYER AGRICARE,51,pestisida+pupuk-legacy
SANTANI SEJAHTERA,PT. SANTANI SEJAHTERA,51,pupuk
DGW PUPUK INDONESIA,DGW PUPUK INDONESIA,51,pupuk
PT. DANKEN INDONESIA,PT. DANKEN INDONESIA,49,pestisida
SENTANA ADIDAYA PRATAMA,PT. SENTANA ADIDAYA PRATAMA,49,pupuk
PT. Asia Pupuk Guna Lestari,PT. Asia Pupuk Guna Lestari,49,pupuk+pupuk-legacy
SASCO INDONESIA,PT. Sasco Indonesia,48,pupuk
FERTILIZER INTI TECHNOLOGY,FERTILIZER INTI TECHNOLOGY,48,pupuk
PT. SAMUDRA UTAMA NARAPATI,PT. SAMUDRA UTAMA NARAPATI,47,pestisida
PT. YANNO AGRO SCIENCE INDONESIA,PT. YANNO AGRO SCIENCE INDONESIA,47,pestisida
CV. MULTI AGRO JAYA UTAMA,CV. Multi Agro Jaya Utama,46,pestisida
PT. KINGAGROOT BIOTECHNOLOGY INDONESIA,PT. KINGAGROOT BIOTECHNOLOGY INDONESIA,46,pestisida
PT. SANTANI AGRO PERKASA,PT. SANTANI AGRO PERKASA,46,pestisida
SAPROTAN UTAMA NUSANTARA,PT. SAPROTAN UTAMA NUSANTARA,45,pupuk
DHARMA AYU TANI,PT. Dharma Ayu Tani,45,pupuk
PT. ALBAUGH AGRO INDONESIA,PT. ALBAUGH AGRO INDONESIA,43,pestisida
RAJA GROUP INDONESIA,PT. RAJA GROUP INDONESIA,43,pupuk
PT. Hextar Fertilizer Indonesia,PT. Hextar Fertilizer Indonesia,43,pupuk-legacy
PT. ADIL MAKMUR FAJAR,PT. ADIL MAKMUR FAJAR,41,pestisida
CIPTA MAKMUR PERTIWI,PT. Cipta Makmur Pertiwi,41,pupuk
PT. TRIDA KIMIA SAKTI,PT. TRIDA KIMIA SAKTI,40,pestisida
MULTI SARANA INDOTANI,PT. MULTI SARANA INDOTANI,40,pupuk
PT. INDAGRO,PT. INDAGRO,40,pestisida
PT. AGRORISEN INDOMAKMUR CEMERLANG,PT. AGRORISEN INDOMAKMUR CEMERLANG,40,pestisida
WILMAR CHEMICAL INDONESIA,PT. WILMAR CHEMICAL INDONESIA,40,pupuk
JADI MAS,PT JADI MAS,40,pupuk
PT. BERBAK AGRO SEJATI,PT. BERBAK AGRO SEJATI,39,pestisida
PT. JAYA WARINDO ABADI,PT. JAYA WARINDO ABADI,39,pestisida
PT. FORAGRO MITRA SEJATI,PT. FORAGRO MITRA SEJATI,38,pestisida
PT. PERSADA AGRO SUKSES,PT. PERSADA AGRO SUKSES,38,pestisida
KERTOPATEN KENCANA,PT Kertopaten Kencana,38,pupuk
PT. GLOBAL AGROTECH,PT. GLOBAL AGROTECH,37,pestisida
PT. AGRO SENTOSA RAYA,PT. AGRO SENTOSA RAYA,37,pestisida
PT. MITRA KREASIDHARMA,PT. MITRA KREASIDHARMA,37,pestisida
AGROFARM NUSA RAYA,PT. Agrofarm Nusa Raya,37,pupuk
PT. MASCO AGRI GENETICS,PT. MASCO AGRI GENETICS,36,pestisida
PT. TIARA BUANA MANDIRI,PT. TIARA BUANA MANDIRI,35,pestisida+pupuk-legacy
PT. FUMAKILLA NOMOS,PT. FUMAKILLA NOMOS,35,pestisida
PT. SINAMYANG INDONESIA,PT. SINAMYANG INDONESIA,35,pestisida
SARASWANTI ANUGERAH MAKMUR,SARASWANTI ANUGERAH MAKMUR,35,pupuk
PT. AGRO SEJAHTERA INDONESIA,PT. AGRO SEJAHTERA INDONESIA,34,pestisida
PT. MEST INDONESIY,PT. MEST INDONESIY,34,pupuk-legacy
PT. EXCEL MEG INDO,PT. EXCEL MEG INDO,33,pestisida
PT. KRISTALINDO KARUNIA INTERNASIONAL,PT. Kristalindo Karunia Internasional,33,pestisida
CV. KHARISMA AGRI WIJAYA,CV. KHARISMA AGRI WIJAYA,33,pestisida
PT. JIRONA AGRITAMA,PT. JIRONA AGRITAMA,32,pestisida
PT. PILARQUIM AGROSCIENCE INDONESIA,PT. PILARQUIM AGROSCIENCE INDONESIA,32,pestisida
AGROTAMA TUNAS SARANA,PT. Agrotama Tunas Sarana,32,pupuk
PT. TANAMAN MAKMUR MANDIRI,PT. TANAMAN MAKMUR MANDIRI,31,pestisida
PT. ROLIMEX KIMIA NUSAMAS,PT. Rolimex Kimia Nusamas,31,pestisida
PT. ARTHA MAKMUR ABADI,PT. ARTHA MAKMUR ABADI,31,pestisida+pupuk-legacy
PUPUK KALIMANTAN TIMUR,PT Pupuk Kalimantan Timur,31,pupuk
PT. TRITUNGGAL ARTHAMAKMUR,PT. TRITUNGGAL ARTHAMAKMUR,30,pestisida
PT. AGROMANNA JAYA LESTARI,PT. AGROMANNA JAYA LESTARI,30,pestisida
CV. SARAREA PANEN RAYA,CV. SARAREA PANEN RAYA,30,pestisida+pupuk-legacy
PT. TRIBINA TANIKARYA,PT. TRIBINA TANIKARYA,30,pestisida
PT. SATYA AGRO INDONESIA,PT. SATYA AGRO INDONESIA,29,pestisida
CV. SURYA AGROKEMINDO PERKASA,CV. SURYA AGROKEMINDO PERKASA,29,pestisida
PUPUT TANI MANDIRI,PT. PUPUT TANI MANDIRI,29,pupuk
UD Primagro,UD Primagro,29,pupuk
ANTARIKSA NUSANTARA INDONESIA GROUP,PT.Antariksa Nusantara Indonesia Group,29,pupuk
PT. SAPROTAN UTAMA NUSANTARA,PT. SAPROTAN UTAMA NUSANTARA,28,pestisida
PT AGRI HIKAY INDONESIA,PT AGRI HIKAY INDONESIA,28,pupuk+pupuk-legacy
PT. CROP CARE INDONESIA,PT. CROP CARE INDONESIA,27,pestisida
PT. AGROTECH PESTICIDE INDUSTRY,PT. AGROTECH PESTICIDE INDUSTRY,27,pestisida
TUNASHARAPAN MURNI,TUNASHARAPAN MURNI,27,pestisida
CV. ARTHA BUANA MANDIRI,CV. ARTHA BUANA MANDIRI,27,pestisida
PT. AGROKIMINDO KURNIABUANA,PT. AGROKIMINDO KURNIABUANA,27,pestisida
ABADI AGROSINDO PERSADA,ABADI AGROSINDO PERSADA,27,pupuk
PT.TANINDO INTERTRACO,PT.TANINDO INTERTRACO,27,pupuk-legacy
PT. ASIA GALA KIMIA,PT. ASIA GALA KIMIA,26,pestisida
PT. SANTANI AGRO MANDIRI,PT. SANTANI AGRO MANDIRI,26,pestisida
PT. HERLINA INDAH,PT. HERLINA INDAH,26,pestisida
DUPAN ANUGERAH LESTARI,PT. Dupan Anugerah Lestari,26,pupuk
NUSA PALAPA GEMILANG,PT. NUSA PALAPA GEMILANG,26,pupuk
PRIMA AGRO TECH,PT. PRIMA AGRO TECH,25,pupuk
PETROSIDA GRESIK,PT. Petrosida Gresik,25,pupuk
DITYA CHEMINDO,PT. DITYA CHEMINDO,25,pupuk
PT. ARXADA CHEMICALS INDONESIA,PT. ARXADA CHEMICALS INDONESIA,25,pestisida
PT. BAHTERA BONIAGA LESTARI,PT. BAHTERA BONIAGA LESTARI,25,pestisida
PT. SARI KIMIA UNGGUL,PT. SARI KIMIA UNGGUL,25,pestisida
PUPUK KUJANG,PT Pupuk Kujang,25,pupuk
DYRIZ INDONESIA,PT. DYRIZ INDONESIA,25,pupuk
PT. Permata Agro Persada,PT. Permata Agro Persada,25,pupuk-legacy
INDO ACIDATAMA,INDO ACIDATAMA,25,pupuk
CV. Raja Grafika,CV. Raja Grafika,24,pestisida+pupuk
PT. EASTCHEM AGROSCIENCE INDONESIA,PT. EASTCHEM AGROSCIENCE INDONESIA,24,pestisida
JAVAMAS AGROPHOS,CV. Javamas Agrophos,24,pupuk
CV. AGRO CHEMICA,CV. AGRO CHEMICA,24,pestisida
PT. HANAMPI SEJAHTERA KAHURIPAN,PT. HANAMPI SEJAHTERA KAHURIPAN,24,pupuk+pupuk-legacy
AGRO TRADISI,PT. AGRO TRADISI,24,pupuk
CV. GRAHA AGRO,CV. GRAHA AGRO,23,pestisida
PT. QILU CROP SCIENCE,PT. QILU CROP SCIENCE,23,pestisida
GREENLIFE BIOSCIENCE,PT Greenlife Bioscience,23,pupuk
PT. SENTANA ADIDAYA PRATAMA,PT. SENTANA ADIDAYA PRATAMA,23,pupuk-legacy
AGRI TANIMAS SELARAS,AGRI TANIMAS SELARAS,23,pupuk
PT. Sasco Indonesia,PT. Sasco Indonesia,22,pupuk-legacy
HANAMPI SEJAHTERA KAHURIPAN,PT. HANAMPI SEJAHTERA KAHURIPAN,22,pupuk
PT. TANI MAS SUBUR,PT. TANI MAS SUBUR,21,pestisida
CV. UNI AGRO CHEMICA,CV. UNI AGRO CHEMICA,21,pestisida
PT. AGRO TERRUM INDONESIA,PT. AGRO TERRUM INDONESIA,21,pestisida
PT. HANEARL SCIENCE INDONESIA,PT. HANEARL SCIENCE INDONESIA,21,pestisida
CV. GRAHA AGRITECH PRIMA,CV. GRAHA AGRITECH PRIMA,21,pestisida+pupuk-legacy
PT. MUTIARA AGRO SEJATI,PT. MUTIARA AGRO SEJATI,21,pestisida
MULYO TANI MAKMUR,CV. Mulyo Tani Makmur,21,pupuk
PT. EXINDO RAHARJA PRATAMA,PT Exindo Raharja Pratama,20,pestisida
AGRO JAYA INDONESIA,CV. AGRO JAYA INDONESIA,20,pupuk
PT. SUMANS MANDIRI SEJAHTERA,PT. SUMANS MANDIRI SEJAHTERA,20,pestisida
PT. Agritek Tani Indonesia,PT. Agritek Tani Indonesia,20,pestisida+pupuk+pupuk-legacy
PT. ZHENGBANG CROP PROTECTION INDONESIA,PT. ZHENGBANG CROP PROTECTION INDONESIA,20,pestisida
KALATHAM,PT Kalatham,20,pupuk
TRUBUS PRIMA,CV. TRUBUS PRIMA,20,pupuk
PT. MESTIKA NUSANTARA AGROKIMIA,PT. MESTIKA NUSANTARA AGROKIMIA,20,pestisida
PT. WILMAR CHEMICAL INDONESIA,PT. WILMAR CHEMICAL INDONESIA,20,pupuk+pupuk-legacy
ANUGERAH PUPUK MAKMUR,PT ANUGERAH PUPUK MAKMUR,20,pupuk
Perusahaan Perseroan (Persero) PT. Pupuk Indonesia,PT Pupuk Indonesia (Persero),20,pupuk
YARA INDONESIA,YARA INDONESIA,20,pupuk
PT. SUNJOY AGRO INDONESIA,PT. SUNJOY AGRO INDONESIA,19,pestisida
SARI KRESNA KIMIA,PT. SARI KRESNA KIMIA,19,pupuk
PT. AGRO GUNA MAKMUR,PT. AGRO GUNA MAKMUR,19,pestisida
KRISTALINDO KARUNIA INTERNASIONAL,PT. Kristalindo Karunia Internasional,19,pupuk
MAXXI AGRI INDONESIA,PT. MAXXI AGRI INDONESIA,19,pupuk
PT. JAWA AGRINDO INTERNASIONAL,PT. JAWA AGRINDO INTERNASIONAL,19,pestisida
PT. DOUTA UTAMAN INDONESIA,PT. DOUTA UTAMAN INDONESIA,19,pestisida
PT. SATYA ALAM SEMESTA,PT. SATYA ALAM SEMESTA,19,pestisida
PT. Gemilang Eka Dharma,PT. Gemilang Eka Dharma,19,pupuk+pupuk-legacy
PT. CHINA JIANGSU INTERNATIONAL INDONESIA,PT. CHINA JIANGSU INTERNATIONAL INDONESIA,18,pestisida
PT. BIOTEK SARANATAMA,PT. BIOTEK SARANATAMA,18,pestisida
PT. INDO HOECHST,PT. INDO HOECHST,18,pestisida
PT. TANGGUH AGRO NUSA INDONESIA,PT. TANGGUH AGRO NUSA INDONESIA,18,pestisida
PT. RABANA AGRO RESOURCES,PT. RABANA AGRO RESOURCES,18,pestisida
PT. MSR HIJAU LESTARI,PT. MSR HIJAU LESTARI,18,pestisida
PRIMAGRO PRIMA INDONESIA,PRIMAGRO PRIMA INDONESIA,18,pupuk
ARTHA PRIMA HUMATINDO,PT. Artha Prima Humatindo,18,pupuk
ANUGERAH PUPUK LESTARI,PT. Anugerah Pupuk Lestari,18,pupuk
PT Bumi Indo Raharja,PT Bumi Indo Raharja,18,pupuk+pupuk-legacy
AGRO BERJAYA NUSANTARA,PT. Agro Berjaya Nusantara,18,pupuk
PT. ZENITH CROPSCIENCES INDONESIA,PT. ZENITH CROPSCIENCES INDONESIA,17,pestisida
PT. BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,PT. BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,17,pestisida
PT. MITRA INDOTANI ABADI,PT. MITRA INDOTANI ABADI,17,pestisida
PT. FOCUSINDO ASIA PACIFIC,PT. FOCUSINDO ASIA PACIFIC,17,pestisida
PT. AGX ASIA INDONESIA,PT. AGX ASIA INDONESIA,17,pestisida
MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,CV. MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,17,pupuk
PT Petrokimia Gresik,PT Petrokimia Gresik,17,pupuk-legacy
LAKU AGUNG BAHAGIA INDONESIA,PT. Laku Agung Bahagia Indonesia,17,pupuk
GOAUTAMA SINARBATUAH,PT. GOAUTAMA SINARBATUAH,17,pupuk
PT. AGRO TRADISI,PT. AGRO TRADISI,17,pupuk-legacy
AGINDA RIAU ABADI,AGINDA RIAU ABADI,17,pupuk
PT. AGRO NATURAL TECHNOLOGY,PT. AGRO NATURAL TECHNOLOGY,16,pestisida
PETROKIMIA KAYAKU,PT Petrokimia Kayaku,16,pupuk
PT. JOHNSON HOME HYGIENE PRODUCTS,PT. JOHNSON HOME HYGIENE PRODUCTS,16,pestisida
PT. AGRO DYNAMICS INDO,PT. AGRO DYNAMICS INDO,16,pestisida
PT. NATHANI CHEMICALS,PT. NATHANI CHEMICALS,16,pestisida
CV. INDO TANI UTAMA,CV. INDO TANI UTAMA,16,pestisida
PT. DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,PT. DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,16,pestisida
NUSA NUR AGRO,CV. Nusa Nur Agro,16,pupuk
PT. ARYSTA LIFESCIENCE TIRTA,PT. ARYSTA LIFESCIENCE TIRTA,16,pestisida
MESTIKA KARUNIA UTAMA,PT. MESTIKA KARUNIA UTAMA,16,pupuk
ECO AGRO MANDIRI,PT. ECO AGRO MANDIRI,16,pupuk
TAZAR GUNA MANDIRI,TAZAR GUNA MANDIRI,16,pupuk
PT. PRIMA AGRO TECH,PT. PRIMA AGRO TECH,15,pestisida
CV. DELTA CHEMICA,CV. DELTA CHEMICA,15,pestisida
PT. FMC AGRICULTURAL MANUFACTURING,PT. FMC AGRICULTURAL MANUFACTURING,15,pestisida
PT. JIVA AGRICULTURE INDONESIA,PT. JIVA AGRICULTURE INDONESIA,15,pestisida
PT. TRUSTCHEM AGRO INDONESIA,PT. TRUSTCHEM AGRO INDONESIA,15,pestisida
ROLIMEX KIMIA NUSAMAS,PT. Rolimex Kimia Nusamas,15,pupuk
PT. WINHONOR CONSULTING INDONESIA,PT. WINHONOR CONSULTING INDONESIA,15,pestisida
PT. IMCD INDONESIA,PT. IMCD INDONESIA,15,pestisida
CARLINDO SERASI ABADI,PT Carlindo Serasi Abadi,15,pupuk
PT JADI MAS,PT JADI MAS,15,pupuk-legacy
PT. SAFE CHEMICAL INDONESIA,PT. SAFE CHEMICAL INDONESIA,14,pestisida+pupuk-legacy
PT. KEMINDO ARTHA JAYA,PT. KEMINDO ARTHA JAYA,14,pestisida
SARAREA PANEN RAYA,CV. SARAREA PANEN RAYA,14,pupuk
PT. BIOTEK SARANA INDUSTRI,PT. BIOTEK SARANA INDUSTRI,14,pestisida
PT. INTER AGRO INDONESIA,PT. INTER AGRO INDONESIA,14,pestisida
PT. MAKMUR JAYA AGRO,PT. MAKMUR JAYA AGRO,14,pestisida
PT. Parama Agroindustri Danapati,PT. Parama Agroindustri Danapati,14,pupuk-legacy
CENTRA BIOTECH INDONESIA,PT. CENTRA BIOTECH INDONESIA,14,pupuk
PT Pupuk Kalimantan Timur,PT Pupuk Kalimantan Timur,14,pupuk-legacy
ADIDAYA NIRBATAS,ADIDAYA NIRBATAS,14,pupuk
SINAR SURYA,CV. Sinar Surya,14,pupuk
AGRO NUSANTARA INDONESIA,PT. Agro Nusantara Indonesia,14,pupuk
CV. Varia Chemika,CV. Varia Chemika,14,pupuk+pupuk-legacy
CV. BOMA SAKTI TANI,CV. BOMA SAKTI TANI,13,pestisida+pupuk-legacy
PT. NUSA MANDIRI UTAMA,PT. Nusa Mandiri Utama,13,pestisida
CV. AGRO MULIA,CV. AGRO MULIA,13,pestisida
PT. NUSANTARA AGRO SUKSES,PT. NUSANTARA AGRO SUKSES,13,pestisida
SANTANI AGRO LESTARI,PT. SANTANI AGRO LESTARI,13,pupuk
PT. SANTANI SEJAHTERA,PT. SANTANI SEJAHTERA,13,pestisida+pupuk-legacy
PT. Dharma Ayu Tani,PT. Dharma Ayu Tani,13,pupuk-legacy
CIPTO LANGGENG JOYO,CIPTO LANGGENG JOYO,13,pupuk
PT. ECO AGRO MANDIRI,PT. ECO AGRO MANDIRI,13,pupuk+pupuk-legacy
SAFA AGROTEK INDONESIA,PT SAFA AGROTEK INDONESIA,13,pupuk
PT. Cipta Makmur Pertiwi,PT. Cipta Makmur Pertiwi,13,pupuk-legacy
POLOWIJO GOSARI,PT. Polowijo Gosari,13,pupuk
BUMI SUBUR SENTOSA,PT. Bumi Subur Sentosa,13,pupuk
AGRI MANDIRI SEJAHTERA,AGRI MANDIRI SEJAHTERA,13,pupuk
AGRO NUSA INDAH,CV. Agro Nusa Indah,13,pupuk
PT. ENFARM CROP SCIENCE,PT. ENFARM CROP SCIENCE,12,pestisida
PT. GONGCHENG BIOTECH INDONESIA,PT. GONGCHENG BIOTECH INDONESIA,12,pestisida
PRIMA KARYA BERJAYA,PT. PRIMA KARYA BERJAYA,12,pupuk
PT. TAPAL KOEDA INDONESIA,PT. TAPAL KOEDA INDONESIA,12,pestisida
PT. Rolimex Kimia Nusamas,PT. Rolimex Kimia Nusamas,12,pupuk-legacy
CV. CV. SAKASAKI INDONESIA,CV. CV. SAKASAKI INDONESIA,12,pestisida
CV PLANET AGRONUSA,CV PLANET AGRONUSA,12,pestisida+pupuk
PT. TRITAMA WIRAKARSA,PT. TRITAMA WIRAKARSA,12,pestisida
PT. AGRO BERJAYA CITRA TANI,PT. AGRO BERJAYA CITRA TANI,12,pestisida
PT. AGRO AFIAT NUSANTARA,PT. AGRO AFIAT NUSANTARA,12,pupuk
MANO AGRI NUSANTARA,MANO AGRI NUSANTARA,12,pupuk
SABANG MAKMUR SENTOSA,SABANG MAKMUR SENTOSA,12,pupuk
HAMAS PANDJI INDONESIA,HAMAS PANDJI INDONESIA,12,pupuk
ASIA KIMINDO PRIMA,PT. ASIA KIMINDO PRIMA,12,pupuk
ANJARI ATHA TANAYA,ANJARI ATHA TANAYA,12,pupuk
MITRA MERDEKA TANI,UD. Mitra Merdeka Tani,12,pupuk
MAKMUR JAYA ABADI,MAKMUR JAYA ABADI,12,pupuk
WAHANA PUNDIKARSA ABADI,PT. WAHANA PUNDIKARSA ABADI,11,pupuk
WINNER AGROCHEM INTERNUSA,WINNER AGROCHEM INTERNUSA,11,pestisida
PT. Maju Makmur Utomo,PT. Maju Makmur Utomo,11,pupuk-legacy
SINAR GENERAL INDUSTRIES,PT. SINAR GENERAL INDUSTRIES,11,pupuk
CV. KUNIMA JAYA SELARAS,CV. KUNIMA JAYA SELARAS,11,pestisida
PT. FARMCO KIMIA,PT. FARMCO KIMIA,11,pestisida
PROSPER BIOTECH INDONESIA,PT Prosper Biotech Indonesia,11,pupuk
PT. Agrotama Tunas Sarana,PT. Agrotama Tunas Sarana,11,pupuk-legacy
MITRA TANI ABADI JAYA,CV.MITRA TANI ABADI JAYA,11,pupuk
ARINDAMA NAWASENA AMERTA,ARINDAMA NAWASENA AMERTA,11,pupuk
PT. KARISMA INDOAGRO UNIVERSAL,PT. KARISMA INDOAGRO UNIVERSAL,11,pupuk+pupuk-legacy
CHEIL JEDANG INDONESIA,PT CHEIL JEDANG INDONESIA,11,pupuk
UD. PRIMAGRO,UD Primagro,11,pupuk-legacy
MULTIDAYA PUTRA SEJAHTERA,PT. Multidaya Putra Sejahtera,11,pupuk
PT. SOJITZ INDONESIA,PT. SOJITZ INDONESIA,11,pupuk
TANAMAN MAKMUR MANDIRI,PT. TANAMAN MAKMUR MANDIRI,10,pupuk
PT. MENARA LAUT BERSATU,PT. MENARA LAUT BERSATU,10,pestisida
PT. Nusa Mandiri Utama,PT. Nusa Mandiri Utama,10,pupuk-legacy
PT. SARANA TANI INDONESIA MAKMUR,PT. SARANA TANI INDONESIA MAKMUR,10,pestisida
PT. JJM INDONESIA,PT. JJM INDONESIA,10,pestisida
PT. AZELIS INDONESIA DISTRIBUSI,PT. AZELIS INDONESIA DISTRIBUSI,10,pestisida
PT. CORTEVA AGRISCIENCE INDONESIA,PT. CORTEVA AGRISCIENCE INDONESIA,10,pestisida
CV. ABADI JAYA,CV. ABADI JAYA,10,pestisida
PT. RECKITT BENCKISER INDONESIA,PT. RECKITT BENCKISER INDONESIA,10,pestisida
PT. ORCHID GLOBAL MAKMUR,PT. ORCHID GLOBAL MAKMUR,10,pestisida+pupuk-legacy
UTOMO UTOMO,PT. UTOMO UTOMO,10,pupuk
AGRIVERE TRANSFORMA INTERNASIONAL,AGRIVERE TRANSFORMA INTERNASIONAL,10,pupuk
LABA INDOAGRO NUSANTARA,LABA INDOAGRO NUSANTARA,10,pupuk
YAN UTAMA CORPORATION,YAN UTAMA CORPORATION,10,pupuk
GALATTA LESTARINDO,PT. GALATTA LESTARINDO,10,pupuk
INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,PT. INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,10,pupuk
TRIAGRO HIJRAH JAYA,TRIAGRO HIJRAH JAYA,10,pupuk
SUMBER AGUNG JAYA,CV. Sumber Agung Jaya,10,pupuk
ANUGERAH MUSTIKA OSTINDO,ANUGERAH MUSTIKA OSTINDO,10,pupuk
AGRO MULYA LESTARI,AGRO MULYA LESTARI,10,pupuk
GREEN PLANET INDONESIA,PT GREEN PLANET INDONESIA,10,pupuk
BUMI INDO RAHARJA,PT Bumi Indo Raharja,10,pupuk
ECA TANI BAROKAH,ECA TANI BAROKAH,10,pupuk
LOTUS AGROKIMIA INDONESIA,LOTUS AGROKIMIA INDONESIA,10,pupuk
MITRA TANI ABADI,CV.Mitra Tani Abadi,10,pupuk
PUPUK SRIWIDJAJA PALEMBANG,PT PUPUK SRIWIDJAJA PALEMBANG,10,pupuk
PT Pupuk Iskandar Muda,PT Pupuk Iskandar Muda,10,pupuk-legacy
DRAGON DISTRIBUSI INDONESIA,DRAGON DISTRIBUSI INDONESIA,10,pupuk
SCORLETS,SCORLETS,10,pupuk
KAYUAN INFARM INDONESIA,KAYUAN INFARM INDONESIA,10,pupuk
ADVANSIA INDOTANI,PT. ADVANSIA INDOTANI,9,pupuk
PT. SINERGI CHEM INDONESIA,PT. SINERGI CHEM INDONESIA,9,pestisida
PT. FORAGRO MAJU SEJAHTERA,PT. FORAGRO MAJU SEJAHTERA,9,pestisida
BINA GUNA KIMIA,PT. BINA GUNA KIMIA,9,pupuk
