nomor_pendaftaran,nama_produk,jenis_anomali,teks,keterangan
06090120093514,ALFA 30 EC,baris-bukan-nama-ilmiah,"Tidak boleh digunakan oleh perorangan, hanya digunakan oleh petugas Dinas Kesehatan/pest control",Baris ke-3 pada latinHamaKomoditas; tidak dijadikan OPT.
042018527,ETEPHON 85 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241350,PREVENTOL BO,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01030120134713,ROUNDUP POWERMAX 660 SL,kadar-kolom-bukan-angka,2 jam setelah semprot,"satuanPestisida=""-""; ditolak: satuan-bukan-satuan. Teksnya dipertahankan pada dosis_teks."
01030120134713,ROUNDUP POWERMAX 660 SL,kadar-kolom-bukan-angka,2 jam setelah semprot,"satuanPestisida=""-""; ditolak: satuan-bukan-satuan. Teksnya dipertahankan pada dosis_teks."
01030120134713,ROUNDUP POWERMAX 660 SL,kadar-kolom-bukan-angka,2 jam setelah semprot,"satuanPestisida=""-""; ditolak: satuan-bukan-satuan. Teksnya dipertahankan pada dosis_teks."
01030120134713,ROUNDUP POWERMAX 660 SL,kadar-kolom-bukan-angka,2 jam setelah semprot,"satuanPestisida=""-""; ditolak: satuan-bukan-satuan. Teksnya dipertahankan pada dosis_teks."
01030120134713,ROUNDUP POWERMAX 660 SL,kadar-kolom-bukan-angka,2 jam setelah semprot,"satuanPestisida=""-""; ditolak: satuan-bukan-satuan. Teksnya dipertahankan pada dosis_teks."
042001122,"2,4-D IPA 60 TC",kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420231140,Propiconazole 95% TC.,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231138,NIKOSULFURON 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032025584,CARBOFURAN 3 GR,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231196,PARAQUAT DICHLORIDE 42 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042021978,CHLOROTHALONIL 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221118,Innosei ® PHMB,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231211,PREVENTOL WB PLUS-L,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032024568,"2,4-D 98 TC",entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231158,INNOMAN ® BT 20,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231247,CARBOSULFAN 90 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251465,S-METOLAKLOR 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251470,Innosei ® QAC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042012289,IPA GLYPHOSATE 62 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241320,NITENPIRAM 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032024550,AMFAST 200 SL,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231189,"KUMATETRALIL 0,75 TP",entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042017458,BIOBAN™ BP-30 Preservative,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01010119951192,REGENT 50 SC,baris-bukan-nama-ilmiah,Perlakuan benih:,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
01010119951192,REGENT 50 SC,baris-bukan-nama-ilmiah,"12,5 ml/kg benih",Baris ke-3 pada latinHamaKomoditas; tidak dijadikan OPT.
01010119951192,REGENT 50 SC,baris-bukan-nama-ilmiah,Penyemprotan volume tinggi:,Baris ke-4 pada latinHamaKomoditas; tidak dijadikan OPT.
01010119951192,REGENT 50 SC,baris-bukan-nama-ilmiah,"0,25 - 0,5 l/ha",Baris ke-5 pada latinHamaKomoditas; tidak dijadikan OPT.
01010119951192,REGENT 50 SC,baris-bukan-nama-ilmiah,Perlakuan benih:,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
01010119951192,REGENT 50 SC,baris-bukan-nama-ilmiah,"18,75 -25 ml/kg benih",Baris ke-3 pada latinHamaKomoditas; tidak dijadikan OPT.
01010119951192,REGENT 50 SC,baris-bukan-nama-ilmiah,Penyemprotan volume tinggi:,Baris ke-4 pada latinHamaKomoditas; tidak dijadikan OPT.
01010119951192,REGENT 50 SC,baris-bukan-nama-ilmiah,3 ml/1,Baris ke-5 pada latinHamaKomoditas; tidak dijadikan OPT.
01030120134624,DAMISAT 620 SL,dosis-bentrok,"kolom=""1,125 - 2,25 l/ha"" kurung=""1,5 - 2,25 l/ha""","Komoditas ""Kelapa Sawit TBM"", OPT ""Paspalum conjugatum"". Kolom yang dipakai."
032022530,HIT 0.29 AE,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032019443,ACANTO 250 SC,kadar-kolom-bukan-angka,Kebutuhan Ekspor,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06090120124325,TENOPA 30/30 SC,kadar-kolom-bukan-angka,"Penyemprotan residual s/d 8 minggu: 2,5 ml/l","satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06090120124325,TENOPA 30/30 SC,baris-bukan-nama-ilmiah,Kalimat peringatan:,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
06090120124325,TENOPA 30/30 SC,baris-bukan-nama-ilmiah,Tidak boleh digunakan oleh,Baris ke-3 pada latinHamaKomoditas; tidak dijadikan OPT.
06090120124325,TENOPA 30/30 SC,baris-bukan-nama-ilmiah,"perorangan, hanya digunakan",Baris ke-4 pada latinHamaKomoditas; tidak dijadikan OPT.
06090120124325,TENOPA 30/30 SC,baris-bukan-nama-ilmiah,oleh petugas Dinas Kesehatan/,Baris ke-5 pada latinHamaKomoditas; tidak dijadikan OPT.
06090120124325,TENOPA 30/30 SC,baris-bukan-nama-ilmiah,pest control,Baris ke-6 pada latinHamaKomoditas; tidak dijadikan OPT.
06090120124325,TENOPA 30/30 SC,kadar-kolom-bukan-angka,Penyemprotan residual s/d 8 minggu: 10 ml/l,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06090120124325,TENOPA 30/30 SC,kadar-kolom-bukan-angka,"Penyemprotan residual s/d 8 minggu: 2,5 ml/l","satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06090120124325,TENOPA 30/30 SC,kadar-kolom-bukan-angka,Penyemprotan residual s/d 8 minggu: 20 ml/l,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06090120124325,TENOPA 30/30 SC,kadar-kolom-bukan-angka,Penyemprotan residual s/d 8 minggu: 20 ml/l,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
01040120042264,GIBGRO 10 SP,kadar-kolom-bukan-angka,10 ppm (50 g/ha) 20 HST dan 40 HST,"satuanPestisida=""-""; ditolak: satuan-terlalu-panjang. Teksnya dipertahankan pada dosis_teks."
042018664,TRICLOPYR BUTOTYL 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
01030120269624,PILARSTOP 450 CS,dosis-bentrok,"kolom=""0.9 - 1.8 l/ha"" kurung=""1,2 - 1,8 l/ha""","Komoditas ""Budidaya bawang merah"", OPT ""Axonopus compressus"". Kolom yang dipakai."
01030120269624,PILARSTOP 450 CS,dosis-bentrok,"kolom=""0.9 - 1.8 l/ha"" kurung=""1,2 - 1,8 l/ha""","Komoditas ""Budidaya bawang merah"", OPT ""Digitaria ciliaris"". Kolom yang dipakai."
01030120269624,PILARSTOP 450 CS,dosis-bentrok,"kolom=""0.9 - 1.8 l/ha"" kurung=""1,2 - 1,8 l/ha""","Komoditas ""Budidaya bawang merah"", OPT ""Cynodon dactylon"". Kolom yang dipakai."
06090120186047,JOLT 25 EC,kadar-kolom-bukan-angka,1 l/20 l air untuk 50 ml/m2 s.d. 4 minggu,"satuanPestisida=""-""; ditolak: satuan-terlalu-panjang. Teksnya dipertahankan pada dosis_teks."
06090120186047,JOLT 25 EC,kurung-bukan-dosis,1 l/20 l air untuk 50 ml/m2 s.d. 4 minggu,Ditolak: satuan-terlalu-panjang.
06090120186047,JOLT 25 EC,kadar-kolom-bukan-angka,1 l/20 l air untuk 50 ml/m2 s.d. 4 minggu,"satuanPestisida=""-""; ditolak: satuan-terlalu-panjang. Teksnya dipertahankan pada dosis_teks."
06090120186047,JOLT 25 EC,kurung-bukan-dosis,1 l/20 l air untuk 50 ml/m2 s.d. 4 minggu,Ditolak: satuan-terlalu-panjang.
06090120186047,JOLT 25 EC,kadar-kolom-bukan-angka,"2.5 2,5 ml/l air untuk 50 ml/m2 s.d 4 minggu","satuanPestisida=""-""; ditolak: satuan-diawali-bukan-huruf. Teksnya dipertahankan pada dosis_teks."
06090120186047,JOLT 25 EC,kurung-bukan-dosis,"2,5 ml/l air untuk 50 ml/m2 s.d. 4 minggu",Ditolak: satuan-terlalu-panjang.
06090120186047,JOLT 25 EC,kadar-kolom-bukan-angka,"2,5 ml/l air untuk 50 ml/m2 s.d. 4 minggu","satuanPestisida=""-""; ditolak: satuan-terlalu-panjang. Teksnya dipertahankan pada dosis_teks."
06090120186047,JOLT 25 EC,kurung-bukan-dosis,"2,5 ml/l air untuk 50 ml/m2 s.d. 4 minggu",Ditolak: satuan-terlalu-panjang.
06090120186047,JOLT 25 EC,kadar-kolom-bukan-angka,"2,5 ml/l air untuk 50 ml/m2 s.d. 4 minggu","satuanPestisida=""-""; ditolak: satuan-terlalu-panjang. Teksnya dipertahankan pada dosis_teks."
06090120186047,JOLT 25 EC,kurung-bukan-dosis,"2,5 ml/l air untuk 50 ml/m2 s.d. 4 minggu",Ditolak: satuan-terlalu-panjang.
0420251383,SAFLUFENACIL 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241268,AZOKSISTROBIN 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042021950,GLIFOSAT 95 TC,kadar-kolom-bukan-angka,Tidak Termasuk Salah Satu Persyaratan Pendaftaran Izin Tetap Baru Bahan Teknis,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420251445,PREVENTOL P 91,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231148,ACTICIDE AGT2,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221115,Innosei ® PHE,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420261501,Densil AF1,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01040120155381,POSTON 250 SC,baris-bukan-nama-ilmiah,"Meningkatkan banyaknya ranting, bunga",Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
06080120227337,NOMOS 0.2MC,kadar-kolom-bukan-angka,siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120227337,NOMOS 0.2MC,kadar-kolom-bukan-angka,siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420231136,LAMDA SIHALOTRIN 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01120120124466,"HARAKA 0,005 BB",kadar-kolom-bukan-angka,Pengumpanan siap pakai,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420221046,BISTAR 10 TK,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042018560,BRODIFACOUM 96 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032009220,VAPE LIQUID e90 LV,kadar-kolom-bukan-angka,-,"satuanPestisida=""g/l""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032009220,VAPE LIQUID e90 LV,kurung-bukan-dosis,Product export,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06080120175694,HIT 7.5 LV,kadar-kolom-bukan-angka,siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120175694,HIT 7.5 LV,kadar-kolom-bukan-angka,siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420231165,INNOMAN ® HQ,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01030120269626,PRIMA-GOAL 240 EC,dosis-bentrok,"kolom=""1,5 – 2 l/ha"" kurung=""1,5 - 3 l/ha""","Komoditas ""Bawang merah"", OPT ""Portulaca oleraceae"". Kolom yang dipakai."
042017468,GLIFOSAT 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420163,GLYPHOSATE 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""ml/l""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420261482,FLUFENAZOPYR 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032025603,METHOMYL 40 SP,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042018602,GLYPHOSATE 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241270,BRODIFACOUM 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251438,Microcare IM,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231168,ABAMECTIN 95 % TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042021915,GLUFOSINATE AMMONIUM 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032024580,ROVRAL 500 SC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01040120258934,GAPLUS 40 SL,baris-bukan-nama-ilmiah,"panjang malai, hasil ubinan dan hasil per hektar",Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
0420251473,N-2000 ANTIMICROBIAL,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221035,MICROCARE CHD,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231147,TIAMETOKSAM 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042018582,NEOLONE™ PHCG Preservative,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042007206,ML-THION 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042020868,ACTICIDE MBR 1,kurung-bukan-dosis,2H,Ditolak: satuan-tanpa-garis-miring.
042020868,ACTICIDE MBR 1,kurung-bukan-dosis,2H,Ditolak: satuan-tanpa-garis-miring.
01040120134756,BAYGEST 40 SL,kadar-kolom-bukan-angka,1 ml (3 HST dan 6 MST),"satuanPestisida=""-""; ditolak: satuan-bukan-satuan. Teksnya dipertahankan pada dosis_teks."
0420231134,IMIDAKLOPRID 97 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241369,BIOX M248,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
06080120248550,SOFFELL LEAF 137 AL,kadar-kolom-bukan-angka,siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120248550,SOFFELL LEAF 137 AL,kadar-kolom-bukan-angka,siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420241267,Glufosinate-ammonium 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0609011978355,ACTELLIC 500 EC,kurung-bukan-dosis,thermal fogging,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
0609011978355,ACTELLIC 500 EC,kurung-bukan-dosis,thermal fogging,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
0609011978355,ACTELLIC 500 EC,kurung-bukan-dosis,ULV,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
0609011978355,ACTELLIC 500 EC,kurung-bukan-dosis,ULV,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
0609011978355,ACTELLIC 500 EC,kurung-bukan-dosis,Penyemprotan residual : 9.25 ml/l,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
0420251385,ACTICIDE DCX 30,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032024563,MIRAI 200 DAYS,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042019796,PROFENOFOS 94 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420221020,FLUROKSIPIR MEPTIL 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01010120011650,SPONTANKING 400 SL,kurung-bukan-dosis,sundep dan beluk,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
0411011990929,TERMIBAN 400 EC,kadar-kolom-bukan-angka,"0,125 ml/l, retensi: 0,678 kg/m3 Perendaman dingin: 0,06%","satuanPestisida=""-""; ditolak: satuan-terlalu-panjang. Teksnya dipertahankan pada dosis_teks."
0411011990929,TERMIBAN 400 EC,kadar-kolom-bukan-angka,"0,0625 ml/l, retensi: 0,035 kg/m3 Perendaman dingin: 0,0625%, retensi: 0,207 kg/m3","satuanPestisida=""-""; ditolak: satuan-terlalu-panjang. Teksnya dipertahankan pada dosis_teks."
0420221045,ATRAZINE 97 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251407,Proxel K31G,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042021979,DELTAMETHRIN 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251459,HEXYTHIAZOX 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042018656,METSULFURON METHYL 96 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032026643,PROSULFOCARB 800 EC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221093,EPOKSIKONAZOL 97 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032022531,HIT 12.13 LV,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
06090120093466,LOVLAN 1220 UL,dosis-bentrok,"kolom=""468,5 ml/ha"" kurung=""468,75 ml/ha""","Komoditas ""Di dalam dan di luar ruangan"", OPT ""Aedes aegypti"". Kolom yang dipakai."
032022536,RELSION 200/6 SC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042018593,DIMETHOATE 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042018649,FIPRONIL 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
