nama_produk,nomor_pendaftaran,jenis_pestisida,bentuk_formulasi,bahan_aktif,pemegang_pendaftaran,jenis_perseroan,perihal,bidang_penggunaan,komoditas_sasaran,tanggal_terbit,tanggal_berakhir,jml_perubahan_nama,jml_perubahan_pemegang,jml_perluasan,id,bahan_aktif_json,komoditas_json
KENCONIL 75 WP,01020120155343,Fungisida,"yang bersifat 
protektif berbentuk tepung 
yang dapat disuspensikan",Klorotalonil (Chlorothalonil) 75 %,KENSO INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Kentang,2025-11-13,2030-11-13,0,0,0,32aee2d2-01be-4b2b-b527-0c1ae88dda79,"[{""namaBahan"": ""Klorotalonil (Chlorothalonil) "", ""kadarBahan"": ""75"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Penyakit Hawar Daun"", ""namaKomoditas"": ""Kentang "", ""kadarPestisida"": ""1.5"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Phytophthora infestans ""}]"
Cislin 25 EC,04110120185945,Bahan pengawet kayu,"racun kontak dan lambung 
berbentuk pekatan yang 
dapat diemulsikan",Deltametrin 25 g/l,DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Kayu gergajian; Tanah bangunan,2023-04-26,2028-04-26,0,1,0,32b53671-684e-4f35-b795-bfdb65515025,"[{""namaBahan"": ""Deltametrin"", ""kadarBahan"": ""25"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""rayap kayu kering"", ""namaKomoditas"": ""Kayu gergajian"", ""kadarPestisida"": ""2,5"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Cryptotermes cynocephalus""}, {""hamaKomoditas"": ""rayap tanah"", ""namaKomoditas"": ""Tanah bangunan"", ""kadarPestisida"": ""2,5"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Coptermes gestroi""}]"
DESTAN 400 EC,01010120042068,Insektisida,"sistemik racun kontak 
berbentuk pekatan yang dapat 
diemulsikan",Dimetoat 400 g/l,DELTAGRO MULIA SEJATI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Cabai,2023-08-28,2028-08-28,0,0,0,32be82c1-5106-499e-a12d-c960f4d2bb76,"[{""namaBahan"": ""Dimetoat"", ""kadarBahan"": ""400"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""ulat grayak"", ""namaKomoditas"": ""Cabai"", ""kadarPestisida"": ""1,5-2"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Spodoptera litura""}, {""hamaKomoditas"": ""hama trips"", ""namaKomoditas"": ""Cabai"", ""kadarPestisida"": ""2"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Thrips parvispinus""}, {""hamaKomoditas"": ""kutu daun"", ""namaKomoditas"": ""Cabai"", ""kadarPestisida"": ""2"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Myzus persicae""}]"
OKSIVEN 240 EC,01030120269614,Herbisida,kontak pratumbuh dan purnatumbuh berbentuk pekatan yang dapat diemulsikan,Oksifluorfen (Oxyfluorfen) 240 g/l,BENIH BERKAH BERSERI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Bawang merah,2026-07-16,2031-07-16,0,0,0,32cea27f-e029-43ba-b946-60b847524348,"[{""namaBahan"": ""Oksifluorfen (Oxyfluorfen)"", ""kadarBahan"": ""240"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Eleusina indica (1 - 2 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Echinochloa colonum (1 - 2 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Ageratum conyzoides (1 - 2 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Euphorbia hirta (1 - 2 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Portulaca oleracea (1 - 2 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Synedrella nodiflora (1 - 2 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Amaranthus spinosus (1 - 2 l/ha)""}]"
INDO-EAGROWCLEAR 15/30/10 WP,01030120237892,Herbisida,sistemik selektif pra tumbuh dan purna tumbuh berbentuk tepung yang dapat disuspensikan,Diuron 15 %; Ametrin 30 %; MCPA 10 %,INDO-SINO AGROCHEMICAL,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Budidaya tebu,2023-08-28,2028-08-28,0,0,0,32e583ee-90a3-4dbe-94ea-89d64e0ec9dd,"[{""namaBahan"": ""Diuron"", ""kadarBahan"": ""15"", ""satuanBahan"": ""%""}, {""namaBahan"": ""Ametrin "", ""kadarBahan"": ""30"", ""satuanBahan"": ""%""}, {""namaBahan"": ""MCPA"", ""kadarBahan"": ""10"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Gulma berdaun lebar "", ""namaKomoditas"": ""Budidaya tebu"", ""kadarPestisida"": ""2,25 - 4,5"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Cleome rutidosperma ""}, {""hamaKomoditas"": ""Gulma berdaun lebar "", ""namaKomoditas"": ""Budidaya tebu"", ""kadarPestisida"": ""2,25 - 4,5"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides""}, {""hamaKomoditas"": ""Gulma berdaun lebar "", ""namaKomoditas"": ""Budidaya tebu"", ""kadarPestisida"": ""2,25 - 4,5"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Ipomoea triloba""}, {""hamaKomoditas"": ""Gulma golongan rumput "", ""namaKomoditas"": ""Budidaya tebu"", ""kadarPestisida"": ""2,25 - 4,5"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Eleusine indica  ""}, {""hamaKomoditas"": ""Gulma golongan rumput "", ""namaKomoditas"": ""Budidaya tebu"", ""kadarPestisida"": ""2,25 - 4,5"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Digitaria ciliaris ""}]"
SALTO 85 WP,01020120145020,Fungisida,sistemik yang bersifat protektif berbentuk tepung yang dapat disuspensikan,Dimethomorph 85 %,SINAR GENERAL INDUSTRIES,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Bawang merah,2024-09-19,2029-09-19,0,0,0,32f2675f-89a9-482d-97b8-fda35c587683,"[{""namaBahan"": ""Dimethomorph"", ""kadarBahan"": ""85"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""penyakit bercak ungu"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Alternaria porri""}]"
DEVRINOL 50 WG,01030120217199,Herbisida,"sistemik pratumbuh 
dan purnatumbuh 
berbentuk butiran yang dapat 
didispersikan dalam air",Napropamid 50 %,UPL INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Padang rumput golf,2026-04-20,2031-04-20,0,0,0,32fd0e55-49a4-4083-af1b-451f3a627d83,"[{""namaBahan"": ""Napropamid"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Gulma golongan rumput "", ""namaKomoditas"": ""Padang rumput golf"", ""kadarPestisida"": ""6,75 - 9"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Eleusine indica""}, {""hamaKomoditas"": ""Gulma golongan rumput "", ""namaKomoditas"": ""Padang rumput golf"", ""kadarPestisida"": ""6,75 - 9"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Panicum repens""}, {""hamaKomoditas"": ""Gulma golongan rumput "", ""namaKomoditas"": ""Padang rumput golf"", ""kadarPestisida"": ""6,75 - 9"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Digitaria ciliaris""}, {""hamaKomoditas"": ""Gulma berdaun lebar "", ""namaKomoditas"": ""Padang rumput golf"", ""kadarPestisida"": ""6,75 - 9"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Portulaca oleracea""}, {""hamaKomoditas"": ""Gulma berdaun lebar "", ""namaKomoditas"": ""Padang rumput golf"", ""kadarPestisida"": ""6,75 - 9"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Cleome rutidosperma""}, {""hamaKomoditas"": ""Gulma berdaun lebar "", ""namaKomoditas"": ""Padang rumput golf"", ""kadarPestisida"": ""6,75 - 9"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Euphorbia hirta""}, {""hamaKomoditas"": ""Gulma berdaun lebar "", ""namaKomoditas"": ""Padang rumput golf"", ""kadarPestisida"": ""6,75 - 9"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Mimosa pudica""}, {""hamaKomoditas"": ""Gulma berdaun lebar "", ""namaKomoditas"": ""Padang rumput golf"", ""kadarPestisida"": ""6,75 - 9"", ""satuanPestisida"": ""kg/ha"", ""latinHamaKomoditas"": ""Amaranthus viridis""}]"
SAFLUFENACIL 96 TC,0420261522,Herbisida,Tepung,saflufenasil 96 %,KHARISMA AGRI WIJAYA,CV.,Pestisida Alami - Permohonan Izin Tetap Baru Bahan Teknis,,,2026-07-16,2031-07-16,0,0,0,330c6d06-a57f-434d-8573-db9bda7e75df,"[{""namaBahan"": ""saflufenasil"", ""kadarBahan"": ""96"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": """", ""namaKomoditas"": """", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": """"}]"
PUSH 30/300 OD,01030120237801,Herbisida,sistemik purna tumbuh berbentuk larutan dalam minyak,Sihalofop butil 300 g/l; Etoksisulfuron 30 g/l,EASTCHEM AGROSCIENCE INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Budidaya padi sawah tanam pindah (Tapin),2023-04-26,2028-04-26,2,0,0,3328229a-a923-481d-adf6-0845818f114c,"[{""namaBahan"": ""Sihalofop butil"", ""kadarBahan"": ""300"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Etoksisulfuron"", ""kadarBahan"": ""30"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya padi sawah tanam pindah (Tapin)"", ""kadarPestisida"": ""0,75 - 1,50"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Monochoria vaginalis (0,75 - 1,5 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya padi sawah tanam pindah (Tapin)"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Ludwigia octovalvis (0,75 - 1,5 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Budidaya padi sawah tanam pindah (Tapin)"", ""kadarPestisida"": ""0,75 - 1,50"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Leptochloa chinensis (0,75 - 1,5 l/ha)""}, {""hamaKomoditas"": ""teki"", ""namaKomoditas"": ""Budidaya padi sawah tanam pindah (Tapin)"", ""kadarPestisida"": ""0,75 - 1,50"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Cyperus iria (0,75 - 1,5 l/ha)""}, {""hamaKomoditas"": ""teki"", ""namaKomoditas"": ""Budidaya padi sawah tanam pindah (Tapin)"", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": ""Eleocharis dulcis (0,75 - 1,5 l/ha)""}, {""hamaKomoditas"": ""teki"", ""namaKomoditas"": ""Budidaya padi sawah tanam pindah (Tapin)"", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": ""Fimbristylis miliacea (0,75 - 1,5 l/ha)""}]"
STARTREK  288 EC,.01030120083156,Herbisida,EC,fluroksipir meptil 288 g/l,PETROKIMIA KAYAKU,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Karet; Kelapa sawit (TBM); Budidaya Tanaman HTI  Acacia mangium,2022-06-27,2027-06-27,0,0,0,33415c08-a54c-4611-8177-e6cd8369162e,"[{""namaBahan"": ""fluroksipir meptil"", ""kadarBahan"": ""288"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Karet"", ""kadarPestisida"": ""0.75 - 1.25"", ""satuanPestisida"": ""liter/ha"", ""latinHamaKomoditas"": ""Asystasia intrusa""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa sawit (TBM)"", ""kadarPestisida"": ""0.75 - 1.25"", ""satuanPestisida"": ""liter/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Budidaya Tanaman HTI  Acacia mangium"", ""kadarPestisida"": ""1.25 - 1.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides""}]"
Kemiholzply CTF-2M 380 OC,032001140,Insektisida,Larutan,fenilfenol 150 g/l; iodo propil butil karbamat 200 g/l; imidakloprid 30 g/l,MSR HIJAU LESTARI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ekspor,,Lantai Kayu,2023-08-28,2028-08-28,0,0,0,335316c5-ac12-4b98-8a51-ad17aaac2cf8,"[{""namaBahan"": ""fenilfenol "", ""kadarBahan"": ""150"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""iodo propil butil karbamat"", ""kadarBahan"": ""200"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""imidakloprid"", ""kadarBahan"": ""30"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Kumbang Bubuk Kayu"", ""namaKomoditas"": ""Lantai Kayu"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Lyctinae""}]"
KENDAX 400 EC,01010120144940,Insektisida,"racun kontak dan 
lambung berbentuk pekatan yang 
dapat diemulsikan",Dimetoat (Dimethoate) 400 g/l,KENSO INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Jeruk; Melon,2024-08-09,2029-08-09,0,0,0,33622ecb-940c-4805-a484-2675078321f4,"[{""namaBahan"": ""Dimetoat (Dimethoate)"", ""kadarBahan"": ""400"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Kutu Loncat"", ""namaKomoditas"": ""Jeruk"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Diaphorina citri (1 ml/l )""}, {""hamaKomoditas"": ""Kutu Daun"", ""namaKomoditas"": ""Jeruk"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Toxoptera citridus (1 ml/l )""}, {""hamaKomoditas"": ""Hama trips "", ""namaKomoditas"": ""Melon"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Thrips parvispinus (1 ml/l )""}]"
TASPON 10 PA,01040120124523,Zat Pengatur Tumbuh Tanaman,berbentuk pasta,etefon 10 g/l,GLOBAL AGROTAMA INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Karet,2023-08-28,2028-08-28,0,1,0,33660c60-fcdb-4032-ad68-aa30afc8e729,"[{""namaBahan"": ""etefon"", ""kadarBahan"": ""10"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": """", ""namaKomoditas"": ""Karet"", ""kadarPestisida"": ""0,9"", ""satuanPestisida"": ""gr/Pohon"", ""latinHamaKomoditas"": ""meningkatkan produksi karet kering""}]"
FOLIRFOS 400 SL,0102011990959,Fungisida,yang bersifat sistemik berbentuk larutan dalam air,asam fosfit 400 g/l,MITRA KREASIDHARMA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Bawang merah; Padi; Tomat; Nenas; Cengkeh; Kakao (TM),2022-10-04,2027-10-04,0,0,0,336d7f4a-1d8d-41ed-9191-8e04d005bf43,"[{""namaBahan"": ""asam fosfit"", ""kadarBahan"": ""400"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""asam fosfit"", ""kadarBahan"": ""400"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""asam fosfit"", ""kadarBahan"": ""400"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""asam fosfit"", ""kadarBahan"": ""400"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""penyakit embun bulu"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": ""4,5"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Peronospora destructor 4,5 ml/l""}, {""hamaKomoditas"": ""penyakit hawar pelepah"", ""namaKomoditas"": ""Padi"", ""kadarPestisida"": ""6"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Rhizoctonia solani 6 ml/l""}, {""hamaKomoditas"": ""penyakit busuk daun"", ""namaKomoditas"": ""Tomat"", ""kadarPestisida"": ""2"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Phytophthora infestans 2 ml/l""}, {""hamaKomoditas"": ""penyakit busuk hati"", ""namaKomoditas"": ""Nenas"", ""kadarPestisida"": ""2,25"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Phytophthora spp. 2,25 ml/l""}, {""hamaKomoditas"": ""penyakit hawar daun"", ""namaKomoditas"": ""Cengkeh"", ""kadarPestisida"": ""6"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Phytophthora sp. 6 ml/l""}, {""hamaKomoditas"": ""penyakit busuk buah"", ""namaKomoditas"": ""Kakao (TM)"", ""kadarPestisida"": ""20 ml/l/20 ml air/pohon"", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Phytophthora palmivora 20 ml/l/20 ml air/pohon""}]"
ACTICIDE MV,042019775,Fungisida,Larutan,5-Chloro-2methyl--iso-thiaolin-3-one -dan 2methyl - 2 H -isothiazol-3-one 1.5 %,JAYA WARINDO ABADI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Bahan Teknis,,Acticide MV,2024-09-19,2029-09-19,0,0,0,337ec1fe-bc4d-4528-b26e-231f0f9a43c8,"[{""namaBahan"": ""5-Chloro-2methyl--iso-thiaolin-3-one -dan 2methyl - 2 H -isothiazol-3-one"", ""kadarBahan"": ""1.5"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Jamur"", ""namaKomoditas"": ""Acticide MV"", ""kadarPestisida"": ""1,5"", ""satuanPestisida"": ""%"", ""latinHamaKomoditas"": ""5-Chloro-2methyl-4-isothiaolin-3-one and 2 methyl -2H-isothiaol-3-one""}]"
"2,4-D 98 TC",0420251448,Herbisida,Tepung,"2,4-D 98 %",MAXXI AGRI INDONESIA,PT.,Pestisida Alami - Permohonan Izin Tetap Baru Bahan Teknis,,,2026-01-20,2031-01-20,0,0,0,338040a2-3344-4583-96bf-20263367efb5,"[{""namaBahan"": ""2,4-D"", ""kadarBahan"": ""98"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": """", ""namaKomoditas"": """", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": """"}]"
SKIPPER 50/20 WP,01020120165463,Fungisida,yang bersifat protektif berbentuk tepung yang dapat disuspensikan,simoksanil 20 %; tembaga oksiklorida 50 %,DHARMA GUNA WIBAWA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Bawang Merah; Cabai; Kentang; Tomat,2022-10-04,2027-10-04,0,1,0,338b2037-5932-4613-8b23-4dbd01e4fc56,"[{""namaBahan"": ""simoksanil"", ""kadarBahan"": ""20"", ""satuanBahan"": ""%""}, {""namaBahan"": ""tembaga oksiklorida"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}, {""namaBahan"": ""tembaga oksiklorida"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}, {""namaBahan"": ""tembaga oksiklorida"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}, {""namaBahan"": ""tembaga oksiklorida"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}, {""namaBahan"": ""tembaga oksiklorida"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}, {""namaBahan"": ""simoksanil"", ""kadarBahan"": ""20"", ""satuanBahan"": ""%""}, {""namaBahan"": ""simoksanil"", ""kadarBahan"": ""20"", ""satuanBahan"": ""%""}, {""namaBahan"": ""simoksanil"", ""kadarBahan"": ""20"", ""satuanBahan"": ""%""}, {""namaBahan"": ""simoksanil"", ""kadarBahan"": ""20"", ""satuanBahan"": ""%""}, {""namaBahan"": ""simoksanil"", ""kadarBahan"": ""20"", ""satuanBahan"": ""%""}, {""namaBahan"": ""tembaga oksiklorida"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}, {""namaBahan"": ""simoksanil"", ""kadarBahan"": ""20"", ""satuanBahan"": ""%""}, {""namaBahan"": ""tembaga oksiklorida"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Penyakit busuk daun "", ""namaKomoditas"": ""Bawang Merah"", ""kadarPestisida"": ""3"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Peronospora destructor 3 g/l""}, {""hamaKomoditas"": ""Penyakit antraknosa "", ""namaKomoditas"": ""Cabai"", ""kadarPestisida"": ""2"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Colletotrichum capsici 2 g/l""}, {""hamaKomoditas"": ""Penyakit bercak daun"", ""namaKomoditas"": ""Cabai"", ""kadarPestisida"": ""2"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Cercospora capsici 2 g/l""}, {""hamaKomoditas"": ""Penyakit hawar daun "", ""namaKomoditas"": ""Kentang"", ""kadarPestisida"": ""4"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Phytophthora infestans 4 g/l""}, {""hamaKomoditas"": ""Penyakit bercak kering"", ""namaKomoditas"": ""Kentang"", ""kadarPestisida"": ""4"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Alternaria solani 4 g/l""}, {""hamaKomoditas"": ""Penyakit bercak coklat"", ""namaKomoditas"": ""Tomat"", ""kadarPestisida"": ""3"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Alternaria solani 3 g/l""}]"
CARBARYL 99 TC,0420241300,Insektisida,Kristal,Karbaril 99 %,DELTA GIRI WACANA,PT.,Pestisida Alami - Permohonan Izin Tetap Baru Bahan Teknis,,,2024-09-19,2029-09-19,0,0,0,338ec95f-7a85-4f2a-b83d-09fcb0f2adac,"[{""namaBahan"": ""Karbaril"", ""kadarBahan"": ""99"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": """", ""namaKomoditas"": """", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": """"}]"
Double star 200/70/30 OD,01030120248603,Herbisida,sistemik selektif  pratumbuh dan purnatumbuh berbentuk minyak yang didispersikan dalam air,nikosulfuron 30 g/l; atrazin 200 g/l; mesotrion 70 g/l,BYTER AGRICULTURE INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Jagung,2025-02-17,2030-02-17,0,0,0,338f826b-e35c-4ec1-bb7e-4aec3f84dc54,"[{""namaBahan"": ""nikosulfuron"", ""kadarBahan"": ""30"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""atrazin"", ""kadarBahan"": ""200"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""mesotrion"", ""kadarBahan"": ""70"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1,5 - 2,5 "", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Portulaca oleracea (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1,5 - 2,5 "", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Cleome rutidosperma (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1,5 - 2,5 "", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Synedrella nodiflora (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1,5 - 2,5 "", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Digitaria adscendens (1,5 - 2,5 l/ha)""}]"
