nomor_pendaftaran,merk_dagang,jenis_anomali,teks,keterangan
02.08.2021.499,HYDROFARM,titik-ambigu,Fe-total = 8.401 ppm,"""8.401"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
02.03.2022.348,Logo T,titik-ambigu,Fe-total = 12.621 ppm,"""12.621"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
04.01.2021.371,BOMA SAKTI PRIMA - 27,satuan-tak-lazim,Kehalusan 25 Mesh = 100 &,"Satuan terbaca ""&""; angkanya kemungkinan tidak utuh."
02.03.2022.385,Fajarmas,titik-ambigu,Fe-total = 9.937 ppm,"""9.937"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
01.01.2021.911,OKURA EMAS,nilai-kosong,TE,"Parameter ada, nilainya kosong."
03.07.2024.431,test,parameter-kosong,,Nama dan nilai sama-sama kosong setelah HTML dilepas.
01.02.2025.943,SiBOSSQUE,titik-ambigu,Zn = 1.524 ppm,"""1.524"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
02.07.2021.507,Terraphos,titik-ambigu,Fe-total = 1.811 ppm,"""1.811"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
04.03.2022.1152,DECOHUMAT,pengali-tanpa-pangkat,"Bacillus subtilis = 1,0 x 107 CFU/g","Sumbernya menulis ""x 10n"" tanpa tag <sup>; pangkatnya tidak bisa dipastikan, jadi tidak diisi."
04.03.2026.50,QIUVITA,satuan-tak-lazim,"Kadar Air = 9, 25 %","Satuan terbaca "", 25 %""; angkanya kemungkinan tidak utuh."
01.01.2024.839,JADI MAS,parameter-kosong,,Nama dan nilai sama-sama kosong setelah HTML dilepas.
02.03.2021.554,No - Sam - Ta,titik-ambigu,Fe-total = 6.933 ppm,"""6.933"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
02.03.2024.313,STI,titik-ambigu,Fe-total = 4.320 ppm,"""4.320"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
02.01.2021.606,LODRIN,titik-ambigu,Fe-total = 14.884 ppm,"""14.884"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
01.02.2024.39,AgroGain,satuan-tak-lazim,CaO = 5. %,"Satuan terbaca "". %""; angkanya kemungkinan tidak utuh."
01.03.2024.446,BUMI ANDALAN,nilai-tak-terurai,"Kadar Air Bebas = o,01 %",Tidak diawali angka maupun kata kualitatif.
01.01.2022.1321,YaraLiva TROPICOTE,satuan-tak-lazim,N = 15 5,"Satuan terbaca ""5""; angkanya kemungkinan tidak utuh."
03.02.2024.21,GRAND TOMIKs,pengali-tanpa-pangkat,"Azospirillum sp = 6,00 x 106 CFU/ml","Sumbernya menulis ""x 10n"" tanpa tag <sup>; pangkatnya tidak bisa dipastikan, jadi tidak diisi."
01.01.2023.2264,BoNitro 89,nilai-tak-terurai,SO4^- = ttd,Tidak diawali angka maupun kata kualitatif.
02.02.2021.471,JAGAD TANI,parameter-kosong,,Nama dan nilai sama-sama kosong setelah HTML dilepas.
03.02.2023.328,SIMBIOS,pengali-tanpa-pangkat,"Rhizobium sp = 4,45 x 106 CFU/ml","Sumbernya menulis ""x 10n"" tanpa tag <sup>; pangkatnya tidak bisa dipastikan, jadi tidak diisi."
02.05.2021.490,GREAT GIANT BIOCOMPOST,titik-ambigu,Fe-total = 14.965 ppm,"""14.965"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
01.01.2024.1137,BUSUR,parameter-kosong,,Nama dan nilai sama-sama kosong setelah HTML dilepas.
02.08.2021.410,REKATANI,titik-ambigu,Fe-total = 6.208 ppm,"""6.208"" dibaca sebagai desimal; tanpa koma di mana pun, titik yang diikuti tepat tiga angka bisa juga pemisah ribuan."
03.02.2026.189,Bio Desah,sel-majemuk-tak-sepadan,"key=[Pseudomonas fluorescens] value=[2,00 x 10^6 CFU. | /ml]",1 blok nama lawan 2 blok nilai; blok disatukan jadi satu parameter.
01.06.2021.853,COBAPUKANOR,parameter-kosong,,Nama dan nilai sama-sama kosong setelah HTML dilepas.
01.01.2021.557,Bintang tani,nilai-tak-terurai,P2O5 = ;8%,Tidak diawali angka maupun kata kualitatif.
01.05.2023.2003,08oktest123,nilai-tak-terurai,08okt123 = siapsooo99,Tidak diawali angka maupun kata kualitatif.
01.03.2023.548,RabanaSol,satuan-tak-lazim,P2O5 = 10 5,"Satuan terbaca ""5""; angkanya kemungkinan tidak utuh."
01.01.2020.648,Daun Sawit,parameter-kosong,,Nama dan nilai sama-sama kosong setelah HTML dilepas.
