principal,sektor,jml_produk_pupuk,jml_produk_pestisida,jml_produk_total,rincian_jenis_pestisida,nama_varian_lain
PT.MEROKE TETAP JAYA,Pupuk,141,0,141,,MEROKE TETAP JAYA
PT. BEHN MEYER AGRICARE,Pupuk+Pestisida,97,37,134,Insektisida:16; Herbisida:13; Fungisida:6; Rodentisida:1; Nematisida:1,BEHN MEYER AGRICARE
PT. MEST INDONESIY,Pupuk,134,0,134,,MEST INDONESIY
PT. DELTA GIRI WACANA,Pupuk+Pestisida,4,129,133,Insektisida:50; Herbisida:46; Fungisida:21; Moluskisida:5; Rodentisida:3; Zat Pengatur Tumbuh Tanaman:2; Bakterisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1,DELTA GIRI WACANA
PT. DALZON CHEMICALS INDONESIA,Pestisida,0,132,132,Insektisida:56; Herbisida:53; Fungisida:17; Zat Pengatur Tumbuh Tanaman:4; Rodentisida:1; Moluskisida:1,
PT. MAJU MAKMUR UTOMO,Pupuk+Pestisida,63,58,121,Insektisida:24; Herbisida:8; Fungisida:8; Zat Pengatur Tumbuh Tanaman:6; Pestisida Pengendalian Vektor Penyakit Pada Manusia:5; Moluskisida:3; Bahan pengawet kayu:2; Bakterisida:1; Pestisida Rumah Tangga:1,MAJU MAKMUR UTOMO; PT. Maju Makmur Utomo
PT. PRIMA KARYA BERJAYA,Pupuk+Pestisida,12,102,114,Herbisida:51; Insektisida:26; Fungisida:12; Zat Pengatur Tumbuh Tanaman:4; Moluskisida:4; Rodentisida:4; Nematisida:1,PRIMA KARYA BERJAYA
PT. PETROSIDA GRESIK,Pupuk+Pestisida,27,81,108,Herbisida:32; Insektisida:29; Fungisida:13; Zat Pengatur Tumbuh Tanaman:4; Rodentisida:1; Moluskisida:1; Akarisida:1,PETROSIDA GRESIK; PT. Petrosida Gresik
PT. BASF INDONESIA,Pestisida,0,106,106,Herbisida:36; Insektisida:30; Fungisida:27; Pestisida Pengendalian Vektor Penyakit Pada Manusia:8; Rodentisida:3; Bahan pengawet kayu:1; Pestisida Rumah Tangga:1,
PT. SOLO LOGO INDONESIA,Pestisida,0,104,104,Herbisida:39; Insektisida:36; Fungisida:19; Zat Pengatur Tumbuh Tanaman:5; Moluskisida:4; Akarisida:1,
PT. PETROKIMIA KAYAKU,Pupuk+Pestisida,21,80,101,Insektisida:30; Herbisida:28; Fungisida:13; Rodentisida:3; Bahan pengawet kayu:2; Zat Pengatur Tumbuh Tanaman:2; Atraktan / Feromon:1; Moluskisida:1,PETROKIMIA KAYAKU; PT Petrokimia Kayaku
PT. NUFARM INDONESIA,Pestisida,0,96,96,Herbisida:36; Insektisida:35; Fungisida:12; Zat Pengatur Tumbuh Tanaman:11; Bakterisida:1; Pestisida Rumah Tangga:1,
PT. ADVANSIA INDOTANI,Pupuk+Pestisida,9,86,95,Insektisida:33; Herbisida:28; Fungisida:20; Bakterisida:2; Akarisida:1; Moluskisida:1; Rodentisida:1,ADVANSIA INDOTANI
PT. MAXXI AGRI INDONESIA,Pupuk+Pestisida,19,74,93,Herbisida:40; Insektisida:17; Fungisida:14; Zat Pengatur Tumbuh Tanaman:2; Akarisida:1,MAXXI AGRI INDONESIA
PT. DELTAGRO MULIA SEJATI,Pupuk+Pestisida,1,91,92,Insektisida:43; Herbisida:19; Fungisida:18; Zat Pengatur Tumbuh Tanaman:7; Moluskisida:3; Rodentisida:1,DELTAGRO MULIA SEJATI
PT. SYNGENTA INDONESIA,Pupuk+Pestisida,1,89,90,Insektisida:31; Fungisida:27; Herbisida:16; Pestisida Pengendalian Vektor Penyakit Pada Manusia:5; Pestisida Rumah Tangga:4; Rodentisida:3; Zat Pengatur Tumbuh Tanaman:2; Bahan pengawet kayu:1,SYNGENTA INDONESIA
CV. AGRO JAYA INDONESIA,Pupuk+Pestisida,20,69,89,Herbisida:30; Insektisida:23; Fungisida:11; Zat Pengatur Tumbuh Tanaman:3; Bakterisida:2,AGRO JAYA INDONESIA
PT Petrokimia Gresik,Pupuk,87,0,87,,PETROKIMIA GRESIK
PT. AGRO JAYA INDUSTRI,Pestisida,0,83,83,Herbisida:39; Insektisida:31; Fungisida:8; Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Pestisida untuk peternakan:1,
PT. UPL INDONESIA,Pupuk+Pestisida,4,78,82,Herbisida:26; Insektisida:25; Fungisida:20; Fumigan:4; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Moluskisida:1; Pestisida Rumah Tangga:1,UPL INDONESIA
PT. Permata Agro Persada,Pupuk,78,0,78,,PERMATA AGRO PERSADA
PT. Multi Mas Chemindo,Pupuk,77,0,77,,
PT. KENSO INDONESIA,Pupuk+Pestisida,3,71,74,Insektisida:28; Herbisida:27; Fungisida:13; Moluskisida:2; Zat Pengatur Tumbuh Tanaman:1,KENSO INDONESIA
PT. SAPROTAN UTAMA NUSANTARA,Pupuk+Pestisida,45,28,73,Herbisida:15; Insektisida:7; Fungisida:4; Zat Pengatur Tumbuh Tanaman:1; Rodentisida:1,SAPROTAN UTAMA NUSANTARA
PT. Agro Bumi Timur,Pupuk+Pestisida,8,64,72,Insektisida:27; Fungisida:19; Herbisida:12; Zat Pengatur Tumbuh Tanaman:5; Pestisida lain-lain:1,Agro Bumi Timur
PT. BINA GUNA KIMIA,Pupuk+Pestisida,9,63,72,Insektisida:36; Herbisida:13; Fungisida:11; Akarisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Bahan pengawet kayu:1,BINA GUNA KIMIA
PT. INDOIN BUSINESS GROUP,Pupuk+Pestisida,7,65,72,Insektisida:25; Herbisida:19; Fungisida:12; Zat Pengatur Tumbuh Tanaman:4; Akarisida:1; Moluskisida:1; Fumigan:1; Rodentisida:1; Bakterisida:1,INDOIN BUSINESS GROUP
PT. SENTANA ADIDAYA PRATAMA,Pupuk,72,0,72,,SENTANA ADIDAYA PRATAMA
PT. REJEKI INDO AGROTEC,Pupuk+Pestisida,1,70,71,Herbisida:36; Insektisida:21; Fungisida:6; Zat Pengatur Tumbuh Tanaman:3; Rodentisida:2; Moluskisida:2,REJEKI INDO AGROTEC
PT. BIOTIS AGRINDO,Pupuk+Pestisida,5,65,70,Insektisida:29; Herbisida:22; Fungisida:11; Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1,BIOTIS AGRINDO; PT BIOTIS AGRINDO
PT. INDO-SINO AGROCHEMICAL,Pestisida,0,70,70,Insektisida:32; Herbisida:28; Fungisida:8; Zat Pengatur Tumbuh Tanaman:2,
PT. Sasco Indonesia,Pupuk,70,0,70,,SASCO INDONESIA
PT. DHARMA GUNA WIBAWA,Pupuk+Pestisida,5,64,69,Herbisida:22; Insektisida:20; Fungisida:10; Pestisida Pengendalian Vektor Penyakit Pada Manusia:5; Moluskisida:3; Bahan pengawet kayu:2; Zat Pengatur Tumbuh Tanaman:1; Rodentisida:1,DHARMA GUNA WIBAWA
PT. BAYER INDONESIA,Pupuk+Pestisida,4,63,67,Insektisida:19; Fungisida:18; Herbisida:15; Zat Pengatur Tumbuh Tanaman:4; Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Moluskisida:1; Nematisida:1; Akarisida:1,BAYER INDONESIA; PT. Bayer Indonesia
PT. CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Pestisida,0,66,66,Herbisida:31; Insektisida:19; Fungisida:14; Bahan pengawet kayu:1; Nematisida:1,
PT. SANLEX MALINDO,Pupuk,64,0,64,,
PT. SANTANI SEJAHTERA,Pupuk+Pestisida,57,7,64,Herbisida:4; Moluskisida:1; Insektisida:1; Fungisida:1,SANTANI SEJAHTERA
PT. AGRICULTURE CONSTRUCTION,Pupuk+Pestisida,7,56,63,Insektisida:18; Herbisida:16; Fungisida:9; Zat Pengatur Tumbuh Tanaman:5; Rodentisida:3; Bahan pengawet kayu:2; Bakterisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Moluskisida:1,AGRICULTURE CONSTRUCTION
PT. BLUE CUBE INDONESIA,Pestisida,0,63,63,Pestisida lain-lain:39; Bakterisida:24,
PT. MULTI NIAGA NUSANTARA INDONESIA,Pupuk,63,0,63,,MULTI NIAGA NUSANTARA INDONESIA
PT. Dharma Ayu Tani,Pupuk+Pestisida,58,2,60,Insektisida:2,DHARMA AYU TANI; PT. DHARMA AYU TANI
PT. WILMAR CHEMICAL INDONESIA,Pupuk,60,0,60,,WILMAR CHEMICAL INDONESIA
PT. ROLIMEX KIMIA NUSAMAS,Pupuk+Pestisida,27,31,58,Herbisida:16; Insektisida:8; Fungisida:3; Rodentisida:3; Nematisida:1,PT. Rolimex Kimia Nusamas; ROLIMEX KIMIA NUSAMAS
PT. CATUR AGRODAYA MANDIRI,Pupuk+Pestisida,14,43,57,Insektisida:16; Fungisida:14; Herbisida:10; Fumigan:1; Zat Pengatur Tumbuh Tanaman:1; Bahan pengawet kayu:1,CATUR AGRODAYA MANDIRI
PT. ETONG CHEMICAL INDONESIA,Pupuk+Pestisida,1,56,57,Insektisida:21; Herbisida:20; Fungisida:10; Zat Pengatur Tumbuh Tanaman:2; Rodentisida:1; Akarisida:1; Moluskisida:1,ETONG CHEMICAL INDONESIA
PT JADI MAS,Pupuk,55,0,55,,JADI MAS
PT. Cipta Makmur Pertiwi,Pupuk,54,0,54,,CIPTA MAKMUR PERTIWI
PT. KRISTALINDO KARUNIA INTERNASIONAL,Pupuk+Pestisida,20,33,53,Insektisida:11; Herbisida:8; Pestisida Rumah Tangga:4; Bahan pengawet kayu:3; Pestisida Pengendalian Vektor Penyakit Pada Manusia:2; Moluskisida:2; Fumigan:1; Zat Pengatur Tumbuh Tanaman:1; Repelen:1,KRISTALINDO KARUNIA INTERNASIONAL; PT. Kristalindo Karunia Internasional
CV. MULTI AGRO JAYA UTAMA,Pupuk+Pestisida,6,46,52,Herbisida:38; Fungisida:4; Insektisida:2; Zat Pengatur Tumbuh Tanaman:2,CV. Multi Agro Jaya Utama
PT. ROYAL AGRO INDONESIA,Pupuk+Pestisida,1,51,52,Herbisida:16; Insektisida:15; Fungisida:15; Zat Pengatur Tumbuh Tanaman:2; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Akarisida:1; Rodentisida:1,ROYAL AGRO INDONESIA
DGW PUPUK INDONESIA,Pupuk,51,0,51,,
PT. DA MING INDONESIA,Pestisida,0,51,51,Herbisida:23; Insektisida:17; Fungisida:5; Zat Pengatur Tumbuh Tanaman:4; Moluskisida:2,
PT. RAJA GROUP INDONESIA,Pupuk+Pestisida,43,8,51,Insektisida:5; Zat Pengatur Tumbuh Tanaman:2; Herbisida:1,RAJA GROUP INDONESIA
PT. Asia Pupuk Guna Lestari,Pupuk,49,0,49,,
PT. DANKEN INDONESIA,Pestisida,0,49,49,Insektisida:17; Herbisida:14; Fungisida:14; Zat Pengatur Tumbuh Tanaman:2; Pestisida lain-lain:1; Moluskisida:1,
FERTILIZER INTI TECHNOLOGY,Pupuk,48,0,48,,
PT. SAMUDRA UTAMA NARAPATI,Pestisida,0,47,47,Herbisida:24; Insektisida:15; Fungisida:5; Zat Pengatur Tumbuh Tanaman:2; Moluskisida:1,
PT. YANNO AGRO SCIENCE INDONESIA,Pestisida,0,47,47,Insektisida:19; Herbisida:13; Fumigan:5; Fungisida:4; Moluskisida:4; Zat Pengatur Tumbuh Tanaman:1; Nematisida:1,
PT. HANAMPI SEJAHTERA KAHURIPAN,Pupuk,46,0,46,,HANAMPI SEJAHTERA KAHURIPAN
PT. KINGAGROOT BIOTECHNOLOGY INDONESIA,Pestisida,0,46,46,Herbisida:39; Insektisida:6; Fungisida:1,
PT. SANTANI AGRO PERKASA,Pestisida,0,46,46,Insektisida:18; Herbisida:16; Fungisida:5; Zat Pengatur Tumbuh Tanaman:3; Moluskisida:2; Rodentisida:1; Akarisida:1,
PT Pupuk Kalimantan Timur,Pupuk,45,0,45,,PUPUK KALIMANTAN TIMUR
CV. SARAREA PANEN RAYA,Pupuk+Pestisida,20,24,44,Insektisida:11; Fungisida:9; Zat Pengatur Tumbuh Tanaman:3; Moluskisida:1,SARAREA PANEN RAYA
PT Kertopaten Kencana,Pupuk,44,0,44,,KERTOPATEN KENCANA
PT. ALBAUGH AGRO INDONESIA,Pestisida,0,43,43,Insektisida:19; Fungisida:14; Herbisida:10,
PT. Agrotama Tunas Sarana,Pupuk,43,0,43,,AGROTAMA TUNAS SARANA
PT. Hextar Fertilizer Indonesia,Pupuk,43,0,43,,
PT. PRIMA AGRO TECH,Pupuk+Pestisida,28,15,43,Insektisida:8; Fungisida:5; Nematisida:1; Bakterisida:1,PRIMA AGRO TECH; PT PRIMA AGRO TECH
PT. ADIL MAKMUR FAJAR,Pestisida,0,41,41,Herbisida:27; Insektisida:8; Fungisida:3; Akarisida:1; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1,
PT. AGRO TRADISI,Pupuk,41,0,41,,AGRO TRADISI
PT. INDAGRO,Pupuk+Pestisida,1,40,41,Insektisida:22; Fungisida:9; Herbisida:6; Zat Pengatur Tumbuh Tanaman:2; Akarisida:1,INDAGRO
PT. TANAMAN MAKMUR MANDIRI,Pupuk+Pestisida,10,31,41,Herbisida:14; Fungisida:5; Insektisida:5; Zat Pengatur Tumbuh Tanaman:5; Nematisida:1; Rodentisida:1,TANAMAN MAKMUR MANDIRI
PT. AGRORISEN INDOMAKMUR CEMERLANG,Pestisida,0,40,40,Herbisida:17; Insektisida:11; Fungisida:10; Zat Pengatur Tumbuh Tanaman:2,
PT. TRIDA KIMIA SAKTI,Pestisida,0,40,40,Insektisida:19; Fungisida:10; Herbisida:7; Moluskisida:4,
UD. PRIMAGRO,Pupuk,40,0,40,,UD Primagro
PT. BERBAK AGRO SEJATI,Pestisida,0,39,39,Herbisida:24; Insektisida:13; Fungisida:1; Zat Pengatur Tumbuh Tanaman:1,
PT. JAYA WARINDO ABADI,Pestisida,0,39,39,Fungisida:38; Pestisida lain-lain:1,
PT. Agrofarm Nusa Raya,Pupuk,38,0,38,,AGROFARM NUSA RAYA
PT. FORAGRO MITRA SEJATI,Pestisida,0,38,38,Herbisida:23; Insektisida:9; Fungisida:4; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1,
PT. MITRA KREASIDHARMA,Pupuk+Pestisida,1,37,38,Insektisida:26; Herbisida:6; Fungisida:5,MITRA KREASIDHARMA
PT. PERSADA AGRO SUKSES,Pestisida,0,38,38,Insektisida:20; Fungisida:16; Herbisida:2,
PT. AGRO SENTOSA RAYA,Pestisida,0,37,37,Herbisida:14; Insektisida:13; Fungisida:7; Zat Pengatur Tumbuh Tanaman:1; Bakterisida:1; Moluskisida:1,
PT. GLOBAL AGROTECH,Pestisida,0,37,37,Insektisida:16; Fungisida:13; Herbisida:5; Zat Pengatur Tumbuh Tanaman:2; Akarisida:1,
PT.Antariksa Nusantara Indonesia Group,Pupuk,37,0,37,,ANTARIKSA NUSANTARA INDONESIA GROUP
PT AGRI HIKAY INDONESIA,Pupuk,36,0,36,,AGRI HIKAY INDONESIA
PT. MASCO AGRI GENETICS,Pestisida,0,36,36,Insektisida:20; Fungisida:11; Herbisida:5,
PT. FUMAKILLA NOMOS,Pestisida,0,35,35,Pestisida Rumah Tangga:35,
PT. SINAMYANG INDONESIA,Pestisida,0,35,35,Herbisida:10; Insektisida:10; Fungisida:8; Zat Pengatur Tumbuh Tanaman:4; Moluskisida:2; Bakterisida:1,
PT. TIARA BUANA MANDIRI,Pupuk+Pestisida,10,25,35,Insektisida:13; Herbisida:6; Fungisida:4; Moluskisida:2,
SARASWANTI ANUGERAH MAKMUR,Pupuk,35,0,35,,
PT. AGRO SEJAHTERA INDONESIA,Pestisida,0,34,34,Insektisida:17; Fungisida:10; Herbisida:5; Zat Pengatur Tumbuh Tanaman:2,
PT. ARTHA MAKMUR ABADI,Pupuk+Pestisida,4,30,34,Herbisida:20; Insektisida:8; Fungisida:2,ARTHA MAKMUR ABADI
CV. KHARISMA AGRI WIJAYA,Pestisida,0,33,33,Insektisida:11; Herbisida:9; Fungisida:8; Akarisida:3; Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1,
PT. AGROTECH PESTICIDE INDUSTRY,Pupuk+Pestisida,6,27,33,Herbisida:13; Insektisida:10; Fungisida:3; Zat Pengatur Tumbuh Tanaman:1,AGROTECH PESTICIDE INDUSTRY
PT. EXCEL MEG INDO,Pestisida,0,33,33,Insektisida:22; Fungisida:8; Herbisida:2; Rodentisida:1,
PT. PUPUK KUJANG,Pupuk+Pestisida,32,1,33,Fungisida:1,PT Pupuk Kujang; PUPUK KUJANG
PT. JIRONA AGRITAMA,Pestisida,0,32,32,Insektisida:20; Fungisida:7; Bahan pengawet kayu:2; Herbisida:2; Fumigan:1,
PT. PILARQUIM AGROSCIENCE INDONESIA,Pestisida,0,32,32,Insektisida:13; Fungisida:10; Herbisida:7; Zat Pengatur Tumbuh Tanaman:1; Bakterisida:1,
PT. PUPUT TANI MANDIRI,Pupuk,32,0,32,,PUPUT TANI MANDIRI
CV. Javamas Agrophos,Pupuk+Pestisida,29,2,31,Fungisida:1; Zat Pengatur Tumbuh Tanaman:1,CV. JAVAMAS AGROPHOS; JAVAMAS AGROPHOS
PT. Dupan Anugerah Lestari,Pupuk,31,0,31,,DUPAN ANUGERAH LESTARI
CV. BUMI INDO RAHARJA,Pupuk,30,0,30,,BUMI INDO RAHARJA; PT Bumi Indo Raharja
PT. AGROMANNA JAYA LESTARI,Pestisida,0,30,30,Insektisida:13; Fungisida:8; Herbisida:8; Zat Pengatur Tumbuh Tanaman:1,
PT. EXINDO RAHARJA PRATAMA,Pupuk+Pestisida,10,20,30,Insektisida:7; Fungisida:7; Zat Pengatur Tumbuh Tanaman:4; Herbisida:2,EXINDO RAHARJA PRATAMA; PT Exindo Raharja Pratama
PT. TRIBINA TANIKARYA,Pestisida,0,30,30,Herbisida:20; Insektisida:6; Fungisida:3; Rodentisida:1,
PT. TRITUNGGAL ARTHAMAKMUR,Pestisida,0,30,30,Bakterisida:29; Fungisida:1,
CV. SURYA AGROKEMINDO PERKASA,Pestisida,0,29,29,Herbisida:15; Insektisida:9; Fungisida:4; Moluskisida:1,
PT. DITYA CHEMINDO,Pupuk+Pestisida,25,4,29,Zat Pengatur Tumbuh Tanaman:2; Fungisida:1; Herbisida:1,DITYA CHEMINDO
PT. ECO AGRO MANDIRI,Pupuk,29,0,29,,ECO AGRO MANDIRI
PT. SATYA AGRO INDONESIA,Pestisida,0,29,29,Insektisida:13; Fungisida:10; Herbisida:4; Moluskisida:1; Zat Pengatur Tumbuh Tanaman:1,
CV. ARTHA BUANA MANDIRI,Pupuk+Pestisida,1,27,28,Insektisida:14; Zat Pengatur Tumbuh Tanaman:6; Fungisida:5; Herbisida:2,ARTHA BUANA MANDIRI
CV. Nusa Nur Agro,Pupuk+Pestisida,23,5,28,Zat Pengatur Tumbuh Tanaman:4; Insektisida:1,CV. NUSA NUR AGRO; NUSA NUR AGRO
ABADI AGROSINDO PERSADA,Pupuk,27,0,27,,
PT. AGRO GUNA MAKMUR,Pupuk+Pestisida,8,19,27,Insektisida:7; Herbisida:4; Fungisida:3; Bahan pengawet kayu:3; Pestisida Pengendalian Vektor Penyakit Pada Manusia:2,AGRO GUNA MAKMUR
PT. AGROKIMINDO KURNIABUANA,Pestisida,0,27,27,Insektisida:18; Fungisida:4; Herbisida:3; Zat Pengatur Tumbuh Tanaman:2,
PT. ASIA GALA KIMIA,Pupuk+Pestisida,1,26,27,Herbisida:14; Insektisida:9; Fungisida:2; Akarisida:1,ASIA GALA KIMIA
PT. CROP CARE INDONESIA,Pestisida,0,27,27,Fungisida:13; Herbisida:9; Insektisida:5,
PT. DYRIZ INDONESIA,Pupuk+Pestisida,25,2,27,Zat Pengatur Tumbuh Tanaman:2,DYRIZ INDONESIA
PT. GREENLIFE BIOSCIENCE,Pupuk+Pestisida,26,1,27,Insektisida:1,GREENLIFE BIOSCIENCE; PT Greenlife Bioscience
PT. MESTIKA NUSANTARA AGROKIMIA,Pupuk+Pestisida,7,20,27,Herbisida:14; Insektisida:4; Moluskisida:1; Fungisida:1,MESTIKA NUSANTARA AGROKIMIA
PT. NUSA PALAPA GEMILANG,Pupuk,27,0,27,,NUSA PALAPA GEMILANG
PT. SANTANI AGRO MANDIRI,Pupuk+Pestisida,1,26,27,Herbisida:12; Insektisida:11; Fungisida:2; Bakterisida:1,SANTANI AGRO MANDIRI
PT.TANINDO INTERTRACO,Pupuk,27,0,27,,
TUNASHARAPAN MURNI,Pestisida,0,27,27,Insektisida:15; Fungisida:8; Herbisida:3; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1,
CV. Mulyo Tani Makmur,Pupuk,26,0,26,,MULYO TANI MAKMUR; PT. MULYO TANI MAKMUR
PT. HERLINA INDAH,Pestisida,0,26,26,Repelen:16; Pestisida Rumah Tangga:10,
PT. KALATHAM,Pupuk+Pestisida,23,3,26,Zat Pengatur Tumbuh Tanaman:2; Insektisida:1,KALATHAM; PT Kalatham
CV. GRAHA AGRO,Pupuk+Pestisida,2,23,25,Herbisida:8; Insektisida:6; Zat Pengatur Tumbuh Tanaman:5; Fungisida:2; Rodentisida:1; Moluskisida:1,GRAHA AGRO
INDO ACIDATAMA,Pupuk,25,0,25,,
PT. ARXADA CHEMICALS INDONESIA,Pestisida,0,25,25,Pestisida lain-lain:20; Fungisida:2; Bakterisida:2; Bahan pengawet kayu:1,
PT. BAHTERA BONIAGA LESTARI,Pestisida,0,25,25,Insektisida:14; Herbisida:6; Fungisida:4; Moluskisida:1,
PT. SARI KIMIA UNGGUL,Pestisida,0,25,25,Insektisida:15; Fungisida:4; Herbisida:4; Moluskisida:1; Bahan pengawet kayu:1,
CV. AGRO CHEMICA,Pestisida,0,24,24,Insektisida:11; Fungisida:4; Zat Pengatur Tumbuh Tanaman:4; Herbisida:3; Rodentisida:1; Moluskisida:1,
CV. Raja Grafika,Pupuk+Pestisida,15,9,24,Insektisida:5; Herbisida:2; Fungisida:2,
CV. TRUBUS PRIMA,Pupuk+Pestisida,21,3,24,Insektisida:2; Fungisida:1,TRUBUS PRIMA
PT Carlindo Serasi Abadi,Pupuk,24,0,24,,CARLINDO SERASI ABADI
PT. EASTCHEM AGROSCIENCE INDONESIA,Pestisida,0,24,24,Insektisida:10; Herbisida:9; Fungisida:3; Rodentisida:1; Bakterisida:1,
AGRI TANIMAS SELARAS,Pupuk,23,0,23,,
CV. GRAHA AGRITECH PRIMA,Pupuk+Pestisida,4,19,23,Insektisida:8; Fungisida:6; Zat Pengatur Tumbuh Tanaman:5,GRAHA AGRITECH PRIMA
PT. Agro Berjaya Nusantara,Pupuk,23,0,23,,AGRO BERJAYA NUSANTARA
PT. HANEARL SCIENCE INDONESIA,Pupuk+Pestisida,2,21,23,Insektisida:11; Fungisida:6; Herbisida:3; Moluskisida:1,HANEARL SCIENCE INDONESIA
PT. JAWA AGRINDO INTERNASIONAL,Pupuk+Pestisida,4,19,23,Herbisida:7; Insektisida:7; Fungisida:3; Zat Pengatur Tumbuh Tanaman:2,JAWA AGRINDO INTERNASIONAL
PT. NUSA MANDIRI UTAMA,Pupuk+Pestisida,10,13,23,Herbisida:8; Insektisida:4; Moluskisida:1,PT. Nusa Mandiri Utama
PT. QILU CROP SCIENCE,Pestisida,0,23,23,Insektisida:14; Herbisida:9,
PT. RABANA AGRO RESOURCES,Pupuk+Pestisida,5,18,23,Herbisida:7; Insektisida:6; Fungisida:2; Bahan pengawet kayu:1; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1,RABANA AGRO RESOURCES
PT. TANI MAS SUBUR,Pupuk+Pestisida,2,21,23,Insektisida:6; Fungisida:6; Herbisida:4; Rodentisida:2; Moluskisida:2; Zat Pengatur Tumbuh Tanaman:1,TANI MAS SUBUR
PT ANUGERAH PUPUK MAKMUR,Pupuk,22,0,22,,ANUGERAH PUPUK MAKMUR
PT. GOAUTAMA SINARBATUAH,Pupuk,22,0,22,,GOAUTAMA SINARBATUAH
PT. SUMANS MANDIRI SEJAHTERA,Pupuk+Pestisida,2,20,22,Herbisida:6; Insektisida:5; Moluskisida:3; Zat Pengatur Tumbuh Tanaman:3; Fungisida:2; Rodentisida:1,SUMANS MANDIRI SEJAHTERA
CV. MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,Pupuk+Pestisida,17,4,21,Insektisida:3; Herbisida:1,MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA
CV. UNI AGRO CHEMICA,Pestisida,0,21,21,Insektisida:14; Moluskisida:2; Fungisida:2; Herbisida:1; Bahan pengawet kayu:1; Pestisida untuk peternakan:1,
PT. AGRO TERRUM INDONESIA,Pestisida,0,21,21,Herbisida:13; Insektisida:4; Fungisida:3; Moluskisida:1,
PT. Laku Agung Bahagia Indonesia,Pupuk,21,0,21,,LAKU AGUNG BAHAGIA INDONESIA
PT. MUTIARA AGRO SEJATI,Pestisida,0,21,21,Herbisida:13; Insektisida:7; Fungisida:1,
PT. TANGGUH AGRO NUSA INDONESIA,Pupuk+Pestisida,3,18,21,Insektisida:8; Herbisida:5; Fungisida:2; Moluskisida:1; Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1,TANGGUH AGRO NUSA INDONESIA
