nomor_pendaftaran,produk_id,nama_produk,jenis_pestisida,bidang_penggunaan,komoditas_label,komoditas_id,opt_label,opt_nama_ilmiah,opt_id,dosis_teks,dosis_min,dosis_maks,dosis_satuan,satuan_kolom,dosis_asal,baris_asal,catatan_baris
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Croton hirtus,op:pst:00001102,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Ipomoea triloba,op:pst:00001059,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Celosia argentea,op:pst:00001262,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Cleome rutidosperma,op:pst:00001026,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,116.25 - 271.25,116.25,271.25,ml/ha,ml/ha,kolom,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Borreria alata,op:pst:00001001,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Synedrella nodiflora,op:pst:00001004,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Calopogonium mucunoides,op:pst:00001060,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Phyllanthus niruri,op:pst:00001160,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120258974,op:prd:00001009,NUVATA 270 SL,Herbisida,Pengelola Tanaman,Budidaya jagung,op:cmd:00001002,gulma berdaun lebar,Amaranthus spinosus,op:pst:00001057,"116,25 - 271,25 ml/ha",116.25,271.25,ml/ha,-,kurung-latin,utama,
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,Pengelola Tanaman,Budidaya kelapa sawit (TBM),op:cmd:00001000,gulma golongan rumput,Axonopus compressus,op:pst:00001006,1 - 3,1,3,l/ha,l/ha,kolom,utama,
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,Pengelola Tanaman,Budidaya kelapa sawit (TBM),op:cmd:00001000,gulma golongan rumput,Paspalum conjugatum,op:pst:00001003,1 - 3,1,3,l/ha,l/ha,kolom,utama,
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,Pengelola Tanaman,Budidaya kelapa sawit (TBM),op:cmd:00001000,gulma golongan rumput,Imperata cylindrica,op:pst:00001025,1 - 3,1,3,l/ha,l/ha,kolom,utama,
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,Pengelola Tanaman,Budidaya kelapa sawit (TBM),op:cmd:00001000,gulma golongan rumput,Ischaemum timorense,op:pst:00001012,1 - 3,1,3,l/ha,l/ha,kolom,utama,
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,Pengelola Tanaman,Budidaya kelapa sawit (TBM),op:cmd:00001000,gulma golongan rumput,Ischaemum rugosum,op:pst:00001151,1 - 3,1,3,l/ha,l/ha,kolom,utama,
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,Pengelola Tanaman,Budidaya kelapa sawit (TBM),op:cmd:00001000,gulma golongan rumput,Ottochloa nodosa,op:pst:00001002,1 - 3,1,3,l/ha,l/ha,kolom,utama,
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,Pengelola Tanaman,Budidaya kelapa sawit (TBM),op:cmd:00001000,gulma berdaun lebar,Borreria alata,op:pst:00001001,1 - 3,1,3,l/ha,l/ha,kolom,utama,
01030120269339,op:prd:00001010,BERSIHTOP 200 SL,Herbisida,Pengelola Tanaman,Budidaya kelapa sawit (TBM),op:cmd:00001000,gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,1 - 3,1,3,l/ha,l/ha,kolom,utama,
01030120248471,op:prd:00001011,DKNMC PLUS 750 SL,Herbisida,Pengelola Tanaman,Budidaya padi sawah,op:cmd:00000006,Gulma Berdaun Lebar,Marsilea crenata,op:pst:00001036,2 - 4,2,4,l/ha,l/ha,kolom,utama,
01030120248471,op:prd:00001011,DKNMC PLUS 750 SL,Herbisida,Pengelola Tanaman,Budidaya padi sawah,op:cmd:00000006,Gulma Berdaun Lebar,Limnocharis flava,op:pst:00001045,2 - 4 l/ha,2,4,l/ha,-,kurung-latin,utama,
01030120248471,op:prd:00001011,DKNMC PLUS 750 SL,Herbisida,Pengelola Tanaman,Budidaya padi sawah,op:cmd:00000006,Gulma Berdaun Lebar,Monochoria vaginalis,op:pst:00001015,2 - 4 l/ha,2,4,l/ha,-,kurung-latin,utama,
01030120248471,op:prd:00001011,DKNMC PLUS 750 SL,Herbisida,Pengelola Tanaman,Budidaya padi sawah,op:cmd:00000006,Gulma Berdaun Lebar,Ludwigia octovalvis,op:pst:00001014,2 - 4 l/ha,2,4,l/ha,-,kurung-latin,utama,
01010120248337,op:prd:00001012,ULETE 30 EC,Insektisida,Pengelola Tanaman,Jagung,op:cmd:00001002,ulat grayak,Spodoptera frugiperda,op:pst:00001033,2,2,2,ml/l,ml/l,kolom,utama,
01010120072727,op:prd:00001013,CENTATIN 200 EC,Insektisida,,Cabai,op:cmd:00001003,Hama trips,Thrips parvispinus,op:pst:00000001,"1,5",1.5,1.5,ml/l,ml/l,kolom,utama,
01010120072727,op:prd:00001013,CENTATIN 200 EC,Insektisida,,Cabai,op:cmd:00001003,Ulat grayak,Spodoptera litura,op:pst:00000005,1,1,1,ml/l,ml/l,kolom,utama,
01020120175677,op:prd:00001014,CHERIZEB 80 WP,Fungisida,,Kentang,op:cmd:00001008,penyakit hawar daun,Phytophthora infestans,op:pst:00001010,1,1,1,g/l,g/l,kolom,utama,
04110120269530,op:prd:00001016,BIFTIN 50 SC,Bahan pengawet kayu,Kehutanan,Bangunan,,rayap tanah,Coptotermes curvignathus,op:pst:00001061,50,50,50,ml/m2,ml/m2,kolom,utama,
01040120083217,op:prd:00001017,Prolatex 100 PA,Zat Pengatur Tumbuh Tanaman,,Karet,op:cmd:00001464,Meningkatkan produksi karet kering,,,"0,75",0.75,0.75,gr/Pohon,gr/Pohon,kolom,utama,
01020120144917,op:prd:00001018,RED BELL 300 SC,Fungisida,,Bawang merah,op:cmd:00000004,Penyakit embun bulu,Peronospora destructor,op:pst:00001134,2,2,2,ml/l,ml/l,kolom,utama,
01020120144917,op:prd:00001018,RED BELL 300 SC,Fungisida,,Bawang merah,op:cmd:00000004,penyakit bercak ungu,Alternaria Porri,op:pst:00001022,2,2,2,ml/l,ml/l,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kakao (TM),op:cmd:00001010,Gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kakao (TM),op:cmd:00001010,Gulma berdaun lebar,Borreria alata,op:pst:00001001,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Curah hujan (Rain fastness),op:cmd:00001072,Gulma berdaun lebar,Borreria alata,op:pst:00001001,2 jam setelah semprot,,,,-,kolom-teks,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Curah hujan (Rain fastness),op:cmd:00001072,Gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,2 jam setelah semprot,,,,-,kolom-teks,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Curah hujan (Rain fastness),op:cmd:00001072,Gulma golongan rumput,Imperata cylindrica,op:pst:00001025,2 jam setelah semprot,,,,-,kolom-teks,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Curah hujan (Rain fastness),op:cmd:00001072,Gulma golongan rumput,Paspalum conjugatum,op:pst:00001003,2 jam setelah semprot,,,,-,kolom-teks,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Curah hujan (Rain fastness),op:cmd:00001072,Gulma golongan rumput,Setaria plicata,op:pst:00001021,2 jam setelah semprot,,,,-,kolom-teks,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Karet (TM),op:cmd:00001464,Gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Karet (TM),op:cmd:00001464,Gulma berdaun lebar,Borreria alata,op:pst:00001001,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Karet (TM),op:cmd:00001464,Gulma golongan rumput,Paspalum conjugatum,op:pst:00001003,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Karet (TM),op:cmd:00001464,Gulma golongan rumput,Ottochloa nodosa,op:pst:00001002,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kelapa sawit (TM),op:cmd:00001000,Gulma golongan rumput,Setaria plicata,op:pst:00001021,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kelapa sawit (TM),op:cmd:00001000,Gulma golongan rumput,Ischaemum timorense,op:pst:00001012,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kelapa sawit (TM),op:cmd:00001000,Gulma berdaun lebar,Chromolaena odorata,op:pst:00001020,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Jagung (TOT),op:cmd:00001002,Alang-alang,imperata cylindrica,op:pst:00001025,1.5-3.0,1.5,3,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Teh,op:cmd:00001014,Gulma berdaun lebar,Diodia sarmentosa,op:pst:00001087,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Teh,op:cmd:00001014,Gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Akasia,op:cmd:00001039,Alang-alang,Imperata cylindrica,op:pst:00001025,1.5-3.0,1.5,3,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kedelai (TOT),op:cmd:00001007,Alang-alang,Imperata cylindrica,op:pst:00001025,1.0-3.0,1,3,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Cengkeh (TM),op:cmd:00001040,Gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Cengkeh (TM),op:cmd:00001040,Gulma golongan rumput,Ischaemum timorense,op:pst:00001012,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kopi (TM),op:cmd:00001009,Gulma berdaun lebar,Borreria alata,op:pst:00001001,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kopi (TM),op:cmd:00001009,Gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kopi (TM),op:cmd:00001009,Gulma golongan rumput,Axonopus compressus,op:pst:00001006,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kopi (TM),op:cmd:00001009,Gulma golongan rumput,Setaria plicata,op:pst:00001021,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Jagung PRG event NK603,op:cmd:00001191,Gulma Teki,Cyperus rotundus,op:pst:00001039,1.125-2.25,1.125,2.25,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Jagung PRG event NK603,op:cmd:00001191,Gulma berdaun lebar,Biden pilosa,op:pst:00001052,1.125-2.25,1.125,2.25,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Jagung PRG event NK603,op:cmd:00001191,Gulma berdaun lebar,Mimosa invisa,op:pst:00001128,1.125-2.25,1.125,2.25,l/ha,l/ha,kolom,utama,
01030120134713,op:prd:00001019,ROUNDUP POWERMAX 660 SL,Herbisida,,Kelapa (TM),op:cmd:00001043,Gulma berdaun lebar,Asystasia gangetica,op:pst:00001018,0.75-1.5,0.75,1.5,l/ha,l/ha,kolom,utama,
01030120134771,op:prd:00001020,ETRON 670 EC,Herbisida,,Kelapa sawit (TM),op:cmd:00001000,Gulma berdaun lebar,Clidemia hirta,op:pst:00001017,1,1,1,l/ha,l/ha,kolom,utama,
01030120134771,op:prd:00001020,ETRON 670 EC,Herbisida,,Kelapa sawit (TM),op:cmd:00001000,Gulma berdaun lebar,Chromolena odorata,op:pst:00001020,"0,75-1",0.75,1,l/ha,l/ha,kolom,utama,
01030120134771,op:prd:00001020,ETRON 670 EC,Herbisida,,Kelapa sawit (TM),op:cmd:00001000,Gulma berdaun lebar,Melastoma affine,op:pst:00001078,"0,75-1",0.75,1,l/ha,l/ha,kolom,utama,
01030120134771,op:prd:00001020,ETRON 670 EC,Herbisida,,Kelapa sawit (TM),op:cmd:00001000,Gulma berdaun lebar,Calopogonium mucunoides,op:pst:00001060,"0,75-1",0.75,1,l/ha,l/ha,kolom,utama,
01040120269611,op:prd:00001021,NUCLEO 20 SP,Zat Pengatur Tumbuh Tanaman,Pengelola Tanaman,Bawang merah,op:cmd:00000004,"meningkatkan tinggi tanaman, jumlah daun, jumlah anakan dan bobot hasil",,,"0,25",0.25,0.25,g / 10 L,g / 10 L,kolom,utama,
01020120175916,op:prd:00001022,NOVICURE-D 81 WG,Fungisida,,Kentang,op:cmd:00001008,Penyakit hawar daun,Phytophthora infestans,op:pst:00001010,1.5,1.5,1.5,g/l,g/l,kolom,utama,
01020120175916,op:prd:00001022,NOVICURE-D 81 WG,Fungisida,,Jeruk,op:cmd:00001015,Penyakit embun tepung,Oidium tingitanium,op:pst:00001190,1.5,1.5,1.5,g/l,g/l,kolom,utama,
01020120238133,op:prd:00001023,GREYHUNTER 300/150 SC,Fungisida,Pengelola Tanaman,Tomat,op:cmd:00000003,Penyakit gray mold,Botrytis cinerea,op:pst:00001379,1,1,1,ml/l,ml/l,kolom,utama,
042001122,op:prd:00001024,"2,4-D IPA 60 TC",Herbisida,,-,,-,-,,-,,,,%,kolom-teks,utama,
01030120031786,op:prd:00001026,RAZOR 240 SL,Herbisida,,Karet (TM),op:cmd:00001464,gulma berdaun lebar,Melastoma malabathricum,op:pst:00001195,1-3,1,3,l/ha,l/ha,kolom,utama,
01030120031786,op:prd:00001026,RAZOR 240 SL,Herbisida,,Karet (TM),op:cmd:00001464,gulma berdaun lebar,Borreria alata,op:pst:00001001,1-3,1,3,l/ha,l/ha,kolom,utama,
01030120031786,op:prd:00001026,RAZOR 240 SL,Herbisida,,Karet (TM),op:cmd:00001464,gulma berdaun lebar,Chromolaena odorata,op:pst:00001020,1-3,1,3,l/ha,l/ha,kolom,utama,
01030120031786,op:prd:00001026,RAZOR 240 SL,Herbisida,,Karet (TM),op:cmd:00001464,gulma golongan rumput,Paspalum conjugatum,op:pst:00001003,1-3,1,3,l/ha,l/ha,kolom,utama,
01020120237823,op:prd:00001027,TRIBINZO 25/50 WG,Fungisida,Pengelola Tanaman,Padi,op:cmd:00000006,Penyakit busuk pelepah,Rhizoctonia solani,op:pst:00001030,"1,5",1.5,1.5,g/l,g/l,kolom,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma golongan rumput,Ottochloa nodosa,op:pst:00001002,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma golongan rumput,Paspalum conjugatum,op:pst:00001003,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma golongan rumput,Axonopus compressus,op:pst:00001006,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma golongan rumput,Setaria plicata,op:pst:00001021,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma golongan rumput,Ischaemum timorense,op:pst:00001012,3-4,3,4,l/ha,l/ha,kolom,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Synedrella nodiflora,op:pst:00001004,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Asystasia gangetica,op:pst:00001018,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Mikania micrantha,op:pst:00001005,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Clidemia hirta,op:pst:00001017,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Borreria alata,op:pst:00001001,3-4 l/ha,3,4,l/ha,-,kurung-latin,utama,
01030120227518,op:prd:00001028,EVERXONE 135 SL,Herbisida,Pengelola Tanaman,Budidaya Kelapa sawit (TBM),op:cmd:00001000,Gulma berdaun lebar,Ageratum conyzoides,op:pst:00001000,3-4,3,4,l/ha,l/ha,kolom,utama,
