merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_pupuk,bentuk_formula,tipe_permohonan,tgl_terbit,tgl_berakhir,jumlah_perubahan,product_id,perusahaan_id
SHB 99,04.03.2026.220,PUTRA SHB SEJAHTERA,Pembenah Tanah Dolomit,Tepung (Powder),Pendaftaran Baru,2026-05-07,2031-05-07,0,01d15cc1-2c12-4e9c-9b24-d5add17a5cc7,61a08683-8f06-4c69-a552-20e92f7e6889
MANZUMA,03.02.2026.131,BERKATINDO NUSANTARA BERSINAR,Pupuk Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Ganjil,2026-03-10,2031-03-10,0,01def7c0-c6d6-44cd-975f-3ac7782f2c74,58eaec88-1fb4-4c05-a6cc-cab14ae83cda
FORTANI,01.05.2025.1004,CV.KWADRAN JAYA MANDIRI,"Pupuk Hara Makro Majemuk
",Prill,Pendaftaran Baru,2025-12-04,2030-12-04,0,01e2ab4f-dc27-46b3-9d1a-ee244cd295be,9f6b6ec6-2857-457a-97b4-c1158f68a4ca
FENG SHOU,02.03.2023.731,GREENLIFE BIOSCIENCE,Pupuk Organik,Tepung (Powder),Pendaftaran Baru,2023-02-13,2028-02-13,1,01ee1d26-0daa-4b78-b19b-d98ceed22782,2de0c443-bec5-4535-b71e-c2d933b778a7
ASIMUNO,02.02.2025.231,SELLA SANGIANG ASRI,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-05-22,2030-05-22,0,0206bed1-41d4-44b8-9968-20439533efff,5dd67da5-11af-4007-8f87-0c6ea3f6edfe
JP86,01.01.2022.1600,PT.Alas Metuah Perdana,,Butiran (Granular),Pendaftaran Baru,2022-11-03,2027-11-03,0,02078f44-4b33-4b28-958b-fcd86ffca359,04163c49-187d-4651-95e8-fb8a5effc2c3
OrganoDEGRA,03.02.2024.516,PROSPER BIOTECH INDONESIA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2024-08-20,2029-08-20,0,0207ad1d-f3cb-4ee7-b2eb-f1470939fe36,5f448450-391f-4c47-bff6-f10067a1ee57
MandaliCa,01.03.2022.1541,LABA INDOAGRO NUSANTARA,"Pupuk Hara Makro Majemuk
",Tepung (Powder),Pendaftaran Baru,2022-10-20,2027-10-20,0,0210197a-0ea0-418a-8bf0-acac0f02b8a2,b9d2e184-1a85-4c16-ac6d-cc7ecdd65b73
DAUN SAWIT,01.01.2025.959,PT. Multi Mas Chemindo,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-01-10,2030-01-10,0,0218bb8b-5c93-4a4a-8b45-6b3b1504b653,fbdb0e81-027b-4762-b83e-25caf0314a73
BUNGA MERAH,01.01.2025.367,AGRI HIKAY INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-04-17,2030-04-17,0,021a83a4-1472-4ec2-944a-e6021ba2edad,31bbf2b0-f6b3-48aa-aaae-d759209c2c2e
GANDATAN-B,01.03.2022.1786,JATI EMAS UNGGUL,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Baru,2022-11-30,2027-11-30,0,0229f75e-3ee1-4a44-9666-d180099ce4c0,2e230955-48e0-432a-b87e-48fcc64562ee
DGW,01.01.2025.550,FERTILIZER INTI TECHNOLOGY,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Baru,2025-06-12,2030-06-12,0,023092bb-1414-4aa4-9c77-e24dbfb46e92,9fe2f917-990c-4ad0-8a64-5e8dec6358ef
BIOSTCARE,03.03.2021.314,PT. Sitosu Agro Cemerlang,Hayati Majemuk,Tepung (Powder),Pendaftaran Baru,2021-02-07,2026-02-07,0,02344dd0-dfd9-4ea1-9086-994c315e96ea,9a9dc277-4d47-4916-a011-f458fe0bb667
NEO TRUB-SO,01.02.2023.907,YAN UTAMA CORPORATION,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2023-02-23,2028-02-23,0,023b24bf-dc11-481f-bc74-1208622b1bec,5cba2dee-7408-4cc8-87f8-f524cce260d3
TANDUR,02.08.2024.421,NATURAL NUSANTARA,Pupuk Organik,Bentuk Lainnya,Pendaftaran Ulang Ganjil,2024-02-05,2029-02-05,0,0258cffa-f844-4b18-8823-57d3bef8845f,09436efe-a2a3-4648-a9f6-7fc400a8bf5c
PETROKIMIA GRESIK ,01.01.2025.774,PETROKIMIA GRESIK,Pupuk Super Phosphate Tunggal {Ca(H2PO4)2},Butiran (Granular),Pendaftaran Ulang Ganjil,2025-09-11,2030-09-11,0,025adf6e-600a-44f8-88c2-47e653d1af63,3c5752ce-3f32-4537-8e7a-beb109499f5a
siti lohjinawe,03.02.2023.877,ECO AGRO MANDIRI,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2023-05-25,2028-05-25,0,027597d6-4198-4297-b80c-5d7df5e3f3bc,a5f1b206-8784-4573-b4c9-9f25394edff4
CAP TAWON,01.01.2026.472,KERTOPATEN KENCANA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Genap,2026-05-04,2031-05-04,0,02a06a87-0b41-4a6f-b363-7a67a9558357,08fef8a4-93c2-4291-8978-5acb259417ea
LAO YING,01.08.2025.834,MEST INDONESIY,Pupuk Hara Makro Majemuk,Bentuk Lainnya,Pendaftaran Baru,2025-10-07,2030-10-07,0,02a5d5fd-0e62-435c-b017-63026a8e19ef,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
BIORA,02.02.2022.923,BIO NUSANTARA ALAMI,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2022-09-06,2027-09-06,0,02ae8d2b-034c-4d47-b5df-a4ecf0bb171b,1440f594-d930-49a8-b6ca-53f19f3c2ebc
BM VIGOR,03.02.2025.114,BEHN MEYER AGRICARE,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2024-11-06,2029-11-06,0,02bad8f9-36bf-4846-9cfe-52b0cb612dbe,3d48529b-97aa-48d6-b6ad-cbfa089183bc
GREENTOP,04.01.2021.417,DHARMA AYU TANI,Dolomit,Butiran (Granular),Pendaftaran Baru,2021-06-03,2026-06-03,0,02c008cc-b8f7-4029-88b0-604daacafa14,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
LAKABA,01.01.2025.108,LAKU AGUNG BAHAGIA INDONESIA,,Butiran (Granular),Pendaftaran Ulang Ganjil,2024-09-24,2029-09-24,1,02c558d1-d78f-435d-a6e4-23ed9f1d0f69,187b184d-36a5-4740-a0d8-17c1f80168ad
CAP TAWON,01.01.2024.1189,KERTOPATEN KENCANA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-10-29,2029-10-29,0,02e5b5a6-83a1-4ae1-84cb-909c7913caee,08fef8a4-93c2-4291-8978-5acb259417ea
ROMAN,01.02.2022.1176,BENIH ROMAN AGRO,,Cair (Liquid),Pendaftaran Baru,2022-08-19,2027-08-19,0,02ecc07a-f27b-4211-9cd0-2fd525acac49,364860e7-43c0-4c6e-8f68-a6568e363fee
SABA,04.03.2021.617,GALATTA LESTARINDO,Dolomit,Tepung (Powder),Pendaftaran Baru,2021-12-24,2026-12-24,0,030055c0-6f0d-4e7c-b40e-e25f5ee984a6,46479068-f7a9-424a-bef7-e935264014f5
DAUN SAWIT,01.01.2025.842,PT. Multi Mas Chemindo,Pupuk Kalium Klorida (KCl),Butiran (Granular),Pendaftaran Baru,2025-09-26,2030-09-26,0,0301f679-15c2-48d6-8daf-291bd4fc590e,fbdb0e81-027b-4762-b83e-25caf0314a73
RKM,04.01.2025.393,ROJO KOYO MANUNGGAL GROUP,,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-08-20,2030-08-20,0,030915e0-37f0-4f9f-9611-dacbdd60b8be,6717cd1a-6737-4116-9f84-56482c060d6a
ATL-NUSAMNO,04.02.2024.252,BIO ENERGI RIMBA,Organik,Cair (Liquid),Pendaftaran Baru,2024-06-07,2029-06-07,0,0311bef1-d375-45cf-b956-655f14d74c34,b652f083-084e-4cac-8a24-f4a96cc26cfc
PowerGEN,03.02.2026.37,INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2026-01-07,2031-01-07,0,03123aa1-b6ce-4907-9a70-a57ae217af89,59ab7e41-7ae3-4df8-a7f0-4cb8ae8401b8
FERTA,01.01.2021.651,SARI KRESNA KIMIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-04-26,2026-04-26,2,0320a167-334c-400e-a8c3-d7ebd371e76c,8ba060a7-9fce-4493-a5c1-6f4bec0de492
GOAUTAMA,01.01.2025.917,GOAUTAMA SINARBATUAH,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-11-10,2030-11-10,0,0336e982-d46f-4506-ad13-1378dc2fdb24,19d60b65-5cfb-4811-a248-bb5e956044b0
FERTILA,01.08.2025.826,SAPROTAN UTAMA NUSANTARA,"Pupuk Hara Makro Majemuk
",Bentuk Lainnya,Pendaftaran Ulang Genap,2025-09-23,2030-09-23,0,0359f504-3a44-48e6-a541-3065cc217ed7,0cf0a976-2d6c-476b-8ca0-f35b4ab71564
SinarPilar Phosphat,01.01.2024.1126,SINAR EMPAT PILAR UTAMA,,Butiran (Granular),Pendaftaran Baru,2024-10-15,2029-10-15,0,0360e409-2d97-4f7f-a080-3938d6031b62,cea794b8-76ae-4449-90cd-6c6d8b63bc22
KRESNA,03.03.2021.494,SERUNIANDAL CITRA MANDIRI,Hayati Majemuk,Tepung (Powder),Pendaftaran Ulang Genap,2021-08-16,2026-08-16,0,037a5c44-7ec3-4ddf-8fee-d5190541b35b,7ecf80d5-86f8-407b-9f81-f19efe4cba67
FT,01.01.2024.528,PT. Asia Pupuk Guna Lestari,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Ulang Ganjil,2024-05-08,2029-05-08,0,037aa3e4-5d51-4966-83ef-54aa9d74bbf1,37c98db4-a78c-45e7-9bc0-8099103a695f
HYDROFARM,03.03.2026.66,HYDRO FARM INDONESIA,Hayati Majemuk,Tepung (Powder),Pendaftaran Baru,2025-12-24,2030-12-24,0,0388e20e-9b93-446a-843f-aaf800a212f0,f0a3451e-ae8b-4300-959f-b39af8fe4a78
SAI,02.01.2025.222,CV. SAKINA AGRO INDUSTRI,Pupuk Organik,Butiran (Granular),Pendaftaran Baru,2025-03-20,2030-03-20,0,0389e9ef-6068-48a7-b7b8-5bc2a2aceb3b,0eab48aa-e38a-4cd0-8e39-6b222f9444ec
BINTANG TANI,01.01.2024.1280,PUPUT TANI MANDIRI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-12-16,2029-12-16,0,0398b014-a785-4572-89c2-b7eac9100b3f,912fad15-eef9-4303-9ad3-5336e0fd468b
ABG BIO,03.03.2024.158,GATEWAY INTERNUSA,Hayati Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2024-04-01,2029-04-01,0,039a76c6-84dd-4eef-b190-8e90c0de1edb,45dc1736-8c5d-42ca-95e1-9f6fa14ffdac
BUNGA MERAH,01.01.2026.43,SENTANA ADIDAYA PRATAMA,Pupuk Hara Makro-Mikro Campuran,Butiran (Granular),Pendaftaran Baru,2026-01-20,2031-01-20,0,03a34f1a-b0f0-4492-94c7-b02ffbbc2bf5,36c5c4f2-e215-4d04-9948-8926fb16c0a5
PORJI,02.01.2025.181,BIOTECH FERTILIZER INDONESIA,Pupuk Organik,Butiran (Granular),Pendaftaran Baru,2025-04-30,2030-04-30,0,03d6d274-ed8c-40d6-bf15-5a7ca44bba82,25ceac82-e23f-4363-a49f-5c31f47223c7
UpgradeSoil,04.02.2026.84,TRIAGRO HIJRAH JAYA,Senyawa Humat,Cair (Liquid),Pendaftaran Baru,2026-01-15,2031-01-15,0,03e5266a-1d1a-4c03-a3da-e224a88bc0db,1f4bc4f6-5463-46d3-8509-ee9585656e34
MIKROHARA,02.02.2026.137,KRISTALINDO KARUNIA INTERNASIONAL,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2026-03-17,2031-03-17,0,03e75c6b-ed34-4396-bd35-2e22cd0ce7dd,b89d74a9-2a30-4e97-8bc6-436af649095f
BUAMAX,01.01.2024.1233,HANAMPI SEJAHTERA KAHURIPAN,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Baru,2023-11-23,2028-11-23,0,03ec994e-390d-4123-a23f-dba911e18527,1abae3b3-34a1-4b6f-9ef6-c4d1acf957c3
NPK SUBUR,01.02.2026.158,TUNAS JAVA MANDIRI,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2026-02-27,2031-02-27,0,03f0c1ed-6d1d-4172-a3a4-e1ef34cfcee6,8e169f4f-425d-4ab3-81cd-70d0fd7fcf46
BIONANO,03.01.2021.557,PT.AGRITEK SUKSES INDONESIA,Hayati Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-10-20,2026-10-20,0,04033484-3a61-4003-80c6-e9383cddec00,e4fb35c7-a545-406d-a61d-1c8e3240f424
LOONGZOU,01.08.2025.441,SASCO INDONESIA,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,Pendaftaran Ulang Ganjil,2025-05-21,2030-05-21,0,0416e980-1d70-4edf-b72b-a6143af9b50e,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
TANIKAYA,01.01.2021.959,TANIKAYA MULTI AGRO,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2021-11-16,2026-11-16,1,0418654a-b3a2-458a-9add-a8e4d4229bae,d40af862-906d-4db8-b985-4234206f36e5
ATL-NUSAMNO,01.01.2024.273,BIO ENERGI RIMBA,,Butiran (Granular),Pendaftaran Baru,2024-03-18,2029-03-18,0,0424cbf1-dcff-4cef-b610-9db3ed74106d,b652f083-084e-4cac-8a24-f4a96cc26cfc
SUPRECALS 900,01.03.2022.1145,LINTANG MAS AGRO,,Tepung (Powder),Pendaftaran Baru,2022-08-19,2027-08-19,0,0438635f-13ee-4bad-a26b-473bdcfa27f9,bfb8a8f0-0bc1-4e8c-a088-fceba8925a2c
KANCIL EMAS,01.08.2024.1097,PT. SANLEX MALINDO,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,Pendaftaran Baru,2024-08-14,2029-08-14,0,043ac8bd-9ee7-47e9-923f-aac6e50a8937,46eccec8-2718-4ecf-82b0-d69f6c5a43e9
Solusika,01.02.2025.10,PANDAWA AGRI INDONESIA,,Cair (Liquid),Pendaftaran Baru,2024-12-23,2029-12-23,0,043b2c2d-b0ee-43d0-a29a-27e4e2caa981,0a127b2a-1a5d-43f7-b53a-435d025b904f
NutriTop,01.08.2021.848,ADIDAYA NIRBATAS,Pupuk Mono Amonium Fosfat (MAP) (NH4H2PO4),Bentuk Lainnya,Pendaftaran Baru,2021-09-03,2026-09-03,0,043e96d4-a9c1-4e89-930a-abc625d66f45,a4bea23e-efbe-41ce-86f3-90d56a498a2c
CAP DAUN,,AGRO TRADISI,Pupuk Fosfat Alam Untuk Pertanian,Tepung (Powder),Pendaftaran Baru,2023-01-26,2028-01-26,0,044e87a1-93f3-45ee-8c1f-e29492012dfe,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
Pomi,02.02.2024.73,INDO ACIDATAMA,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-02-02,2029-02-02,0,04538b79-5f11-40c9-9741-aa822587b0a9,cb888ba5-4be8-4687-bb57-dc016697f2bd
NOUSGROWTH SILICA,01.01.2024.1107,NOUSINDO NUSANTARA AGRI,,Butiran (Granular),Pendaftaran Baru,2024-09-24,2029-09-24,0,045a868b-8682-4774-95ae-ea4249192930,5211dec1-2833-4f90-936c-4f9195caf455
ECOSHIELD,01.02.2026.428,BEHN MEYER AGRICARE,Pupuk Benefesial,Cair (Liquid),Pendaftaran Baru,2026-05-19,2031-05-19,0,04658b23-ac8c-48b2-874a-a6593fb7ec3a,3d48529b-97aa-48d6-b6ad-cbfa089183bc
TANIVIT B,01.03.2023.1197,MULTI SARANA INDOTANI,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-04-15,2028-04-15,0,046d9c91-b8a3-4a52-bc61-3c21aa0cfae6,17c107d0-3d9b-4d1e-8ab0-cef63ae94f9f
KELAT S-1828,01.02.2021.951,RAJA BENUA MAS,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2021-11-16,2026-11-16,0,047326dd-c849-442a-b85c-9b857fe6f481,5ba1b1fc-0264-43f1-8057-b5d1e72f6633
KITANG FERTILIZER,01.01.2022.659,PUPUK PARIT KITANG,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2022-03-15,2027-03-15,0,048102a1-eed0-4866-ab12-6f3d28c6818f,855dad67-c7a4-42f2-92ab-ef81835fd634
