merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_formula,bentuk_formula,warna_pupuk,jenis_permohonan,tanggal_terbit,tanggal_berakhir,id_perusahaan
NEO- KRISTALON PAK TANI,01.08.2019.031,CV. SAPROTAN UTAMA,an-organik,Kristal,Putih,An-organik - Pendaftaran Baru,2018,2023,32a5fc08-615e-4849-9010-dfc08eaec4e8
SEMESTA,01.01.2019.147,PT. SEMESTA JAYA ABADI,an-organik,Butiran,Abu-Abu ,An-organik - Pendaftaran Baru,2018,2023,370a20b1-9b92-4ff8-8c12-2d5c2e806f4d
Chelated Ferum,,PT. Sumber Agrindo Sejahtera,Ferum,Butiran,coklat,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,b88628b5-7363-486a-a595-71f60f2f8fe0
Sapi Padi Kuning,04.01.2018.140,CV. MANDIRI PANGAN SEJAHTERA,Pembenah Tanah Dolomit,Butiran,"Merah, Biru atau Putih",Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,6e399087-e15d-4aa3-a5ac-ee37d24a8d78
TANIVIT B,01.03.2019.077,PT.TANINDO INTERTRACO,an-organik,Tepung,Merah muda,An-organik - Pendaftaran Ulang Genap,2018,2023,71f6ceda-37e5-4309-b02e-cf7eb6e4675c
Cemara,02.01.2019.125,CV.TRI MULTI DAYA.,organik,Butiran,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,a428fead-895a-4613-9007-ee1b395aada4
TRIOKALI,01.01.2018.391,PT. SANTANI SEJAHTERA,an-organik,Butiran,Putih bercampur merah,An-organik - Pendaftaran Baru,2018,2023,32a43c35-1ca5-4049-9b9a-d322ab71b496
MIKROHARA,01.02.2018.404,PT. Kristalindo Karunia Internasional,an-organik,Cair,Hijau Muda Kecoklatan,An-organik - Pendaftaran Baru,2018,2023,b89d74a9-2a30-4e97-8bc6-436af649095f
Mahkota,01.03.2018.413,PT. WILMAR CHEMICAL INDONESIA,an-organik,Tepung,Coklat Muda,An-organik - Pendaftaran Ulang Genap,2018,2023,f46679f0-5a47-4d85-97e4-cd22abc7bb79
CHENREZIG GROW,02.08.2018.020,CV. PERSADA MAKMUR TANI SENTOSA,organik,Remah,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,42163164-78df-4b1f-9e44-fbf8431156b2
BM AZOMITE,01.03.2019.370,PT. BEHN MEYER AGRICARE,an-organik,Tepung,Coklat Kemerahan,An-organik - Pendaftaran Baru,2018,2023,3d48529b-97aa-48d6-b6ad-cbfa089183bc
MICROGANO,,PT. AGRO BIO KEMINDO,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,604e853f-c7f0-4135-9298-3cf940eb2351
FOLIFLO BUAH,01.02.2019.213,PT. Hextar Fertilizer Indonesia,an-organik,Cair,Putih krem,An-organik - Pendaftaran Baru,2018,2023,c8a04f82-4325-438e-b9a9-fbd339f00068
PROVIT MAXI,01.08.2019.063,PT.MEROKE TETAP JAYA,an-organik,Kristal,Putih Kekuningan,An-organik - Pendaftaran Baru,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
nitrea,,PT Pupuk Kujang,an-organik,Prill,Putih,An-organik - Pendaftaran Ulang Ganjil,2018,2023,1a377f72-93aa-4c27-bee7-b414b234e1a0
Speedgro,,PT. Maju Makmur Utomo,an-organik,Butiran,Coklat Kehitaman,An-organik - Pendaftaran Ulang Ganjil,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
S-VIT,01.03.2019.216,CV.TABITA JAYA,an-organik,Tepung,Krem kecoklatan,An-organik - Pendaftaran Baru,2018,2023,c0929fba-de40-4dfa-8026-68efe4531836
Palmarin,01.02.2019.200,PT PALMARIN AGRO INDONESIA,an-organik,Cair,hijau gelap,An-organik - Pendaftaran Baru,2018,2023,672895db-0c81-4b36-8ecd-517eddf39356
JADI MAS,,PT JADI MAS,an-organik,Butiran,Natural,An-organik - Pendaftaran Ulang Ganjil,2018,2023,2004b629430939f680b316dd09563d4d3955
PetroBoost,03.03.2019.096,PT Petrokimia Kayaku,hayati,Tepung,Cokelat muda,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,a873131e-7133-440c-ba2f-bc80eefd69fd
KALINET,01.02.2018.355,UD. MITRA MERDEKA TANI,an-organik,Cair,Merah,An-organik - Pendaftaran Baru,2018,2023,860a3dd2-146b-4eb1-98e3-936035aa3cec
Kaya  Bio,03.03.2019.099,PT Petrokimia Kayaku,hayati,Tepung,Cokelat muda,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,a873131e-7133-440c-ba2f-bc80eefd69fd
FOCUS K,01.02.2019.260,CV. BUMIKITA MAKMUR,an-organik,Cair,Merah,An-organik - Pendaftaran Baru,2018,2023,5b7c29af-a838-43b4-970e-e98bf3db029d
PRONUM,01.02.2019.354,CV. BUMIKITA MAKMUR,an-organik,Cair,Biru ,An-organik - Pendaftaran Baru,2018,2023,5b7c29af-a838-43b4-970e-e98bf3db029d
MORDEN-FOL,01.02.2019.094,UD. MITRA MERDEKA TANI,an-organik,Cair,Kuning,An-organik - Pendaftaran Baru,2018,2023,860a3dd2-146b-4eb1-98e3-936035aa3cec
ADAMAS,,PT. ADAMAS ASABHUMI,organik,Butiran,"Campuran merah jambu, coklat, hitam dan abu-abu",Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,fe365515-9a11-4f34-a9b7-eddf1f36aeb9
PETRO GLADIATOR,,PT Petrokimia Gresik,dekomposer,Cair,coklat kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,8259c7aa7427a3aafbc56ffd00cff00e3021
NEO- KRISTALON PAK TANI,01.08.2019.036,CV. SAPROTAN UTAMA,an-organik,Kristal,Putih,An-organik - Pendaftaran Baru,2018,2023,32a5fc08-615e-4849-9010-dfc08eaec4e8
NEO- KRISTALON PAK TANI,01.08.2019.332,CV. SAPROTAN UTAMA,an-organik,Kristal,Putih,An-organik - Pendaftaran Baru,2018,2023,32a5fc08-615e-4849-9010-dfc08eaec4e8
ENDOHEVEA,,PT PRIMA AGRO TECH,hayati,Tablet,Abu-abu,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,2004b629430939f680b316dd09563d4d7065
DEKAMIKRO,01.01.2019.387,CV. Deka Agro Product,an-organik,Butiran,Abu-abu Kehitaman,An-organik - Pendaftaran Ulang Genap,2018,2023,cd651755-3d1e-42e8-9421-a250b026e69c
CAP TOPI,01.03.2018.359,PT. BUKIT PRIMA NIAGA,an-organik,Tepung,Coklat Muda,An-organik - Pendaftaran Baru,2018,2023,c8fb2d30-d1b5-4d1a-9440-d2bd5589fd6e
HIJAU ASRI,03.02.2019.174,PT. Maju Makmur Utomo,hayati,Cair,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
HALIMUN,02.02.2018.176,CV. Multi Agro Jaya Utama,organik,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,477034fe-aa39-472f-bb37-f542ee8bc109
CAP KUNCI,01.03.2019.256,PT Kertopaten Agro Sejahtera,an-organik,Tepung,Biru,An-organik - Pendaftaran Baru,2018,2023,a6e2f059-0c12-4193-bffc-b73112763f4c
BENEFIT PZ,01.02.2019.117,PT. Winon International,an-organik,Cair,Cokelat,An-organik - Pendaftaran Baru,2018,2023,6395efef-31f0-4019-acd2-84e790a7cd2a
BOF,,PT BIOZYM PRATAMA,organik,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2018,2023,0c496ac58b4898b510132b58728761679884
WANDA 17,01.04.2019.235,PT. Mega Tri Utama,an-organik,Tablet,Merah Bata,An-organik - Pendaftaran Baru,2018,2023,3e08d324-3261-4cba-a7d6-0dd5230f56c8
SOILMAX,03.02.2018.179,PT. Agro Max Asia,hayati,Cair,Coklat ,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,a35338e4-35ba-40b9-a3ca-cd0e2aadabe9
BOROPLUS,01.02.2019.103,PT. Winon International,an-organik,Cair,Kuning,An-organik - Pendaftaran Baru,2018,2023,6395efef-31f0-4019-acd2-84e790a7cd2a
ENKU,01.04.2020.067,PT. Bumi Subur Sentosa,an-organik,Tablet,Putih Masam ,An-organik - Pendaftaran Baru,2018,2023,2004b629430939f680b316dd09563d4d4723
Intel (Test),01/Test/2018,Alwi Konsultan - TEST,an-organik,Cair,test merah,An-organik - Pendaftaran Baru (2018),2018,2023,ff31b9bddd061e00851c3eeb82fccb867045
AKP,01.01.2019.044,PT. ASIA KIMINDO PRIMA,an-organik,Butiran,Coklat Muda,An-organik - Pendaftaran Baru,2018,2023,8215e259-e648-4363-a6e2-d376c19cf345
MICROLEEF,01.01.2018.296,PT. Agri Jaya Manggala,an-organik,Butiran,Abu - Abu Gelap,An-organik - Pendaftaran Baru,2018,2023,3a4e1461-56c5-4fb0-89ae-57157d037c83
CAP TOPI,01.03.2018.358,PT. BUKIT PRIMA NIAGA,an-organik,Tepung,Coklat,An-organik - Pendaftaran Baru,2018,2023,c8fb2d30-d1b5-4d1a-9440-d2bd5589fd6e
Mentari,01.03.2018.278,PT. Permata Agro Persada,an-organik,Tepung,Coklat,An-organik - Pendaftaran Baru,2018,2023,d6995698-8fd6-4d4e-81b6-f09a2d303f26
Mentari,01.03.2018.331,PT. Permata Agro Persada,an-organik,Tepung,Coklat Muda,An-organik - Pendaftaran Baru,2018,2023,d6995698-8fd6-4d4e-81b6-f09a2d303f26
Mentari,01.01.2018.318,PT. Permata Agro Persada,an-organik,Butiran,Merah,An-organik - Pendaftaran Baru,2018,2023,d6995698-8fd6-4d4e-81b6-f09a2d303f26
Mentari,01.01.2018.305,PT. Permata Agro Persada,an-organik,Butiran,Putih,An-organik - Pendaftaran Baru,2018,2023,d6995698-8fd6-4d4e-81b6-f09a2d303f26
Benmax,02.02.2018.126,PT. INDO ACIDATAMA Tbk,organik,Cair,Coklat tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,cb888ba5-4be8-4687-bb57-dc016697f2bd
JITU TANI,01.03.2018.248,PT. Sri Dipo Nuswantoro,an-organik,Tepung,Kecoklatan,An-organik - Pendaftaran Baru,2018,2023,80ffff3a-9c95-4700-a47c-8d071d5c2151
K-TOK,01.02.2018.280,CV. PRIMA AGRO LANCAR,an-organik,Cair,Merah,An-organik - Pendaftaran Baru,2018,2023,01b47be1-d6ee-4d01-9f9b-dc14c42ebcce
LOONGZOU,01.03.2019.072,PT. Sasco Indonesia,an-organik,Tepung,coklat muda,An-organik - Pendaftaran Baru,2018,2023,5f3559b5-945e-4d3a-9fe9-b4a089c200fa
AGRIMAS,01.01.2019.151,PT Agrimas Utama Indonesia,an-organik,Butiran,Merah Bata Kecoklatan,An-organik - Pendaftaran Baru,2018,2023,609ab9e45e4119ac0dff043fc6e5da373469
PLANMATE,,PT BIO PLANMATE INDONESIA,organik,Tepung,Coklat Tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,28b5bae1-9d52-4681-b389-7d7aae5f035e
FERTILUM,01.03.2019.391,CV. Agronusa Mandiri,an-organik,Tepung,Merah muda,An-organik - Pendaftaran Baru,2018,2023,f0a79aa1-3e4c-4135-a63a-71b1f5a7a601
JUMBO VEGETABLE,01.02.2020.090,CV. Agronusa Mandiri,an-organik,Cair,Biru,An-organik - Pendaftaran Baru,2018,2023,f0a79aa1-3e4c-4135-a63a-71b1f5a7a601
Humastro,02.03.2019.130,CV. Agronusa Mandiri,organik,Tepung,Hitam kecoklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,f0a79aa1-3e4c-4135-a63a-71b1f5a7a601
EUROSOIL,01.01.2018.402,PT.MITRA CIPTA AGRO,an-organik,Butiran,Hijau (Green),An-organik - Pendaftaran Baru,2018,2023,0ed33db9-2a4d-4569-9eed-44db92f7a8af
BERLIAN,,PT. Andalan Usaha Indonesia,Pembenah Tanah Kapur Pertanian,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2018,2023,ee6a4138-bbc9-4a36-be73-16888c2d3b33
BOSTANI,,CV. BOMA SAKTI TANI,an-organik,Tepung,Merah,An-organik - Pendaftaran Ulang Ganjil,2018,2023,5fb2ddf1-86fb-4492-a0d3-a5b88646c00c
CAP TAWON,01.01.2019.255,PT Kertopaten Kencana,an-organik,Butiran,Biru,An-organik - Pendaftaran Baru,2018,2023,0c496ac58b4898b510132b58728761674087
MPS Multidaya,01.01.2019.188,PT. Multidaya Putra Sejahtera,an-organik,Butiran,Biru,An-organik - Pendaftaran Baru,2018,2023,ff31b9bddd061e00851c3eeb82fccb869505
Amina,,PT AJINOMOTO INDONESIA,organik,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,e8f40095-3ba8-457e-8f5c-81d2ce9bb4e7
Powersoil,02.08.2019.011,UD. MITRA MERDEKA TANI,organik,Remah,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,860a3dd2-146b-4eb1-98e3-936035aa3cec
CIRP PREMIUM - IKAN PAUS,,PT. Rolimex Kimia Nusamas,an-organik,Tepung,Coklat Muda,An-organik - Pendaftaran Ulang Ganjil,2018,2023,619f157d-3c34-4e2b-83be-9da23d69d8ec
ABI,02.02.2020.004,CV. AGRO BISNIS INDONESIA,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,6656f658-a415-44a0-a480-b6290de2264e
ELLVO HARA,02.03.2019.053,CV.PETRO INTI PERKASA,organik,Tepung,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,b1ade489-5722-45f0-bb78-2661814a96f3
MANISKALI,01.01.2018.313,PT Carlindo Serasi Abadi,an-organik,Butiran,Hijau,An-organik - Pendaftaran Baru,2018,2023,1211d7a9-a798-422a-ab3d-f3cd12c6d19c
Palgreen,01.02.2018.310,CV. PRIMA AGRO LANCAR,an-organik,Cair,Hijau,An-organik - Pendaftaran Baru,2018,2023,01b47be1-d6ee-4d01-9f9b-dc14c42ebcce
Octabacter,,PT Ambagiri Nusantara,hayati,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,94cacbdd-c423-423e-93d0-3365816ed506
FARMPION,01.03.2018.398,CV IMEXINDO NUSANTARA,an-organik,Tepung,Hijau,An-organik - Pendaftaran Baru,2018,2023,1cfcc010-05de-49a2-9b9f-e6b1c53aa2f2
Kelopak Dunia,04.03.2018.155,PT. Gemah Ripah Loh Jinawi Industri,Pembenah Tanah Dolomit,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,a057a556-5102-49eb-babe-ca7ac54b65f1
Kelopak Dunia ,,PT. Gemah Ripah Loh Jinawi Industri,Pembenah Tanah Kapur Pertanian,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,a057a556-5102-49eb-babe-ca7ac54b65f1
MAHKOTA,,PT. WILMAR CHEMICAL INDONESIA,Fosfat Alam untuk Pertanian (SNI),Butiran,Kuning Kecoklatan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,f46679f0-5a47-4d85-97e4-cd22abc7bb79
MENTARI,,PT. Permata Agro Persada,NPK Padat (SNI),Butiran,Coklat,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,d6995698-8fd6-4d4e-81b6-f09a2d303f26
DRAGON FERTZ,,PT. DRAGON PUPUK INDONESIA,an-organik,Butiran,PUTIH,An-organik - Pendaftaran Ulang Ganjil,2018,2023,41add7ce-ac83-4cd3-ba90-37164aba126a
Rubi,04.01.2019.055,PT Bukit Mas Murti Persada,Pembenah Tanah Dolomit,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,031b77d8-737d-4274-9e9b-26ff27daa34f
KENDIMAS,02.01.2019.109,PT.Sumberaya Kendimasindo,organik,Butiran,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,81c08b08-b910-443b-a0fd-de7234644b1f
KEBOMAS,01.01.2018.263,PT Petrokimia Gresik,an-organik,Butiran,Coklat Keabuan,An-organik - Pendaftaran Ulang Genap,2018,2023,8259c7aa7427a3aafbc56ffd00cff00e3021
GH-GRANDHAMLET,,CV. Bintang Asri Arthauly,an-organik,Cair,Coklat kehitaman,An-organik - Pendaftaran Ulang Ganjil,2018,2023,cb13b604-e462-462a-90e0-80d76a2469c2
RealStrong,01.07.2018.306,PT.ALL COSMOS INDONESIA,an-organik,Pelet,keabu-abuan,An-organik - Pendaftaran Ulang Genap,2018,2023,1d9a4e40aa7e5af4d5884165c91fc64c1182
MekaGreen,,CV. Sinar Agung,Pembenah Tanah Kapur Pertanian,Butiran,Biru,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,63221ad0-8595-4bf2-aaf4-f1533630cc58
AGRIMAS,01.01.2019.029,PT Agrimas Utama Indonesia,an-organik,Butiran,Merah,An-organik - Pendaftaran Baru,2018,2023,609ab9e45e4119ac0dff043fc6e5da373469
PLANTAFOL,,PT. Winon International,an-organik,Butiran,Putih,An-organik - Pendaftaran Ulang Ganjil,2018,2023,6395efef-31f0-4019-acd2-84e790a7cd2a
PELANGI AGRO,,PT Pupuk Kalimantan Timur,an-organik,Butiran,Cokelat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,3af996a5b19bf8ac5db58137d8d1afed4892
POWERGROW,01.02.2018.343,PT. Dharma Ayu Tani,an-organik,Cair,Hijau ,An-organik - Pendaftaran Ulang Genap,2018,2023,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
TS,,PT. Andalan Usaha Indonesia,Pembenah Tanah Kapur Pertanian,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2018,2023,ee6a4138-bbc9-4a36-be73-16888c2d3b33
AGRIMAS,01.01.2019.150,PT Agrimas Utama Indonesia,an-organik,Butiran,Merah Bata Kecoklatan,An-organik - Pendaftaran Baru,2018,2023,609ab9e45e4119ac0dff043fc6e5da373469
FARMPION,01.03.2019.048,CV IMEXINDO NUSANTARA,an-organik,Tepung,Biru,An-organik - Pendaftaran Baru,2018,2023,1cfcc010-05de-49a2-9b9f-e6b1c53aa2f2
FARMPION,01.03.2019.153,CV IMEXINDO NUSANTARA,an-organik,Tepung,Hijau,An-organik - Pendaftaran Baru,2018,2023,1cfcc010-05de-49a2-9b9f-e6b1c53aa2f2
RealStrong,01.07.2018.307,PT.ALL COSMOS INDONESIA,an-organik,Pelet,keabu-abuan,An-organik - Pendaftaran Ulang Genap,2018,2023,1d9a4e40aa7e5af4d5884165c91fc64c1182
DINDAGROW,01.02.2018.357,PT. Dharma Ayu Tani,an-organik,Cair,Hijau dan Biru,An-organik - Pendaftaran Baru,2018,2023,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
KALIMAX TOP,01.02.2018.323,PT. Dharma Ayu Tani,an-organik,Cair,Merah Tua,An-organik - Pendaftaran Baru,2018,2023,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
RealStrong,01.07.2018.317,PT.ALL COSMOS INDONESIA,an-organik,Pelet,abu abu kehitaman,An-organik - Pendaftaran Baru,2018,2023,1d9a4e40aa7e5af4d5884165c91fc64c1182
BUAH SAWIT Plus,,CV. Tani Subur Perkasa,an-organik,Butiran,Merah,An-organik - Pendaftaran Ulang Ganjil,2018,2023,4c582f0c-aa90-468d-918d-733c02fe50da
INDOGREEN,01.02.2019.049,PT. ARTHA MAKMUR ABADI,an-organik,Cair,Biru,An-organik - Pendaftaran Baru,2018,2023,aed5344b-ed1c-4abc-96d3-752538c7c344
123 GANIC,03.02.2018.079,PT. Dwi Mitra,dekomposer,Cair,Cokelat Tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,48c09dbc-ae69-445d-971d-339f56c2dc2c
GENIUS,03.02.2018.134,CV. Multi Agro Jaya Utama,hayati,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,477034fe-aa39-472f-bb37-f542ee8bc109
BIMASAKTI,03.02.2018.151,CV. Multi Agro Jaya Utama,dekomposer,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,477034fe-aa39-472f-bb37-f542ee8bc109
P.PHOSKA,01.01.2018.294,CV. Cahaya Abadi,an-organik,Butiran,Merah dan Biru,An-organik - Pendaftaran Baru,2018,2023,9e6d4ef1-1932-4b1f-a44a-9ce6b4d3f870
METALIK,,PT. MITOKU SUKSES MAKMUR,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,f7181139-e1f8-4f55-9385-04070643ba75
TS-36,01.01.2018.244,CV. Cahaya Abadi,an-organik,Butiran,Abu-Abu ,An-organik - Pendaftaran Baru,2018,2023,9e6d4ef1-1932-4b1f-a44a-9ce6b4d3f870
SEMESTA,01.01.2018.425,PT. SEMESTA JAYA ABADI,an-organik,Butiran,Abu-Abu ,An-organik - Pendaftaran Baru,2018,2023,370a20b1-9b92-4ff8-8c12-2d5c2e806f4d
PETROFAST,03.02.2019.093,PT Petrokimia Kayaku,dekomposer,Cair,Cokelat,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,a873131e-7133-440c-ba2f-bc80eefd69fd
QLA,02.08.2018.180,PT. QL Agrofood,organik,Remah,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,a06b2028-985a-4d1e-b9d1-27a5bb44d158
BINTANG NUTRISI BIOS,,CV. Bintang Asri Arthauly,organik,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,cb13b604-e462-462a-90e0-80d76a2469c2
GH-GRANDHAMLET,,CV. Bintang Asri Arthauly,an-organik,Tablet,Abu-abu kemerahan,An-organik - Pendaftaran Ulang Ganjil,2018,2023,cb13b604-e462-462a-90e0-80d76a2469c2
BINTANG NUTRISI BIOS,,CV. Bintang Asri Arthauly,organik,Tepung,Coklat kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,cb13b604-e462-462a-90e0-80d76a2469c2
