pemegang_pendaftaran,jumlah_produk,sumber
PT. SOJITZ INDONESIA,11,SIMPEL
PT. CATUR AGRODAYA MANDIRI,11,LEGACY
PT. Maju Makmur Utomo,11,LEGACY
UD. PRIMAGRO,11,LEGACY
PT. Agrotama Tunas Sarana,11,LEGACY
AGRIVERE TRANSFORMA INTERNASIONAL,10,SIMPEL
LABA INDOAGRO NUSANTARA,10,SIMPEL
YAN UTAMA CORPORATION,10,SIMPEL
GALATTA LESTARINDO,10,SIMPEL
INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,10,SIMPEL
TRIAGRO HIJRAH JAYA,10,SIMPEL
SUMBER AGUNG JAYA,10,SIMPEL
UTOMO UTOMO,10,SIMPEL
ANUGERAH MUSTIKA OSTINDO,10,SIMPEL
AGRO MULYA LESTARI,10,SIMPEL
GREEN PLANET INDONESIA,10,SIMPEL
BUMI INDO RAHARJA,10,SIMPEL
ECA TANI BAROKAH,10,SIMPEL
LOTUS AGROKIMIA INDONESIA,10,SIMPEL
TANAMAN MAKMUR MANDIRI,10,SIMPEL
MITRA TANI ABADI,10,SIMPEL
PUPUK SRIWIDJAJA PALEMBANG,10,SIMPEL
DRAGON DISTRIBUSI INDONESIA,10,SIMPEL
SCORLETS,10,SIMPEL
KAYUAN INFARM INDONESIA,10,SIMPEL
PT. Agritek Tani Indonesia,10,LEGACY+SIMPEL
PT. TIARA BUANA MANDIRI,10,LEGACY
PT. Nusa Mandiri Utama,10,LEGACY
PT Pupuk Iskandar Muda,10,LEGACY
JATI EMAS UNGGUL,9,SIMPEL
NATURAL NUSANTARA,9,SIMPEL
BIO ENERGI RIMBA,9,SIMPEL
BINA GUNA KIMIA,9,SIMPEL
PT. Sido Muncul Pupuk Nusantara,9,LEGACY+SIMPEL
SMARTSOFT DIGITAL TEKNOLOGI,9,SIMPEL
WELLS PRIMA GLOBAL,9,SIMPEL
EVERCHEM RESOURCES INDONESIA,9,SIMPEL
AGRO PASTI INDONESIA,9,SIMPEL
WASTEK AGRO INDONESIA,9,SIMPEL
GEMAH RIPAH LOH JINAWI INDUSTRI,9,SIMPEL
BINA AGROSIWI MANDIRI,9,SIMPEL
FORMULA TOP INDONESIA,9,SIMPEL
BIOSINDO MITRA JAYA,9,SIMPEL
CV PLANET AGRONUSA,9,SIMPEL
ADVANSIA INDOTANI,9,SIMPEL
PT. FERTA INDONESIA PERSADA,9,LEGACY+SIMPEL
PT. Winon International,9,LEGACY+SIMPEL
PT. SEMESTA JAYA ABADI,9,LEGACY+SIMPEL
PT. INDO ACIDATAMA Tbk,9,LEGACY
PT Carlindo Serasi Abadi,9,LEGACY
PT Gresik Cipta Sejahtera,9,LEGACY
Agro Bumi Timur,8,SIMPEL
AGRI HIKAY INDONESIA,8,SIMPEL
SERUNIANDAL CITRA MANDIRI,8,SIMPEL
CIPTA GUNA MUKTI,8,SIMPEL
SURYA CIPTA PERKASA YOGYAKARTA,8,SIMPEL
ANDAFA AGRO INDO,8,SIMPEL
MEGA ORGANOFERTILISER,8,SIMPEL
MULIA SUKSES BAHAGIA,8,SIMPEL
MITRA FINEX ANTARNUSA,8,SIMPEL
BIO INDUSTRI NUSANTARA,8,SIMPEL
SARASWANTI ANUGERAH INDONESIA,8,SIMPEL
TUNAS AGRO PERSADA,8,SIMPEL
MEGA PRIMATANI LESTARI,8,SIMPEL
PT.Antariksa Nusantara Indonesia Group,8,LEGACY+SIMPEL
CV.TABITA JAYA,8,LEGACY+SIMPEL
IMEXINDO NUSANTARA,8,SIMPEL
MULTI HARA AGRO,8,SIMPEL
SAFEEKO BIO INDONESIA,8,SIMPEL
MITRA TANI INDONESIA,8,SIMPEL
PERMATA NEGERI INDONESIA,8,SIMPEL
PT.GEMILANG ANDALAN PRATAMA,8,LEGACY+SIMPEL
PT. DAMAI AGRO MANUNGGAL,8,SIMPEL
ULTI GROW NUSANTARA,8,SIMPEL
POMAL BEKA MANDIRI,8,SIMPEL
AGRO GUNA MAKMUR,8,SIMPEL
AGRINDO PERSADATAMA,8,SIMPEL
UD. Makmur Jaya,8,LEGACY+SIMPEL
FERTA INDONESIA PERSADA,8,SIMPEL
CV.BUNGA TANI,8,LEGACY+SIMPEL
Alwi Konsultan - TEST,8,LEGACY
PT. MITRA FINEX ANTARNUSA,8,LEGACY
PT SRI REJEKI FERTILIZER,8,LEGACY
PT. Kingenta Pupuk Indonesia,8,LEGACY
CAHAYA ABADI,7,SIMPEL
TANIKAYA MULTI AGRO,7,SIMPEL
DANA INDO AGRI,7,SIMPEL
RUINS SARANA TANI,7,SIMPEL
AGRICULTURE CONSTRUCTION,7,SIMPEL
GRAHA SIRTU,7,SIMPEL
TAPAL KOEDA INDONESIA,7,SIMPEL
LAUTAN LUAS,7,SIMPEL
INDOIN BUSINESS GROUP,7,SIMPEL
SAYAP EMAS CITRA PERSADA,7,SIMPEL
AZZA MULIA RAHMAN,7,SIMPEL
BULINDO AGRO TEKNOLOGI,7,SIMPEL
AGRO TANI MARISI,7,SIMPEL
PT. Agro Indah Permata,7,LEGACY+SIMPEL
WEHA AGRO SEJAHTERA,7,SIMPEL
SARI BUMI KEDU,7,SIMPEL
EXINDO RAHARJA PRATAMA,7,SIMPEL
PT Alam Makmur Anuri,7,SIMPEL
FORMITRA MULTI PRAKARSA,7,SIMPEL
ENPEKA AGROKIMIA,7,SIMPEL
PT. Pemohon (DUMMY),7,SIMPEL
PT. Bumi Subur Sentosa,7,LEGACY+SIMPEL
PANCAPUTRA AGRO NIAGA,7,SIMPEL
SURYA ARTHA SENTOSA,7,SIMPEL
POLARCHEM,7,SIMPEL
SARASWANTI AGRO MAKMUR,7,SIMPEL
PT. Sumber Agrindo Sejahtera,7,LEGACY+SIMPEL
MESTIKA NUSANTARA AGROKIMIA,7,SIMPEL
PT Pupuk Kujang,7,LEGACY
CV. Nusa Nur Agro,7,LEGACY
PT PUPUK SRIWIDJAJA PALEMBANG,7,LEGACY
cv.nusatani,7,LEGACY
BROMO INDAH LESTARI,6,SIMPEL
SINERGI INTI PANEN,6,SIMPEL
KARYA TANI INDONESIA,6,SIMPEL
NOUSINDO NUSANTARA AGRI,6,SIMPEL
PT Agrimas Utama Indonesia,6,LEGACY+SIMPEL
CV. Bima Agung Sejahtera,6,LEGACY+SIMPEL
FARMINDO ANN CHEMICAL,6,SIMPEL
BANDUNG INOVASI ORGANIK,6,SIMPEL
AGROTECH PESTICIDE INDUSTRY,6,SIMPEL
BANGKIT TANI NUSANTARA,6,SIMPEL
CV. Sumber Buana Perkasa,6,LEGACY+SIMPEL
CEMPAKA BUMI NUSANTARA,6,SIMPEL
MANUNGGAL AGRO TANI,6,SIMPEL
STANLEY AGRO NUSANTARA,6,SIMPEL
ADITYA TANI PERKASA,6,SIMPEL
SUMBER SUBUR SEJATI,6,SIMPEL
BESTANI AGRO SEJAHTERA,6,SIMPEL
ARSISTHA KIMIA CITRA LESTARI,6,SIMPEL
TOYA INDO MANUNGGAL,6,SIMPEL
REDSTONE INDONESIA MAKMUR,6,SIMPEL
RAJAWALI BUANA KREASI,6,SIMPEL
CENTRA AGRO PRATAMA,6,SIMPEL
NOVIE AGRO INDUSTRI,6,SIMPEL
BUMI TANI SUBUR,6,SIMPEL
MULTIFARM INTI SEJAHTERA,6,SIMPEL
PT. CIPTA AGRIFARMERINDO,6,SIMPEL
INDUSTRI KEBUN NUSANTARA,6,SIMPEL
SENTRA TANI SEJAHTERA,6,SIMPEL
GREAT GIANT PINEAPPLE,6,SIMPEL
SUMBER MURNI GRUP,6,SIMPEL
ALIF RAYA,6,SIMPEL
SINKA SINYE AGROTAMA,6,SIMPEL
SUMBER ALAM BAROKAH,6,SIMPEL
AJINOMOTO INDONESIA,6,SIMPEL
PT. KUSUMA DIPA NUGRAHA,6,LEGACY+SIMPEL
EUREEKAGREAT NUSANTARA,6,SIMPEL
WINNERS AVENUE SURABAYA,6,SIMPEL
BOMA SAKTI TANI,6,SIMPEL
PT. SHADANI INSAN MULIA ABADI,6,SIMPEL
MZ MEDICAL,6,SIMPEL
STEFES INDONESIA,6,SIMPEL
ALL COSMOS INDONESIA,6,SIMPEL
PT. Agspec Indonesia,6,LEGACY
CV. Bintang Asri Arthauly,6,LEGACY
PT. SANTANI SEJAHTERA,6,LEGACY
CV. Multi Agro Jaya Utama,6,LEGACY
PT. ASIA KIMINDO PRIMA,6,LEGACY
PT Kertopaten Kencana,6,LEGACY
PT. AGROINDO,6,LEGACY
PT. Agro Nusantara Indonesia,6,LEGACY
PT. Graha Inti Jaya,6,LEGACY
CV Makmur Jaya Bekasi,6,LEGACY
CV. SARAREA PANEN RAYA,6,LEGACY
PT. AGRITANI MAKMUR MANDIRI,6,LEGACY
PT. MULTI NIAGA NUSANTARA INDONESIA,6,LEGACY
AGSPEC INDONESIA,5,SIMPEL
GATEWAY INTERNUSA,5,SIMPEL
GREEN AGRI INDONESIA,5,SIMPEL
AGRO INSANI SEMESTA,5,SIMPEL
AGRITAMA TUMBUH PERKASA,5,SIMPEL
RAJA ARTHA AGRO,5,SIMPEL
MON LEON INDONESIA,5,SIMPEL
WONDERINDO PHARMATAMA,5,SIMPEL
AGRO MAKMUR MANDIRI,5,SIMPEL
DHARMA GUNA WIBAWA,5,SIMPEL
PUPUK SWADAYA PURIMAS,5,SIMPEL
PRADIPTA PARAMITA,5,SIMPEL
BINTANG TIMUR PASIFIK,5,SIMPEL
ALL COSMOS BIOTEK,5,SIMPEL
ATS INTI SAMPOERNA,5,SIMPEL
ELIT SOLUSI NIAGA,5,SIMPEL
MITRA AGUNG SAWITA SEJATI,5,SIMPEL
PT. IRQ MAKMUR JAYA,5,SIMPEL
BUMI NUSANTARA,5,SIMPEL
AGRO NUSANTARA INTERNASIONAL,5,SIMPEL
PT. Andalan Chemist Indonesia,5,SIMPEL
BAKTI ALAM NUSANTARA,5,SIMPEL
CV. Tiga Tunas Bangsa,5,SIMPEL
PUPUK ISKANDAR MUDA,5,SIMPEL
DWIAGRI MAKMUR INTERTRADE,5,SIMPEL
PT ARIGOLD YOOHA CORP,5,LEGACY+SIMPEL
MOLINDO RAYA INDUSTRIAL,5,SIMPEL
RABANA AGRO RESOURCES,5,SIMPEL
ANDI JAYA INDUSTRI,5,SIMPEL
PT. Tranquerah Nusantara Cerah,5,LEGACY+SIMPEL
PROPADU KONAIR TARAHUBUN,5,SIMPEL
MILLENIS MITRA INDONESIA,5,SIMPEL
PUTERA RAYA ABADI,5,SIMPEL
BINTANG ASRI ARTHAULI,5,SIMPEL
DWI JAYA EKAPRIMA,5,SIMPEL
BUMIKITA MAKMUR,5,SIMPEL
DMG PHARMA LABORATORIES,5,SIMPEL
PT. GOAUTAMA SINARBATUAH,5,LEGACY+SIMPEL
WIKA JAYA MANDIRI,5,SIMPEL
CV. KUJANG MAS AGRO KENCANA,5,LEGACY+SIMPEL
FEMU ENVIRO RISORINDO,5,SIMPEL
GRESIK CIPTA SEJAHTERA,5,SIMPEL
BERKAT MITRA MAKMUR,5,SIMPEL
PT. Triasindo Subur Prima,5,SIMPEL
AGROLAND MANDIRI UTAMA,5,SIMPEL
CV IMEXINDO NUSANTARA,5,LEGACY
PT Petrokimia Kayaku,5,LEGACY
PT. SINAR  GENERAL INDUSTRIES,5,LEGACY
PT. Agro Berjaya Nusantara,5,LEGACY
PT. Dupan Anugerah Lestari,5,LEGACY
CV. Javamas Agrophos,5,LEGACY
SINAR EMPAT PILAR UTAMA,4,SIMPEL
LINTANG MAS AGRO,4,SIMPEL
PT. Tani Karya Makmur Sejahtera,4,LEGACY+SIMPEL
GEMA TANI ETAM,4,SIMPEL
SEA SIX ENERGY INDONESIA,4,SIMPEL
DELTA GIRI WACANA,4,SIMPEL
NUSA TANI,4,SIMPEL
RISET PERKEBUNAN NUSANTARA,4,SIMPEL
SEMESTA AGRO MAKMUR,4,SIMPEL
CV. Sumber Agung Jaya,4,SIMPEL
NICO MANDIRI SEJAHTERA,4,SIMPEL
TUNAS HARMONI ABADI,4,SIMPEL
UNITED ALACRITY INDONESIA,4,SIMPEL
PT. Super Tani Indonesia,4,SIMPEL
GLOBAL MANTEP LESTARI,4,SIMPEL
GREENTECH INTERNATIONAL,4,SIMPEL
TANINDO TETAP JAYA,4,SIMPEL
ZENITH CROPSCIENCES INDONESIA,4,SIMPEL
SEJUK ALAM LESTARI,4,SIMPEL
KERTO KENCANA ABADI,4,SIMPEL
MISSION TANI,4,SIMPEL
PT INDMIRA,4,SIMPEL
MANDIRI DUASATU,4,SIMPEL
SAKURA FISHERIES,4,SIMPEL
ESTU SEBA AGRINUSA,4,SIMPEL
CEVE SINAR ARAS,4,SIMPEL
ALAM HIJAU,4,SIMPEL
OAT MITOKU AGRIO,4,SIMPEL
REZEKI BERSAMA INDONESIA,4,SIMPEL
HABDHI NEGORO MANDIRI,4,SIMPEL
SOBAT TANI,4,SIMPEL
PT.CENTRAL ALAM RESOURCES LESTARI,4,SIMPEL
PT TRIASINDO ROYAL AGRO,4,LEGACY+SIMPEL
AGRO NATURAL TECHNOLOGY,4,SIMPEL
SINAR MAS MALAKA,4,SIMPEL
UPL INDONESIA,4,SIMPEL
SURYA NUSANTARA SEJATI,4,SIMPEL
TUNAS FOREST GEMILANG,4,SIMPEL
POSPORINDO NUSANTARA,4,SIMPEL
DUTA LIMAS,4,SIMPEL
ALAM SEMESTA INDONESIA,4,SIMPEL
JAYA TANI,4,SIMPEL
PRIMA AGRO NETWORK,4,SIMPEL
PUTRA HAKA PERKASA,4,SIMPEL
AGRO UNGGUL JAYAMAKMUR,4,SIMPEL
CV MAKMUR ABADI,4,SIMPEL
SARIMAKMUR SULTAN NUSANTARA,4,SIMPEL
MANUNGGAL MERDEKA MAKMUR,4,SIMPEL
BHADRA CEMERLANG,4,SIMPEL
PT. DELAPAN ENAM BERLIAN,4,SIMPEL
AGRO ZYM JAYA,4,SIMPEL
PT.MITRA CIPTA AGRO,4,LEGACY+SIMPEL
MANDIRI PALMERA AGRINDO,4,SIMPEL
PT. CEVE SINAR ARAS,4,SIMPEL
CV. INTI TANI MAKMUR,4,SIMPEL
SUBUR PERKASA NUSANTARA,4,SIMPEL
CV. Cahaya Agro Persada,4,SIMPEL
CV. TUMBUH BERKEMBANG SEJAHTERA,4,SIMPEL
DELIMA MANDALA SURYA,4,SIMPEL
KARUNIA NIAGA SEJAHTERA,4,SIMPEL
BIO KONVERSI INDONESIA,4,SIMPEL
UTAMA KARYA TANI,4,SIMPEL
KERINA MARGA PLANTATION,4,SIMPEL
NITIS PUSAKA KUSUMA,4,SIMPEL
BISATANI SUKSES UTAMA,4,SIMPEL
PT TRI TUNGGAL ABADI MULIA,4,SIMPEL
NIVIDIA PRATAMA KHATULISTIWA,4,SIMPEL
JAWA AGRINDO INTERNASIONAL,4,SIMPEL
ALFA BETA AGROCHEMICAL,4,SIMPEL
TIMURAYA TUNGGAL,4,SIMPEL
AGRO INDAH PERMATA 21,4,SIMPEL
BUMI GEMILANG ARTHA,4,SIMPEL
CV. Mulyo Tani Makmur,4,LEGACY
UD. MITRA MERDEKA TANI,4,LEGACY
PT AJINOMOTO INDONESIA,4,LEGACY
PT.ALL COSMOS INDONESIA,4,LEGACY
PT. UTOMO UTOMO,4,LEGACY
CV. Jaya Tani,4,LEGACY
PT. Formitra Multi Prakarsa,4,LEGACY
PT. Laku Agung Bahagia Indonesia,4,LEGACY
CV. MITRA AGRO SENTOSA,4,LEGACY
PT Tunas Agro Persada,4,LEGACY
PT. Molindo Raya Industrial,4,LEGACY
PT Pupuk Indonesia (Persero),4,LEGACY
PT. RIZKY FAJAR AGRO,4,LEGACY
PT HARVESTMORE MULTITRADE INDONESIA,4,LEGACY
CV. Agro Nusa Indah,4,LEGACY
CV. Anugerah Tani Makmur,4,LEGACY
PT Lamandau Subur Sejahtera,4,LEGACY
PT. PLANTSAFE FERTILIZER INDONESIA,4,LEGACY
PT. Indevco Internusa,4,LEGACY
PT. Setia Bersama,4,LEGACY
CV. Ruthani Mandiri,4,LEGACY
PT SAFA AGROTEK INDONESIA,4,LEGACY
PUPUK LAPAN HARSA,3,SIMPEL
DUA POHON BESAR,3,SIMPEL
HYDRO FARM INDONESIA,3,SIMPEL
PUPUK PARIT KITANG,3,SIMPEL
PT. SOLUSI LINGKUNGAN INDUSTRI NUSANTARA,3,SIMPEL
CV. Karya Tani Indonesia,3,SIMPEL
AGROMAX MAKMUR SEKAWAN,3,SIMPEL
CATUR AGRODAYA MANDIRI,3,SIMPEL
ANKEWA CHEMICAL INDONESIA,3,SIMPEL
NOVACHEM ADAMANTINA,3,SIMPEL
INDOFAST AGRO NUSANTARA,3,SIMPEL
NUGEN CROP INDONESIA,3,SIMPEL
PT. PERINTIS NIAGA INDONESIA,3,SIMPEL
RUCI TANI JAYA ABADI,3,SIMPEL
FERTILINDO AGROLESTARI,3,SIMPEL
SUBUR MAKMUR SEJAHTERA,3,SIMPEL
ANARD BUMI SENTOSA,3,SIMPEL
JASA TAMBANG ACEH,3,SIMPEL
BERKAH TANI LESTARI,3,SIMPEL
PT RENER INTI INTERNASIONAL,3,SIMPEL
GUNUNG BERKAT SEJAHTERA,3,SIMPEL
CV. Makmur Sembada,3,SIMPEL
SURYA MENTARI SAKTINDO,3,SIMPEL
ANGPUTRA GLOBAL ORGANIK,3,SIMPEL
INDO BAY BIO,3,SIMPEL
PT. SERA AGRO NUTRINDO,3,SIMPEL
REKATANI INDONESIA,3,SIMPEL
BUMI IMPERIUM INDONESIA,3,SIMPEL
PRIMA TANI MANDIRI,3,SIMPEL
SARANA GLOBAL PHOSPHORINDO,3,SIMPEL
KURNIA MAS,3,SIMPEL
NATHANI INDONESIA,3,SIMPEL
CV. Tani Subur Perkasa,3,LEGACY+SIMPEL
AGRI PRIME INTERNATIONAL,3,SIMPEL
BUMI REKAYASA PERSADA,3,SIMPEL
MAGNESIUM GOSARI INTERNASIONAL,3,SIMPEL
HIKMAH TANI,3,SIMPEL
JENAWI SUBURINDO REJEKI,3,SIMPEL
RAJAWALI CITRA ALAM,3,SIMPEL
CHEMSTAR AGRO INDONESIA,3,SIMPEL
SULTAN ISKANDAR MUDA,3,SIMPEL
RUHISA PERSADA,3,SIMPEL
TIGA UNGGUL SEJAHTERA,3,SIMPEL
LAMPOKO TERNAK INDONESIA,3,SIMPEL
NEO SINAR MEDAN,3,SIMPEL
NEO CROP SOLUTIONS,3,SIMPEL
DELTA CHEMICA,3,SIMPEL
KAKIMAS PRIMA PERKASA,3,SIMPEL
MULTI ALAM RAYA SEJAHTERAA,3,SIMPEL
MITRA AGRO SENTOSA,3,SIMPEL
AGRIBISNIS TECHNOLOGY INDONESIA,3,SIMPEL
PT. NUSANTARA AGRO TAMA,3,SIMPEL
SELARAS ALAM SEJAHTERA,3,SIMPEL
BAROKAH PRIMA TANI,3,SIMPEL
SUMBER ALAM UNGGUL,3,SIMPEL
CV AGRO PERSADA,3,SIMPEL
BUNGA TANI,3,SIMPEL
BUMI PERSADA SIDAYU,3,SIMPEL
ASIA MIKRO PUPUK,3,SIMPEL
KUSUMA DIPA NUGRAHA,3,SIMPEL
SUTERA AGRINDO UTAMA,3,SIMPEL
CV Arisna Jaya,3,SIMPEL
PT. JASINDO KREASI MANDIRI,3,SIMPEL
SANG HYANG SERI,3,SIMPEL
SARI BUMI SIDAYU,3,SIMPEL
ARICTON EXIM INDONESIA,3,SIMPEL
WIRAPUTRA AGRO MANDIRI,3,SIMPEL
ARTHA MAKMUR ABADI,3,SIMPEL
AGRITAMA PRIMA MANDIRI,3,SIMPEL
BINGEI AGUNG,3,SIMPEL
PRIMA BERKAH NUSANTARA,3,SIMPEL
ARENA HORMON INDONUSA,3,SIMPEL
INTI MIKRO INDONESIA,3,SIMPEL
BASISCROP INDONESIA,3,SIMPEL
REJEKI INDAH MANDIRI,3,SIMPEL
TANGGUH AGRO NUSA INDONESIA,3,SIMPEL
KENSO INDONESIA,3,SIMPEL
PINAGO UTAMA,3,SIMPEL
NUSANTARA GREEN LAND,3,SIMPEL
AGRO RAYA TIMUR GROUP,3,SIMPEL
DEWI SRI RAMA I,3,SIMPEL
PT. DWI AGRO HAYATI,3,SIMPEL
AGRO LESTARI JAYA,3,SIMPEL
SIGMA KARYA BUANA,3,SIMPEL
PT AGRI MULTI LESTARI,3,SIMPEL
ARTHA CHRISTA,3,SIMPEL
AGROSID MANUNGGAL SENTOSA,3,SIMPEL
SUKINDO SUPRASEMESTA,3,SIMPEL
PT. Gemah Ripah Loh Jinawi Industri,3,LEGACY+SIMPEL
DELTA GREEN ZONE,3,SIMPEL
CV. GHANDI PUTRA,3,LEGACY+SIMPEL
AGRO FARMERY INDONESIA,3,SIMPEL
PRATAMA AGRO SENTOSA,3,SIMPEL
JOYO MAKMUR SUKSES,3,SIMPEL
DUNIA KIMIA JAYA,3,SIMPEL
ARTHA BUANA,3,SIMPEL
"""CAHYA SEJATI""",3,SIMPEL
CIPTA AGRO NUSANTARA,3,SIMPEL
GOLDEN FARM INDONESIA,3,SIMPEL
PT. PERMATA NEGERI INDONESIA,3,LEGACY+SIMPEL
PANEN AGRO NIAGA,3,SIMPEL
PERMANA AGRO LESTARI,3,SIMPEL
BURSATANI GLOBAL NIAGA,3,SIMPEL
NELAYAN INDONESIA JAYA,3,SIMPEL
MABARFEED INDONESIA,3,SIMPEL
RAHMA JAYA BERSAMA,3,SIMPEL
BIO SARANA INDONESIA,3,SIMPEL
