nomor_pendaftaran,merek,status_izin,berlaku_sampai,kedaluwarsa,putusan,menyeluruh,lingkup,zat_terlarang,lewat,bahan_tak_terpetakan,tanda_registri
"0101011986744","PETROFUR 3 G","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011986745","SHOGUN 440 SC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011989862","APPLAUD 100 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011990908","SUMIALPHA 25 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011990933","BULDOK 25 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"0101011991985","FENVAL 200 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119921006","AMCOTHENE 75 SP","active","2028-04-26","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Asefat","komposisi","",""
"01010119921007","CONFIDOR 200 SL","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119921012","METINDO 25 WP","active","2031-01-20","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Metomil","komposisi","",""
"01010119921031","PEGASUS 500 SC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119921051","POKSINDO 200 EC","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119921065","Agrimec 18 EC","active","2028-08-28","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119931103","TUREX WP","active","2026-11-18","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119931131","REGENT 0.3 GR","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119931131","REGENT 0.3 GR","active","2031-04-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119941157","MATCH 50 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119951177","BESTOX 50 EC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119951178","TANICIS 25 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119951192","REGENT 50 SC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119951196","TALSTAR 25 EC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119961264","COBRA 15 EC","active","2030-02-17","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119961267","EMCINDO 500 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119961279","MARSHAL 5 GR","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119961282","MOSPILAN 30 EC","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119961284","TRESNA 25 EC","active","2030-02-17","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971310","RAMPAGE 100 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971318","TRIGARD 75 WP","active","2030-07-11","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971322","ROTRAZ 200 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971343","PANZER 290 SL","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971352","CALLICRON 500 EC","active","2028-04-26","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","PROFENOFOS","komposisi","",""
"01010119971355","FURY 50 EC","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971357","ACTARA 25 WG","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971359","HIDROFUR 3 GR","active","2026-10-12","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971359","THORDAN 3 GR","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119971360","KARBASIN 500 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119981402","BETA 15 EC","active","2030-02-17","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119981404","CHIX 25 EC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119981409","ESTAF 25 EC","active","2029-08-09","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119981414","KANON 400 EC","active","2027-10-04","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Dimetoat","komposisi","",""
"01010119981416","LUGEN 100 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119981452","WINDER 25 WP","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119991461","PROPAR 50 EC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119991470","SIDABAS 500 EC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010119991490","LANNATE 40 SP","active","2030-07-11","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Metomil","komposisi","",""
"01010119991490","LANNATE 40 SP","active","2027-02-22","habis dalam 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Metomil","komposisi","",""
"01010119992101","MATARIN 50 EC","active","2029-09-19","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001498","BENHUR 500 EC","active","2030-07-11","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001501","EXOCET 50 EC","active","2031-04-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001504","TAMAFUR 3 GR","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001510","PROCLAIM 5 SG","active","2029-03-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001512","AMABAS 500 EC","active","2029-11-18","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001513","TAMACIN 50 WP","active","2029-11-18","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001519","MITIGATE 18 EC","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001523","HAMADOR 25 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001525","ARFO 30 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001536","GAUCHO 350 FS","active","2030-02-17","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001538","DIPHO 290 SL","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001539","FOKKER 500 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001542","IMIDOR 50 SL","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001545","MARSHAL 200 SC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120001549","RESTACK WP","active","2031-07-16","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","padanan","",""
"01010120001559","HAMASID 25 EC","active","2029-09-19","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011570","ANCIN 50 WP","active","2030-07-11","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011575","KONTAN 500 EC","active","2031-07-16","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011580","MITION 500 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011581","NOBAS 400 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011583","PERFEKTAN 405 EC","active","2031-07-16","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Dimetoat","komposisi","",""
"01010120011590","TRUPER 3 GR","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011590","TRUPER 3 G","active","2026-10-12","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011591","WINDER 100 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011614","JAGABAYA 200 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011619","KARDAN 50 SP","active","2029-11-18","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Kartap Hidroklorida","komposisi","",""
"01010120011620","Amnesti 40 EC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011623","Crowen 113 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011636","SIDAMETHRIN 50 EC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011637","SIDIN 50 EC","active","2031-07-16","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011637","SIDIN 50 EC","active","2026-12-10","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011637","SIDIN 50 EC","active","2026-12-10","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011641","TAURUS 200 EC","active","2030-07-11","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011650","SPONTANKING 400 SL","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120011651","TRAFO 290 SL","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120021429","MIPCINDO 50 WP","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120021668","SIDACIN 50 WP","active","2031-07-16","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120021675","Heksagon 50 EC","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120021684","DELTA 25 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120021694","KALIANDRA 482 EC","active","2027-12-05","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","rumah tangga; tanaman padi","Klorpirifos","komposisi","",""
"01010120021706","RADAR 15 EC","active","2031-04-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031739","ATRO 30 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031741","BENTO 50 EC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031749","PASTO 15 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031750","CYRROTEX 75 SP","active","2027-06-27","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031751","DAITONA 400 EC","active","2026-11-18","habis dalam 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031751","DAITONA 400 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031752","OSCAR 25 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031755","DIMECTIN 18 EC","active","2028-08-28","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031762","KEJORA 15 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031777","PREGO 20 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031778","PRIMA-FUR 3 GR","active","2028-08-28","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031792","SUMO 50 EC","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031795","THOMPHAS 25 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031802","AKURATA 200 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031807","DETACRON 500 EC","active","2028-02-08","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","PROFENOFOS","komposisi","",""
"01010120031809","RIZOTIN 100 EC","active","2031-01-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031811","TSUBAME 18 EC","active","2028-08-28","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031814","BM PROMAX 75 SP","active","2028-02-08","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Asefat","komposisi","",""
"01010120031815","BM DELTA 28 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031820","DARIO 25 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031825","FENVAL 10 WP","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031831","KLENSECT 200 EC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031835","METINDO 80 SL","active","2028-04-26","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Metomil","komposisi","",""
"01010120031836","METEOR 25 EC","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031845","ROTEEN 75 SP","active","2028-02-08","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Asefat","komposisi","",""
"01010120031864","AGRISAL WP","active","2029-09-19","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","padanan","",""
"01010120031865","ABUKI 50 SL","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031866","ABA-M 18 EC","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031867","ALTAC 15 EC","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031874","CAPTURE 50 EC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031881","TRIGON 25 EC","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031895","KLIMAX 20 EC","active","2030-11-13","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031896","ALFATOX 50 EC","active","2029-03-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031914","PENTACRON 500 EC","active","2027-10-04","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","PROFENOFOS","komposisi","",""
"01010120031921","ROLIDOR 25 EC","active","2029-03-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031922","ROSCO 75 WP","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031924","RUMBA 500 EC","active","2030-07-11","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","PROFENOFOS","komposisi","",""
"01010120031926","SCUD 50 EC","active","2031-04-20","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031935","STARMEK 18 EC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031935","STARMEK 18 EC","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120031942","RAYDENT 200 EC","active","2027-10-04","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Triazofos","komposisi","",""
"01010120031945","FENTOP 30 EC","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041904","Neptune 25 WP","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041923","RUDAL 25 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041953","MAZZA 200 EC","active","2029-03-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041956","BIOCRON 500 EC","active","2028-02-08","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","PROFENOFOS","komposisi","",""
"01010120041960","CHLORMITE 400 EC","active","2027-10-04","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","rumah tangga; tanaman padi","Klorpirifos","komposisi","",""
"01010120041964","GUNTUR 75 WP","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041976","IMIDASAL 10 WP","active","2029-03-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041977","KOMPITOR 200 SL","active","2029-03-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041979","LANCER 75 SP","active","2029-03-05","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Asefat","komposisi","",""
"01010120041981","MANUVER 400 SL","active","2027-10-04","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041988","MYLTOP 25 WP","active","2029-03-04","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Metomil","komposisi","",""
"01010120041992","PELLE 50 EC","active","2029-03-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041994","POLYDOR 25 EC","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120041999","RAHWANA 500 EC","active","2027-12-05","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120042001","RUDOR 200 SL","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120042002","RUDOR 5 WP","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120042003","SANCORD 50 EC","active","2028-02-08","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120042004","SANDOVIN 85 WP","active","2028-02-08","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","tanaman padi","Karbaril","komposisi","",""
"01010120042012","TANIBAN 200 EC","active","2030-07-11","lebih dari 12 bulan","dilarang pada lingkup tertentu","false","rumah tangga; tanaman padi","Klorpirifos","komposisi","",""
"01010120042013","TANICARB 485 EC","active","2030-07-11","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120042014","TANICORD 50 EC","active","2030-09-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
"01010120042051","BIOCIS 25 EC","active","2028-04-26","lebih dari 12 bulan","tidak ada larangan tercatat","false","","","komposisi","",""
