pemohon,jenis_badan,jumlah_varietas,jumlah_ejaan_digabung,komoditas_utama,komoditas_semua,tahun_pertama,tahun_terakhir,jenis_perizinan_terbanyak
Balai Penelitian Tanaman Rempah dan Obat,Pemerintah,65,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Biofarmaka;Tanaman Obat,1988,2022,Pelepasan Varietas Tanaman
"Fakultas Pertanian, IPB",Perguruan tinggi,54,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Hortikultura;Tanaman Flori,2019,2026,Pendaftaran Varietas Tanaman
CV Nusa Heulang,CV,54,4,Tanaman Sayuran,Tanaman Sayuran;Hortikultura,2016,2026,Pelepasan Varietas Tanaman
PT Winon International,PT,53,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Hortikultura,2005,2026,Pelepasan Varietas Tanaman
Pusat Penelitian Perkebunan Gula Indonesia,Lembaga riset,53,1,Tanaman Perkebunan,Tanaman Perkebunan,1998,2026,Pendaftaran Varietas Tanaman
PT Royal Agro Persada,PT,48,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2015,2025,Pelepasan Varietas Tanaman
PT Syngenta Indonesia,PT,46,2,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Buah;Hortikultura,2002,2026,Pelepasan Varietas Tanaman
"Pusat Kajian Hortikultura Tropika, IPB",Perguruan tinggi,46,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2013,2025,Pendaftaran Varietas Tanaman
PT Clause Indonesia,PT,46,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2012,2021,Pelepasan Varietas Tanaman
Balai Penelitian Tanaman Buah,Pemerintah,46,1,Tanaman Buah,Tanaman Buah,2008,2019,Pendaftaran Varietas Tanaman
PT BISI,PT,45,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Buah,1995,2015,Pendaftaran Varietas Tanaman
PT Wira Agro Nusantara Sejahtera,PT,43,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Flori;Tanaman Buah,2017,2024,Pelepasan Varietas Tanaman
PT Benih Emas Indonesia,PT,42,3,Tanaman Perkebunan,Tanaman Perkebunan,2017,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Banyuwangi,Pemerintah,40,2,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan,2015,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sukabumi,Pemerintah,39,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan;Tanaman Buah;Tanaman Biofarmaka;Tanaman Flori,2009,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Jayapura,Pemerintah,39,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2017,2024,Pendaftaran Varietas Tanaman
Balai Besar Penelitian Tanaman Padi,Pemerintah,39,1,Tanaman Pangan,Tanaman Pangan,2008,2020,Pelepasan Varietas Tanaman
PT Agrosid Manunggal Sentosa,PT,38,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura;Tanaman Pangan;Tanaman Buah,2009,2026,Pelepasan Varietas Tanaman
Pemerintah Provinsi Sulawesi Utara,Pemerintah,38,2,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Sayuran;Tanaman Pangan;Tanaman Biofarmaka,1984,2021,Pendaftaran Varietas Tanaman
Gregori Garnadi Hambali,perorangan/lainnya,38,1,Tanaman Flori,Tanaman Flori,2010,2010,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kerinci,Pemerintah,37,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran;Tanaman Perkebunan,2007,2025,Pendaftaran Varietas Tanaman
"Fakultas Pertanian, UGM",Perguruan tinggi,37,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan;Tanaman Sayuran;Tanaman Pakan Ternak,2014,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Banggai Kepulauan,Pemerintah,37,2,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2013,2023,Pendaftaran Varietas Tanaman
PT Mars Symbioscience Indonesia,PT,36,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Malang,Pemerintah,35,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran;Hortikultura;Tanaman Perkebunan;Tanaman Kehutanan,2019,2026,Pendaftaran Varietas Tanaman
CV Multi Global Agrindo,CV,35,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2003,2023,Pelepasan Varietas Tanaman
Sumanah,perorangan/lainnya,34,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2013,2023,Pelepasan Varietas Tanaman
Universitas Bengkulu,Perguruan tinggi,33,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Flori,2011,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Banjar,Pemerintah,33,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Biofarmaka;Tanaman Flori,2007,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kutai Kartanegara,Pemerintah,33,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Perkebunan,2009,2023,Pendaftaran Varietas Tanaman
Balai Penelitian Tanaman Buah Tropika,Pemerintah,33,1,Tanaman Buah,Tanaman Buah,2000,2022,Pelepasan Varietas Tanaman
PT Hextar Seed Indonesia,PT,33,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2009,2020,Pelepasan Varietas Tanaman
Pusat Penelitian Kelapa Sawit,Lembaga riset,31,1,Tanaman Perkebunan,Tanaman Perkebunan,1984,2025,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Sleman,Pemerintah,31,1,Tanaman Flori,Tanaman Flori;Tanaman Buah;Tanaman Pangan,2005,2025,Pendaftaran Varietas Tanaman
PT JJM Indonesia,PT,29,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Hortikultura,2016,2026,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Kepulauan Tanimbar,Pemerintah,29,2,Tanaman Pangan,Tanaman Pangan;Tanaman Flori;Tanaman Buah,2011,2022,Pendaftaran Varietas Tanaman
PT DuPont Indonesia,PT,29,1,Tanaman Pangan,Tanaman Pangan,2005,2019,Pelepasan Varietas Tanaman
PT Petrokimia Gresik,PT,29,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2011,2018,Pendaftaran Varietas Tanaman
PT Primasid Andalan Utama,PT,29,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Tanaman Pangan,2003,2018,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Deli Serdang,Pemerintah,28,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Pakan Ternak;Tanaman Perkebunan;Tanaman Pangan,2009,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lombok Barat,Pemerintah,28,2,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Sayuran;Tanaman Biofarmaka;Tanaman Pangan,2007,2024,Pendaftaran Varietas Tanaman
Balai Penelitian Tanaman Jeruk dan Buah Subtropika,Pemerintah,28,1,Tanaman Buah,Tanaman Buah,2008,2023,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Tabalong,Pemerintah,27,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2007,2025,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Gorontalo,Pemerintah,27,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan;Tanaman Sayuran,2007,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pandeglang,Pemerintah,27,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran;Tanaman Perkebunan,2010,2023,Pendaftaran Varietas Tanaman
PT Bayer Indonesia,PT,26,2,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2009,2026,Pelepasan Varietas Tanaman
Syngenta Crop Protection AG,perorangan/lainnya,26,1,Tanaman Pangan,Tanaman Pangan,2022,2025,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Magetan,Pemerintah,26,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan,2011,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Magelang,Pemerintah,26,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan,2007,2025,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Jawa Barat,Pemerintah,26,2,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan,2009,2024,Pendaftaran Varietas Tanaman
LIPI,Lembaga riset,26,1,Tanaman Flori,Tanaman Flori;Tanaman Buah,2011,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sumba Barat Daya,Pemerintah,26,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2009,2019,Pendaftaran Varietas Tanaman
Pacific Seeds (Thai) Ltd,perorangan/lainnya,25,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2022,2025,Perlindungan Varietas Tanaman
PT Monsanto Technology LLC,PT,25,3,Tanaman Pangan,Tanaman Pangan,2013,2025,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Humbang Hasundutan,Pemerintah,25,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan;Tanaman Buah;Tanaman Sayuran,2020,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Toraja Utara,Pemerintah,25,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan;Tanaman Sayuran,2013,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kediri,Pemerintah,25,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Sayuran,2006,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Blitar,Pemerintah,25,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Sayuran;Tanaman Pangan,2010,2023,Pendaftaran Varietas Tanaman
PT Koreana Seed Indonesia,PT,25,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Tanaman Flori,2006,2023,Pelepasan Varietas Tanaman
PT Tani Murni Indonesia,PT,24,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura;Tanaman Buah,2008,2026,Pelepasan Varietas Tanaman
PT Alam Semesta Agro,PT,24,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Flori;Tanaman Buah,2021,2025,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Lebak,Pemerintah,24,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan,2018,2025,Pendaftaran Varietas Tanaman
BSIP,perorangan/lainnya,24,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Perkebunan,2023,2024,Pendaftaran Varietas Tanaman
PATIR - BATAN,Lembaga riset,24,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2009,2013,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kulon Progo,Pemerintah,23,3,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan;Perkebunan;Tanaman Sayuran,2007,2026,Pendaftaran Varietas Tanaman
CV Enno Corporation,CV,23,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura,2015,2026,Pelepasan Varietas Tanaman
Pusat Penelitian Karet ,Lembaga riset,23,1,Tanaman Perkebunan,Tanaman Perkebunan,1993,2016,Pelepasan Varietas Tanaman
CV ASAI,CV,23,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2011,2011,Pendaftaran Varietas Tanaman
PT Dinasty Inti Agrosarana,PT,22,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura,2016,2026,Pelepasan Varietas Tanaman
CV Agro Bumi Asri Sejahtera,CV,22,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura,2012,2026,Pelepasan Varietas Tanaman
PT Corteva Agriscience Seeds Indonesia,PT,22,1,Tanaman Pangan,Tanaman Pangan,2021,2026,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Balangan,Pemerintah,22,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran,2007,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Karo,Pemerintah,22,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Flori;Tanaman Pangan;Tanaman Perkebunan,2015,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pasuruan,Pemerintah,21,1,Tanaman Buah,Tanaman Buah;Tanaman Flori;Tanaman Pakan Ternak;Tanaman Sayuran;Tanaman Perkebunan,2006,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bogor,Pemerintah,21,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan;Tanaman Pakan Ternak,2005,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bengkulu Tengah,Pemerintah,21,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Perkebunan;Tanaman Sayuran;Tanaman Biofarmaka,2014,2023,Pendaftaran Varietas Tanaman
"Pusat Penelitian Bioteknologi, LIPI",Lembaga riset,21,1,Tanaman Pangan,Tanaman Pangan,2012,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Polewali Mandar,Pemerintah,21,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan;Tanaman Biofarmaka;Tanaman Sayuran,2018,2021,Pendaftaran Varietas Tanaman
Pusat Alih Teknologi dan Pengembangan Kawasan Pertanian Universitas Andalas,Perguruan tinggi,21,1,Tanaman Pangan,Tanaman Pangan,2017,2020,Pendaftaran Varietas Tanaman
Universitas Padjajaran,Perguruan tinggi,21,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Buah,2011,2011,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tabanan,Pemerintah,20,2,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Flori;Tanaman Pangan,2007,2026,Pendaftaran Varietas Tanaman
PT Global Agro Mandiri Indonesia,PT,20,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Hortikultura,2020,2026,Pelepasan Varietas Tanaman
PT Sampoerna Jaya Agro,PT,20,2,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Hortikultura,2020,2026,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Minahasa Utara,Pemerintah,20,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan,2020,2025,Pendaftaran Varietas Tanaman
BPATP,perorangan/lainnya,20,1,Tanaman Buah,Tanaman Buah;Tanaman Flori;Tanaman Sayuran;Tanaman Pangan,2015,2023,Pendaftaran Varietas Tanaman
IPB,Perguruan tinggi,20,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,1985,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lombok Tengah,Pemerintah,20,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran;Tanaman Perkebunan,2007,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Rejang Lebong,Pemerintah,20,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Perkebunan;Tanaman Pangan,2017,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Blora,Pemerintah,20,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2017,2019,Pendaftaran Varietas Tanaman
Wirakusuma Silamurti,perorangan/lainnya,20,1,Tanaman Flori,Tanaman Flori,2009,2009,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Karangasem,Pemerintah,19,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2020,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pacitan,Pemerintah,19,1,Tanaman Pangan,Tanaman Pangan;Tanaman Biofarmaka;Tanaman Perkebunan,2017,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lampung Barat,Pemerintah,19,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Flori;Tanaman Buah,2018,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pelalawan,Pemerintah,19,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2011,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sanggau,Pemerintah,19,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2010,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Mamasa,Pemerintah,19,1,Tanaman Pangan,Tanaman Pangan;Tanaman Flori;Tanaman Sayuran,2018,2019,Pendaftaran Varietas Tanaman
Pusat Penelitian Teh dan Kina,Lembaga riset,19,1,Tanaman Perkebunan,Tanaman Perkebunan,2013,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Mimika,Pemerintah,19,1,Tanaman Perkebunan,Tanaman Perkebunan,2017,2017,Pendaftaran Varietas Tanaman
PT Pioneer,PT,19,1,Tanaman Pangan,Tanaman Pangan,1985,2001,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Garut,Pemerintah,18,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2009,2025,Pendaftaran Varietas Tanaman
PT Known You Seed,PT,18,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2006,2024,Pelepasan Varietas Tanaman
PT Benih Unggul Sejati,PT,18,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2016,2024,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Kubu Raya,Pemerintah,18,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Biofarmaka,2010,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sumedang,Pemerintah,18,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2007,2021,Pendaftaran Varietas Tanaman
BATAN,Lembaga riset,18,1,Tanaman Pangan,Tanaman Pangan,1982,2021,Pelepasan Varietas Tanaman
"Fakultas Biologi, UGM",Perguruan tinggi,18,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2015,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Manokwari,Pemerintah,18,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran;Tanaman Kehutanan;Tanaman Pangan,2018,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Aceh Tengah,Pemerintah,18,2,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2007,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pulau Morotai,Pemerintah,18,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2016,2018,Pendaftaran Varietas Tanaman
Balittri,Pemerintah,18,1,Tanaman Perkebunan,Tanaman Perkebunan,2007,2008,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bojonegoro,Pemerintah,17,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran;Tanaman Flori,2022,2025,Pendaftaran Varietas Tanaman
Balai Besar Penelitian dan Pengembangan Bioteknologi dan Pemuliaan Tanaman Hutan,Pemerintah,17,1,Tanaman Kehutanan,Tanaman Kehutanan,2018,2023,Pendaftaran Varietas Tanaman
PT Marcopolo Seed Nusantara,PT,17,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2003,2009,Pelepasan Varietas Tanaman
Balai Penelitian Kelapa,Pemerintah,17,1,Tanaman Perkebunan,Tanaman Perkebunan,2004,2008,Pelepasan Varietas Tanaman
PT Mahatani Pertiwi Sejahtera,PT,16,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura,2021,2026,Pelepasan Varietas Tanaman
CV Jogja Horti Lestari,CV,16,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura;Tanaman Buah,2022,2026,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Gunungkidul,Pemerintah,16,2,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Buah;Tanaman Flori,2007,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Buleleng,Pemerintah,16,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2007,2023,Pendaftaran Varietas Tanaman
Pemerintah Kota Bima,Pemerintah,16,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran;Tanaman Biofarmaka;Tanaman Perkebunan,2008,2021,Pendaftaran Varietas Tanaman
PT Oriental Seed Indonesia,PT,16,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2007,2009,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Bangka,Pemerintah,15,1,Tanaman Pangan,Tanaman Pangan;Hortikultura;Tanaman Buah,2018,2026,Pendaftaran Varietas Tanaman
CV Halbanero,CV,15,3,Tanaman Sayuran,Tanaman Sayuran;Hortikultura,2015,2026,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Luwu Utara,Pemerintah,15,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2013,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Cianjur,Pemerintah,15,1,Tanaman Flori,Tanaman Flori;Tanaman Pangan;Tanaman Sayuran;Tanaman Buah,2005,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tanah Datar,Pemerintah,15,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2009,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Jombang,Pemerintah,15,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan;Tanaman Sayuran,2007,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bintan,Pemerintah,15,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2017,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bima,Pemerintah,15,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan;Tanaman Sayuran,2007,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kepulauan Sangihe,Pemerintah,15,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan;Tanaman Buah;Tanaman Flori;Tanaman Sayuran,2014,2021,Pendaftaran Varietas Tanaman
PT Johnny Jaya Makmur,PT,15,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Buah,2007,2009,Pelepasan Varietas Tanaman
BADAN RISET DAN INOVASI NASIONAL,Lembaga riset,14,1,Hortikultura,Hortikultura;Tanaman Pangan;Sumber Daya Genetik,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Pemerintah Kabupaten Enrekang,Pemerintah,14,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran,2018,2025,Pendaftaran Varietas Tanaman
PT Advanta Seeds Indonesia,PT,14,3,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2010,2025,Pelepasan Varietas Tanaman
PT Fitotech Agri Lestari,PT,14,1,Tanaman Flori,Tanaman Flori;Tanaman Buah,2025,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Probolinggo,Pemerintah,14,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Sayuran,2010,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Karanganyar,Pemerintah,14,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Perkebunan;Tanaman Sayuran,2007,2025,Pendaftaran Varietas Tanaman
"Prof. Dr. Ir. Setyo Budi, MS",perorangan/lainnya,14,2,Tanaman Perkebunan,Tanaman Perkebunan,2023,2023,Perlindungan Varietas Tanaman
