nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
SS 686,Hortikultura,Kubis,AGROSID MANUNGGAL SENTOSA,PT Agrosid Manunggal Sentosa,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-816/PV.210/A.9/08/2026,2026-08-03
BIG KOL 01,Hortikultura,Kubis,BUANA INTI GANI,BUANA INTI GANI,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-815/PV.210/A.9/08/2026,2026-08-03
GNR 01,Hortikultura,Paria,TRIASPUTRA AGRO MAJU SEJAHTERA,CV Triasputra Agro Maju Sejahtera,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-806/PV.220/A.9/07/2026,2026-07-29
CU ASA 2507,Hortikultura,Mentimun,ADITYA SENTANA AGRO,PT Aditya Sentana Agro,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-824/PV.220/A.9/08/2026,2026-08-03
Carabrina 01,Hortikultura,Cabai rawit,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-798/PV.220/A.9/07/2026,2026-07-29
Ampas Putih,Tanaman Pangan,"Dioscorea, spp",Pemerintah Daerah Kabupaten Jayapura,Pemerintah Daerah Kabupaten Jayapura,Lokal,2026,Pendaftaran Varietas Lokal,B-828/PV.210/A.9/08/2026,2026-08-03
Wono Sri Ah01,Sumber Daya Genetik,Akasia,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-794/PV.220/A.9/07/2026,2026-07-28
RIKUB 1,Hortikultura,Cabai merah,Fakultas Pertanian IPB,"Fakultas Pertanian, IPB",Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-766/PV.220/A.9/07/2026,2026-07-28
SE 23847,Hortikultura,Semangka ,EAST WEST SEED INDONESIA,PT East West Seed Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-802/PV.220/A.9/07/2026,2026-07-29
TE 471,Hortikultura,Terong,NUSAHEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-754/PV.220/A.9/07/2026,2026-07-27
HLB CB 0147,Hortikultura,Cabai merah,HALBANERO,CV Halbanero,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-758/PV.220/A.9/07/2026,2026-07-27
TO 1072,Hortikultura,Tomat,PETANI ANDALAN INDONESIA,PETANI ANDALAN INDONESIA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-762/PV.220/A.9/07/2026,2026-07-27
GIRI 2390,Tanaman Pangan,Jagung,GEMA INOVASI AGRI,GEMA INOVASI AGRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-814/PV.220/A.9/07/2026,2026-07-29
GIRI 2060,Tanaman Pangan,Jagung,GEMA INOVASI AGRI,GEMA INOVASI AGRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-810/PV.220/A.9/07/2026,2026-07-29
GIRI 2021,Tanaman Pangan,Jagung,GEMA INOVASI AGRI,GEMA INOVASI AGRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-790/PV.220/A.9/07/2026,2026-07-28
GIRI 2049,Tanaman Pangan,Jagung,GEMA INOVASI AGRI,GEMA INOVASI AGRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-786/PV.220/A.9/07/2026,2026-07-28
GIRI 1404,Tanaman Pangan,Jagung,GEMA INOVASI AGRI,GEMA INOVASI AGRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-782/PV.220/A.9/07/2026,2026-07-28
GIRI 0435,Tanaman Pangan,Jagung,GEMA INOVASI AGRI,GEMA INOVASI AGRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-778/PV.220/A.9/07/2026,2026-07-28
GIRI 1890,Tanaman Pangan,Jagung,GEMA INOVASI AGRI,GEMA INOVASI AGRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-774/PV.220/A.9/07/2026,2026-07-28
GIRI 2604,Tanaman Pangan,Jagung,GEMA INOVASI AGRI,GEMA INOVASI AGRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-770/PV.220/A.9/07/2026,2026-07-28
Wenggi,Tanaman Pangan,"Dioscorea, spp",Pemerintah Daerah Kabupaten Jayapura,Pemerintah Daerah Kabupaten Jayapura,Lokal,2026,Pendaftaran Varietas Lokal,B-840/PV.210/A.9/08/2026,2026-08-04
LUCY,Hortikultura,Brokoli,PETANI ANDALAN INDONESIA,PETANI ANDALAN INDONESIA,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-750/PV.210/A.9/07/2026,2026-07-24
Labrina,Hortikultura,Krisan/Seruni,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-741/PV.220/A.9/07/2026,2026-07-21
Lokananta,Perkebunan,Kopi,PEMERINTAH KABUPATEN KULON PROGO,Pemerintah Kabupaten Kulon Progo,Lokal,2026,Pendaftaran Varietas Lokal,B-736/PV.210/A.9/07/2026,2026-07-20
BIG SWP 01,Hortikultura,Petsai/sawi putih,BUANA INTI GANI,BUANA INTI GANI,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-737/PV.210/A.9/07/2026,2026-07-20
Sijoppok,Tanaman Pangan,Padi,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-732/PV.210/A.9/07/2026,2026-07-20
Tekul,,,Pemerintah Kabupaten Tabanan,Pemerintah Kabupaten Tabanan,,2026,Pendaftaran Varietas Lokal,,
Simas Tembaga,,,Pemerintah Kabupaten Tabanan,Pemerintah Kabupaten Tabanan,,2026,Pendaftaran Varietas Lokal,,
Moleh,,,Pemerintah Kabupaten Tabanan,Pemerintah Kabupaten Tabanan,,2026,Pendaftaran Varietas Lokal,,
Jonson Leuser,Hortikultura,Durian,DINAS PERTANIAN KABUPATEN ACEH TENGGARA,DINAS PERTANIAN KABUPATEN ACEH TENGGARA,Lokal,2026,Pendaftaran Varietas Lokal,B-728/PV.210/A.9/07/2026,2026-07-16
Minami 1,Tanaman Pangan,Shorgum,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-749/PV.220/A.9/07/2026,2026-07-21
Trajumas,Perkebunan,Kopi,PEMERINTAH KABUPATEN KULON PROGO,Pemerintah Kabupaten Kulon Progo,Lokal,2026,Pendaftaran Varietas Lokal,B-724/PV.210/A.9/07/2026,2026-07-16
UWH 1,Tanaman Pangan,Jagung,Universitas Wahid Hasyim,Universitas Wahid Hasyim,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-720/PV.220/A.9/07/2026,2026-07-16
UWH 2,Tanaman Pangan,Jagung,Universitas Wahid Hasyim,Universitas Wahid Hasyim,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-716/PV.220/A.9/07/2026,2026-07-16
UWH 3,Tanaman Pangan,Jagung,Universitas Wahid Hasyim,Universitas Wahid Hasyim,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-712/PV.220/A.9/07/2026,2026-07-16
TAVIRA,Hortikultura,Pisang ,BADAN RISET DAN INOVASI NASIONAL,BADAN RISET DAN INOVASI NASIONAL,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-745/PV.220/A.9/07/2026,2026-07-21
Nusa Amahitu 1,Perkebunan,Cengkeh,Dinas Pertanian provinsi Maluku,Dinas Pertanian provinsi Maluku,Lokal,2026,Pendaftaran Varietas Lokal,B-700/PV.210/A.9/07/2026,2026-07-15
Nusa Amahitu 3,Perkebunan,Cengkeh,Dinas Pertanian provinsi Maluku,Dinas Pertanian provinsi Maluku,Lokal,2026,Pendaftaran Varietas Lokal,B-680/PV.210/A.9/07/2026,2026-07-15
Nusa Amahitu 2,Perkebunan,Cengkeh,Dinas Pertanian provinsi Maluku,Dinas Pertanian provinsi Maluku,Lokal,2026,Pendaftaran Varietas Lokal,B-684/PV.210/A.9/07/2026,2026-07-15
Sibuah,Tanaman Pangan,Padi,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-688/PV.210/A.9/07/2026,2026-07-15
Kisel,Hortikultura,Durian,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-692/PV.210/A.9/07/2026,2026-07-15
Siloyang,Hortikultura,Durian,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-676/PV.210/A.9/07/2026,2026-07-15
Sikata Bini,Tanaman Pangan,Padi,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-672/PV.210/A.9/07/2026,2026-07-15
GS431,Hortikultura,Cabai merah,GLOBAL AGRO MANDIRI INDONESIA,PT Global Agro Mandiri Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-668/PV.220/A.9/07/2026,2026-07-13
IPBrin KR 03,Hortikultura,Cabai merah,PUSAT KAJIAN HORTIKULTURA TROPIKA,PUSAT KAJIAN HORTIKULTURA TROPIKA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-640/PV.220/A.9/07/2026,2026-07-09
PRBI001,Hortikultura,Paria,DINASTY INTI AGROSARANA,PT Dinasty Inti Agrosarana,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-648/PV.220/A.9/07/2026,2026-07-09
GS466,Hortikultura,Cabai merah,GLOBAL AGRO MANDIRI INDONESIA,PT Global Agro Mandiri Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-644/PV.220/A.9/07/2026,2026-07-09
Magda IPB,Hortikultura,Cabai Habanero,Fakultas Pertanian IPB,"Fakultas Pertanian, IPB",Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-652/PV.220/A.9/07/2026,2026-07-09
RIKUB 2,Hortikultura,Cabai merah,Fakultas Pertanian IPB,"Fakultas Pertanian, IPB",Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-664/PV.220/A.9/07/2026,2026-07-13
IPBrin KR 01,Hortikultura,Cabai merah,PUSAT KAJIAN HORTIKULTURA TROPIKA,PUSAT KAJIAN HORTIKULTURA TROPIKA,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-656/PV.220/A.9/07/2026,2026-07-09
Campe Lea Lebu,Tanaman Pangan,Kacang Merah,Pemerintah Daerah Kabupaten Enrekang,Pemerintah Daerah Kabupaten Enrekang,Lokal,2026,Pendaftaran Varietas Lokal,B-696/PV.210/A.9/07/2026,2026-07-15
Upar,Hortikultura,Duku,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-708/PV.210/A.9/07/2026,2026-07-15
Daima,Hortikultura,Durian,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-704/PV.210/A.9/07/2026,2026-07-15
Campe Lea Tonggo,Tanaman Pangan,Kacang Merah,Pemerintah Daerah Kabupaten Enrekang,Pemerintah Daerah Kabupaten Enrekang,Lokal,2026,Pendaftaran Varietas Lokal,B-660/PV.210/A.9/07/2026,2026-07-09
Halto,Hortikultura,Jengkol,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-632/PV.210/A.9/07/2026,2026-07-03
Oleh  oleh,Hortikultura,Durian,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-624/PV.210/A.9/07/2026,2026-07-03
Sumteng,Hortikultura,Jengkol,Pemerintah Daerah Kabupaten Dairi,Pemerintah Daerah Kabupaten Dairi,Lokal,2026,Pendaftaran Varietas Lokal,B-636/PV.210/A.9/07/2026,2026-07-07
RTN 18,Hortikultura,Mentimun,TUNAS JAVA MANDIRI,CV Tunas Java Mandiri,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-616/PV.220/A.9/07/2026,2026-07-03
CIN 124R,Hortikultura,Cabai rawit,CHANDRA ARIANDRI,CHANDRA ARIANDRI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-620/PV.220/A.9/07/2026,2026-07-03
Sigintung 6,Hortikultura,Cabai rawit,AMANAH BENIH ABADI,AMANAH BENIH ABADI,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-612/PV.220/A.9/06/2026,2026-06-30
PRINCESS,Hortikultura,Sawi,BUANA INTI GANI,BUANA INTI GANI,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-605/PV.210/A.9/06/2026,2026-06-29
TM UNIVERSE,Hortikultura,Semangka ,TANI MURNI INDONESIA,PT Tani Murni Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-628/PV.220/A.9/07/2026,2026-07-03
TM Kaiser,Hortikultura,Melon,TANI MURNI INDONESIA,PT Tani Murni Indonesia,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-608/PV.220/A.9/06/2026,2026-06-30
Kaimana,Perkebunan,Pala,Instansi Pemerintah,Instansi Pemerintah,Lokal,2026,Pendaftaran Varietas Lokal,B-596/PV.210/A.9/06/2026,2026-06-26
KE 4310,Hortikultura,Mentimun,NUSAHEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-592/PV.220/A.9/06/2026,2026-06-26
TRBBI001,Hortikultura,Solanum,DINASTY INTI AGROSARANA,PT Dinasty Inti Agrosarana,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-580/PV.220/A.9/06/2026,2026-06-23
Mizel,Hortikultura,Alpukat ,PEMERINTAH DAERAH KABUPATEN MALANG,PEMERINTAH DAERAH KABUPATEN MALANG,Lokal,2026,Pendaftaran Varietas Lokal,B-584/PV.210/A.9/06/2026,2026-06-23
Ayesa,Hortikultura,Alpukat ,PEMERINTAH DAERAH KABUPATEN MALANG,PEMERINTAH DAERAH KABUPATEN MALANG,Lokal,2026,Pendaftaran Varietas Lokal,B-576/PV.210/A.9/06/2026,2026-06-23
KE 4314,Hortikultura,Mentimun,NUSAHEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-588/PV.220/A.9/06/2026,2026-06-23
AGB BU 61606,Hortikultura,Kacang buncis,AGRO BUMI ASRI SEJAHTERA,CV Agro Bumi Asri Sejahtera,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-571/PV.220/A.9/06/2026,2026-06-22
Siam Runtai,Tanaman Pangan,Padi,Pemerintah Daerah Kabupaten Barito Kuala,Pemerintah Daerah Kabupaten Barito Kuala,Lokal,2026,Pendaftaran Varietas Lokal,B-567/PV.210/A.9/06/2026,2026-06-22
Siam Gaul,Tanaman Pangan,Padi,Pemerintah Daerah Kabupaten Barito Kuala,Pemerintah Daerah Kabupaten Barito Kuala,Lokal,2026,Pendaftaran Varietas Lokal,B-563/PV.210/A.9/06/2026,2026-06-22
RP05,Tanaman Pangan,Jagung,ANUGERAH AGRO LESTARI,ANUGERAH AGRO LESTARI,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-572/PV.210/A.9/06/2026,2026-06-22
Madiredo 1,Hortikultura,Wortel,PEMERINTAH DAERAH KABUPATEN MALANG,PEMERINTAH DAERAH KABUPATEN MALANG,Lokal,2026,Pendaftaran Varietas Lokal,B-559/PV.210/A.9/06/2026,2026-06-15
Madiredo 3,Hortikultura,Wortel,PEMERINTAH DAERAH KABUPATEN MALANG,PEMERINTAH DAERAH KABUPATEN MALANG,Lokal,2026,Pendaftaran Varietas Lokal,B-554/PV.210/A.9/06/2026,2026-06-15
Madiredo 2,Hortikultura,Wortel,PEMERINTAH DAERAH KABUPATEN MALANG,PEMERINTAH DAERAH KABUPATEN MALANG,Lokal,2026,Pendaftaran Varietas Lokal,B-550/PV.210/A.9/06/2026,2026-06-15
Madiredo 4,Hortikultura,Wortel,PEMERINTAH DAERAH KABUPATEN MALANG,PEMERINTAH DAERAH KABUPATEN MALANG,Lokal,2026,Pendaftaran Varietas Lokal,B-546/PV.210/A.9/06/2026,2026-06-15
RP03,Tanaman Pangan,Jagung,ANUGERAH AGRO LESTARI,ANUGERAH AGRO LESTARI,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-555/PV.210/A.9/06/2026,2026-06-15
RP01,Tanaman Pangan,Jagung,ANUGERAH AGRO LESTARI,ANUGERAH AGRO LESTARI,Introduksi,2026,Persetujuan Penamaan Varietas Tanaman (Introduksi),B-547/PV.210/A.9/06/2026,2026-06-15
Taring Kijang,Tanaman Pangan,Padi,Pemerintah Daerah Kabupaten Balangan,Pemerintah Daerah Kabupaten Balangan,Lokal,2026,Pendaftaran Varietas Lokal,B-534/PV.210/A.9/06/2026,2026-06-11
Pulut Kanahi,Tanaman Pangan,Padi,Pemerintah Kabupaten Gunung Mas,Pemerintah Kabupaten Gunung Mas,Lokal,2026,Pendaftaran Varietas Lokal,B-530/PV.210/A.9/06/2026,2026-06-11
Baun Andau,Tanaman Pangan,Padi,Pemerintah Kabupaten Gunung Mas,Pemerintah Kabupaten Gunung Mas,Lokal,2026,Pendaftaran Varietas Lokal,B-538/PV.210/A.9/06/2026,2026-06-15
Siung Merah,Tanaman Pangan,Padi,Pemerintah Kabupaten Gunung Mas,Pemerintah Kabupaten Gunung Mas,Lokal,2026,Pendaftaran Varietas Lokal,B-522/PV.210/A.9/06/2026,2026-06-11
Tabakang,Tanaman Pangan,Padi,Pemerintah Kabupaten Gunung Mas,Pemerintah Kabupaten Gunung Mas,Lokal,2026,Pendaftaran Varietas Lokal,B-526/PV.210/A.9/06/2026,2026-06-11
Brol Pethak,Tanaman Pangan,Kacang Tanah,Pemerintah Daerah Kabupaten Pacitan,Pemerintah Daerah Kabupaten Pacitan,Lokal,2026,Pendaftaran Varietas Lokal,B-518/PV.210/A.9/06/2026,2026-06-10
Brol Abrit,Tanaman Pangan,Kacang Tanah,Pemerintah Daerah Kabupaten Pacitan,Pemerintah Daerah Kabupaten Pacitan,Lokal,2026,Pendaftaran Varietas Lokal,B-514/PV.210/A.9/06/2026,2026-06-10
Rejeb Setyo Nyono,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-506/PV.210/A.9/06/2026,2026-06-09
Kedu Bokoran,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-502/PV.210/A.9/06/2026,2026-06-09
Gondo Roso,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-498/PV.210/A.9/06/2026,2026-06-09
ENNO1206,Hortikultura,Waluh,ENNO CORPORATION,CV Enno Corporation,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-490/PV.220/A.9/06/2026,2026-06-08
NDS 08 Kuning,Tanaman Pangan,Ubi Jalar,Pemda Kabupaten Pandeglang,Pemda Kabupaten Pandeglang,Lokal,2026,Pendaftaran Varietas Lokal,B-482/PV.210/A.9/06/2026,2026-06-03
NDS 08 Ungu,Tanaman Pangan,Ubi Jalar,Pemda Kabupaten Pandeglang,Pemda Kabupaten Pandeglang,Lokal,2026,Pendaftaran Varietas Lokal,B-466/PV.210/A.9/06/2026,2026-06-03
NDS 08 Merah,Tanaman Pangan,Ubi Jalar,Pemda Kabupaten Pandeglang,Pemda Kabupaten Pandeglang,Lokal,2026,Pendaftaran Varietas Lokal,B-470/PV.210/A.9/06/2026,2026-06-03
AB 250,Hortikultura,Semangka ,BENIH MERDEKA TANI,PT BENIH MERDEKA TANI ,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-478/PV.220/A.9/06/2026,2026-06-03
KE 4048,Hortikultura,Mentimun,NUSAHEULANG,CV Nusa Heulang,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-474/PV.220/A.9/06/2026,2026-06-03
Mancung Wirotani,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-510/PV.210/A.9/06/2026,2026-06-09
Pendak Melika,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-494/PV.210/A.9/06/2026,2026-06-08
Sari Sata,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-486/PV.210/A.9/06/2026,2026-06-08
Jibir,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-458/PV.210/A.9/06/2026,2026-06-02
Jahen,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-462/PV.210/A.9/06/2026,2026-06-02
Gringsing Leduri Giriwasesa,Perkebunan,Tembakau,PEMERINTAH DAERAH KABUPATEN WONOGIRI,PEMERINTAH DAERAH KABUPATEN WONOGIRI,Lokal,2026,Pendaftaran Varietas Lokal,B-454/PV.210/A.9/06/2026,2026-06-02
Kebui Maddi,Tanaman Pangan,Kacang Hijau,Dinas Pertanian dan Pangan,Dinas Pertanian dan Pangan,Lokal,2026,Pendaftaran Varietas Lokal,B-450/PV.210/A.9/06/2026,2026-06-02
T184,Hortikultura,Melon,BENIH MERDEKA TANI,PT BENIH MERDEKA TANI ,Hasil Pemuliaan Dalam Negeri,2026,Pendaftaran Varietas Hasil Pemuliaan,B-434/PV.220/A.9/05/2026,2026-05-26
Tata Pangkolan,Tanaman Pangan,Padi,Pemerintah Daerah Kabupaten Hulu Sungai Selatan,Pemerintah Daerah Kabupaten Hulu Sungai Selatan,Lokal,2026,Pendaftaran Varietas Lokal,B-422/PV.210/A.9/05/2026,2026-05-26
