pemohon_asli,nama_kanonik,dasar,perlu_tinjau,varietas,bukti
Pemerintah Kabupaten Padang Pariaman,Pemerintah Kabupaten Padang Pariaman,kanonik,,9,
CV Triasputra Agro Maju Sejahtera,CV Triasputra Agro Maju Sejahtera,kanonik,,10,
Pemerintah Kabupaten Tanah Laut,Pemerintah Kabupaten Tanah Laut,kanonik,,10,
PT BENIH EMAS INDONESIA,PT Benih Emas Indonesia,ejaan/kapitalisasi/spasi,,10,
Pemerintah Provinsi Bengkulu,Pemerintah Provinsi Bengkulu,kanonik,,9,
CV Riawan Tani,CV Riawan Tani,kanonik,,10,
Pemerintah Kabupaten Ngawi,Pemerintah Kabupaten Ngawi,kanonik,,9,
NUSAHEULANG,CV Nusa Heulang,ejaan/kapitalisasi/spasi,,6,
CV HALBANERO,CV Halbanero,ejaan/kapitalisasi/spasi,,8,
CV Merdeka Seed Terus Berkarya,CV Merdeka Seed Terus Berkarya,kanonik,,8,
Pemerintah Kabupaten Flores Timur,Pemerintah Kabupaten Flores Timur,kanonik,,8,
PT Mitratani Dua Tujuh,PT Mitratani Dua Tujuh,kanonik,,8,
PT Monagro K.,PT Monagro K.,kanonik,,8,
ADITYA SENTANA AGRO,PT Aditya Sentana Agro,ejaan/kapitalisasi/spasi,,4,
"Prof. Dr. Ir. Setyo Budi, MS","Prof. Dr. Ir. Setyo Budi, MS",kanonik,,7,
"Prof. Dr. Ir. Setyo Budi., MS","Prof. Dr. Ir. Setyo Budi, MS",ejaan/kapitalisasi/spasi,,7,
CV Agro Citra Mandiri,CV Agro Citra Mandiri,kanonik,,7,
PT Biogene Plantation,PT Biogene Plantation,kanonik,,6,
Pemerintah Kabupaten kepulauan Seribu,Pemerintah Kabupaten kepulauan Seribu,kanonik,,7,
EAST WEST SEED INDONESIA,PT East West Seed Indonesia,ejaan/kapitalisasi/spasi,,5,
DINASTY INTI AGROSARANA,PT Dinasty Inti Agrosarana,ejaan/kapitalisasi/spasi,,4,
DANAU TONDANO SEED EXPERT,CV Danau Tondano Seed Expert,ejaan/kapitalisasi/spasi,,3,
PT Binasawit Makmur,PT Binasawit Makmur,kanonik,,6,
PT Known You Seed Indonesia,PT Known You Seed Indonesia,kanonik,,4,
PT ASD-BAKRIE OIL PALM SEED INDONESIA ,PT ASD-Bakrie Oil Palm Seed Indonesia,ejaan/kapitalisasi/spasi,,6,
Pemerintah Provinsi Bali,Pemerintah Provinsi Bali,kanonik,,6,
Pemerintah Kabupaten Timor Tengah Selatan,Pemerintah Kabupaten Timor Tengah Selatan,kanonik,,6,
AGROSID MANUNGGAL SENTOSA,PT Agrosid Manunggal Sentosa,ejaan/kapitalisasi/spasi,,3,
HALBANERO,CV Halbanero,ejaan/kapitalisasi/spasi,,3,
Politeknik Negeri Lampung,Politeknik Negeri Lampung,kanonik,,5,
Pemerintah Kabupaten Lombok Barat ,Pemerintah Kabupaten Lombok Barat,ejaan/kapitalisasi/spasi,,5,
Pemerintah Kabupaten Sijunjung,Pemerintah Kabupaten Sijunjung,kanonik,,5,
Pemerintah Kabupaten Aceh tengah,Pemerintah Kabupaten Aceh Tengah,ejaan/kapitalisasi/spasi,,5,
CV NUSA HEULANG,CV Nusa Heulang,ejaan/kapitalisasi/spasi,,2,
Dinas Pertanian provinsi Maluku,Dinas Pertanian provinsi Maluku,kanonik,,4,
CV Tunas Java Mandiri,CV Tunas Java Mandiri,kanonik,,4,
JOGJA HORTI LESTARI,CV Jogja Horti Lestari,ejaan/kapitalisasi/spasi,,2,
SAMPOERNA JAYA AGRO,PT Sampoerna Jaya Agro,ejaan/kapitalisasi/spasi,,2,
BENIH KELUD NUSANTARA,PT Benih Kelud Nusantara,ejaan/kapitalisasi/spasi,,2,
PT Benih Kelud Nusantara,PT Benih Kelud Nusantara,kanonik,,4,
AURA SEED INDONESIA,CV Aura Seed Indonesia,ejaan/kapitalisasi/spasi,,2,
PT KORINTIGA HUTANI,PT Korintiga Hutani,ejaan/kapitalisasi/spasi,,4,
"Monsanto Technology, LLC",PT Monsanto Technology LLC,ejaan/kapitalisasi/spasi,,4,
PT Monsanto Technology LLC,PT Monsanto Technology LLC,kanonik,,4,
PT BISI Internasional Tbk,"PT BISI International, Tbk",tanda-baca,,4,
PT BISI INTERNATIONAL,"PT BISI International, Tbk",ejaan/kapitalisasi/spasi,,4,
Pemerintah Kabupaten Lima Puluh Kota,Pemerintah Kabupaten Lima Puluh Kota,kanonik,,4,
Pemerintah Kabupaten Lima puluh kota,Pemerintah Kabupaten Lima Puluh Kota,ejaan/kapitalisasi/spasi,,4,
Pemerintah Kabupaten Ngawi ,Pemerintah Kabupaten Ngawi,ejaan/kapitalisasi/spasi,,4,
"PT Toba Pulp Lestari, Tbk","PT Toba Pulp Lestari, Tbk",kanonik,,4,
PT Toba Pulp Lestari Tbk,"PT Toba Pulp Lestari, Tbk",tanda-baca,,4,
PT Benih Emas Indonesia ,PT Benih Emas Indonesia,ejaan/kapitalisasi/spasi,,4,
PT Sari Benih Unggul,PT Sari Benih Unggul,kanonik,,4,
PT Saribenih Unggul,PT Sari Benih Unggul,tanda-baca,,4,
Dinas Pertanian dan Perikanan Kota Binjai,Dinas Pertanian dan Perikanan Kota Binjai,kanonik,,4,
UD Riawan Tani,CV Riawan Tani,beda-bentuk-badan,ya,4,
Pemerintah Kabupaten Kulon progo,Pemerintah Kabupaten Kulon Progo,ejaan/kapitalisasi/spasi,,3,
ENNO CORPORATION,CV Enno Corporation,ejaan/kapitalisasi/spasi,,2,
BAYER INDONESIA,PT Bayer Indonesia,ejaan/kapitalisasi/spasi,,3,
CV Danau Tondano Seed Expert,CV Danau Tondano Seed Expert,kanonik,,3,
BEJO BENIH INDONESIA,PT BEJO BENIH INDONESIA,ejaan/kapitalisasi/spasi,,3,
PT Korintiga Hutani,PT Korintiga Hutani,kanonik,,3,
"PT BISI Internasional, Tbk.","PT BISI International, Tbk",tanda-baca,,3,
Pemerintah Kabupaten Banyuwangi ,Pemerintah Kabupaten Banyuwangi,ejaan/kapitalisasi/spasi,,3,
Pemerintah Kabupaten Mojokerto,Pemerintah Kabupaten Mojokerto,kanonik,,3,
"Dinas Pertanian dan Perikanan, Kota Binjai",Dinas Pertanian dan Perikanan Kota Binjai,ejaan/kapitalisasi/spasi,,3,
Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kabupaten kepulauan Seribu,ejaan/kapitalisasi/spasi,,3,
PT ASIA GALA AGRI,PT Asia Gala Agri,ejaan/kapitalisasi/spasi,,3,
PT Mitra Tani ,CV Mitra Tani,beda-bentuk-badan,ya,3,
CV Mitra Tani,CV Mitra Tani,kanonik,,3,
PT Monagro Kimia ,PT Monagro Kimia,ejaan/kapitalisasi/spasi,,2,
"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani, Nildar Ibrahim ","Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani, Nildar Ibrahim",ejaan/kapitalisasi/spasi,,3,
"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono ","Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono",ejaan/kapitalisasi/spasi,,3,
PT East West Seed INdonesia,PT East West Seed Indonesia,tanda-baca,,2,
CV Halbanero,CV Halbanero,kanonik,,2,
PEMERINTAH KABUPATEN KULON PROGO,Pemerintah Kabupaten Kulon Progo,ejaan/kapitalisasi/spasi,,2,
GLOBAL AGRO MANDIRI INDONESIA,PT Global Agro Mandiri Indonesia,ejaan/kapitalisasi/spasi,,2,
TANI MURNI INDONESIA,PT Tani Murni Indonesia,ejaan/kapitalisasi/spasi,,2,
BENIH MERDEKA TANI,PT BENIH MERDEKA TANI ,ejaan/kapitalisasi/spasi,,2,
BENIH CITRA ASIA,PT Benih Citra Asia,ejaan/kapitalisasi/spasi,,2,
PT Benih Citra  Asia,PT Benih Citra Asia,ejaan/kapitalisasi/spasi,,2,
JJM INDONESIA,PT JJM Indonesia,ejaan/kapitalisasi/spasi,,1,
PT Semangat Bersama Entrepreneurship,PT Semangat Bersama Entrepreneurship,kanonik,,2,
BINASAWIT MAKMUR,PT Binasawit Makmur,ejaan/kapitalisasi/spasi,,1,
PT KNOWN-YOU SEED INDONESIA,PT Known You Seed Indonesia,ejaan/kapitalisasi/spasi,,1,
CV Semi,CV Semi,kanonik,,2,
CV SEMI,CV Semi,ejaan/kapitalisasi/spasi,,2,
PT ASD-Bakrie Oil Palm Seed Indonesia,PT ASD-Bakrie Oil Palm Seed Indonesia,kanonik,,2,
PT ASD-Bakrie Oil Palm Seed Indonesia ,PT ASD-Bakrie Oil Palm Seed Indonesia,ejaan/kapitalisasi/spasi,,2,
PT ADVANTA SEEDS INDONESIA,PT Advanta Seeds Indonesia,ejaan/kapitalisasi/spasi,,2,
"PT Smart, Tbk","PT Smart, Tbk",kanonik,,2,
PT Smart Tbk,"PT Smart, Tbk",tanda-baca,,2,
PT Toba Pulp Lestari Tbk.,"PT Toba Pulp Lestari, Tbk",tanda-baca,,2,
Pemerintah Provinsi Jawa Barat ,Pemerintah Provinsi Jawa Barat,ejaan/kapitalisasi/spasi,,2,
Pemerintah Kabupaten Aceh jaya,Pemerintah Kabupaten Aceh jaya,kanonik,,2,
Pemerintah Kabupaten Aceh Jaya,Pemerintah Kabupaten Aceh jaya,ejaan/kapitalisasi/spasi,,2,
Pemerintah Kabupaten ?Timor Tengah Selatan?,Pemerintah Kabupaten Timor Tengah Selatan,ejaan/kapitalisasi/spasi,,2,
PT Asia Gala Agri,PT Asia Gala Agri,kanonik,,2,
Pemerintah Provinsi Sulawesi Tengah,Pemerintah Provinsi Sulawesi Tengah,kanonik,,2,
PT Mitratani Dua tujuh,PT Mitratani Dua Tujuh,tanda-baca,,2,
"Emy Sulistyowati, Hasnam, Siwi Sumartini, Hadi Sudarmo, IGAA Indrayani, Cece Suhara","Emy Sulistyowati, Hasnam, Siwi Sumartini, Hadi Sudarmo, IGAA Indrayani, Cece Suhara",kanonik,,2,
"Emy Sulistyowati, Hasnam, Siwi sumartini, Hadi Sudarmo, IGAA Indrayani, Cece Suhara","Emy Sulistyowati, Hasnam, Siwi Sumartini, Hadi Sudarmo, IGAA Indrayani, Cece Suhara",ejaan/kapitalisasi/spasi,,2,
PT Monagro K. ,PT Monagro K.,ejaan/kapitalisasi/spasi,,2,
"Mirzawan P.D.N, Soedjono Darmodjo,  Soejoto Sastrowijoyo, Gunawan Sukarso,Soeprajitno Lamadji dan Eka Sugiyarna. ","Mirzawan P.D.N, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Soeprajitno Lamadji, dan Eka Sugiyarna",ejaan/kapitalisasi/spasi,,2,
"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji dan Eka Sugiyarna. ","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",ejaan/kapitalisasi/spasi,,2,
"Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna","Gunawan Sukarso, Soedjono Darmodjo, Soejoto Sastrowijoyo, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",kanonik,,2,
KENTANG HOLLANDO SEJAHTERA,PT Kentang Hollando Sejahtera,ejaan/kapitalisasi/spasi,,1,
PT Kentang Hollando Sejahtera,PT Kentang Hollando Sejahtera,kanonik,,1,
WINON INTERNATIONAL,PT Winon International,ejaan/kapitalisasi/spasi,,1,
MAHATANI PERTIWI SEJAHTERA,PT Mahatani Pertiwi Sejahtera,ejaan/kapitalisasi/spasi,,1,
TRIASPUTRA AGRO MAJU SEJAHTERA,CV Triasputra Agro Maju Sejahtera,ejaan/kapitalisasi/spasi,,1,
CV Aditya Sentana Agro,PT Aditya Sentana Agro,beda-bentuk-badan,ya,1,
PT Nusaheulang,CV Nusa Heulang,beda-bentuk-badan,ya,1,
Pemerintah Kabupaten tabanan,Pemerintah Kabupaten Tabanan,ejaan/kapitalisasi/spasi,,1,
Dinas Pertanian Provinsi Maluku,Dinas Pertanian provinsi Maluku,ejaan/kapitalisasi/spasi,,1,
TUNAS JAVA MANDIRI,CV Tunas Java Mandiri,ejaan/kapitalisasi/spasi,,1,
AGRO BUMI ASRI SEJAHTERA,CV Agro Bumi Asri Sejahtera,ejaan/kapitalisasi/spasi,,1,
PT BENIH MERDEKA TANI ,PT BENIH MERDEKA TANI ,kanonik,,1,
SEMANGAT BERSAMA ENTREPRENEURSHIP,PT Semangat Bersama Entrepreneurship,ejaan/kapitalisasi/spasi,,1,
SYNGENTA INDONESIA,PT Syngenta Indonesia,ejaan/kapitalisasi/spasi,,1,
MERDEKA SEED TERUS BERKARYA,CV Merdeka Seed Terus Berkarya,ejaan/kapitalisasi/spasi,,1,
Politeknik negeri Lampung,Politeknik Negeri Lampung,ejaan/kapitalisasi/spasi,,1,
PT BEJO BENIH INDONESIA,PT BEJO BENIH INDONESIA,kanonik,,1,
PT BISI International,"PT BISI International, Tbk",tanda-baca,,1,
Pemerintah Provinsi Bali ,Pemerintah Provinsi Bali,ejaan/kapitalisasi/spasi,,1,
PT ADVANTA SEEDS Indonesia,PT Advanta Seeds Indonesia,tanda-baca,,1,
Pemerintah Kabupaten Gunung Kidul,Pemerintah Kabupaten Gunungkidul,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Tanah laut,Pemerintah Kabupaten Tanah Laut,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Mojokerto ,Pemerintah Kabupaten Mojokerto,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Padang Pariaman ,Pemerintah Kabupaten Padang Pariaman,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Aceh besar,Pemerintah Kabupaten Aceh Besar,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Banggai Kepulauan ,Pemerintah Kabupaten Banggai Kepulauan,ejaan/kapitalisasi/spasi,,1,
Pemerintah Provinsi Bengkulu ,Pemerintah Provinsi Bengkulu,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Kepulauan  Tanimbar,Pemerintah Kabupaten Kepulauan Tanimbar,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten sijunjung,Pemerintah Kabupaten Sijunjung,ejaan/kapitalisasi/spasi,,1,
UD Agro Citra Mandiri,CV Agro Citra Mandiri,beda-bentuk-badan,ya,1,
Pemerintah Provinsi Sulawesi utara ,Pemerintah Provinsi Sulawesi Utara,ejaan/kapitalisasi/spasi,,1,
PT Biogene  Plantation,PT Biogene Plantation,ejaan/kapitalisasi/spasi,,1,
PT BIOGENE PLANTATION,PT Biogene Plantation,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Kepulauan Sula ,Pemerintah Kabupaten Kepulauan Sula,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Kepulauan Sula,Pemerintah Kabupaten Kepulauan Sula,kanonik,,1,
Pemerintah kabupaten Flores Timur,Pemerintah Kabupaten Flores Timur,ejaan/kapitalisasi/spasi,,1,
Pusat Aplikasi Isotop dan Radiasi BATAN,Pusat Aplikasi Isotop dan Radiasi BATAN,kanonik,,1,
"Pusat Aplikasi Isotop dan Radiasi, BATAN",Pusat Aplikasi Isotop dan Radiasi BATAN,ejaan/kapitalisasi/spasi,,1,
Pemerintah Kabupaten Buru Selatan,Pemerintah Kabupaten Buru Selatan,kanonik,,1,
Pemerintah Kabupaten Buru Selatan ,Pemerintah Kabupaten Buru Selatan,ejaan/kapitalisasi/spasi,,1,
"Pemerintah Kabupaten kepulauan Meranti, Prov. Riau","Pemerintah Kabupaten kepulauan Meranti, Prov. Riau",kanonik,,1,
"Pemerintah Kabupaten kepulauan Meranti, Prov. Riau ","Pemerintah Kabupaten kepulauan Meranti, Prov. Riau",ejaan/kapitalisasi/spasi,,1,
Pemerintah Provinsi Kalimantan Timur ,Pemerintah Provinsi Kalimantan Timur,ejaan/kapitalisasi/spasi,,1,
Pemerintah Provinsi Kalimantan Timur,Pemerintah Provinsi Kalimantan Timur,kanonik,,1,
Pemerintah Provinsi Sulawesi tengah ,Pemerintah Provinsi Sulawesi Tengah,ejaan/kapitalisasi/spasi,,1,
"Konsorsium Padi Nasional dan BB Padi, Balitbangtan","Konsorsium Padi Nasional dan BB Padi, Balitbangtan",kanonik,,1,
"konsorsium padi nasional dan BB Padi, Balitbangtan","Konsorsium Padi Nasional dan BB Padi, Balitbangtan",ejaan/kapitalisasi/spasi,,1,
PT Perkebunan Nusantara X (PTPN X),PT Perkebunan Nusantara X (PTPN X),kanonik,,1,
PT Perkebunan Nusantara X (PTPN X) ,PT Perkebunan Nusantara X (PTPN X),ejaan/kapitalisasi/spasi,,1,
"Pemerintah KabupatenPonorogo, Jatim","Pemerintah KabupatenPonorogo, Jatim",kanonik,,1,
"Pemerintah Kabupaten Ponorogo, Jatim","Pemerintah KabupatenPonorogo, Jatim",ejaan/kapitalisasi/spasi,,1,
"Siwi Sumartini, Emy Sulistyowati, Hasnam, dan Hadi Sudarmo ","Siwi Sumartini, Emy Sulistyowati, Hasnam, dan Hadi Sudarmo ",kanonik,,1,
"Siwi Sumartini, Emy sulistyowati, Hasnam, dan Hadi Sudarmo ","Siwi Sumartini, Emy Sulistyowati, Hasnam, dan Hadi Sudarmo ",ejaan/kapitalisasi/spasi,,1,
PT Monagro Kimia,PT Monagro Kimia,kanonik,,1,
"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani, Nildar Ibrahim","Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani, Nildar Ibrahim",kanonik,,1,
"Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono","Hasnam, Siwi Sumarini, Emy Sulistyowati, IGAA Indrayani,Titiek Yulianti dan Rusim Mardjono",kanonik,,1,
"Mirzawan P.D.N, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Soeprajitno Lamadji, dan Eka Sugiyarna","Mirzawan P.D.N, Soedjono Darmodjo, Soejoto Sastrowijoyo, Gunawan Sukarso, Soeprajitno Lamadji, dan Eka Sugiyarna",kanonik,,1,
"Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso,  Mirzawan P.D.N, Soeprajitno Lamadji dan Eka Sugiyarna. ","Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",ejaan/kapitalisasi/spasi,,1,
"Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna","Soejoto Sastrowijoyo, Soedjono Darmodjo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji, dan Eka Sugiyarna",kanonik,,1,
PT BCA,PT Benih Citra Asia,singkatan,,78,"12 dari 13 kode huruf nama varietasnya sama dengan skema PT Benih Citra Asia dan menunjuk tanaman yang sama, termasuk yang ganjil: SL=tomat, MC dan PA=paria, VA=kacang panjang. Mentimun ""Semi"" cocok dengan Semi F1 yang masih dijual PT Benih Citra Asia; portofolio komoditasnya sama; tahunnya 2010-2012, tidak beririsan dengan baris PT Benih Citra Asia lain. Diperiksa 20 Agustus 2026 ke registri Direktorat Perbenihan Hortikultura."
