nama_di_registri,id,nama,asal,grup_induk,status_aktivitas,merek_utama,situs,sumber,sumber_jenis,keyakinan,diperbarui
PT. ARYSTA LIFESCIENCE TIRTA,arysta-lifescience-tirta,Arysta LifeScience,Jepang (Tokyo) → Prancis,UPL Limited (sejak 2019),aktif,"Trebon 95 EC (etofenproks), Mitac 200 EC (amitraz), Kasumin 20 SL (kasugamisin), Eviset 50 SP, Funguran 80 WP, Pyramid 72 WP, Arytop 300 SC, Tsubame 18 EC",upl-ltd.com,Buku Pestisida Terdaftar 2014 ; cropcare.or.id/daftar-anggota,laporan-agen-riset,tinggi,2026-08-19
PT.ASIANA CHEMICALINDO LESTARI,asiana-chemicalindo-lestari,Asiana Chemicalindo Lestari,Indonesia (Jakarta Selatan),— (swasta independen),aktif,"Ridafos 550/50 EC, Buniken 60/10 WP, Abapro 38 EC, Spontas 450 SL, Emapro 20/160 OD, Bencore 250 EC, Asiathane 80 WP, Keong Kill 60 WP",asianachemical.co.id,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; asianachemical.co.id ; cropcare.or.id/daftar-anggota,laporan-agen-riset,sedang/tinggi,2026-08-19
ASTINA MEGAH ABADI,astina-megah-abadi,Astina Megah Abadi,,,aktif,TRICHO ZIA 1.0 WS (T. harzianum),,,laporan-agen-riset,tinggi,2026-08-19
PT. BASF INDONESIA,basf-indonesia,BASF,Jerman (Ludwigshafen),BASF SE — Agricultural Solutions,aktif,"Cimegra 100 SC, Regent 50 SC, Fastac 15 EC, Efficon 120 SL, Cabrio 250 EC, Cabrio Top 60 WG, Cevya 400 SC, Zampro 525 SC, Seltima 100 CS, Besun Elite 300 SC (bakterisida), Selontra (rodentisida)",belum terverifikasi (basf.com/id),Buku Pestisida Terdaftar 2014 ; Laporan Tahunan CropLife Indonesia 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; petani-sejahtera.basf.co.id,laporan-agen-riset,tinggi/tinggi (merek) / sedang (badan hu,2026-08-19
PT. BAYER INDONESIA,bayer-indonesia-unit-benih-jagung-disebut-bayer-indonesia-se,Bayer Indonesia,Jerman (Bayer) / AS (eks-Monsanto),Bayer AG — Divisi Crop Science,aktif,"Basta 150 SL (glufosinat), Sunrice 15/60 WG, Ricestar 69 EC, Ricestar Xtra, Sencor 70 WP, Merlin 75 WG, Esplanade 22 WG, Ethrel 480 SL / 10 PA (ZPT etefon); via Monagro: Roundup 486 SL, Roundup Max/Powermax 660 SL",belum terverifikasi (kemungkinan bayer.co.id),Buku Pestisida Terdaftar 2014 ; Laporan Tahunan CropLife Indonesia 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; asbenindo.org/anggota ; bayer.com/id ; ekonomi.bisnis.com ; sulselsatu.com (Mei 2025),laporan-agen-riset,tinggi/tinggi (jagung/padi); rendah (say,2026-08-19
PT. BEHN MEYER AGRICARE,behn-meyer-agricare-juga-tampil-sebagai-behn-meyer-pupuk-agr,Behn Meyer AgriCare,Jerman (grup sejak ±1840) — ops Tangerang Selatan,Behn Meyer Holding AG,aktif,"Behnquat 276 SL, BM Vefosate 480 SL, BM Benta-Q 480 SL, BM E-Fast 150 SL, BM Metron 20 WG, BM Tricalon 318 EC, BM Cantas 40 WP",https://www.behnmeyer.com,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; agribiznetwork.com ; cropcare.or.id/daftar-anggota ; lamansitu.kemendag.go.id/domestic-company/detail/behn-meyer-agricare,laporan-agen-riset,sedang/tinggi/tinggi (entitas) / sedang ,2026-08-19
PT. BELIRANG KALISARI,belirang-kalisari,Belirang Kalisari,Indonesia (Surabaya),Swasta nasional,belum-diverifikasi,⚠️ merek tidak terverifikasi,https://belirangkalisari.com,cropcare.or.id/daftar-anggota/belirang-kalisari-pt,laporan-agen-riset,rendah/sedang,2026-08-19
BIO INDUSTRI NUSANTARA,bio-industri-nusantara,Bio Industri Nusantara,Indonesia (HQ Bandung),"⚠️ diyakini grup PTPN, belum terverifikasi",aktif,"Pupuk Hayati EMAS (PHE), BIOBUZ, BIORIZ, KOMPOTA, MARFU-P, BioAgrodeco",https://ptbionusa.co.id,ptbionusa.co.id/produk/ ; ptbionusa.co.id/profil/tentang-kami/,laporan-agen-riset,sedang/tinggi,2026-08-19
PT. BIO SARANA INDONESIA,bio-sarana-indonesia,Bio Sarana Indonesia,,,aktif,"PESNAB 4 EC (dialil sulfida, alil metil disulfida, dialil disulfida, alil metil trisulfida, dialil trisulfida — ekstrak bawang)",,,laporan-agen-riset,tinggi,2026-08-19
PT. BIOTIS AGRINDO,biotis-agrindo,Biotis Agrindo,Indonesia (Jakarta Utara),⚠️ belum terverifikasi,aktif,"Buku 2014: Biocis 25 EC, Biocron 500 EC, Biogent 50 SC, Biothion 200 EC, Bilis 500 SC, Cadilac 80 WP, Deltaking 565 EC. Terkini: BIOMAX",https://biotis.co.id,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; biotis.co.id ; biotis.co.id/en_US/category/produk/ ; cropcare.or.id/daftar-anggota ; cropcare.or.id/daftar-anggota/biotis-agri,laporan-agen-riset,sedang/tinggi/tinggi (profil) / rendah (,2026-08-19
PT. CORTEVA AGRISCIENCE INDONESIA,corteva-agriscience-indonesia-nama-entitas-terkini-belum-ter,Corteva Agriscience,AS (Indianapolis),"Corteva, Inc. (NYSE: CTVA)",aktif,"Historis (registri 2014): Garlon 670 EC (triklopir), Starane 290/480 EC, DMA 6 825 SL, Clincher 100 EC, Clipper 25 OD, Tordon 101, Broadnet 17/480 SL, Ally 20 WG (metil metsulfuron, eks-DuPont). Terkini (terverifikasi di situs Corteva ID, 2026): Novixid 12,5 OD, Novlect 100/20 EC",corteva.com/id (domain corteva.id redirect ke sini) — ✅ terverifikasi,Buku Pestisida Terdaftar 2014 ; Laporan Tahunan CropLife Indonesia 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; [corteva.com/id](https://www.corteva.com/id/) ; asbenindo.org/anggota ; corteva.com/id ; corteva.id ; jawapos.com (peluncuran P40),laporan-agen-riset,sedang/tinggi,2026-08-19
PT. DA MING INDONESIA,da-ming-indonesia,Da Ming,Tiongkok (belum terverifikasi),⚠️ belum terverifikasi,belum-diverifikasi,⚠️ belum terverifikasi,⚠️ belum terverifikasi,cropcare.or.id/daftar-anggota,laporan-agen-riset,rendah/sedang,2026-08-19
PT. DELTA GIRI WACANA,delta-giri-wacana-idx-dgwg-lini-pupuk-fertilizer-inti-techno,Delta Giri Wacana,Indonesia (Jakarta Utara),perusahaan terbuka (IDX: DGWG) — induk DGW Group,aktif,"NPK premium: NPK Compaction, NPK Gold, NPK Booster / Booster Premium, NPK DGW 16-16-16+TE, NPK Arjuna. Foliar/larut air: CropFast, KNO3 Crystal & Prill, HX-MKP, Cakra Pandawa (Borat, CPN, Mags, MAP Plus). Tunggal: HX-AS / AS Super / AS Granule, HX-DAP, HX-MroPh, DGW TSP. Organik: Cakra Pandawa K12. Cair: Vitagro 11-8-6+TE",https://www.dgw.co.id · https://www.dgwfertilizer.co.id,cropcare.or.id/daftar-anggota ; cropcare.or.id/daftar-anggota/fertilizer-inti-technology-pt ; dgw.co.id ; dgw.co.id/en ; dgw.co.id/en/fertilizers ; dgwfertilizer.co.id,laporan-agen-riset,tinggi,2026-08-19
PT. DELTAGRO MULIA SEJATI,deltagro-mulia-sejati,Deltagro Mulia Sejati,Indonesia,⚠️ belum terverifikasi,aktif,"Detacron 500 EC, Detafos 200 EC, Detazeb 80 WP, Daitona 400 EC, Destan 400 EC, Deskor 95 WP, Dennis 75 WP, Ares 100 SL",⚠️ belum terverifikasi,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; cropcare.or.id/daftar-anggota,laporan-agen-riset,sedang/tinggi,2026-08-19
FERTILIZER INTI TECHNOLOGY,fertilizer-inti-technology,DGW Fertilizer,Indonesia,DGW Group (PT Delta Giri Wacana Tbk),aktif,"Cakra Pandawa (Borat, CPN, Mags, MAP Plus, Kamaszibor), CropFast, KNO3 Crystal & Prill, HX-MKP, Vitagro",https://www.dgwfertilizer.co.id,dgwfertilizer.co.id,laporan-agen-riset,sedang,2026-08-19
PT. DHARMA GUNA WIBAWA,dharma-guna-wibawa-delta-giri-wacana,Dharma Guna Wibawa (DGW),Indonesia (Jakarta Utara),PT Delta Giri Wacana Tbk (IDX: DGWG),aktif,"Dangke 40 WP, Dangke Turbo 40 WP, Demolish 18 EC, Klensect 200 EC, Bypass 60/20 WG, Explore 250 EC, Corona 325 SC, Cozeb 80 WP, Osiris 5,45 SL (matrin)",dharmagunawibawa.co.id,Buku Pestisida Terdaftar 2014 ; Daftar Pestisida Biologi 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; [dgw.co.id](https://dgw.co.id/) ; dharmagunawibawa.co.id,laporan-agen-riset,tinggi,2026-08-19
ENERGI AGRO NUSANTARA,energi-agro-nusantara,Energi Agro Nusantara (Enero),Indonesia (Mojokerto),BUMN — anak usaha PTPN I (Holding Perkebunan Nusantara),belum-diverifikasi,Pupuk Enero,— (belum ditemukan situs resmi),"ringkasan berita (deliknews, seremonia, a1news) — tidak ada sumber primer",laporan-agen-riset,rendah,2026-08-19
PT. ETONG CHEMICAL INDONESIA,etong-chemical-indonesia,Etong Chemical,Tiongkok (belum terverifikasi),⚠️ belum terverifikasi,belum-diverifikasi,⚠️ belum terverifikasi,⚠️ belum terverifikasi,cropcare.or.id/daftar-anggota,laporan-agen-riset,rendah/sedang,2026-08-19
PT. EXCEL MEG INDO,excel-meg-indo,Excel Meg Indo,Indonesia (Jakarta Pusat),"UPL Global Ltd (99,99%)",aktif,"Celcron 500 EC, Celtrin 50 EC, Abacel 18 EC, Kontaf 50 SC, Mantrakol 70 WP, Kelonil 75 WP, Megadis 25 EC, Joker 75 SP",⚠️ domain tidak resolve,Buku Pestisida Terdaftar 2014 ; cropcare.or.id/daftar-anggota ; riset kepemilikan,laporan-agen-riset,tinggi (kepemilikan) / tinggi (merek 201,2026-08-19
PT. FAJAR NASIONAL CIPTA,fajar-nasional-cipta-penerus-ganti-nama-dalzon-chemicals-ind,Fajar Nasional Cipta (eks Dalzon),Indonesia (Jakarta Selatan),"Kodel Group (Kongsi Delapan, sejak 1978)",aktif,"Buku 2014 (sbg Dalzon): Iguana 50 EC, Dafat 250 EC, Alcove 50 EC, Bronco 500 EC, Catapult 50 EC, Strombix 70 WP (moluskisida). Terkini (FNC): Furadan, Curater, Enfuse, Sumialpha",fnc.co.id · dalzon.co.id,Buku Pestisida Terdaftar 2014 ; cropcare.or.id ; dalzon.co.id ; fnc.co.id,laporan-agen-riset,sedang/tinggi,2026-08-19
PT. FMC AGRICULTURAL MANUFACTURING,fmc-agricultural-manufacturing-nama-pada-label-furadan-bina-,FMC Corporation,AS (Philadelphia),FMC Corporation,aktif,"Prevathon 50 SC, Vantacor 600 SC, Verimark 200 SC, Elevest 106/159 SC, Talstar 25 EC, Marshal 200 EC, Ammate 150 EC, Arrivo 30 EC, Bestox 50 EC, Fury 50 EC, Rovral 50 WP, Blastgone 75 WP",ag.fmc.com/id/id,Buku Pestisida Terdaftar 2014 ; Laporan Tahunan CropLife Indonesia 2019 ; ag.fmc.com/id/id,laporan-agen-riset,tinggi (merek) / sedang (badan hukum),2026-08-19
PT. GLOBAL AGROTECH,global-agrotech,Global Agrotech,Indonesia,⚠️ belum terverifikasi,aktif,"Agrocide 77 WP, Agrozeb 80 WP, Agrovin 200 SL, Admit 50 WP, Cash 25 EC, Dapper 75 WP, Jitsu 200 SL, Jagabaya 200 EC",⚠️ belum terverifikasi,Buku Pestisida Terdaftar 2014 ; cropcare.or.id/daftar-anggota,laporan-agen-riset,tinggi,2026-08-19
PT. GREENLIFE BIOSCIENCE,greenlife-bioscience-abi-menulis-green-life-bioscience,Greenlife Bioscience,Indonesia,Swasta nasional,aktif,"AGRISAL WP (Bt kurstaki serotype 3abc, 2%)",https://www.greenlifeglb.com,abi-bioagroinput.or.id/anggota.aspx ; greenlifeglb.com,laporan-agen-riset,sedang/tinggi,2026-08-19
PT. INDAGRO,indagro,Indagro,Indonesia (Jakarta Pusat),⚠️ belum terverifikasi,aktif,"Akron 500 EC, Domark 100 EC, Fipron 50 SC, Fujiwan 400 EC, Fokker 500 EC, Altac 15 EC, Sirkus 50 WP (dimetomorf, RI.01020120093493)",ptindagro.com (tidak dapat diakses),Buku Pestisida Terdaftar 2014 ; cropcare.or.id/daftar-anggota,laporan-agen-riset,tinggi,2026-08-19
INDO ACIDATAMA,indo-acidatama-idx-srsn,Indo Acidatama,Indonesia (Solo/Karanganyar),Swasta nasional (Tbk),aktif,"POMI (pupuk hayati cair), BEKA (pembenah tanah organik cair), BIOGRAN (bio-organik granul), RANDEX, POMMIX, BENMAX, EFBC",https://acidatama.co.id,acidatama.co.id/bisnis-kami/,laporan-agen-riset,tinggi,2026-08-19
PT. INTI EVERSPRING INDONESIA,inti-everspring-indonesia,Inti Everspring,Tiongkok/Singapura (belum terverifikasi),Everspring / Sinochem? (belum terverifikasi),belum-diverifikasi,"Metindo 25 WP, Mipcindo 50 WP, Poksindo 200 EC, Zebindo 80 WP, Emcindo 500 EC, Ronindo 500 SC, Delta 25 EC",⚠️ belum terverifikasi,Buku Pestisida Terdaftar 2014 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk,laporan-agen-riset,rendah/sedang,2026-08-19
PT. KENSO INDONESIA,kenso-indonesia,Kenso,Indonesia (Jakarta) — bagian grup Kenso regional Asia-Pasifik,"Grup Kenso (Australia, NZ, Malaysia, Thailand, Vietnam, Myanmar)",aktif,"Ken-Up 480 SL, Ken-Up Hitech 75 SG, Kenfosat 490 SL, Ken-Tec 276 SL, Ken-Amine 865 SL, Kenbast 150 SL, Kenlly 20 WG, Kenrane 288 EC",kenso.co.id (grup: kensocorp.com) — ✅ terverifikasi,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; [kensocorp.com](https://www.kensocorp.com/) ; cropcare.or.id/daftar-anggota ; kenso.co.id,laporan-agen-riset,tinggi/tinggi (produk) / sedang (kepemil,2026-08-19
PT. ANUGRAH SENTANA AGRO,anugrah-sentana-agro-newtex-pa-cipta-para-sentosa-everytex-p,"Lainnya (skala kecil, terverifikasi di registri)",Indonesia,,aktif,,,,laporan-agen-riset,sedang,2026-08-19
PT. MAJU MAKMUR UTOMO,maju-makmur-utomo,Maju Makmur Utomo,,,aktif,"Albatros 480 SL, Amethyst 40 EC, Anaconda 50 WP, Aster 50 EC, Bamex 18 EC, Bernas 250 EC, Crown 100 EC",,,laporan-agen-riset,tinggi,2026-08-19
PT. MAXXI AGRI INDONESIA,maxxi-agri-indonesia,Maxxi Agri Indonesia,belum terverifikasi,,belum-diverifikasi,⚠️ tidak dapat diverifikasi,,,laporan-agen-riset,rendah/sedang (profil) / rendah (merek),2026-08-19
PT. MEKAR WARNA SARI,mekar-warna-sari,Mekar Warna Sari,Indonesia,⚠️ belum terverifikasi,aktif,"Bectary 25 EC, Digital 50 EC, Fentosan 650 EC, Fenvamax 200 EC, Goldtrin 50 EC, Grandzeb 80 WP, Indobas 500 EC, Bosstans 60 WP",⚠️ belum terverifikasi,Buku Pestisida Terdaftar 2014,laporan-agen-riset,sedang,2026-08-19
PT.MEROKE TETAP JAYA,meroke-tetap-jaya,Meroke Tetap Jaya,Indonesia,Swasta nasional (Medan/Jakarta),aktif,"Meroke MOP, Meroke TSP, NPK Mutiara (dimiliki/dipasarkan Meroke — produsen asal ⚠️ belum terverifikasi), + >30 produk tunggal/majemuk/water-soluble",https://meroketetapjaya.com,cropcare.or.id/daftar-anggota/meroke-tetap-jaya-pt ; lamansitu.kemendag.go.id ; meroketetapjaya.com ; sawitindonesia.com,laporan-agen-riset,sedang,2026-08-19
PT. MITRA KREASIDHARMA,mitra-kreasidharma,Mitra Kreasidharma,Indonesia,⚠️ belum terverifikasi,aktif,"Indocron 500 EC, Mition 500 EC, Mitracol 70 WP, Bomber 20 EC, Boxer 200 EC, Nemispor 80 WP, Rotraz 200 EC; Pseudomonas fluorescens 1,16×10⁷ cfu/g",⚠️ belum terverifikasi,Buku Pestisida Terdaftar 2014,laporan-agen-riset,sedang,2026-08-19
PT. MITRA SUKSES AGRINDO,mitra-sukses-agrindo,Mitra Sukses Agrindo,,,aktif,"NOGAN P (T. harzianum 4,2×10⁶ + T. pseudokoningii 2,2×10⁶ + T. viride 1,8×10⁶ cfu/g; bibit kelapa sawit)",,,laporan-agen-riset,tinggi,2026-08-19
PT. MULTI SARANA INDOTANI,multi-sarana-indotani,Multi Sarana Indotani (MSI),"Indonesia (Mojokerto, Jatim)",PT BISI International Tbk (grup Charoen Pokphand/Jiaravanon),aktif,"Dari buku 2014: Aurora 70 WP, Azoxa 280 SC, Centro 75 WG, Buzzer 500 EC, Demorf 60 WP, Experto 300 SC, Cypermax 100 EC. Terkini: Starmyl, Samite 135 EC",multisaranaindotani.com (SSL kedaluwarsa),Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; cropcare.or.id/daftar-anggota,laporan-agen-riset,tinggi/tinggi (produk 2014) / sedang (ke,2026-08-19
PT. NATHANI CHEMICALS,nathani-chemicals-indonesia-historis-nathani-indonesia,Nathani Chemicals,India (belum terverifikasi),Nathani Group,aktif,"Grand Up 480 SL, Mark Up 480 SL, Fenomin 865 SL, Proquat 276 SL, Alert 20 WG",⚠️ belum terverifikasi,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; cropcare.or.id/daftar-anggota,laporan-agen-riset,sedang,2026-08-19
NATURAL NUSANTARA,natural-nusantara,Natural Nusantara (NASA),,NASA Group,aktif,"BVR WP (B. bassiana 4,5×10¹⁰ spora/g), GLIO WP (Gliocladium virens 1,64×10¹¹ cfu/g), METILAT LEM 190 SL (metil eugenol)",nasa.co.id,,laporan-agen-riset,tinggi (produk) / sedang (portofolio pen,2026-08-19
PT. NUFARM INDONESIA,nufarm-indonesia,Nufarm,Australia (Melbourne),Nufarm Limited (Sumitomo Chemical pemegang saham signifikan),aktif,"Kleenup 480 SL, Lindomin 865 SL, Bimastar 240/120 SL, Bimaron 500 SC, Fizz 575 SL, Gravitas 200 SL, Gibgro 10 SP/20 TB (ZPT giberelin); terkini terverifikasi: Matte 70 WP, Gibgro 10 PANEN, WUZ",nufarm.com/id (nufarm.co.id redirect ke sini) — ✅ terverifikasi,Buku Pestisida Terdaftar 2014 ; Daftar Pestisida Biologi Terdaftar 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; [nufarm.com/id](https://nufarm.com/id/) ; nufarm.com/id,laporan-agen-riset,tinggi,2026-08-19
PT. NUSA MANDIRI UTAMA,nusa-mandiri-utama,Nusa Mandiri Utama,,,aktif,⚠️ tidak dapat diverifikasi,,,laporan-agen-riset,sedang,2026-08-19
NUSA PALAPA GEMILANG,nusa-palapa-gemilang-idx-npgf,Nusa Palapa Gemilang,Indonesia,Swasta nasional,aktif,"Ferticomp (NPK granul, mis. 12-12-17-2+TE), Ferticote (CCF / coated), Nutrimix GT (pupuk mikro), SinutriHS",https://www.ptnpg.com,investortrust.id ; market.bisnis.com (profil IPO) ; ptnpg.com/Produk.htm ; stockanalysis.com/quote/idx/NPGF,laporan-agen-riset,tinggi,2026-08-19
PETROKIMIA GRESIK,petrokimia-gresik,Petrokimia Gresik,Indonesia,BUMN — Pupuk Indonesia Holding,bukan-principal,"Subsidi: Phonska, Petroganik, SP-36, ZA, Urea. Non-subsidi: Phonska Plus, Phonska Alam, NPK Kebomas, SP-26, ZK, ZA Plus, DAP, KCl, Rock Phosphate, Phosgreen, Petro Niphos, Petro Ningrat, Petro Nitrat, Petro Kalimas, Petronik, Petroganik Premium. Hayati/dekomposer: Petro Bio Fertil, Petro Gladiator",https://petrokimia-gresik.com,/product/petro-cas ; /product/petroganik-2 ; asbenindo.org/anggota ; en.wikipedia.org/wiki/Petrokimia_Gresik ; petrokimia-gresik.com ; petrokimia-gresik.com/product ; petrokimia-gresik.com/product/petro-biofertil,laporan-agen-riset,sedang/tinggi,2026-08-19
PT. PETROKIMIA KAYAKU,petrokimia-kayaku,Petrokimia Kayaku,Indonesia–Jepang (JV),Petrokimia Gresik (Pupuk Indonesia/BUMN) + mitra Jepang (Nippon Kayaku dsb.),aktif,"Kanon 400 EC, Radar 15 EC, Petroban 200 EC, Applaud 10 WP, Topsin-M 70 WP, Metazeb 80 WP, Petrokum 0,005 BB, ASTRO P (Trichoderma harzianum), PETROGENOL 800 L (metil eugenol)",belum terverifikasi (domain petrokimia-kayaku.co.id/.com gagal di-resolve saat riset),Buku Pestisida Terdaftar 2014 ; Daftar Pestisida Biologi 2019 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; abi-bioagroinput.or.id ; abi-bioagroinput.or.id/anggota.aspx ; en.wikipedia.org/wiki/Petrokimi,laporan-agen-riset,rendah/tinggi/tinggi (produk) / sedang (,2026-08-19
PT. PETROSIDA GRESIK,petrosida-gresik,Petrosida Gresik,Indonesia (Gresik),"PT Petrokimia Gresik 99,99% → Pupuk Indonesia (BUMN)",aktif,"Sidatan XR 525 SL, Sidamec 20 EC, Sidazinon 600 EC, Sidafur 3 GR, Topsida 75 WP, Sidazeb 80 WP, Petronil 75 WP, BIO KAOSIDA SP (Beauveria bassiana 20%)",https://petrosida-gresik.com,Buku Pestisida Terdaftar 2014 ; Daftar Pestisida Biologi 2019 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [petrosida-gresik.com](https://petrosida-gresik.com/) ; en.wikipedia.org/wiki/Petrokimia_Gresik ; petrosida-gresik.com ; petrosida-gresik.com/id/content/produk,laporan-agen-riset,sedang (eksistensi & kategori) / rendah ,2026-08-19
POLOWIJO GOSARI,polowijo-gosari-pupuk-karya-polowijo-pgpi-magnesium-gosari-i,Polowijo Gosari Group,Indonesia,Polowijo Gosari Group (swasta nasional),aktif,"Dolomit Premium 100, Magfertil 20+, pupuk NPK & compound (PGPI)",https://www.polowijogosari.co.id,kabarbisnis.com ; petrokimia-gresik.com (kajian pabrik kieserit bersama Polowijo) ; polowijogosari.co.id/manufacture.php ; sawitindonesia.com,laporan-agen-riset,tinggi,2026-08-19
MAGNESIUM GOSARI INTERNASIONAL,magnesium-gosari-internasional-mgi-pupuk-karya-polowijo,Polowijo Gosari Group,Indonesia,Polowijo Gosari Group,aktif,"Dolomit Premium 100, Magfertil 20+",https://www.polowijogosari.co.id,polowijogosari.co.id/manufacture.php,laporan-agen-riset,tinggi,2026-08-19
