id,nama,badan_hukum_id,asal,grup_induk,status_aktivitas,varietas_terdaftar,merek_utama,situs,sumber,sumber_jenis,keyakinan,diperbarui,nama_di_registri_varietas,jumlah_varietas_registri
shriram-genetics,Bioseed (Shriram Genetics),PT Shriram Genetics,India,DCM Shriram Ltd (Shriram Bioseed Genetics),aktif,,"Bioseed (B54, B59, B70, B89); Zurra (PK01, GOA01, HK01)",shriramgenetics.com,asbenindo.org/anggota ; shriramgenetics.com,laporan-agen-riset,tinggi,2026-08-19,,0
bisi-international-idx-bisi-d-h-bright-indonesia-seed-indust,BISI International,PT BISI International Tbk (IDX: BISI,"Indonesia (listed), dikendalikan asing — keluarga Jiaravanon (Thailand) via holding Singapura (Vista, SJ BISI, Valley, Field Investment Holdings Pte Ltd)",Charoen Pokphand,bubar,,"BISI (jagung BISI-2/12/16/18/222/226/816); Cap Kapal Terbang (label dagang grup terdaftar di Ditjen HKI untuk benih, pestisida & pupuk); INTANI (padi hibrida); CIHERANG BISI (padi inbrida)","bisi.co.id, bisisahabatpetani.com",Laporan Tahunan BISI 2025 ; bisi.co.id (benih jagung/padi/hortikultura) ; bisisahabatpetani.com,laporan-agen-riset,tinggi,2026-08-19,,0
botani-seed-indonesia,Botani Seed,PT Botani Seed Indonesia,Indonesia,Spin-off inovasi IPB (Institut Pertanian Bogor),aktif,,(merek spesifik belum terverifikasi),(via nusindo.co.id),asbenindo.org/anggota ; nusindo.co.id/product/pt-botani-seed-indonesia,laporan-agen-riset,sedang,2026-08-19,,0
balai-perakitan-dan-pengujian-tanaman-pemanis-dan-serat,BRMP TAS (eks Balittas),Balai Perakitan dan Pengujian Tanaman Pemanis dan Serat,Indonesia (Malang),"BRMP, Kementan — pemerintah",aktif,,"PSMLG Agribun (PSMLG1, PSMLG2), POJ 2878 Agribun Kelinci",tanamanpemanis.brmp.pertanian.go.id,tanamanpemanis.brmp.pertanian.go.id,laporan-agen-riset,sedang,2026-08-19,,0
balai-perakitan-dan-pengujian-tanaman-industri-dan-penyegar,BRMP TRI (eks Balittri),Balai Perakitan dan Pengujian Tanaman Industri dan Penyegar,Indonesia (Sukabumi),"BRMP, Kementan — pemerintah",bukan-principal,,"Liberika Libtukom, Lim 1, Lim 2; penerbit rujukan resmi varietas kopi nasional",tanamanindustri.brmp.pertanian.go.id,tanamanindustri.brmp.pertanian.go.id,laporan-agen-riset,tinggi (institusi); sedang (sbg principa,2026-08-19,,0
untuk-jalur-benih-sayuran-langsung-diwakili-tani-murni-indon,Chia Tai / CP Seeds,— untuk jalur benih sayuran langsung. Diwakili PT Tani Murni Indonesia,Thailand,Charoen Pokphand Group,aktif,,Tidak terverifikasi untuk Indonesia,chiataigroup.com,Laporan Tahunan BISI 2025 ; tmindonesia.co.id,laporan-agen-riset,sedang,2026-08-19,,0
corteva-agriscience-indonesia-nama-entitas-terkini-belum-ter,Corteva Agriscience,PT Corteva Agriscience Indonesia (nama entitas terkini belum terverifikasi),AS (Indianapolis),"Corteva, Inc. (NYSE: CTVA)",aktif,,"Historis (registri 2014): Garlon 670 EC (triklopir), Starane 290/480 EC, DMA 6 825 SL, Clincher 100 EC, Clipper 25 OD, Tordon 101, Broadnet 17/480 SL, Ally 20 WG (metil metsulfuron, eks-DuPont). Terkini (terverifikasi di situs Corteva ID, 2026): Novixid 12,5 OD, Novlect 100/20 EC",corteva.com/id (domain corteva.id redirect ke sini) — ✅ terverifikasi,Buku Pestisida Terdaftar 2014 ; Laporan Tahunan CropLife Indonesia 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; [corteva.com/id](https://www.corteva.com/id/) ; asbenindo.org/anggota ; corteva.com/id ; corteva.id ; jawapos.com (peluncuran P40),laporan-agen-riset,sedang/tinggi,2026-08-19,PT Corteva Agriscience Seeds Indonesia,22
aura-seed-indonesia,CV Aura Seed Indonesia,CV Aura Seed Indonesia,Indonesia,,aktif,,"Aura Seed — ORI 212, Sniper",https://auraseedindonesia.com,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,CV Aura Seed Indonesia,85
dami-mas-sejahtera,Dami Mas,PT Dami Mas Sejahtera,Indonesia (Riau),Sinar Mas Agribusiness / Golden Agri-Resources (SMART Tbk),aktif,,"DxP Dami Mas 1–5, Dami Mas MTG, Dami Mas IGR",golden-agri.com,disbun.kaltimprov.go.id ; sawitindonesia.com,laporan-agen-riset,tinggi,2026-08-19,PT Dami Mas Sejahtera,6
east-west-seed-indonesia,East West Seed Indonesia (EWINDO),PT East West Seed Indonesia,Belanda / Thailand,East West Seed Group (pendiri Simon Groot),aktif,,Panah Merah / Cap Panah Merah (merek payung tunggal),panahmerah.id,asbenindo.org/anggota ; hortikultura.pertanian.go.id (artikel TSS Ditjen Horti) ; panahmerah.id,laporan-agen-riset,tinggi,2026-08-19,PT East West Seed Indonesia,428
gunung-madu-plantations,Gunung Madu Plantations,PT Gunung Madu Plantations,"Indonesia (PMA, Lampung Tengah)",Swasta PMA,aktif,500,GMP (GMP 1–4),gunungmadu.co.id,gunungmadu.co.id ; repository.pertanian.go.id,laporan-agen-riset,tinggi,2026-08-19,PT Gunung Madu Plantations,12
gunung-sejahtera-ibu-pertiwi,Gunung Sejahtera Ibu Pertiwi,PT Gunung Sejahtera Ibu Pertiwi,Indonesia (Kalteng),Astra Agro Lestari Tbk (AALI) → Astra International/Jardine,aktif,,"DxP AAL Lestari, AAL Sejahtera, AAL Nirmala; DxP Simalungun (waralaba PPKS)",astra-agro.co.id,mmc.kalteng.go.id ; sawitindonesia.com,laporan-agen-riset,tinggi,2026-08-19,"PT Gunung Sejahtera Ibu Pertiwi, Astra Agro Lestari Tbk",7
clause-indonesia-anggota-hortindo,HM.Clause,PT Clause Indonesia (anggota Hortindo),Prancis,Limagrain / Vilmorin & Cie,dorman,,"Clause (varietas: Melvita, Paprika Shamson)",hmclause.com (tidak ada situs .id),hortindo.org/category-1/benih.aspx,laporan-agen-riset,sedang,2026-08-19,PT Clause Indonesia,46
known-you-seed-indonesia-magelang-jateng-terdaftar-proseed-k,Known-You Seed,"PT Known-You Seed Indonesia (Magelang, Jateng) — terdaftar PROSEED Kementan",Taiwan (Kaohsiung),"Known-You Seed Co., Ltd.",aktif,,"Known-You Seed (varietas: Apollo, Honey Globe, Golden Langkawi, Sky Rocket, Spring Swallow)",knownyou.com,benih.pertanian.go.id/detail-produsen/2122 ; knownyou.com,laporan-agen-riset,tinggi,2026-08-19,PT Known You Seed Indonesia,8
kso-ptpn-iv-regional-ii-rpn-ppks,KSO Kebun Benih Adolina,KSO PTPN IV Regional II × PT RPN (PPKS),Indonesia (Sumut),PTPN III (Persero) — BUMN,aktif,,"DxP Simalungun, PPKS 540, Yangambi, Avros",,sawitindonesia.com,laporan-agen-riset,tinggi,2026-08-19,,0
pp-london-sumatra-indonesia-idx-lsip,Lonsum (Bah Lias / SumBio),PT PP London Sumatra Indonesia Tbk (IDX: LSIP),Indonesia,Salim Group → Indofood Agri / SIMP,bukan-principal,7,"DxP Bah Lias 1–7 (incl. Bah Lias 5 LGI, 6 LGI)",londonsumatra.com,babebun.ditjenbun ; londonsumatra.com,laporan-agen-riset,tinggi,2026-08-19,,0
mars-symbioscience-indonesia,Mars Symbioscience Indonesia,PT Mars Symbioscience Indonesia,Amerika Serikat,"Mars, Incorporated",aktif,,Sistem multiklonal (min. 3 klon kompatibel): MCC 02 + ICCRI 09 + Sulawesi 1,mars.com,iccri.co.id ; republika.co.id ; suaracelebes.com (Apr 2025),laporan-agen-riset,tinggi (signifikansi); sedang (sbg princ,2026-08-19,PT Mars Symbioscience Indonesia,36
aditya-sentana-agro-beberapa-sumber-pihak-ketiga-menulis-agr,Matahari Seed,"PT Aditya Sentana Agro (beberapa sumber pihak ketiga menulis ""…Agro Indonesia"")",Indonesia (PMDN),"Independen (sebagian sumber menyebut ""Matahari Seed Group"" — tidak terverifikasi)",aktif,,"Matahari Seed dan Bunga Matahari Seed (terverifikasi di situs & akun resmi). ⚠️ String ""Cap Bunga Matahari"" hanya ditemukan di agregator lowongan kerja pihak ketiga — TIDAK terverifikasi di situs resmi",matahariseed.com,asbenindo.org/anggota ; ipbh.org/anggota ; matahariseed.com/?prm=profile,laporan-agen-riset,tinggi (perusahaan); sedang (merek persi,2026-08-19,PT Aditya Sentana Agro,65
mitra-agro-servindo,Mitra Agro Servindo,PT Mitra Agro Servindo,Malaysia – Indonesia,Mitra pemasaran FGV Holdings / Felda Global Ventures,aktif,,DxP Felda ML161 (basis Yangambi),,sawitindonesia.com,laporan-agen-riset,sedang,2026-08-19,,0
multi-global-agrindo,Multi Global Agrindo (MGA),CV/PT Multi Global Agrindo,Indonesia (PMDN),Independen,aktif,,Tunas Berlian,(situs resmi tidak terverifikasi),asbenindo.org/anggota ; belajartani.com ; ipbh.org/anggota,laporan-agen-riset,sedang,2026-08-19,CV Multi Global Agrindo,35
multi-sarana-indotani,Multi Sarana Indotani (MSI),PT Multi Sarana Indotani,"Indonesia (Mojokerto, Jatim)",PT BISI International Tbk (grup Charoen Pokphand/Jiaravanon),aktif,,"Dari buku 2014: Aurora 70 WP, Azoxa 280 SC, Centro 75 WG, Buzzer 500 EC, Demorf 60 WP, Experto 300 SC, Cypermax 100 EC. Terkini: Starmyl, Samite 135 EC",multisaranaindotani.com (SSL kedaluwarsa),Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; cropcare.or.id/daftar-anggota,laporan-agen-riset,tinggi/tinggi (produk 2014) / sedang (ke,2026-08-19,,0
musim-mas,Musim Mas,PT Musim Mas,Indonesia – Singapura,Musim Mas Group (keluarga Bachtiar Karim),aktif,4,DxP Musim Mas GS1/GS2/GS3/GS4,musimmas.com,balaimedan.ditjenbun ; musimmas.com/id,laporan-agen-riset,tinggi,2026-08-19,PT Musim Mas ,4
namdhari-indonesia-anggota-hortindo,Namdhari Seeds,PT Namdhari Indonesia (anggota Hortindo),India (Bangalore),Namdhari Group,aktif,,"Level varietas saja (Green Eden, Profita)",(tidak ditemukan situs Indonesia),hortindo.org/category-1/benih.aspx,laporan-agen-riset,sedang,2026-08-19,PT Namdhari Seed Indonesia,7
badan-hukum-belum-tuntas-hortindo-menyebut-koreana-sumber-se,Nongwoo Bio (Koreana),— badan hukum belum tuntas,Korea Selatan,"Nongwoo Bio Co., Ltd.",aktif,,Nongwoo Bio / Koreana,nongwoobio.co.kr,belajartani.com ; hortindo.org ; tmindonesia.co.id,laporan-agen-riset,sedang,2026-08-19,,0
pusat-penelitian-perkebunan-gula-indonesia-unit-rpn,P3GI,Pusat Penelitian Perkebunan Gula Indonesia (unit PT RPN),Indonesia (Pasuruan),PT RPN → PTPN III (Persero) — BUMN,aktif,,"PS, PSJT, PSBM, PSKA, PSNX/PSNXI, PSBK, PSDK, PSJK (historis POJ)",p3gi.co.id; varietasp3gi.com,p3gi.co.id/kategori-produk/bahan-tanam ; varietasp3gi.com,laporan-agen-riset,tinggi,2026-08-19,,0
palma-inti-lestari,Palma Inti Lestari,PT Palma Inti Lestari,Indonesia,Tidak terverifikasi,belum-diverifikasi,1,DxP Simalungun (waralaba PPKS),,babebun.ditjenbun,laporan-agen-riset,rendah,2026-08-19,,0
panca-surya-garden,Panca Surya Garden,PT Panca Surya Garden,Indonesia (Riau),"Surya Dumai Group / First Resources Ltd — inferensi dari alamat kantor + kode merek ""FR"", belum dikonfirmasi primer",aktif,,"DxP FR 1, DxP FR 2",first-resources.com,babebun.ditjenbun,laporan-agen-riset,sedang,2026-08-19,PT Panca Surya Garden,2
petrokimia-gresik,Petrokimia Gresik,PT Petrokimia Gresik,Indonesia,BUMN — Pupuk Indonesia Holding,bukan-principal,,"Subsidi: Phonska, Petroganik, SP-36, ZA, Urea. Non-subsidi: Phonska Plus, Phonska Alam, NPK Kebomas, SP-26, ZK, ZA Plus, DAP, KCl, Rock Phosphate, Phosgreen, Petro Niphos, Petro Ningrat, Petro Nitrat, Petro Kalimas, Petronik, Petroganik Premium. Hayati/dekomposer: Petro Bio Fertil, Petro Gladiator",https://petrokimia-gresik.com,/product/petro-cas ; /product/petroganik-2 ; asbenindo.org/anggota ; en.wikipedia.org/wiki/Petrokimia_Gresik ; petrokimia-gresik.com ; petrokimia-gresik.com/product ; petrokimia-gresik.com/product/petro-biofertil,laporan-agen-riset,sedang/tinggi,2026-08-19,PT Petrokimia Gresik,29
pusat-penelitian-kelapa-sawit-unit-rpn,PPKS / IOPRI,Pusat Penelitian Kelapa Sawit (unit PT RPN),Indonesia (Medan),PT RPN → PTPN III (Persero) — BUMN,aktif,14,"DxP Simalungun, DxP PPKS 540/718/239, DxP Yangambi, DxP Avros, DxP Langkat, DxP Marihat/Bah Jambi/Dolok Sinumbah/Lame",iopri.co.id,babebun.ditjenbun…/psr/sumber ; iopri.co.id,laporan-agen-riset,tinggi,2026-08-19,,0
ppks-iopri-unit-rpn,PPKS / IOPRI (unit PT RPN),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
primasid-andalan-utama,Primasid,PT Primasid Andalan Utama,Indonesia (PMDN),Independen,aktif,,"MAPAN (Mapan P-02, Mapan P-05; dilepas 2006)",primasid.com,asbenindo.org/anggota ; primasid.com ; tabloidsinartani.com,laporan-agen-riset,tinggi,2026-08-19,PT Primasid Andalan Utama,29
advansia-benih-indonesia,PT Advansia Benih Indonesia,PT Advansia Benih Indonesia,Malaysia,Advansia Sdn Bhd,aktif,,CT 155 (tomat) · RG 37 (lobak),https://advansia.co.id,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,PT Advansia Benih Indonesia,2
agrosid-manunggal-sentosa-padi-hibrida-suppadi,"PT Agrosid Manunggal Sentosa (padi hibrida ""Suppadi"")",,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,PT Agrosid Manunggal Sentosa,38
asia-gala-agri,PT Asia Gala Agri,PT Asia Gala Agri,Indonesia,PT Agricon Group,aktif,,LG222 · LG501 (padi hibrida),,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,PT Asia Gala Agri,5
bejo-benih-indonesia,PT Bejo Benih Indonesia,PT Bejo Benih Indonesia,Belanda (Warmenhuizen),Bejo Zaden B.V.,aktif,,"Bejo · TSS (True Shallot Seed) — Maserati, Lilybel",https://bejoindonesia.com,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,tinggi,2026-08-19,PT BEJO BENIH INDONESIA,4
benih-unggul-sejati,PT Benih Unggul Sejati,PT Benih Unggul Sejati,Indonesia,,aktif,,You Seed — Cabe Gading Super,,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,PT Benih Unggul Sejati,18
branita-sandhini,PT Branita Sandhini,,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,PT Branita Sandhini,14
clause-indonesia,PT Clause Indonesia,PT Clause Indonesia,Prancis,Groupe Limagrain → Limagrain Vegetable Seeds,aktif,,"Clause / HM.CLAUSE — Manyar, Dewa 66, Kancane, Red Thunder, Melvita",https://www.hmclause.com,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,tinggi,2026-08-19,PT Clause Indonesia,46
dinasty-inti-agrosarana,PT Dinasty Inti Agrosarana,PT Dinasty Inti Agrosarana,Indonesia,,aktif,,Benih Inti®,https://www.benihinti.co.id,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,tinggi,2026-08-19,PT Dinasty Inti Agrosarana,22
dupont-pioneer-indonesia-pioneer-hibrida-indonesia,PT DuPont Pioneer Indonesia / PT Pioneer Hibrida Indonesia,,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
esa-sarwaguna-adinata,PT Esa Sarwaguna Adinata,PT Esa Sarwaguna Adinata,Indonesia,Esa Sampoerna Group,aktif,,licensee seri Bima (Balitbangtan) — bukan merek sendiri,,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,,0
excelindo-jakarta,PT Excelindo (Jakarta),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
global-agro-mandiri-indonesia,PT Global Agro Mandiri Indonesia,PT Global Agro Mandiri Indonesia,Indonesia,,aktif,,,,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,CV Global Agro Mandiri,5
hibrida-jaya-unggul,PT Hibrida Jaya Unggul,PT Hibrida Jaya Unggul,Indonesia,,aktif,,Jaya Seeds · Perwita Hijau,https://jayaseeds.com,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang-tinggi,2026-08-19,PT Hibrida Jaya Unggul,13
inko-seed-makmur,PT Inko Seed Makmur,PT Inko Seed Makmur,Indonesia,,dorman,,Inko 88 · Inko 99 · Inko Hot · Kaka 99 · Novis,,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,rendah-sedang,2026-08-19,PT Inko Seed Makmur,14
mandiri-alam-lestari,PT Mandiri Alam Lestari,PT Mandiri Alam Lestari,Indonesia,Mandiri Group,aktif,,Atlantic · Hermes (kentang),,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,,0
masco-agri-genetics,PT Masco Agri Genetics,PT Masco Agri Genetics,India (New Delhi),Masco Agri Genetics Private Limited,aktif,,Dragon · Dragon 66 · Dragon 77 · Bond · Suwarna,https://mascoagri.com,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,tinggi,2026-08-19,,0
mulia-bintang-utama,PT Mulia Bintang Utama,PT Mulia Bintang Utama,Indonesia,,belum-diverifikasi,,Surya F1 · Blora F1 · Utama · Bonia,,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,PT Mulia Bintang Utama,1
nunhems-indonesia,PT Nunhems Indonesia,,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
oriental-seed-indonesia,PT Oriental Seed Indonesia,PT Oriental Seed Indonesia,belum terverifikasi,,dorman,,"seri OR — OR Twist, OR Bigman, OR Trisula, OR Green",,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,rendah,2026-08-19,PT Oriental Seed Indonesia,16
pertani,PT Pertani (Persero),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
prabu-agro-mandiri,PT Prabu Agro Mandiri,PT Prabu Agro Mandiri,Indonesia,,aktif,,"Mutiara Bumi — Midun, Rumana, Tomas F1, Panjalu, Purbaya",https://mutiarabumi.com,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,tinggi,2026-08-19,PT Prabu Agro Mandiri,69
raja-pilar-agrotama,PT Raja Pilar Agrotama,PT Raja Pilar Agrotama,Indonesia,,aktif,,Raja Seed — Larisa F1,,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang-tinggi,2026-08-19,PT Raja Pilar Agrotama,12
rajawali-nusindo-grup-id-food,PT Rajawali Nusindo (grup ID FOOD),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
riset-perkebunan-nusantara,PT Riset Perkebunan Nusantara (RPN),PT Riset Perkebunan Nusantara,Indonesia (Bogor),"PTPN III (Persero) 90%, PTPN V 10% — BUMN",aktif,,"Induk 5 puslit: PPKS, PPK, PPKKI (Puslitkoka), P3GI, PPTK",rpn.co.id; plantage.id,plantage.id ; rpn.co.id,laporan-agen-riset,tinggi,2026-08-19,PT Riset Perkebunan Nusantara,2
rni-rajawali-nusantara-indonesia,PT RNI (Rajawali Nusantara Indonesia),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
sampoerna-agro,PT Sampoerna Agro Tbk,,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
saribenih-unggul,PT Saribenih Unggul,PT Saribenih Unggul,"Indonesia (germplasma Ta San Seed, Taiwan)",,aktif,,Vario (kangkung) · seri TF TW,,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19,PT Sari Benih Unggul,8
sterling-agritech-indonesia-padi-hibrida-sl-8-sl-11-bshs-6h,PT Sterling Agritech Indonesia (padi hibrida SL 8 / SL 11 / BSHS 6H),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
sumber-alam-sutera,PT Sumber Alam Sutera,PT Sumber Alam Sutera,Indonesia,,belum-diverifikasi,,Sintanur (padi inbrida),,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,rendah-sedang,2026-08-19,PT Sumber Alam Sutera,6
sumber-alam-sutera-padi-hibrida-bernas-prima-jaringan-artha-,"PT Sumber Alam Sutera (padi hibrida ""Bernas Prima"", jaringan Artha Graha)",,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,PT Sumber Alam Sutera,6
tanindo-subur-prima-tsp,PT Tanindo Subur Prima (TSP),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,PT Tanindo Subur Prima,8
ptpn-ii-vii-viii-ix-x-xi-xii-xiv,"PTPN II, VII, VIII, IX, X, XI, XII, XIV",,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
perkebunan-nusantara-iv,PTPN IV (PalmCo),PT Perkebunan Nusantara IV,Indonesia,PTPN III (Persero) — BUMN,aktif,,"DxP Simalungun, DxP PPKS 540 (lisensi PPKS)",ptpn4.co.id,babebun.ditjenbun ; ptpn.id,laporan-agen-riset,tinggi,2026-08-19,,0
ptpn-v-vi-xiii,"PTPN V, VI, XIII",,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
