dataset_id,title,crop,crop_detail,diseases,data_type,data_type_detail,format,record_count,source,source_url,license,license_family,publication_year,access_date,local_path,file_size,file_size_bytes,sha256,download_status,verification_status,notes
BWM-A07-yolo-odd-icar-dogr,"Dataset penyakit foliar bawang (YOLO-ODD, ICAR-DOGR Pune)",lainnya,bawang (onion),Anthracnose; Healthy; Purple blotch; Stemphylium blight; Twister disease,gambar,gambar,tidak diketahui,1000 gambar asli (1391 setelah augmentasi),artikel Frontiers in Plant Science 2025 (10.3389/fpls.2025.1551794),https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2025.1551794/full,tidak dinyatakan,tidak dinyatakan,2025,2026-08-25,-,tidak diketahui,,tidak-berlaku,ditemukan,tidak-berlaku,"Pernyataan ketersediaan data: 'The raw data ... will be made available by the authors, without undue reservation' - TANPA repositori, DOI, atau nomor aksesi. Dataset nyata tapi tidak dideposit; hanya bisa lewat permintaan ke penulis. Dikumpulkan di ICAR-Directorate of Onion and Garlic Research, Pune, India. Kelas 'Twister disease' tidak ada di dataset lain yang ditemukan."
BWM-A08-josh-mobilenetv2-shallot,Klasifikasi Penyakit Daun Bawang Merah Menggunakan MobileNetV2 CNN (JOSH),bawang-merah,"bawang merah (shallot, Indonesia)",downy mildew; healthy; leaf blight; moler (basal rot); purple blotch,gambar,gambar,tidak diketahui,1188 gambar (rincian per kelas tidak disebut),Journal of Information System Research (JOSH),https://ejurnal.seminar-id.com/index.php/josh/article/view/10575,tidak dinyatakan,tidak dinyatakan,2026,2026-08-25,-,tidak diketahui,,tidak-berlaku,ditolak,tidak-berlaku,"ARTIKEL JURNAL, bukan dataset - halaman menyatakan 'Download data is not yet available'. Tidak ada URL repositori, tidak ada DOI dataset, wilayah pengambilan tidak disebut. INI PALING MENYAKITKAN: satu-satunya dataset dengan lima kelas yang persis cocok untuk Indonesia (termasuk MOLER dan TROTOL) - dan tidak dipublikasikan."
BWM-A09-cold-chilli-koppal,chilli dataset (bagian cabai dari COLD),cabai,cabai (Capsicum),Healthy; Cercospora; Mites and thrips; Nutritional Deficiency; Powdery Mildew,gambar,gambar,JPG dalam arsip,10987 teraugmentasi (2064 mentah),Mendeley Data (Elsevier),https://data.mendeley.com/datasets/tf9dtfz9m6/2,CC BY 4.0,CC BY,2024,2026-08-25,datasets/priority/cabai/CAB-11-cold-chilli-koppal,tidak diunduh olehku,,tidak-berlaku,ditolak,tidak-berlaku,"DUPLIKASI DICEGAH: separuh cabai dari COLD, pasangan BWM-01. Diserahkan ke agen cabai dan sudah diklaim sebagai CAB-11-cold-chilli-koppal. Tidak diunduh ulang di sini."
BWM-A10-ipb-fusarium-multispektral,Sistem Deteksi Penyakit Layu Fusarium pada Bawang Merah dengan Machine Learning berbasis Citra Multispektral,bawang-merah,"bawang merah (shallot, Indonesia)",layu fusarium / moler,gambar,gambar (multispektral),tidak diketahui,tidak diketahui,Repositori IPB University (skripsi/tesis),https://repository.ipb.ac.id/handle/123456789/147573,tidak dinyatakan,tidak dinyatakan,tidak diketahui,2026-08-25,-,tidak diketahui,,tidak-berlaku,ditolak,tidak-berlaku,"REPOSITORI TUGAS AKHIR, bukan dataset yang bisa diunduh - yang tersedia dokumen tesis, bukan citra. Sangat relevan secara isi: akuisisi di Desa Wanasari, Kecamatan Wanasari, Kabupaten Brebes, Jawa Tengah (sentra bawang merah nasional) dengan citra multispektral drone untuk MOLER. Layak dikejar lewat permintaan langsung ke penulis/IPB."
BWM-A11-figshare-pcr-purple-blotch,Identification of purple blotch pathogen of shallot by PCR using specific primer for Alternaria genus,bawang-merah,bawang merah (shallot),bercak ungu (Alternaria porri),teks,teks/suplemen,suplemen artikel,tidak berlaku,Taylor & Francis via Figshare,https://doi.org/10.6084/m9.figshare.5993473,tidak dinyatakan,tidak dinyatakan,2018,2026-08-25,-,tidak diketahui,,tidak-berlaku,ditolak,tidak-berlaku,"SUPLEMEN ARTIKEL, bukan dataset. Satu-satunya hasil pencarian DataCite untuk 'purple blotch Alternaria' bertipe dataset - menunjukkan betapa kosongnya ruang ini. Isinya hasil PCR identifikasi patogen, tanpa citra dan tanpa tabel yang bisa dipakai ulang."
BWM-A12-mendeley-onion-processed,onion processed data,lainnya,bawang (onion),"tidak ada - data harga, bukan penyakit",gambar,gambar (grafik PNG),PNG,7 berkas grafik statistik,Mendeley Data (Elsevier),https://data.mendeley.com/datasets/yj7tbz7ms3/1,CC BY 4.0,CC BY,2026,2026-08-25,-,400.00 KB,400000,tidak-berlaku,ditolak,tidak-berlaku,"Isinya tangkapan layar uji akar unit & kointegrasi harga bawang pasar India (Azadpur, Lasalgaon, Vashi, dst.) - ekonomi pertanian, bukan penyakit. Muncul di pencarian 'onion' karena kata kunci, bukan relevansi."
BWM-B10-usda-fungus-host,USDA Fungus-Host Distributions Database,lainnya,lintas komoditas,"asosiasi jamur-inang global (421253 asosiasi unik, 831109 rekaman)",tabular,tabular,JSON via API,831109 rekaman fungus-host; 672326 lokasi; 219 negara; 500491 nama jamur,USDA Agricultural Research Service,https://fungi.ars.usda.gov/,"tidak dinyatakan (data federal AS, umumnya domain publik)",tidak dinyatakan,2026 (dataLastUpdated 2026-08-24),2026-08-25,-,tidak diketahui,,tidak-berlaku,terhalang-akun,tidak-berlaku,"Host lama nt.ars-grin.gov MATI. Host baru fungi.ars.usda.gov adalah SPA Angular; seluruh data lewat fungi-api.ars.usda.gov yang menolak permintaan telanjang dengan 403 'Forbidden - Invalid API key'. Kunci memang tertanam di bundel JS publik, TAPI operator jelas memasang gerbang akses - memakainya berarti melewati pembatasan, sehingga TIDAK DILAKUKAN dan statusnya terhalang-akun. Endpoint data-download juga 404 walau dengan kunci. INI SUMBER PALING MENJANJIKAN untuk 4 patogen Allium yang kosong di EPPO/Wikidata/GBIF - jalur yang benar adalah menyurati ARS meminta ekspor massal resmi."
BWM-B11-cabi-compendium-plantwise,CABI Compendium / PlantwisePlus Knowledge Bank,lainnya,lintas komoditas,datasheet OPT global + 15000+ factsheet pengelolaan hama,teks,teks,halaman web,tidak diketahui,CABI,https://www.cabidigitallibrary.org/product/QI,berbayar / tidak boleh diedarkan ulang,tertutup,2026,2026-08-25,-,tidak diketahui,,tidak-berlaku,ditolak,tidak-berlaku,"BERBAYAR + terhalang bot. Seluruh URL CABI -> HTTP 403 Cloudflare, termasuk yang diizinkan robots.txt mereka sendiri dan bahkan sitemap-index. Tidak ada upaya menembus. Model akses: factsheet PlantwisePlus gratis dibaca tapi butuh peramban dan TIDAK boleh diedarkan ulang; datasheet Compendium penuh hanya untuk pelanggan; data massal dijual lewat proses penawaran. Bukan lapis data yang layak dipakai."
BWM-B12-ppdb-herts,PPDB - Pesticide Properties DataBase,tidak-berlaku,tidak berlaku (kimia pestisida),tidak berlaku - bukan data patogen,teks,teks,HTML statis,tidak diketahui,University of Hertfordshire (AERU),https://sitem.herts.ac.uk/aeru/ppdb/en/index.htm,hak cipta penuh - salinan massal hanya dengan lisensi berbayar,tertutup,2026,2026-08-25,-,tidak diketahui,,tidak-berlaku,ditolak,tidak-berlaku,"Terbaca tanpa login (HTTP 200, HTML statis mudah diurai) TAPI 'Copyright University of Hertfordshire, 2006-2026. All Rights Reserved'; salinan luring/massal hanya lewat lisensi berbayar. Selain itu ISINYA KIMIA PESTISIDA, bukan data patogen - tidak menjawab kebutuhan lapis ini. Untuk Pranatani, PUKPES tetap sumber pestisida yang sahih."
BWM-B13-bps-webapi,BPS Web API (Badan Pusat Statistik),lainnya,lintas komoditas,tabel statistik termasuk sebagian data OPT,tabular,tabular,JSON,tidak diketahui,Badan Pusat Statistik RI,https://webapi.bps.go.id/,tidak dinyatakan,tidak dinyatakan,2026,2026-08-25,-,tidak diketahui,,tidak-berlaku,terhalang-akun,tidak-berlaku,"Butuh kunci gratis: respons tanpa kunci -> 'You are not Allowed to take this action. Please re-check your key'. Situs bps.go.id & jateng.bps.go.id sendiri -> 403 Cloudflare managed challenge. Tabel OPT yang terlihat pun padi/kedelai, bukan hortikultura. Tidak ditembus."
BWM-B14-jabar-opendata,Open Data Jawa Barat (opendata.jabarprov.go.id / data.jabarprov.go.id),lainnya,lintas komoditas,kemungkinan memuat serangan OPT hortikultura Jawa Barat,tabular,tabular,tidak diketahui,tidak diketahui,Pemerintah Provinsi Jawa Barat,https://opendata.jabarprov.go.id/,tidak diketahui,tidak dinyatakan,2026,2026-08-25,-,tidak diketahui,,tidak-berlaku,gagal,tidak-berlaku,"HTTP 403 dengan header cf-mitigated: challenge (Cloudflare/JabarCloud); robots.txt-nya sendiri 404 sehingga curl tidak bisa memeriksa izin perayapan. Tidak ditembus. Jawa Barat penting karena memuat sentra bawang merah (Majalengka, Cirebon) dan cabai. Jalur yang benar sesuai catatan panen-lewat-peramban-cloudflare: periksa robots.txt lewat peramban sungguhan lebih dulu."
BWM-B15-satudata-pertanian,Portal Satu Data Pertanian (satudata.pertanian.go.id),lainnya,lintas komoditas,NIHIL - tidak ada dataset OPT,tabular,tabular,XLS/XLSX,"277 dataset, 0 di antaranya tentang serangan OPT",Kementerian Pertanian RI,https://satudata.pertanian.go.id/datasets,tidak dinyatakan,tidak dinyatakan,2026,2026-08-25,-,tidak berlaku,,tidak-berlaku,ditolak,tidak-berlaku,"Portal HIDUP dan katalog lengkapnya terbaca (277 dataset ter-inline sebagai var metaDatasets di /datasets, dengan tautan XLS/XLSX langsung), TETAPI TIDAK SATU PUN tentang serangan OPT - seluruhnya produksi & luas panen. Ini temuan negatif yang bersih dan penting: portal data resmi Kementan tidak menerbitkan data OPT sama sekali."
BWM-B16-ditlin-hortikultura,Direktorat Perlindungan Hortikultura (ditlin.hortikultura.pertanian.go.id),cabai|tomat|kentang|bawang-merah,cabai; tomat; kentang; bawang merah,otoritas nasional data luas serangan OPT hortikultura,tabular,tabular,tidak diketahui,tidak diketahui,"Direktorat Jenderal Hortikultura, Kementerian Pertanian RI",https://ditlin.hortikultura.pertanian.go.id/,tidak diketahui,tidak dinyatakan,tidak berlaku,2026-08-25,-,tidak berlaku,,tidak-berlaku,gagal,tidak-berlaku,"SITUS MATI - NXDOMAIN pada resolver 8.8.8.8 maupun 1.1.1.1, atas https dan http. Masih dirujuk mesin pencari dan halaman Kementan lain. INI LEMBAGA YANG SEHARUSNYA MEMEGANG data luas serangan OPT hortikultura per komoditas - matinya domain ini adalah penyebab tunggal terbesar kosongnya lapis epidemiologi. Juga dicek: bbopt.tanamanpangan.pertanian.go.id NXDOMAIN (host hidup adalah bbpopt dengan P, lingkupnya tanaman pangan); katalog.data.go.id (CKAN lama) NXDOMAIN; bsip.pertanian.go.id & balitsa.litbang.pertanian.go.id NXDOMAIN termasuk lewat proksi."
