nama,lat,lon,sumber
"Kios Bunga Gardenia",-6.7362208,108.5541311,"osm"
"Kios Mutiara Tani",-7.3373309,111.9115605,"osm"
"Kios Pakan Ternak Berkah 2",-7.7786982,110.4750549,"osm"
"Kios Pertanian Gotong Royong Cokroyasan",-7.8054171,109.9235752,"osm"
"Kios Pertanian Gunung Parang Argo",-6.9205264,106.9297304,"osm"
"Kios Pertanian ""WULANDHA """,-7.3318881,111.9044185,"osm"
"Kios petani",-6.2870236,107.3994683,"osm"
"Kios Pupuk Bapak Sukoyo",-7.114362,111.80706,"osm"
"Kios pupuk lestari jual obat & benih",-6.9454219,106.4477226,"osm"
"Kios Putri Tani",-7.7473231,112.2083111,"osm"
"Kios Saprodi",-6.1777761,107.4560088,"osm"
"KIOS SAPRODI",-7.0739973,111.9815115,"osm"
"Kios Saprotan",-6.1924282,107.5268273,"osm"
"Kios Saprotan",-6.2021923,107.5332754,"osm"
"Kios Saprotan Lintang Tani",-6.1836111,107.4642028,"osm"
"Kios Saprotan Nila Jaya",-6.1843716,107.4685058,"osm"
"Kios Saprotan Warna",-6.1951376,107.5297193,"osm"
"KiosUnggas",-6.2412745,106.7521697,"osm"
"Kios Unggas",-6.9252491,107.7183208,"osm"
"Kios Unggas Ciracas",-6.3181027,106.8782145,"osm"
"Kopi Biji Robusta Sragen",-7.4798492,111.0077946,"osm"
"Kpl usaha tani karangmalang",-7.4627023,111.0090254,"osm"
"Kubota",-6.9879157,106.5454045,"osm"
"K U D ( Tani Rahayu )",-8.3003438,111.5765939,"osm"
"Kung Buah",-7.6587389,112.1109522,"osm"
"Kurnia Mukti Toko Pertanian",-6.5084347,108.4266162,"osm"
"Laskar Buah",-6.9736321,111.7151595,"osm"
"Laskar Buah Merakurak",-6.8841565,112.0160937,"osm"
"Lotus Art Cirebon",-6.7345734,108.5409757,"osm"
"Manunggal Buah",-6.8969329,112.0814241,"osm"
"Maryam produk susu & resto",-6.238361,107.1559637,"osm"
"Mess Karyawan Toko Pertanian Abi Tani",-7.4041451,111.1163405,"osm"
"Mitra Tani",-7.3491125,111.8929146,"osm"
"Moro Tani",-7.1727762,112.0994098,"osm"
"Mulyo Tani",-7.6608271,110.4340573,"osm"
"Nala Fruit Stand",-6.9018265,112.0536258,"osm"
"Nursery",-6.6184102,106.8152899,"osm"
"Oemah Sapen",-7.0459266,110.294044,"osm"
"Olive & Alif Fruit",-6.886754,107.623362,"osm"
"Pakan Ternak POJOK ABADI",-7.4640728,111.0804918,"osm"
"Pasar Bunga Bandungan",-7.2245622,110.3698888,"osm"
"PB. KAWAN TANI",-7.3732169,111.0219816,"osm"
"Pembibitan Tanaman Hidroponic",-7.0042645,110.4014786,"osm"
"Pembibitan Tanaman Holtikultura",-7.7307124,112.2026427,"osm"
"Pembibitan tanaman Holtikultura",-7.7365323,112.2107113,"osm"
"Perusahaan Kandang Ternak Ayam",-7.6321596,110.4410321,"osm"
"Peternakan",-7.3112767,110.0786608,"osm"
"PETERNAKAN AYAM",-6.199879,107.2632409,"osm"
"peternakan ayam",-7.5728887,110.8456296,"osm"
"Peternakan Ayam",-7.7007519,110.4401781,"osm"
"Peternakan Sugar Glider Cibitung",-6.245771,107.109806,"osm"
"PI MART (Perlengkapan Tani)",-7.3411101,111.8903188,"osm"
"Plant shop along the road",-6.5676529,106.8016826,"osm"
"Plaza Agro Gadjah Mada",-7.7680174,110.3870543,"osm"
"Plaza Pupuk Kaltim",-6.1823111,106.8317774,"osm"
"Prima Tani",-6.6857493,106.8472767,"osm"
"Produksi Tempe Lumajang",-8.1452969,113.2350629,"osm"
"PT Angkasa Mulya Trading",-7.2648013,112.7308784,"osm"
"PT New Agro Tani Makmur",-6.4986419,108.4260437,"osm"
"PT Pertani",-6.9194079,106.918364,"osm"
"PT Pertani Persero",-6.9926417,110.4158431,"osm"
"PT Petani Persero",-8.1372353,112.5661984,"osm"
"PT Pupuk Indonesia",-6.1846877,106.7908855,"osm"
"PT Pupuk Kujang",-6.412498,107.4296691,"osm"
"PT Tani Hub Indonesia (TaniHub HQ)",-6.2263762,106.8255337,"osm"
"Puri Bunga",-6.7541291,108.5383977,"osm"
"Putra Sumber Agung PS "" grosir pakan ternak",-7.4792503,111.0325689,"osm"
"Rahma Garden & Jasa Perawatan Tanaman",-7.7854967,110.4637314,"osm"
"Raja Susu",-6.1656255,106.7645248,"osm"
"Rice Mill",-7.290168,110.4036942,"osm"
"RimbuN Farm",-7.0533962,110.5746192,"osm"
"Rosita Garden",-7.7389695,110.4819366,"osm"
"Rumah Kompos",-6.8319171,107.7019025,"osm"
"Sahabat Flora",-6.285007,107.006866,"osm"
"Sanitas",-6.7198874,108.5663498,"osm"
"Segar Alam",-6.4466406,106.760641,"osm"
"Soka Indah",-6.736463,108.5538814,"osm"
"Sugeng Garden",-7.7377934,110.4286019,"osm"
"Taman Asri Jogja",-7.7383925,110.452133,"osm"
"Taman Colorado",-6.3429481,106.5781133,"osm"
"Taman Rajekwesi",-7.1577003,111.8718779,"osm"
"Tani Karya",-7.3499748,111.9125992,"osm"
"Tani Market",-8.0373172,112.6384503,"osm"
"Tani Mulya",-6.862902,107.5685223,"osm"
"Tani Mulyo",-8.1325436,113.8212331,"osm"
"Tani Murni Toko",-6.9074241,107.5979089,"osm"
"Tani Organik Merapi",-7.6638382,110.4347825,"osm"
"Tani Raya",-6.9196164,106.9544653,"osm"
"Ternak Kambing",-7.9710803,110.2743602,"osm"
"Terpusat",-6.3390281,106.879594,"osm"
"T. Mitra Tani",-7.6627526,110.7253495,"osm"
"Toko Abdi Tani",-7.4583518,109.2844676,"osm"
"Toko alat tani ROPI""I JAYA",-7.3322793,111.924258,"osm"
"Toko Amanah",-6.7448417,108.5432683,"osm"
"Toko Bangunan dan Pupuk",-6.9456221,106.447421,"osm"
"Toko Baroktana",-7.1149767,111.8039753,"osm"
"Toko Beras Agrimuda Berkarya",-8.2911704,112.108959,"osm"
"Toko Buah 99",-6.9682422,111.7150048,"osm"
"Toko Buah ABC",-6.8843495,112.0171518,"osm"
"Toko Buah Barokah",-7.1040312,110.2757033,"osm"
"Toko Buah Bazzar",-6.970597,111.7153009,"osm"
"Toko Buah Icha Fruits",-7.8836229,112.5327182,"osm"
"Toko Buah Mbak Sri",-6.9957928,110.4036863,"osm"
"Toko Buah Pramuka",-6.8963242,112.0471362,"osm"
"Toko Bujono",-7.3475569,111.9114967,"osm"
"Toko Hasil Tani",-7.3445224,110.2136237,"osm"
"Toko Hidroponik Goodplant",-7.7321595,110.3862879,"osm"
"toko maju bersama tani",-7.4838861,111.0298665,"osm"
"Toko Pakan",-7.4411999,109.3295368,"osm"
"Toko Pakan Al-Buchori",-7.9521102,112.677179,"osm"
"Toko Pakan Ayam & Telur Pak Dirman",-7.1739195,110.4071121,"osm"
"Toko Pakan Burung",-6.2011977,107.535012,"osm"
"Toko Pakan Burung",-6.2039071,107.5341881,"osm"
"Toko Pakan burung",-7.5747081,110.8384315,"osm"
"Toko Pakan Burung",-7.8666399,112.525722,"osm"
"Toko Pakan Burung Ipoel",-7.9815498,112.5957226,"osm"
"Toko Pakan Burung Pak Isman",-7.4051191,111.1134574,"osm"
"Toko Pakan Burung Pak Sugiono",-8.2057399,114.3248578,"osm"
"TOKO PAKAN TERBAK BAROKAH",-7.085683,111.1449059,"osm"
"Toko pakan ternak ATMO BS",-7.4858859,111.0282552,"osm"
"Toko Pakan Ternak Milenial",-7.1636543,111.1105556,"osm"
"Toko Pertanian",-6.663075,106.8555746,"osm"
"Toko Pertanian",-7.6855426,114.0643079,"osm"
"Toko Pertanian",-7.8660381,112.5261116,"osm"
"Toko Pertanian",-8.0002689,110.6580605,"osm"
"Toko Pertanian Abi Putra Jaya",-7.4043412,111.1162976,"osm"
"Toko Pertanian Adreena",-8.2852997,114.1033329,"osm"
"Toko Pertanian Andafa",-7.4042521,111.4176022,"osm"
"Toko Pertanian Arum tani",-7.4816839,111.0083391,"osm"
"TOKO PERTANIAN DAN POM MINI SUMBER RESQI",-7.4784092,111.0139475,"osm"
"Toko Pertanian Kusuma Tani",-8.1310704,112.1658558,"osm"
"Toko Pertanian Lestari Desa Kuangsan",-6.7409296,111.2981908,"osm"
"Toko pertanian Madu Tani",-7.4737233,111.0092202,"osm"
"Toko Pertanian MITRA AL-AZHAR",-7.9591886,110.8601488,"osm"
"Toko Pertanian Putri Dewi",-8.1420377,112.1319354,"osm"
"Toko Pertanian Sri rejeki",-7.2649155,111.9272428,"osm"
"Toko Pertanian Sumber Rejeki",-7.1723272,111.9769629,"osm"
"Toko Pertanian Tani Mapan",-8.4332182,114.2215098,"osm"
"Toko Pupuk",-6.5298429,107.6972765,"osm"
"Toko Pupuk Majesty",-8.0933012,113.3031472,"osm"
"Toko Pupuk Sri Lestari",-7.4026787,111.1192253,"osm"
"Toko Rahmattika Pertanian",-7.1240321,111.9365633,"osm"
"Toko Restu Tani",-8.2029623,114.3174257,"osm"
"Toko Semangat Tani",-7.5655446,110.2458743,"osm"
"Toko Sembako dan Pertanian Mbak Rin",-7.3189667,111.9201428,"osm"
"Toko Slamet""Alat Tani dan Bahan Tani",-8.2048021,114.3195627,"osm"
"TOKO SRI REJEKI",-7.3149593,111.9184711,"osm"
"Toko Sumber Tani",-7.2997217,106.6385796,"osm"
"Toko Sumber Tani Toserba",-7.1045377,111.9547008,"osm"
"Toko Surya Buah",-7.0749752,112.1116377,"osm"
"Toko Tanaman",-7.8078003,110.4023311,"osm"
"toko tani",-6.0977112,106.9631601,"osm"
"Toko Tani Jaya",-6.5929524,106.7928249,"osm"
"TP. Sahabat Berkah",-6.8810709,107.2151368,"osm"
"UD. FAJAR TANI",-7.0698339,111.9882394,"osm"
"Ud. Gadung Manis peternak",-7.6429577,110.9306392,"osm"
"UD. Nanda Agrotama",-7.6586027,112.1110885,"osm"
"UD. Rizqi Tani",-6.7697066,111.5783086,"osm"
"UD. SAUDARA TANI",-7.0834307,111.9750353,"osm"
"UD. Sumber Pangan",-7.1608132,112.0155797,"osm"
"UD. Sumber Tani",-7.0746362,112.1087731,"osm"
"UD Tani Makmut",-7.5118672,112.1791258,"osm"
"UD Usaha Bersama, Penangkar Benih padi",-7.0917501,112.0101147,"osm"
"Utama PS",-6.7148783,111.0152286,"osm"
"Wahyu Buah Bojongsari",-7.3512843,109.3549768,"osm"
"Warung sayuran",-7.5738204,110.8537359,"osm"
"Warung Sayur Daffa",-6.3021422,106.6920308,"osm"
"WIDODO's POULTRY SHOP",-7.4058272,111.1183165,"osm"
"Yanah Florist",-6.7537129,108.5385628,"osm"
"Yanmar",-7.5256523,112.4127758,"osm"
"Yanmar",-7.6386454,112.6901196,"osm"
"Zahra  shop",-7.5082568,110.5716039,"osm"
"Zifa Tani",-7.5602765,111.8127081,"osm"
"Zigma koi",-7.4466615,110.996878,"osm"
