TOM-01-plantvillage,PlantVillage Dataset,tomat; kentang; cabai besar (paprika); + 11 tanaman lain (14 total),"Tomat 10 kelas: Bacterial spot, Early blight, Late blight, Leaf Mold, Septoria leaf spot, Spider mites, Target Spot, Yellow Leaf Curl Virus, Mosaic virus, healthy. Kentang 3 kelas: Early blight, Late blight, healthy. Paprika 2 kelas. Total 38 kelas",gambar,JPG dalam ZIP (arsip repo GitHub); varian color/grayscale/segmented,"54303 gambar per varian (color & grayscale), 54306 segmented; 38 kelas; tomat 18159, kentang 2152",GitHub - spMohanty/PlantVillage-Dataset (EPFL/Penn State),https://github.com/spMohanty/PlantVillage-Dataset,CC BY-SA 3.0,2016,2026-08-25,datasets/additional/TOM-01-plantvillage,2504302720,858df90a05ab147fa2b0a32c47053128c4ca772326c43e962856e69290012374,diunduh,terverifikasi,"Daun tunggal dipetik, latar seragam, studio - model yang dilatih di sini jatuh pada foto lapangan. Lisensi CC BY-SA 3.0 hanya dinyatakan di cermin Hugging Face resmi; repo GitHub tanpa LICENSE. Kebocoran identitas daun: pakai leaf_grouping/. 19298 gambar turunan di data_distribution_for_SVM harus dikecualikan. Tidak ada layu bakteri/fusarium (penyakit pembuluh, tak terlihat di daun petik). Varian augmented 87.000 gambar di Mendeley sengaja tidak diambil."
TOM-12-phytoscope-lapangan,PhytoScope: A Public Benchmark Dataset for Multi-Crop Disease Detection and Localization,tomat; cabai; kentang; terung; + 21 tanaman lain (25 total),"Tomat 4 kelas: Tomato Bacterial spot, Tomato Fresh leaf, Tomato leaf curl virus, Tomato spotted wilt. Cabai 5 kelas, kentang 3 kelas, terung 3 kelas. Total 105 kelas",gambar,"JPG + label YOLO + 25 data.yaml dalam ZIP, split train/valid/test","20723 gambar, 20773 berkas label, 105 kelas, 25 tanaman; bagian tomat 801 gambar",Zenodo,https://zenodo.org/records/21383493,CC BY 4.0,2026,2026-08-25,datasets/additional/TOM-12-phytoscope-lapangan,1149897055,bd76757640538b0d889bcbb8ee5834e0d8e0082e47372438d15ae4178c308d3c,diunduh,terverifikasi,"DOI 10.5281/zenodo.21383492. Klaim >20.000 gambar / 25 tanaman / 105 kelas COCOK. Agregasi proyek Roboflow Universe (25 blok roboflow: semuanya menyatakan CC BY 4.0), bukan koleksi primer -> konsistensi label antar tanaman tidak dijamin. Berkas berawalan ""aug"" menunjukkan augmentasi sudah tercampur ke dalam split -> saring dulu sebelum evaluasi. Bagian tomat kecil (801 gambar, 4 kelas) tapi memuat Tomato spotted wilt yang langka + kotak pembatas lapangan."
TOM-13-zenodo-tomat-7z,Tomato Disease Dataset (Appe),tomat (diasumsikan dari judul),"TIDAK ADA - arsip tanpa label, tanpa subdirektori kelas, tanpa berkas anotasi",gambar,"JPG/PNG dalam arsip 7-Zip, satu folder datar",2388 berkas gambar tanpa label,Zenodo,https://zenodo.org/records/11102494,CC BY 4.0,2024,2026-08-25,datasets/priority/tomat/TOM-13-zenodo-tomat-7z,29389180,1d535e4602e61f21cb38dc13c69dc1bf37755b61a90fce56c540bba8c7a24a11,diunduh,terverifikasi,"DOI 10.5281/zenodo.11102494. TEMUAN NEGATIF: judul dan lisensi terbuka di repositori bereputasi tidak menjamin ada label. Rekaman Zenodo tanpa deskripsi sama sekali. Struktur datar train/ tanpa subfolder kelas, 0 berkas .txt/.csv/.json/.yaml. Ada 2 berkas *_thumb.png. Hanya berguna sebagai citra tak berlabel."
TOM-14-tomat-spanyol-tabular,Evaluation of tomato (Solanum lycopersicum) genetic resources in Spain (2023-2024),tomat,"Kolom 06_PHD (teks bebas): Red spider mite (1-4), Tuta absoluta, Mosaic symptoms in flower bud, Leaf curling, Blossom-related symptoms, Wilted, fungus, None detected. Plus skala 1-5: 24_DR_SL Disease resistance, 27_BER_SL Blossom end rot resistance, 29_FDR_SL Foliar disease resistance",tabular,"4 berkas XLSX, 4 lembar masing-masing (metadata, traits, raw Data, SeedLinked)","122 baris data (32+42+32+16), 18 kolom sifat + 11 sifat SeedLinked","Zenodo (Horizon Europe LiveSeeding, UPV)",https://zenodo.org/records/22024765,CC BY-NC-SA 4.0,2026,2026-08-25,datasets/priority/tomat/TOM-14-tomat-spanyol-tabular,262358,lihat-SHA256SUMS,diunduh,terverifikasi,"DOI 10.5281/zenodo.22024764. LISENSI PALING KETAT di koleksi ini: non-komersial + berbagi-serupa; jangan dicampur ke basis data CC BY tanpa dipisahkan. Sangat kecil (122 baris). Kolom penyakit teks bebas tanpa kode terkendali. Dua uji lapang 2024 nyaris tanpa catatan penyakit. Valencia/Mediterania, bukan Indonesia. Lembar metadata memuat nama & kontak orang (data pribadi). Nilainya sebagai CONTOH SKEMA pengamatan lapangan yang rapi, termasuk sifat ketahanan busuk ujung buah."
TOM-15-layu-bakteri-dryad,Data from: Bacteria-phage coevolution drives variation in bacterial wilt disease incidence via resistance-virulence trade-offs,tomat,Layu bakteri (Ralstonia pseudosolanacearum) - insidensi penyakit di 4 lahan tomat yang terpisah secara geografis,tabular,README.md + Source_data-0410.xlsx,"2 berkas, 4.745.516 byte",Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.3j9kd520g,CC0 1.0,2026,2026-08-25,,4745516,,gagal,belum,"DOI 10.5061/dryad.3j9kd520g. GAGAL: jalur API RESMI Dryad pun menolak tanpa akun. Diuji dua endpoint terdokumentasi: /api/v2/datasets/doi%3A10.5061%2Fdryad.3j9kd520g/download dan /api/v2/files/4736943/download - keduanya membalas HTTP 401 dengan badan {""error"":""Unauthorized, must have current bearer token""}, baik dengan maupun tanpa override User-Agent. Jalur /downloads/file_stream juga 403 dan dilarang robots.txt Dryad. Tidak dicari jalan lain sesuai aturan. CATATAN: API METADATA Dryad tidak butuh token, sehingga daftar berkas terkonfirmasi: README.md 4.855 byte (text/markdown) + Source_data-0410.xlsx 4.740.661 byte. Lisensi CC0 1.0, jadi datanya bebas - yang menghalangi hanya mekanisme unduhnya. Bisa diambil manusia lewat peramban dengan akun Dryad. Satu-satunya data insidensi layu bakteri (Ralstonia pseudosolanacearum) berbasis 4 lahan tomat yang ditemukan."
TOM-16-sichuan-layu-bakteri,Tomato Disease Dataset (Yongbo Liu) - rumah kaca Sichuan,tomat,"Tingkat berkas: layu bakteri (Ralstonia solanacearum) 527 gambar, penyakit virus 417, busuk kelabu/gray mold 82. Tingkat anotasi 10 kelas penyakit x bagian tanaman: Viral_Leaf 1522, Wilt_Leaf 405, Wilt_Middle 345, Wilt_Top 298, Wilt_Base 173, Viral_Top 139, Wilt_Stem 135, GrayMold_Leaf 76, GrayMold_Fruit 52, Virus_Middle 22",gambar,"JPG resolusi penuh 4032x3024 + anotasi PASCAL VOC (XML), satu XML per gambar, berkas lepas (sumber tanpa arsip)","diklaim 1026 gambar, terhitung 1026 gambar + 1026 XML = 2052 berkas; 3167 kotak pembatas",Mendeley Data,https://data.mendeley.com/datasets/c2x8rynybg/1,CC BY 4.0,2025,2026-08-25,datasets/priority/tomat/TOM-16-sichuan-layu-bakteri,2989253828,lihat-SHA256SUMS,diunduh,terverifikasi,"DOI 10.17632/c2x8rynybg.1, makalah Data in Brief doi 10.1016/j.dib.2025.112032. Ukuran 2.989.253.828 byte -> MUAT di batas 3 GB (diperiksa sebelum unduh lewat content_details.size dan curl -sIL). 2.052/2.052 berkas SHA-256-nya cocok dengan hash yang dipublikasikan Mendeley. 0 dari 1.026 XML gagal diurai. MENUTUP CELAH TERBESAR: satu-satunya dataset di panen ini yang memuat LAYU BAKTERI (Ralstonia). Anotasinya memakai BAGIAN TANAMAN sebagai kelas (Wilt_Base/Stem/Middle/Top/Leaf, 1356 kotak) sehingga memetakan gejala layu dari pangkal ke pucuk - geometri yang mustahil direkam dataset daun-petik. Cakupan anotasi 100% (0 gambar telantar), resolusi penuh 12 MP tidak diperkecil, nama berkas menyandi tanggal sesi (0509/0617/0919/1021/1112 tahun 2024) sehingga split bebas kebocoran berbasis sesi mungkin dilakukan. CACAT: Virus_Middle memakai awalan Virus_ sementara Viral_Leaf/Viral_Top memakai Viral_ (salah ketik satu batch). Sangat timpang (Viral_Leaf 1522 vs Virus_Middle 22, selisih 69x). Skema kelas tidak ortogonal: tidak ada Wilt_Fruit maupun GrayMold_Stem. TIDAK ADA KELAS SEHAT sehingga tidak bisa memutuskan ""sakit atau tidak"" sendirian. TIDAK ADA layu fusarium. Rumah kaca taman pertanian modern Sichuan, bukan lahan petani; kultivar tidak disebutkan; label virus tidak menyebut virus apa. Tanpa split train/valid/test. Struktur 6 folder asli tidak diekspos public API - diselamatkan di manifes-folder.csv dan di medan <folder> tiap XML."
TOM-17-olid-bangladesh,OLID I: An Open Leaf Image Dataset of Bangladeshs Major Crops,tomat; terung; timun; + 6 labu-labuan (9 tanaman),"Subset tomat tersedia sebagai 2 berkas terpisah (tomato__part_1, tomato__part_2); daftar kelas ada di class_distribution.xlsx",gambar,ZIP per tanaman (subset resmi terpisah) + XLSX distribusi kelas,"Subset tomat 2894 MB (1393,63 + 1500,71); seluruh dataset ~13 GB",Zenodo,https://zenodo.org/records/8105154,CC BY 4.0,2023,2026-08-25,,2894340000,,ditemukan,belum,"DOI 10.5281/zenodo.8095497. TIDAK DIUNDUH: subset tomat 2,89 GB masih di bawah batas 3 GB per dataset tetapi akan melampaui jatah 8 GB agen. Bangladesh tropis lembap - iklim terdekat ke Indonesia di antara seluruh kandidat gambar. Sumber MENYEDIAKAN subset resmi per tanaman sehingga bisa diunduh terpisah tanpa mengambil 13 GB. Prioritas kedua setelah TOM-16."
TOM-18-agri-foundation-145k,Agri-Foundation-145k: A Unified Large-Scale Dataset for Agricultural Disease Detection,tomat; kentang; + banyak tanaman lain,"215 kelas hasil penyelarasan taksonomi dari 8 sumber terbuka (PlantVillage, PlantDoc, New Plant Diseases, Tomato Leaf, Cassava, Wheat, PlantSeg, PlantWild)",gambar,ZIP tunggal,"144751 gambar, 215 kelas",Zenodo,https://zenodo.org/records/18214758,CC BY 4.0,2026,2026-08-25,,10409590000,,terlalu-besar,belum,"DOI 10.5281/zenodo.18214757. 10.409 MB dalam SATU berkas -> melampaui batas 3 GB per dataset dan tidak ada subset resmi. Isinya agregasi dari dataset yang sebagian sudah dipanen di sini (PlantVillage = TOM-01, PlantDoc = milik agen kentang) sehingga sebagian besar tumpang tindih. Klaim deduplikasi MD5 dan pemeriksaan korupsi belum diverifikasi."
TOM-19-multiclass-patologi-tomat,Multiclass Image Dataset of Tomato Pathologies: Integrating Leaf and Fruit Samples for Interpretable Deep Learning,tomat,Patologi daun dan buah (daftar kelas belum diverifikasi - arsip tidak dibuka),gambar,ZIP tunggal (Tomato.zip),4.423 MB,Mendeley Data,https://data.mendeley.com/datasets/xc94xbg239/1,CC BY 4.0,2026,2026-08-25,,4423480000,,terlalu-besar,belum,"DOI 10.17632/xc94xbg239.1. 4,42 GB dalam satu berkas -> melampaui batas 3 GB, tidak ada subset resmi. Menarik karena menggabungkan daun DAN buah; kandidat kuat kalau batas ukuran dinaikkan."
TOM-20-daun-buah-kembar,Tomato Leaf and Fruit Disease Image Dataset (rekaman kembar swtt5wy2pr),tomat,Belum diverifikasi - judul identik dengan TOM-06,gambar,Raw Dataset.zip 9059 MB + Resize Dataset.zip 840 MB + MetaData CSV + README PDF,~9.900 MB total,Mendeley Data,https://data.mendeley.com/datasets/swtt5wy2pr/1,CC BY 4.0,2026,2026-08-25,,9899880000,,terlalu-besar,belum,"DOI 10.17632/swtt5wy2pr.1. Berjudul PERSIS SAMA dengan TOM-06 (10.17632/9jxvtgh325.1) dan berasal dari kelompok penulis yang bertumpang tindih - kemungkinan terbitan kembar. Raw Dataset.zip 9,06 GB melampaui batas; ""Resize Dataset.zip"" 840 MB adalah subset resmi yang muat, TETAPI kemungkinan besar isinya sama dengan Original Dataset.zip di TOM-06 yang sudah diunduh. TIDAK diunduh untuk mencegah duplikasi - bandingkan checksum lebih dulu bila mau dipakai. Rekaman ini juga menyediakan MetaData CSV yang TIDAK ada di TOM-06."
TOM-21-agri-vision4,"Agri-Vision4: A Comprehensive Multi-Crop Leaf Disease Dataset of Tomato, Papaya, Zucchini, and Bottle Gourd",tomat; pepaya; zukini; labu botol (4 tanaman),Belum diverifikasi - arsip tidak dibuka,gambar,Orginal_Dataset.zip 5144 MB + Update_Aug_Dataset.zip 2318 MB + README.txt,7.462 MB,Mendeley Data,https://data.mendeley.com/datasets/8t6k37ztxc/1,CC BY 4.0,2026,2026-08-25,,7461630000,,terlalu-besar,belum,"DOI 10.17632/8t6k37ztxc.1. Berkas terbesarnya 5,14 GB -> melampaui batas 3 GB per dataset. Update_Aug_Dataset (2,32 GB) muat tapi isinya set augmentasi, bukan data asli, sehingga tidak layak untuk evaluasi jujur."
TOM-22-plantcity-pakistan,PlantCity: A Comprehensive Image Based on Multi Crop Leaves disease in Pakistan,tomat; kentang; + 10 tanaman lain (12 total),Belum diverifikasi keseluruhannya - lihat TOM-23 untuk potongan tomatnya,gambar,train.zip 6127 MB + test.zip 1128 MB + PDF makalah,7.257 MB,Mendeley Data,https://data.mendeley.com/datasets/w8kh2xkspx/4,CC BY 4.0,2026,2026-08-25,,7257300000,,terlalu-besar,belum,"DOI 10.17632/w8kh2xkspx.4, makalah Data in Brief doi 10.1016/j.dib.2025.112130. train.zip 6,13 GB melampaui batas 3 GB. Penerbit yang sama menyediakan potongan khusus tomat di figshare (lihat TOM-23) yang ukurannya muat."
TOM-23-plantcity-tomat-figshare,Tomato Leaf Disease PlantCity 2025 (11 classes),tomat,11 kelas (daftar persisnya belum diverifikasi - arsip tidak dibuka),gambar,Tomato.zip + PDF makalah,1.993 MB,figshare,https://figshare.com/articles/dataset/_b_Tomato_Leaf_Disease_PlantCity_2025_11_classes_b_/33190479,CC BY 4.0,2026,2026-08-25,,1992860000,,ditemukan,belum,"DOI 10.6084/m9.figshare.33190479. Potongan khusus tomat dari PlantCity (TOM-22) dan ukurannya MUAT di batas 3 GB. TIDAK diunduh karena jatah 8 GB agen sudah terpakai dan cakupan tomat dari Pakistan sudah diwakili TOM-05 (dataset lapangan Pakistan, 6 kelas). Layak diambil di sesi lanjutan kalau 11 kelas itu lebih luas daripada 6 kelas TOM-05."
