nomor_pendaftaran,merek,kemasan,komoditas,opt,dosis,ha_per_kemasan_min,ha_per_kemasan_maks,m2_per_kemasan_min,m2_per_kemasan_maks,kemasan_per_ha_maks,kemasan_teks
"01030120258897","ADEMO 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma golongan rumput","1,5 - 2,5 l/ha","0.4","0.667","4000","6667","2.5","1 Liter"
"01030120124336","AMCOPYR 670 EC","100 mL","Kakao (TBM)","Gulma berdaun lebar","1-2 l/ha","0.05","0.1","500","1000","20","100 ml"
"01030120124336","AMCOPYR 670 EC","100 mL","Kakao (TBM)","Gulma berdaun lebar","1-2 l/ha","0.05","0.1","500","1000","20","100 ml"
"01030120124336","AMCOPYR 670 EC","100 mL","Kakao (TBM)","Gulma berdaun lebar","1-2 l/ha","0.05","0.1","500","1000","20","100 ml"
"01030120124336","AMCOPYR 670 EC","100 mL","Kelapa Sawit (TBM)","Gulma berdaun lebar","1-2 l/ha","0.05","0.1","500","1000","20","100 ml"
"01030120124336","AMCOPYR 670 EC","100 mL","Kelapa Sawit (TBM)","Gulma berdaun lebar","1-2 l/ha","0.05","0.1","500","1000","20","100 ml"
"01030120124336","AMCOPYR 670 EC","100 mL","Kelapa Sawit (TBM)","Gulma berdaun lebar","1-2 l/ha","0.05","0.1","500","1000","20","100 ml"
"01050120113946","BASTEN 45 WP","100 g","Padi Sawah","Siput murbei","375 g/ha","0.267","0.267","2667","2667","3.75","Berat Bersih : 100 Gram"
"01030120134757","BIGALON 680 EC","1 L","Kelapa sawit (TBM)","gulma berdaun lebar (1 - 2 l/ha )","1 - 2 l/ha","0.5","1","5000","10000","2","ISI BERSIH 1 LITER"
"01030120134757","BIGALON 680 EC","1 L","Kelapa sawit (TBM)","gulma berdaun lebar (1 - 2 l/ha )","1 - 2 l/ha","0.5","1","5000","10000","2","ISI BERSIH 1 LITER"
"01030120134757","BIGALON 680 EC","1 L","Kelapa sawit (TBM)","gulma berdaun lebar (1 - 2 l/ha )","1 - 2 l/ha","0.5","1","5000","10000","2","ISI BERSIH 1 LITER"
"01030120134757","BIGALON 680 EC","1 L","Kelapa sawit (TBM)","gulma berdaun lebar (1 - 2 l/ha )","1 - 2 l/ha","0.5","1","5000","10000","2","ISI BERSIH 1 LITER"
"01010120196253","CARBAFUR 3 GR","2 kg","Padi sawah","penggerek batang padi kuning","15 kg/ha","0.133","0.133","1333","1333","7.5","2 Kg"
"01010120196253","CARBAFUR 3 GR","2 kg","Padi sawah","wereng coklat","15 kg/ha","0.133","0.133","1333","1333","7.5","2 Kg"
"01010120196253","CARBAFUR 3 GR","2 kg","Tebu","penggerek batang pucuk","15 kg/ha","0.133","0.133","1333","1333","7.5","2 Kg"
"01030120103735","FLURAN 290 EC","500 mL","Budidaya tanaman kelapa sawit (TBM):","gulma berdaun lebar","2-3 l/ha","0.167","0.25","1667","2500","6","Isi Bersih: 500 ml"
"01030120103735","FLURAN 290 EC","500 mL","Budidaya tanaman kelapa sawit (TBM):","gulma berdaun lebar","2-3 l/ha","0.167","0.25","1667","2500","6","Isi Bersih: 500 ml"
"01030120103735","FLURAN 290 EC","500 mL","Budidaya tanaman kelapa sawit (TBM):","gulma berdaun lebar","2-3 l/ha","0.167","0.25","1667","2500","6","Isi Bersih: 500 ml"
"01030120103735","FLURAN 290 EC","500 mL","Budidaya tanaman kelapa sawit (TBM):","gulma berdaun lebar","2-3 l/ha","0.167","0.25","1667","2500","6","Isi Bersih: 500 ml"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma berdaun lebar","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma berdaun lebar","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma berdaun lebar","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma berdaun lebar","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma berdaun lebar","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma golongan rumput","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma golongan rumput","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma golongan rumput","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma golongan rumput","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120259205","FORABEST 300 SL","1 L","Budidaya kelapa sawit (TBM)","gulma golongan rumput","1.5 - 3 l/ha","0.333","0.667","3333","6667","3","Isi bersih : 1 liter"
"01030120248263","FORASINAT 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma golongan rumput","3 - 4,5 l/ha","0.222","0.333","2222","3333","4.5","Isi bersih : 1 liter"
"01030120248263","FORASINAT 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma golongan rumput","3 - 4,5 l/ha","0.222","0.333","2222","3333","4.5","Isi bersih : 1 liter"
"01030120248263","FORASINAT 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma golongan rumput","3 - 4,5 l/ha","0.222","0.333","2222","3333","4.5","Isi bersih : 1 liter"
"01030120248263","FORASINAT 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","3 - 4,5 l/ha","0.222","0.333","2222","3333","4.5","Isi bersih : 1 liter"
"01030120248263","FORASINAT 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","3 - 4,5 l/ha","0.222","0.333","2222","3333","4.5","Isi bersih : 1 liter"
"01030120248263","FORASINAT 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","3 - 4,5 l/ha","0.222","0.333","2222","3333","4.5","Isi bersih : 1 liter"
"01030120248263","FORASINAT 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","3 - 4,5 l/ha","0.222","0.333","2222","3333","4.5","Isi bersih : 1 liter"
"01030120248263","FORASINAT 150 SL","1 L","Budidaya kelapa sawit (TBM):","gulma berdaun lebar","3 - 4,5 l/ha","0.222","0.333","2222","3333","4.5","Isi bersih : 1 liter"
"01140119951237","MITISUN 570 EC","500 mL","Teh","tungau jingga","0,5625 l/ha","0.889","0.889","8889","8889","1.13","500ml"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kakao (TBM)","Teki","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kakao (TBM)","Gulma berdaun lebar","0.75 - 1.5 l/ha","0.667","1.333","6667","13333","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kakao (TBM)","Gulma berdaun lebar","0.75 - 1.5 l/ha","0.667","1.333","6667","13333","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kakao (TBM)","Gulma berdaun lebar","0.75 - 1.5 l/ha","0.667","1.333","6667","13333","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kakao (TBM)","Gulma berdaun lebar","0.75 - 1.5 l/ha","0.667","1.333","6667","13333","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kakao (TBM)","Gulma berdaun lebar","0.75 - 1.5 l/ha","0.667","1.333","6667","13333","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kakao (TBM)","Gulma berdaun lebar","0.75 - 1.5 l/ha","0.667","1.333","6667","13333","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kakao (TBM)","Gulma berdaun lebar","0.75 - 1.5 l/ha","0.667","1.333","6667","13333","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kakao (TBM)","Gulma berdaun lebar","0.75 - 1.5 l/ha","0.667","1.333","6667","13333","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kakao (TBM)","Teki","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kedelai (TOT)","Gulma golongan rumput","2 - 3 l/ha","0.333","0.5","3333","5000","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kedelai (TOT)","Gulma golongan rumput","2 - 3 l/ha","0.333","0.5","3333","5000","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kedelai (TOT)","Gulma berdaun lebar","2 - 3 l/ha","0.333","0.5","3333","5000","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya kedelai (TOT)","Gulma berdaun lebar","2 - 3 l/ha","0.333","0.5","3333","5000","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kedelai (TOT)","Gulma berdaun lebar","2 - 3 l/ha","0.333","0.5","3333","5000","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kedelai (TOT)","Gulma berdaun lebar","2 - 3 l/ha","0.333","0.5","3333","5000","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kedelai (TOT)","Gulma golongan rumput","2 - 3 l/ha","0.333","0.5","3333","5000","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Kedelai (TOT)","Gulma golongan rumput","2 - 3 l/ha","0.333","0.5","3333","5000","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Padi Sawah (TOT)","Gulma golongan rumput","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Padi Sawah (TOT)","Gulma golongan rumput","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Padi Sawah (TOT)","Teki","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Padi Sawah (TOT)","Teki","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Padi Sawah (TOT)","Gulma berdaun lebar","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya Padi Sawah (TOT)","Gulma berdaun lebar","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya padi sawah (TOT):","Gulma berdaun lebar","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya padi sawah (TOT):","Gulma berdaun lebar","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya padi sawah (TOT):","Teki","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya padi sawah (TOT):","Teki","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya padi sawah (TOT):","Gulma Golongan Rumput","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Budidaya padi sawah (TOT):","Gulma Golongan Rumput","0.5 - 1.5 l/ha","0.667","2","6667","20000","1.5","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma berdaun lebar","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma berdaun lebar","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma berdaun lebar","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma golongan rumput","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma golongan rumput","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma berdaun lebar","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma berdaun lebar","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma berdaun lebar","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma golongan rumput","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01030120113984","ONE-UP 480 SL","1 L","Kelapa sawit (TBM)","Gulma golongan rumput","2.25 - 3 l/ha","0.333","0.444","3333","4444","3","1 Liter"
"01010120227685","OXADAN 3 GR","1 kg","Jagung","ulat tanah","20 kg/ha","0.05","0.05","500","500","20","Berat bersih: 1 Kg"
"01030120227447","POWER DUO 50/10 OD","500 mL","Budidaya padi sawah","Teki","0,75 - 1,5 l/ha","0.333","0.667","3333","6667","3","500ml"
"01030120227447","POWER DUO 50/10 OD","500 mL","Budidaya padi sawah","Gulma berdaun Lebar","0,75 - 1,5 l/ha","0.333","0.667","3333","6667","3","500ml"
"01030120227447","POWER DUO 50/10 OD","500 mL","Budidaya padi sawah","Gulma Golongan Rumput","0,75 - 1,5 l/ha","0.333","0.667","3333","6667","3","500ml"
"01030120052269","SANTAMIN 865 SL","1 L","Padi Sawah","Gulma berdaun lebar","0.75 - 1 l/ha","1","1.333","10000","13333","1","Isi Bersih : 1 Liter"
"01030120052269","SANTAMIN 865 SL","1 L","Padi Sawah","Gulma berdaun lebar","0.75 - 1 l/ha","1","1.333","10000","13333","1","Isi Bersih : 1 Liter"
"01030120052269","SANTAMIN 865 SL","1 L","Padi Sawah","Gulma berdaun lebar","0.75 - 1 l/ha","1","1.333","10000","13333","1","Isi Bersih : 1 Liter"
"01030120072978","SANTAQUAT 276 SL*","500 mL","Jagung","Gulma golongan rumput","1 - 2 l/ha","0.25","0.5","2500","5000","4","isi bersih : 500 ml"
"01030120072978","SANTAQUAT 276 SL*","500 mL","Jagung","Gulma Berdaun Lebar","1 - 2 l/ha","0.25","0.5","2500","5000","4","isi bersih : 500 ml"
"01030120072978","SANTAQUAT 276 SL*","500 mL","Jagung","Gulma Berdaun Lebar","1 - 2 l/ha","0.25","0.5","2500","5000","4","isi bersih : 500 ml"
"01030120072978","SANTAQUAT 276 SL*","500 mL","Kelapa sawit (TBM)","Gulma golongan rumput","1.5 - 2 l/ha","0.25","0.333","2500","3333","4","isi bersih : 500 ml"
"01030120072978","SANTAQUAT 276 SL*","500 mL","Padi sawah pasang surut (TOT)","Gulma berdaun lebar","1.5 - 3 l/ha","0.167","0.333","1667","3333","6","isi bersih : 500 ml"
"01030120072978","SANTAQUAT 276 SL*","500 mL","Padi sawah pasang surut (TOT)","Teki","1.5 - 3 l/ha","0.167","0.333","1667","3333","6","isi bersih : 500 ml"
"01010120134818","SANVIN 88 SP","100 g","Jagung","hama belalang","2 kg/ha","0.05","0.05","500","500","20","Berat Bersih : 100 gram"
"01030120155184","SAPULALANG 550 SL","500 mL","Kelapa sawit (TBM)","gulma berdaun lebar","1,5-2 l/ha","0.25","0.333","2500","3333","4","Isi Bersih : 500 ml"
"01030120155184","SAPULALANG 550 SL","500 mL","Kelapa sawit (TBM)","gulma golongan rumput","1,5-2 l/ha","0.25","0.333","2500","3333","4","Isi Bersih : 500 ml"
"01030120196320","VERLON 10/20 WP","25 g","Padi sawah","gulma berdaun lebar","100 - 150 g/ha","0.167","0.25","1667","2500","6","Isi bersih : 25 G"
"01030120196320","VERLON 10/20 WP","25 g","Padi sawah","teki","100 - 150 g/ha","0.167","0.25","1667","2500","6","Isi bersih : 25 G"
"01030120196320","VERLON 10/20 WP","25 g","Padi sawah","gulma golongan rumput","100 - 150 g/ha","0.167","0.25","1667","2500","6","Isi bersih : 25 G"
"01030120227722","ZAHAR 80 WP","500 g","Tebu","gulma berdaun lebar","1,5 - 3 kg/ha","0.167","0.333","1667","3333","6","Berat Bersih : 500 gram"
"01030120227722","ZAHAR 80 WP","500 g","Tebu","gulma golongan rumput","1,5 - 3 kg/ha","0.167","0.333","1667","3333","6","Berat Bersih : 500 gram"
