no_akreditasi,nama,skema_kode,skema,alamat,provinsi,telepon,sumber
"17530","PT Mitra Sistematika Global","LK","Laboratorium Kalibrasi","Ruko Cikarang Square Blok B No.35, Jl. Raya Cikarang - Cibarusah, KM 40, Kel. Pasirsari, Kec. Cikara","","02189321086","https://layanan.kan.or.id/direktori-lpk/4121/10003"
"LK-003-IDN","PT Pindad","LK","Laboratorium Kalibrasi","Jl. Gatot Subroto No. 517","","Telepon +62 22 7312073 (ext. 2258/2802) / Fax +62 22 7301222","https://layanan.kan.or.id/direktori-lpk/424/10003"
"LK-019-IDN","Deputi Bidang Infrastruktur Riset dan Inovasi - Direktorat Pengelolaan Laboratorium, Fasilitas Riset dan Kawasan Sains dan Teknologi - Badan Riset dan Inovasi Nasional (BRIN) - Laboratorium Energi - (LK-019-IDN)","LK","Laboratorium Kalibrasi","Gedung 233 KST. B.J. Habibie, Setu","","081318802218","https://layanan.kan.or.id/direktori-lpk/382/10003"
"LK-023-IDN","PT. SUCOFINDO (PERSERO) - SBU Laboratorium","LK","Laboratorium Kalibrasi","Jl. Arteri Tol Cibitung No.1","","(021) 88321176","https://layanan.kan.or.id/direktori-lpk/384/10003"
"LK-035-IDN","Laboratorium Kalibrasi PPSDM MIGAS","LK","Laboratorium Kalibrasi","Jl. Sorogo No. 1 Cepu","","(0296)421888","https://layanan.kan.or.id/direktori-lpk/389/10003"
"LK-049-IDN","PT Krakatau Perbengkelan dan Perawatan","LK","Laboratorium Kalibrasi","Jl. Coil 1 Komplek Pabrik PT Krakatau Steel (Persero) Tbk.","","(0254) 371316; 371500","https://layanan.kan.or.id/direktori-lpk/396/10003"
"LK-056-IDN","CQA Laboratorium Bidang Kalibrasi PT.Indofood Sukses Makmur Tbk.","LK","Laboratorium Kalibrasi","Jl. Ancol I No. 4-5, Ancol Barat","","(021)6909432","https://layanan.kan.or.id/direktori-lpk/398/10003"
"LK-089-IDN","Laboratorium Kalibrasi UPT.Pengujian dan Sertfikasi Mutu Barang Provinsi Kalimantan Barat","LK","Laboratorium Kalibrasi","Jl. Abdurrahman Saleh 31 Pontianak","Kalimantan Barat","0561-762849","https://layanan.kan.or.id/direktori-lpk/456/10003"
"LK-100-IDN","UPTD BPSMB Disperindagkop Provinsi Kalimantan Timur","LK","Laboratorium Kalibrasi","Jl. MT Haryono no. 45","","0541 733731","https://layanan.kan.or.id/direktori-lpk/435/10003"
"LK-110-IDN","Balai Pengamanan Alat dan Fasilitas Kesehatan (BPAFK) Jakarta","LK","Laboratorium Kalibrasi","Jl. Percetakan Negara no. 23A","","021 4240406, 4288224","https://layanan.kan.or.id/direktori-lpk/457/10003"
"LK-116-IDN","PT GS Battery","LK","Laboratorium Kalibrasi","Kawasan Industri Surya Cipta, Jalan Surya Utama Kav I3 - I4. Ciampel Karawang","Jawa Barat","081210194892","https://layanan.kan.or.id/direktori-lpk/624/10003"
"LK-125-IDN","Balai Besar Standarisasi dan Pelayanan Jasa Industri Kerajinan dan Batik","LK","Laboratorium Kalibrasi","Jln. Kusumanegara no. 7 55166 Yogyakarta","DI Yogyakarta","0274 546111","https://layanan.kan.or.id/direktori-lpk/633/10003"
"LK-139-IDN","Balai Besar Standardisasi dan Pelayanan Jasa Industri Hasil Perkebunan, Mineral Logam dan Maritim","LK","Laboratorium Kalibrasi","Jln. Prof. Abdurahman Basalamah No. 28, Makassar","Sulawesi Selatan","0411 441207","https://layanan.kan.or.id/direktori-lpk/672/10003"
"LK-140-IDN","PT. Batam Teknik","LK","Laboratorium Kalibrasi","Operation Center Lion Air Group, Technical Building 2nd Floor, Jl. Marsekal Suryadharma No. 18, Soek","","021-55913518","https://layanan.kan.or.id/direktori-lpk/674/10003"
"LK-142-IDN","Deputi Bidang Infrastruktur Riset dan Inovasi, Direktorat Pengelolaan Fasilitas Ketenaganukliran, Laboratorium Teknologi Radiasi - BRIN","LK","Laboratorium Kalibrasi","Gedung 71, KST. BJ. Habibie, Kawasan Puspiptek, Tangerang Selatan, 15314, Banten","Banten","(021) 7560908 / 08119811584","https://layanan.kan.or.id/direktori-lpk/681/10003"
"LK-143-IDN","PT. Global Promedika Service","LK","Laboratorium Kalibrasi","Gedung Bersaudara Lt.4 Jl. Penjernihan Raya No. 38 Jakarta Pusat","DKI Jakarta","021-5743280","https://layanan.kan.or.id/direktori-lpk/682/10003"
"LK-147-IDN","PT. Petrolab Services","LK","Laboratorium Kalibrasi","Jalan Pisangan Lama III No. 28, Kelurahan Pisangan Timur, Kecamatan Pulogadung, Jakarta Timur 13230","DKI Jakarta","021-29688694","https://layanan.kan.or.id/direktori-lpk/688/10003"
"LK-169-IDN","UPTD Balai Pengujian dan Sertifikasi Mutu Barang Keramik dan Tabung Gas Bogor","LK","Laboratorium Kalibrasi","Jalan Raya Tajur No. 52 Kota Bogor","Jawa Barat","0251 8333852","https://layanan.kan.or.id/direktori-lpk/1877/10003"
"LK-186-IDN","PT Keluarga Surta Mandiri (PT Kesuma)","LK","Laboratorium Kalibrasi","Jl. Raya Pasar Jumat No. 45D, Kebayoran Lama, Jakarta Selatan, DKI Jakarta","DKI Jakarta","02175917538","https://layanan.kan.or.id/direktori-lpk/1933/10003"
"LK-189-IDN","PT. Trusur Unggul Teknusa","LK","Laboratorium Kalibrasi","Ruko Jalan Lapangan Tembak Raya No. 64G Cibubur","","021-29627001","https://layanan.kan.or.id/direktori-lpk/1685/10003"
"LK-193-IDN","Pusat Sarana Pengendalian Lingkungan Hidup","LK","Laboratorium Kalibrasi","Kawasan Sains dan Teknologi BRIN Gedung 210, Serpong – Tangerang Selatan, Banten 15314","Banten","021-75872028","https://layanan.kan.or.id/direktori-lpk/2079/10003"
"LK-195-IDN","PT Mutumed Prima Services","LK","Laboratorium Kalibrasi","Jl. Raya Bogor Km. 33,5, No.19, Gedung A, Cimanggis","","0218740202","https://layanan.kan.or.id/direktori-lpk/2183/10003"
"LK-196-IDN","PT Prodia Widyahusada","LK","Laboratorium Kalibrasi","Jalan Kramat Sentiong No 1","","021-3917156 ext. 131","https://layanan.kan.or.id/direktori-lpk/2184/10003"
"LK-204-IDN","UPT Balai Pengujian dan Sertifikasi Mutu Barang Dinas Perdagangan dan Perindustrian Provinsi Kalimantan Tengah","LK","Laboratorium Kalibrasi","Jln. RTA. Milono, km 5,5","","085111395758","https://layanan.kan.or.id/direktori-lpk/2452/10003"
"LK-205-IDN","PT Mitra Tera Akurasi","LK","Laboratorium Kalibrasi","Graha Mas Fatmawati, Blok A.35, Jl. RS. Fatmawati No.71, Kebayoran Baru, Jakarta","DKI Jakarta","021-29126198","https://layanan.kan.or.id/direktori-lpk/2522/10003"
"LK-210-IDN","PT Astama Medika","LK","Laboratorium Kalibrasi","Jl Menteng Niaga, Ruko Metland Menteng Blok I-1 No 11 Ujung Menteng, Kec. Cakung, Jakarta Timur","DKI Jakarta","021-22461506","https://layanan.kan.or.id/direktori-lpk/2543/10003"
"LK-279-IDN","UPTD. Balai Pengujian dan Sertifikasi Mutu Barang Agro Bandung","LK","Laboratorium Kalibrasi","Jl. Raya Cinunuk No. 204","","(022) 7830258","https://layanan.kan.or.id/direktori-lpk/2252/10003"
"LK-281-IDN","PT. Caltesys Indonesia Cabang Semarang","LK","Laboratorium Kalibrasi","Ruko The Ivy Park Blok D1 No. 11 & 12 CitraLand BSB City, Jl. RM Hadi Subeno Sosrowardoyo Km 6, Mijen, Semarang, Jawa Tengah","Jawa Tengah","02476431688","https://layanan.kan.or.id/direktori-lpk/2198/10003"
"LK-282-IDN","UPT Laboratorium Layanan Terpadu Universitas Brawijaya","LK","Laboratorium Kalibrasi","JL Veteran, Gedung Laboratorium Tekno Enterpreneurship lt.9","","(0341)551611 ext.148","https://layanan.kan.or.id/direktori-lpk/2392/10003"
"LK-284-IDN","PT PLN Nusantara Power Unit Maintenance, Repair dan Overhaul","LK","Laboratorium Kalibrasi","Jl Pluit Utara Raya No.2a, Komplek PLTU Muara Karang, Jakarta Utara, DKI Jakarta","DKI Jakarta","081210000284","https://layanan.kan.or.id/direktori-lpk/3524/10003"
"LK-291-IDN","PT.SPEKTRUM KREASI PRATAMA","LK","Laboratorium Kalibrasi","JL.KH.M Yusuf Raya No.14 Sukmajaya Depok","Jawa Barat","021.29441428","https://layanan.kan.or.id/direktori-lpk/2406/10003"
"LK-296-IDN","CV Caltara","LK","Laboratorium Kalibrasi","Sedati Agung 40B RT.004 RW.003 Sedati, Sidoarjo, Jawa Timur","Jawa Timur","031 8679441","https://layanan.kan.or.id/direktori-lpk/2576/10003"
"LK-308-IDN","PT Adi Multi Kalibrasi","LK","Laboratorium Kalibrasi","Jalan Cendana No. 9A, Semaki, Yogyakarta","DI Yogyakarta","(0274) 563515 ext. 1","https://layanan.kan.or.id/direktori-lpk/2520/10003"
"LK-314-IDN","PT. SAKA TUNGGAL MANDIRI JAYA","LK","Laboratorium Kalibrasi","Jl. Raya Puspetik No.7 Kel. Buaran Kec. Serpong Tangerang Selatan","Banten","+622129432245 / +622174633703","https://layanan.kan.or.id/direktori-lpk/2840/10003"
"LK-328-IDN","PT Paradhya Ista Teknik","LK","Laboratorium Kalibrasi","Jl Mangga Dua Raya 8B","","021-6598685","https://layanan.kan.or.id/direktori-lpk/2743/10003"
"LK-413-IDN","Laboratorium Kalibrasi PT Cahaya Rekayasa Biomedis","LK","Laboratorium Kalibrasi","Ruko Pulogadung Trade Center Blok 8A No. 3 Jln Raya Bekasi KM 21 Kel. Rawa Terate, Kec, Cakung, Kota Adm. Jakarta Timur","DKI Jakarta","+6287876427398","https://layanan.kan.or.id/direktori-lpk/4308/10003"
"LK-429-IDN","PT. JASA KALIBRASI INDONESIA","LK","Laboratorium Kalibrasi","Western Regency blok I no. 8 Jl. Raya Sememi, Benowo Surabaya - Jawa Timur, Indonesia","Jawa Timur","62-31-99162-550","https://layanan.kan.or.id/direktori-lpk/5552/10003"
"LK-430-IDN","PT EFUSI LABORATORIUM PRIMA","LK","Laboratorium Kalibrasi","JALAN NAMING D BOTHIN RT.008 / RW.019 DEPOK PANCORAN MAS, JAWA BARAT","Jawa Barat","081315628738","https://layanan.kan.or.id/direktori-lpk/5574/10003"
"LK-431-IDN","PT. Vanadia Utama","LK","Laboratorium Kalibrasi","Komplek Sentra Industri Terpadu, Pantai Indah Kapuk, Blok G1 No. 5, Jakarta Utara 14470","DKI Jakarta","021-56982988","https://layanan.kan.or.id/direktori-lpk/5674/10003"
"LK-432-IDN","PT. Catta Cora Intiharmoni","LK","Laboratorium Kalibrasi","Jl. Medokan Ayu Blok MA.I.O Nomor 15","","+62 811-3187-787","https://layanan.kan.or.id/direktori-lpk/5740/10003"
"LK-433-IDN","PT TETRA INTI MEDIKA","LK","Laboratorium Kalibrasi","RUKO VICTORIAN BLOK DD NO.2 JALAN BINTARO UTAMA SEKTOR 3A KEL. PONDOK KARYA KEC. PONDOK AREN","","021-73670832","https://layanan.kan.or.id/direktori-lpk/5602/10003"
"LK-434-IDN","PT. OPTIMA MANDIRI GLOBALINDO","LK","Laboratorium Kalibrasi","Jl. Citra Grand Cibubur CBD No.35 FR3, Kec. Jatisempurna, Kota Bekasi, Jawa Barat","Jawa Barat","021 - 84343410","https://layanan.kan.or.id/direktori-lpk/5718/10003"
"LK-435-IDN","Laboratorium Kalibrasi BBMKG Wilayah I","LK","Laboratorium Kalibrasi","Jln. Ngumban Surbakti No.15 Sempakata Medan","Sumatera Utara","061-8213500","https://layanan.kan.or.id/direktori-lpk/6984/10003"
"LK-436-IDN","Laboratorium Kalibrasi BBMKG Wilayah II","LK","Laboratorium Kalibrasi","Jl. H. Abdul Gani No. 05 Cempaka Putih, Ciputat Timur","","021 – 7402739 / 021 - 7426485","https://layanan.kan.or.id/direktori-lpk/6959/10003"
"LK-437-IDN","Laboratorium Kalibrasi BBMKG Wilayah III","LK","Laboratorium Kalibrasi","Jalan Raya Tuban, Kuta","","0361 - 751122; 0361 - 757975","https://layanan.kan.or.id/direktori-lpk/6963/10003"
"LK-438-IDN","Laboratorium Kalibrasi BBMKG Wilayah IV Makassar","LK","Laboratorium Kalibrasi","Jl. Prof. Dr. Abdurrahman Basalamah No. 4, Makassar, Sulawesi Selatan","Sulawesi Selatan","0411-456493","https://layanan.kan.or.id/direktori-lpk/6897/10003"
"LK-439-IDN","Laboratorium Kalibrasi Balai Besar MKG Wilayah V","LK","Laboratorium Kalibrasi","Jl. Raya Abepura Entrop Jayapura","Papua","(0967) 5165442","https://layanan.kan.or.id/direktori-lpk/6877/10003"
"LK-440-IDN","PT. Qlab Kinarya Sentosa","LK","Laboratorium Kalibrasi","Jl. H. Basyar No. 15 C-D, Kelurahan Jaticempaka, Kecamatan Pondokgede, Kota Bekasi, Provinsi Jawa Barat","Jawa Barat","6221 8497 3181","https://layanan.kan.or.id/direktori-lpk/5769/10003"
"LK-442-IDN","PT Energi Dinamika Kirana","LK","Laboratorium Kalibrasi","Jl. Derwati Mas No. 9, Derwati, Kec. Rancasari, Kota Bandung, Jawa Barat 40292","Jawa Barat","62-2287791501","https://layanan.kan.or.id/direktori-lpk/6898/10003"
"LK-443-IDN","PT. Akurasi Standard Abadi","LK","Laboratorium Kalibrasi","Jl. Kutisari IX No. 5B - 5C Siwalankerto, Kec. Wonocolo, Surabaya","Jawa Timur","03199848343","https://layanan.kan.or.id/direktori-lpk/6973/10003"
"LK-446-IDN","PT. Technical Sinergi Indonesia","LK","Laboratorium Kalibrasi","Harvest City Claster Orchid F Blok 24 No.17, Cikarageman, Setu, Kab. Bekasi, Jawa Barat","Jawa Barat","08122090578","https://layanan.kan.or.id/direktori-lpk/4353/10003"
"LK-464-IDN","PT PANASINDO JAYA MANDIRI","LK","Laboratorium Kalibrasi","Jl. Kemuning 1 No. 4-5, Desa/Kelurahan Bojongmenteng, Kec. Rawalumbu, Kota Bekasi, Provinsi Jawa Barat","Jawa Barat","02182601117","https://layanan.kan.or.id/direktori-lpk/8299/10003"
"LK-465-IDN","PT Eksgon Brother","LK","Laboratorium Kalibrasi","Jl. Malaka Merah 3 No.15, RW.10, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460","DKI Jakarta","(021) 29067957","https://layanan.kan.or.id/direktori-lpk/6871/10003"
"LK-466-IDN","LABORATORIUM KALIBRASI ALAT KESEHATAN LAPALKES PUSKESAD","LK","Laboratorium Kalibrasi","JL BUNTU NO 1, MUNJUL RT.08 RW. 02, KECAMATAN CIPAYUNG, JAKARTA TIMUR","DKI Jakarta","087886793027","https://layanan.kan.or.id/direktori-lpk/8649/10003"
"LK-499-IDN","PT BINTANG ANUGRAH SEHATI","LK","Laboratorium Kalibrasi","JL.JEMBATAN BATU NO.82-83 PINANGSIA","","021-62308414","https://layanan.kan.or.id/direktori-lpk/11994/10003"
"LK-510-IDN","UPT Pengujian Sertifikasi Mutu Barang-Lembaga Tembakau Surabaya","LK","Laboratorium Kalibrasi","Jl. Gayung Kebonsari Dalam No.12A Surabaya","Jawa Timur","031 8280762","https://layanan.kan.or.id/direktori-lpk/10737/10003"
"LK-511-IDN","PT MUTU GLOBAL INSTRUMENTASI","LK","Laboratorium Kalibrasi","Rukan Sentra Komersial Blok RSK 3 No 27 Grand Galaxy City Jakasetia, Bekasi Selatan - Jawa Barat 17147","Jawa Barat","021-88957431","https://layanan.kan.or.id/direktori-lpk/11984/10003"
"LM-008-IDN","Laboratorium Klinik Parahita Diagnostic Center Jakarta","LM","Laboratorium Medik","Jl. Warung Buncit 150 Jakarta Selatan 12760","DKI Jakarta","021-7949624","https://layanan.kan.or.id/direktori-lpk/2411/4"
"LM-010-IDN","Laboratorium Klinik Parahita Diagnostic Center Yogyakarta","LM","Laboratorium Medik","Jl. Dr.Sutomo No. 10 Baciro, Gondokusuman","","0274-520850","https://layanan.kan.or.id/direktori-lpk/2681/4"
"LM-011-IDN","Laboratorium Klinik Pramita Bandung","LM","Laboratorium Medik","Jl. LL. RE. Martadinata No.135","","022-7271946","https://layanan.kan.or.id/direktori-lpk/600/4"
"LM-012-IDN","UPTD. Balai Laboratorium Kesehatan dan Pengujian Alat Kesehatan, Dinas Kesehatan Pemerintah Aceh","LM","Laboratorium Medik","Jl. Tgk. H. Mohd. Daud Beureuh No.168","","(0651) 22950, 23834","https://layanan.kan.or.id/direktori-lpk/601/4"
"LM-015-IDN","Laboratorium Medik Prodia Medan","LM","Laboratorium Medik","Jl. S. Parman No. 17/223","","061-4535731/4534903","https://layanan.kan.or.id/direktori-lpk/604/4"
"LM-018-IDN","Laboratorium Medis Utama Pramita Surabaya","LM","Laboratorium Medik","Jl. Adityawarman No. 73","","031-5682416","https://layanan.kan.or.id/direktori-lpk/607/4"
"LM-037-IDN","Laboratorium Klinik Prodia Batam","LM","Laboratorium Medik","Komplek Mahkota Raya Blok E No. 12 A-B, Batam","Kepulauan Riau","0778-7495735","https://layanan.kan.or.id/direktori-lpk/2243/4"
"LM-040-IDN","UPTD. Laboratorium Kesehatan Daerah Kota Bogor","LM","Laboratorium Medik","Jl. Kesehatan No. 3 Tanah Sareal","","0251-8385082","https://layanan.kan.or.id/direktori-lpk/1894/4"
"LM-041-IDN","Laboratorium Klinik Umum Pratama Prodia Kedoya","LM","Laboratorium Medik","Jl. Kedoya Agave Raya, Perkantoran Tomang Tol Raya Blok A II/22, Kebun Jeruk, Jakarta Barat","DKI Jakarta","082197770709","https://layanan.kan.or.id/direktori-lpk/1896/4"
"LM-042-IDN","Laboratorium Klinik Pratama Prodia Lampung","LM","Laboratorium Medik","Jl. Jend. Sudirman No. 120","","0721.8017700/0721.80","https://layanan.kan.or.id/direktori-lpk/2028/4"
"LM-044-IDN","Laboratorium Klinik Prodia Balikpapan","LM","Laboratorium Medik","Kompleks pertokoan Bandar Klandasan Blok D-11. Jl. Jend. Sudirman RT 005","","0542 739337","https://layanan.kan.or.id/direktori-lpk/2030/4"
"LM-047-IDN","UPTD Laboratorium Kesehatan Provinsi Sumatera Barat","LM","Laboratorium Medik","Jalan Gajah Mada Gunung Pangilun, Padang","Sumatera Barat","(0751) 7054023","https://layanan.kan.or.id/direktori-lpk/2293/4"
"LM-066-IDN","Laboratorium Klinik Biotest Menteng","LM","Laboratorium Medik","Jl. Sumatra No. 48","","021 - 31937784","https://layanan.kan.or.id/direktori-lpk/2129/4"
"LM-067-IDN","UPT Laboratorium Kesehatan Daerah Kota Tangerang Selatan","LM","Laboratorium Medik","Jl. Tekno Widya Blok H 1 No. 1 Desa/Kelurahan Ciater, Kec Serpong","","0812 85394995","https://layanan.kan.or.id/direktori-lpk/2037/4"
"LM-068-IDN","Laboratorium Medis Khusus Patologi Klinik Utama Kedungdoro","LM","Laboratorium Medik","Jl.Kedungsari 84A","","031-5312981","https://layanan.kan.or.id/direktori-lpk/1629/4"
"LM-071-IDN","Balai Besar Biomedis dan Genomika Kesehatan","LM","Laboratorium Medik","Jl. Percetakan Negara No. 23B","","021-4212524","https://layanan.kan.or.id/direktori-lpk/2358/4"
"LM-097-IDN","RUMAH SAKIT UMUM DAERAH dr. ABDUL RIVAI (INSTALASI LABORATORIUM)","LM","Laboratorium Medik","JALAN PULAU PANJANG NO 276","","Telp. 055421098/Fax. 21098","https://layanan.kan.or.id/direktori-lpk/5492/4"
"LM-098-IDN","RSNU TUBAN","LM","Laboratorium Medik","Jl.Letda Sucipto No.211 Tuban","Jawa Timur","(0356)328299","https://layanan.kan.or.id/direktori-lpk/5746/4"
"LM-100-IDN","LABORATORIUM KLINIK THAMRIN PEKANBARU","LM","Laboratorium Medik","JLN. NANGKA T. TAMBUSAI NO. 36","","(0761) 46471 - 61650 fax : ( 0761 ) 61632","https://layanan.kan.or.id/direktori-lpk/5824/4"
"LM-107-IDN","Laboratorium Medik Rumah Sakit Pusat Pertamina","LM","Laboratorium Medik","Jalan Kyai Maja No.43 Kelurahan Gunung Kecamatan Kebayoran Baru","","0217219770","https://layanan.kan.or.id/direktori-lpk/8583/4"
"LM-113-IDN","Laboratorium Rumah Sakit Awal Bros Pekanbaru","LM","Laboratorium Medik","Jalan Jend. Sudirman No. 117 Pekanbaru Riau","Riau","0761-47333","https://layanan.kan.or.id/direktori-lpk/12143/4"
"LM-114-IDN","LABORATORIUM KLINIK MEDILAB","LM","Laboratorium Medik","Jl. Jend. Ahmad Yani Ruko Taman Niaga Sukajadi Blok J No. 1-6, Sukajadi, Kec. Batam Kota, Kota Batam, Kepulauan Riau.","Kepulauan Riau","07787372022","https://layanan.kan.or.id/direktori-lpk/12148/4"
"LM-115-IDN","Laboratorium Medis Umum Utama CITO Yogyakarta","LM","Laboratorium Medik","Jl. Atmosukarto No.4 Kridosono Kelurahan Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Provinsi Daerah Istimewa Yogyakarta","DI Yogyakarta","(0274) 563656","https://layanan.kan.or.id/direktori-lpk/12144/4"
"LP-005-IDN","PT PLN (Persero) Pusat Sertifikasi - LMK LAB","LP","Laboratorium Penguji","Jl. Laboratorium Duren Tiga, Jakarta Selatan 12760","DKI Jakarta","021-7900034","https://layanan.kan.or.id/direktori-lpk/3/1"
"LP-012-IDN","UPTD Balai Pengujian dan Sertifikasi Mutu Barang Dinas Perindustrian dan Perdagangan Provinsi Sumatera Barat","LP","Laboratorium Penguji","Jl. Belibis No. 3, Air Tawar","","(0751) 7054202","https://layanan.kan.or.id/direktori-lpk/709/1"
"LP-013-IDN","PT Mutuagung Lestari Tbk Cabang Samarinda","LP","Laboratorium Penguji","Jl. Teuku Umar No. 18, Samarinda, Kalimantan Timur 75126","Kalimantan Timur","(0541) 272600","https://layanan.kan.or.id/direktori-lpk/7/1"
"LP-025-IDN","Balai Pengujian Mutu Barang, Direktorat Standardisasi dan Pengendalian Mutu, Direktorat Jenderal Perlindungan Konsumen dan Tertib Niaga, Kementerian Perdagangan","LP","Laboratorium Penguji","Jl. Raya Bogor Km. 26, Ciracas � Jakarta 13740","DKI Jakarta","(021) 87721002","https://layanan.kan.or.id/direktori-lpk/14/1"
